time/time_elapsed,train/policy_objective,time/fps,train/learning_rate,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/kl_divergence_loss,train/explained_variance,train/is_line_search_success,train/n_updates,train/std
235,0.06100232154130936,1357,0.0013,320000,18251121288.0,-282423.74059162,19.39,0.00712636299431324,-3.5762786865234375e-07,1.0,39,0.936797559261322
242,0.06700283288955688,1358,0.0013,330000,18533556355.2,-233508.02531634,14.85,0.007639594841748476,0.0,1.0,40,0.937860369682312
250,0.05775749683380127,1358,0.0013,340000,17798746430.4,-219820.59704935,13.58,0.0075469790026545525,1.7881393432617188e-07,1.0,41,0.9318572878837585
257,0.055227890610694885,1358,0.0013,350000,18051397633.6,-245157.76503162002,16.07,0.007818262092769146,0.0,1.0,42,0.9280129671096802
264,0.05247679725289345,1358,0.0013,360000,18007554388.8,-202251.92999084995,11.96,0.007123099640011787,-3.5762786865234375e-07,1.0,43,0.9265087842941284
273,0.06436217576265335,1352,0.0013,370000,16844016118.4,-220729.33297363998,13.63,0.00727000180631876,0.0,1.0,45,0.919937014579773
280,0.061470985412597656,1352,0.0013,380000,16115931254.4,-201512.72463702,11.88,0.008739191107451916,1.1920928955078125e-07,1.0,46,0.9182303547859192
288,0.04924171417951584,1353,0.0013,390000,17084909243.2,-194172.21020728,11.05,0.00784960389137268,0.0,1.0,47,0.9148633480072021
295,0.06003205105662346,1352,0.0013,400000,15874021528.0,-189377.63212653,10.84,0.00820576399564743,1.7881393432617188e-07,1.0,48,0.9125010967254639
304,0.05747184902429581,1347,0.0013,410000,14782394611.2,-179816.01547055,9.84,0.008447529748082161,0.0,1.0,50,0.9107961058616638
311,0.0414569117128849,1347,0.0013,420000,15150070027.2,-171382.05098227996,9.04,0.00671639246866107,1.7881393432617188e-07,1.0,51,0.908664345741272
319,0.040117304772138596,1347,0.0013,430000,14085229550.4,-180797.19852007995,10.03,0.006807513535022736,-2.384185791015625e-07,1.0,52,0.9070208668708801
326,0.04713650792837143,1347,0.0013,440000,14863531632.0,-165180.46781003,8.51,0.008152973838150501,0.0,1.0,53,0.9067229628562927
334,0.06734704971313477,1347,0.0013,450000,13666194588.8,-196277.40724842998,11.39,0.008346100337803364,0.0,1.0,54,0.9044094085693359
342,0.03826659917831421,1342,0.0013,460000,14008068523.2,-158289.03862126003,7.81,0.0073617310263216496,0.0,1.0,56,0.9009025692939758
349,0.04193753004074097,1343,0.0013,470000,13159659302.4,-162920.02956941,8.21,0.00647437758743763,2.384185791015625e-07,1.0,57,0.899854302406311
357,0.04771072417497635,1344,0.0013,480000,14225530993.6,-166834.79800583998,8.68,0.007077269721776247,0.0,1.0,58,0.8997884392738342
364,0.0452994704246521,1345,0.0013,490000,13913889556.8,-155353.30916519,7.55,0.009223142638802528,0.0,1.0,59,0.8972815275192261
373,0.05711132287979126,1339,0.0013,500000,14419749361.6,-168373.80704395997,8.74,0.007857284508645535,1.7881393432617188e-07,1.0,61,0.8950299620628357
381,0.03577975928783417,1337,0.0013,510000,12892087587.2,-158441.88887097,7.88,0.008655206300318241,0.0,1.0,62,0.8933177590370178
388,0.05564061552286148,1337,0.0013,520000,12726186352.0,-158074.66747281,7.85,0.007916532456874847,0.0,1.0,63,0.8917616009712219
396,0.03511340916156769,1337,0.0013,530000,13039542675.2,-153281.44082101,7.44,0.006045038346201181,0.0,1.0,64,0.8910288214683533
403,0.03696997091174126,1338,0.0013,540000,12734753147.2,-171075.60278455997,9.03,0.007341609336435795,0.0,1.0,65,0.889069139957428
411,0.06525981426239014,1336,0.0013,550000,13034780348.8,-158461.96155184996,7.88,0.008487186394631863,2.384185791015625e-07,1.0,67,0.8865450024604797
418,0.045370206236839294,1338,0.0013,560000,12627390216.0,-181795.54273246002,10.06,0.007151240017265081,-1.1920928955078125e-07,1.0,68,0.887342631816864
425,0.048777539283037186,1338,0.0013,570000,14116770683.2,-146917.61281355002,6.83,0.00829781498759985,1.7881393432617188e-07,1.0,69,0.8873942494392395
432,0.0474834218621254,1339,0.0013,580000,12747302624.0,-142347.18014516,6.34,0.007815835997462273,-2.384185791015625e-07,1.0,70,0.8859378695487976
441,0.0569215826690197,1337,0.0013,590000,12478148328.0,-155877.67045946995,7.71,0.008586585521697998,0.0,1.0,72,0.8833309412002563
448,0.045167114585638046,1339,0.0013,600000,12072528977.6,-146745.27253981,6.78,0.009685265831649303,0.0,1.0,73,0.8819723129272461
455,0.047027695924043655,1340,0.0013,610000,12356147776.0,-151360.56483532,7.14,0.007505890913307667,0.0,1.0,74,0.8817077279090881
462,0.03680245578289032,1341,0.0013,620000,12639399142.4,-146768.68119444003,6.71,0.004295214079320431,-2.384185791015625e-07,1.0,75,0.881257176399231
469,0.04867115616798401,1342,0.0013,630000,12791230171.2,-142533.70846682004,6.39,0.007441915106028318,1.1920928955078125e-07,1.0,76,0.8800526261329651
477,0.06010602042078972,1340,0.0013,640000,12011455673.6,-146629.31233857,6.6,0.0076279425993561745,0.0,1.0,78,0.8790109157562256
484,0.04959305748343468,1342,0.0013,650000,11906174542.4,-161071.18965149,8.12,0.008189902640879154,1.1920928955078125e-07,1.0,79,0.8763005137443542
491,0.06421256810426712,1342,0.0013,660000,12969864504.0,-156335.22080535002,7.64,0.008013631217181683,0.0,1.0,80,0.873045027256012
498,0.06421013921499252,1343,0.0013,670000,11933457590.4,-148584.36838374997,6.96,0.006367997266352177,1.7881393432617188e-07,1.0,81,0.8729153275489807
507,0.06962783634662628,1339,0.0013,680000,11341026006.4,-143422.87172447998,6.39,0.007772653363645077,0.0,1.0,83,0.8693000674247742
515,0.018065787851810455,1339,0.0013,690000,11965295724.8,-142423.91412124,6.36,0.003999041859060526,2.384185791015625e-07,1.0,84,0.869625985622406
522,0.06367380172014236,1338,0.0013,700000,11671794107.2,-143815.83090494998,6.53,0.009912476874887943,-2.384185791015625e-07,1.0,85,0.8687770962715149
530,0.052604034543037415,1338,0.0013,710000,11329797096.0,-142766.3611859,6.35,0.009402205236256123,0.0,1.0,86,0.8674108386039734
538,0.040364135056734085,1337,0.0013,720000,10612038041.6,-145725.70944653003,6.64,0.00915975496172905,-1.1920928955078125e-07,1.0,87,0.8652867078781128
546,0.057639025151729584,1334,0.0013,730000,10753597126.4,-141322.08323017,6.27,0.008091896772384644,-1.1920928955078125e-07,1.0,89,0.8635618090629578
554,0.04993691295385361,1335,0.0013,740000,11140023804.8,-139811.20894544,6.1,0.007401911076158285,1.1920928955078125e-07,1.0,90,0.8629171848297119
561,0.03857523202896118,1335,0.0013,750000,10767084105.6,-141672.88203359002,6.26,0.009481634013354778,1.7881393432617188e-07,1.0,91,0.860639214515686
569,0.053331680595874786,1335,0.0013,760000,10711539470.4,-143548.21482874,6.44,0.007815910503268242,0.0,1.0,92,0.8605894446372986
576,0.036803510040044785,1335,0.0013,770000,10305883681.6,-140799.36526906,6.18,0.00827751960605383,5.960464477539063e-08,1.0,93,0.8592003583908081
585,0.037021033465862274,1333,0.0013,780000,10305438390.4,-142617.23369303,6.36,0.006435327231884003,0.0,1.0,95,0.8581717014312744
592,0.04573772847652435,1333,0.0013,790000,10445677676.8,-143694.05593729997,6.5,0.008915336802601814,0.0,1.0,96,0.8550874590873718
599,0.044679321348667145,1333,0.0013,800000,10391311417.6,-145769.07128910997,6.72,0.006545658688992262,0.0,1.0,97,0.8535297513008118
607,0.030468683689832687,1333,0.0013,810000,10392467769.6,-140256.48700785,6.14,0.007738834712654352,0.0,1.0,98,0.8536733984947205
616,0.04422217607498169,1330,0.0013,820000,10511015656.0,-139407.60657023,6.09,0.007742973975837231,0.0,1.0,100,0.8467856645584106
624,0.04115786775946617,1330,0.0013,830000,10218927360.0,-138304.86993701998,6.02,0.00802693236619234,0.0,1.0,101,0.8457000255584717
631,0.03431073576211929,1329,0.0013,840000,10060241267.2,-136425.94671251002,5.84,0.006606834940612316,0.0,1.0,102,0.8443496227264404
639,0.03537236154079437,1329,0.0013,850000,10156645328.0,-137580.75480931002,5.93,0.009972890838980675,-2.384185791015625e-07,1.0,103,0.8434855937957764
646,0.039581023156642914,1329,0.0013,860000,10189459502.4,-135392.08146785002,5.72,0.007113578263670206,0.0,1.0,104,0.843539834022522
655,0.031071200966835022,1326,0.0013,870000,10028338011.2,-134939.42335541,5.62,0.006522022187709808,0.0,1.0,106,0.8421568274497986
663,0.03894633799791336,1326,0.0013,880000,9985575390.4,-136742.86833642,5.78,0.007284605409950018,0.0,1.0,107,0.8391662836074829
670,0.05466562137007713,1326,0.0013,890000,10304919563.2,-137467.29032022003,5.9,0.007587294559925795,1.7881393432617188e-07,1.0,108,0.8366621136665344
678,0.022536974400281906,1325,0.0013,900000,10015452464.0,-132181.29694005,5.33,0.008246727287769318,0.0,1.0,109,0.8356606960296631
687,0.04838835448026657,1323,0.0013,910000,9786465121.6,-132694.3498167,5.4,0.008594007231295109,0.0,1.0,111,0.8331539630889893
695,0.017890609800815582,1322,0.0013,920000,9880714275.2,-130458.0676767,5.2,0.008358367718756199,0.0,1.0,112,0.8324164152145386
703,0.04090625047683716,1322,0.0013,930000,9649435766.4,-129873.85731946003,5.14,0.007216531317681074,5.960464477539063e-08,1.0,113,0.8288705348968506
710,0.03800855576992035,1322,0.0013,940000,9556696056.0,-130561.68900861999,5.17,0.006601274944841862,0.0,1.0,114,0.8270620703697205
718,0.028281819075345993,1321,0.0013,950000,9504459720.0,-129435.38970566001,5.09,0.006871252786368132,0.0,1.0,115,0.8244428038597107
727,0.03875032812356949,1319,0.0013,960000,9448952337.6,-128490.00001698999,5.01,0.007482896093279123,0.0,1.0,117,0.8162215948104858
734,0.028986871242523193,1320,0.0013,970000,9454449708.8,-128656.15622301001,5.03,0.006549048237502575,1.7881393432617188e-07,1.0,118,0.8153344392776489
742,0.031744956970214844,1320,0.0013,980000,9310539486.4,-128422.45789398998,5.02,0.008383921347558498,0.0,1.0,119,0.8114722371101379
749,0.007411493454128504,1320,0.0013,990000,9293061608.0,-132792.40205747,5.44,0.006744007114320993,0.0,1.0,120,0.8101699352264404
758,0.03460242971777916,1318,0.0013,1000000,9359707369.6,-128622.31504334002,5.03,0.006879404187202454,0.0,1.0,122,0.808336079120636
