time/fps,train/std,train/explained_variance,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/loss,train/learning_rate,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss
954,0.9922732710838318,0.0,-8.468565925955772,370,0.0016603877,0.00010986328125,2792539824.1,-264468.80239324004,89.23,0.2,1461956608.0,0.0003,324,310000,-0.0015033645975563558
943,0.992020308971405,0.0,-8.46728008762002,390,0.00059330266,0.0,2751728859.5,-275389.49007889,90.86,0.2,1185458816.0,0.0003,339,320000,-0.0007448685417330125
946,0.9917359352111816,0.0,-8.464361698180436,400,0.00092585525,0.0,2883166417.9,-308128.43483874,96.58,0.2,1414856192.0,0.0003,348,330000,-0.000931070694423397
949,0.9915197491645813,-2.384185791015625e-07,-8.462908827513456,410,0.0030325493,0.00213623046875,2667332276.7,-278648.66518245003,91.29,0.2,1271394432.0,0.0003,358,340000,-0.002559809775266331
951,0.9916074872016907,5.960464477539063e-08,-8.462407033890486,420,0.0007917925,1.220703125e-05,2693329443.5,-262878.34135535994,88.28,0.2,1513922944.0,0.0003,367,350000,-0.0008347794696419442
954,0.9915849566459656,0.0,-8.462636469304561,430,0.0004272753,0.0,2735605500.2,-281235.50128565,94.2,0.2,1390358528.0,0.0003,377,360000,-0.0004013665531601873
944,0.99139404296875,0.0,-8.46106480807066,450,0.00023684566,0.0,2701989792.6,-258289.72152534,85.95,0.2,1245973504.0,0.0003,391,370000,-0.000378257464399212
947,0.9914813041687012,0.0,-8.461483612656593,460,0.0012825711,4.8828125e-05,2605359986.4,-270726.43009800004,94.23,0.2,1208359296.0,0.0003,401,380000,-0.0010968852111545857
949,0.9908509254455566,0.0,-8.460060772299766,470,0.0029566844,0.00203857421875,2495420103.7,-243283.50941179998,83.36,0.2,965539264.0,0.0003,410,390000,-0.002298169379173487
951,0.9908627867698669,0.0,-8.458128996938466,480,0.0009735081,1.220703125e-05,2707979296.9,-303091.58405187,107.13,0.2,1458965376.0,0.0003,420,400000,-0.0009516142825304996
943,0.9914121627807617,5.960464477539063e-08,-8.462759640812873,500,0.00060949044,0.0,2476539210.3,-261572.54432897997,91.02,0.2,1150909568.0,0.0003,434,410000,-0.0006374504619998334
945,0.990851104259491,5.960464477539063e-08,-8.45966539606452,510,0.00040464167,0.0,2732858636.9,-266797.05600361,87.9,0.2,1386725248.0,0.0003,444,420000,-0.0005822618517413502
947,0.9903907775878906,5.960464477539063e-08,-8.456579853594302,520,0.0004878312,0.0,2783770878.9,-260262.74656725,84.93,0.2,1217188352.0,0.0003,453,430000,-0.0005173821668904566
948,0.9899111390113831,0.0,-8.45364548638463,530,0.0004475488,0.0,2546759483.5,-226447.47185606003,80.7,0.2,1214901376.0,0.0003,463,440000,-0.0005107730268719024
950,0.9893255829811096,5.960464477539063e-08,-8.450568442046642,540,0.0011651409,1.220703125e-05,2522866224.0,-277392.93240938,100.93,0.2,1109472384.0,0.0003,473,450000,-0.000912253980186506
942,0.9886781573295593,0.0,-8.445037961751222,560,0.001907142,0.000244140625,2468757053.4,-259833.57560027,91.93,0.2,1549568768.0,0.0003,487,460000,-0.001311900682230771
944,0.9886389374732971,0.0,-8.444592341035605,570,0.001208018,7.32421875e-05,2481491549.8,-287359.39431691,97.57,0.2,1152319872.0,0.0003,497,470000,-0.001112240347538318
947,0.9892448782920837,0.0,-8.446211072057485,580,0.00092704897,0.0,2662700664.9,-252643.75217893996,82.88,0.2,1156540160.0,0.0003,506,480000,-0.0008656691958094598
948,0.9892262816429138,0.0,-8.448037902265787,590,0.00050141924,0.0,2617571643.5,-264472.85940834996,93.4,0.2,1210280832.0,0.0003,516,490000,-0.0005771952774921374
941,0.988021194934845,-1.1920928955078125e-07,-8.443648718297482,610,0.0008458814,0.0,2602126355.7,-215557.41124080002,73.39,0.2,1266386688.0,0.0003,531,500000,-0.0008555114567570854
943,0.987625777721405,0.0,-8.439500261843204,620,0.0016529018,0.00028076171875,2548835604.9,-259942.4699645,95.43,0.2,1188836864.0,0.0003,540,510000,-0.0014161372633680002
944,0.9867348670959473,-1.1920928955078125e-07,-8.435511022806168,630,0.0020494596,0.00052490234375,2749551746.0,-210873.58738167002,70.39,0.2,1347958912.0,0.0003,550,520000,-0.0016103564237710088
946,0.9858848452568054,0.0,-8.430199225246906,640,0.0013113528,1.220703125e-05,2464284321.8,-240239.45685055997,81.23,0.2,1294115968.0,0.0003,560,530000,-0.000986092629864288
947,0.9856371283531189,-1.1920928955078125e-07,-8.426798694580793,650,0.001437547,7.32421875e-05,2634154467.4,-258372.49432141002,87.55,0.2,1415173760.0,0.0003,569,540000,-0.0011989479849944472
940,0.9851070046424866,5.960464477539063e-08,-8.423250953108072,670,0.0003904362,0.0,2410560946.7,-223420.33649658,82.71,0.2,1453815296.0,0.0003,584,550000,-0.0004044867711854749
942,0.9852848649024963,-1.1920928955078125e-07,-8.423020678758622,680,0.0016931628,0.000244140625,2381197044.0,-237510.28255957,90.8,0.2,1081174016.0,0.0003,594,560000,-0.001151888304957538
944,0.9852561950683594,5.960464477539063e-08,-8.423384407907724,690,0.0006960982,0.0,2430236473.5,-228916.57857470997,79.35,0.2,1006130880.0,0.0003,603,570000,-0.000635209440770268
945,0.9847438931465149,5.960464477539063e-08,-8.421618012338877,700,0.0009289371,0.0,2443517385.0,-231935.73495118003,80.37,0.2,1073613568.0,0.0003,613,580000,-0.0008713591212654137
939,0.9842233657836914,0.0,-8.416722624748946,720,0.0013957496,8.544921875e-05,2254661464.2,-211791.02316755,81.33,0.2,991372800.0,0.0003,628,590000,-0.0009493545137956971
940,0.9839339256286621,0.0,-8.415917370468378,730,0.00058716757,0.0,2299852170.4,-200375.26643064004,75.85,0.2,1213166464.0,0.0003,637,600000,-0.0005841325525580033
941,0.9837834239006042,0.0,-8.414572767168284,740,0.0022601518,0.0006103515625,2417640962.9,-215543.76810472002,82.21,0.2,1119359488.0,0.0003,647,610000,-0.001587908499641344
943,0.9832711815834045,0.0,-8.412591791152954,750,0.0013030644,2.44140625e-05,2285492119.0,-222817.81016088996,79.3,0.2,1185772032.0,0.0003,657,620000,-0.0009594706725692959
944,0.983048141002655,-1.1920928955078125e-07,-8.410401172190905,760,0.0031215735,0.00322265625,2580157821.7,-200215.64316964,73.79,0.2,1098773248.0,0.0003,666,630000,-0.0017081036894524004
938,0.9831225275993347,0.0,-8.409419971704484,780,0.0017814517,0.000341796875,2537587599.4,-206812.46530463002,72.97,0.2,1210629376.0,0.0003,681,640000,-0.0013204441964262514
