time/fps,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/critic_loss
122,197474,4.474045276641846,0.0064,3.0,6451,189821.6875,-0.7772655487060547,-118195.77782260002,147609,790000,286.24822998046875
122,199974,3.4315528869628906,0.0064,3.0,6539,180712.5625,-1.0019301176071167,-118291.20968573,149508,800000,475.71868896484375
122,202474,4.0357794761657715,0.0064,3.0,6626,199902.453125,0.19278167188167572,-118268.64718570003,151615,810000,437.0472106933594
122,204974,6.215874195098877,0.0064,23.13,6713,217561.0,0.5467467904090881,-920402.5905345603,153640,820000,448.0555419921875
122,207474,12.183272361755371,0.0064,13.37,6799,221080.265625,-2.3466908931732178,-507022.3434695199,155638,830000,1235.5732421875
121,209974,17.678598403930664,0.0064,3.0,6885,264395.5625,-2.716773509979248,-118012.91954203002,157957,840000,1202.329345703125
121,212474,13.414076805114746,0.0064,3.0,6972,238549.109375,1.5465967655181885,-118101.97154729001,160957,850000,1637.8121337890625
121,214974,7.469691753387451,0.0064,3.0,7059,251286.8125,-2.4804348945617676,-118023.30197392998,163959,860000,2629.79248046875
121,217474,4.219217777252197,0.0064,3.0,7146,234701.640625,-0.32815515995025635,-118784.26351654997,165778,870000,1666.0106201171875
121,219974,13.458133697509766,0.0064,3.0,7232,277292.71875,-3.851736307144165,-118042.63132324001,167634,880000,1650.5093994140625
121,222474,12.053868293762207,0.0064,3.0,7319,222436.9375,0.2863999307155609,-118105.87089048997,170633,890000,1131.80126953125
121,224974,5.021693706512451,0.0064,3.14,7406,242300.453125,-0.5963132381439209,-122195.49648363999,172170,900000,1029.8516845703125
121,227474,32.61473846435547,0.0064,3.0,7492,253509.59375,7.673521041870117,-118182.27624118,174062,910000,1354.962158203125
121,229974,35.132240295410156,0.0064,3.34,7579,272336.0,-3.8850817680358887,-126722.45130607,176658,920000,2024.0673828125
121,232474,51.33101272583008,0.0064,3.0,7667,237612.515625,-8.236785888671875,-118097.83266766001,179861,930000,1836.120849609375
121,234974,42.81721878051758,0.0064,3.0,7754,220221.078125,-2.5587708950042725,-118074.23492893003,182856,940000,2214.1865234375
121,237474,42.40568923950195,0.0064,3.0,7841,205667.625,-4.879493236541748,-118132.86019944999,185856,950000,1622.8692626953125
121,239974,40.46622085571289,0.0064,3.0,7929,174709.140625,-3.6312294006347656,-118123.87714912997,188854,960000,1489.533203125
120,242474,30.836477279663086,0.0064,3.0,8016,174455.625,0.8227846622467041,-118006.13133617998,191304,970000,1039.6641845703125
120,244974,8.433874130249023,0.0064,3.0,8104,159550.609375,0.5618771910667419,-118171.22711686997,194521,980000,511.2031555175781
120,247474,6.280858516693115,0.0064,3.0,8191,148631.75,-0.7850338816642761,-118159.40481187997,197855,990000,344.4220275878906
120,249974,6.392695903778076,0.0064,22.94,8274,171589.890625,-0.1749415397644043,-917713.9354068899,199999,1000000,428.5011291503906
