train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/critic_loss,train/actor_loss
0.0055,-27.24941635131836,18.28,3829,462.4266662597656,630000,-315513.20384452003,157474,164,40557,289628512.0,-35581.99609375
0.0055,26.038368225097656,13.79,3894,153.95240783691406,640000,-5602.84220442,159974,164,41001,30205610.0,12359.865234375
0.0055,4.568331718444824,13.0,3959,70.82941436767578,650000,2400.0,162474,164,41755,24243900.0,7548.65771484375
0.0055,1.85044527053833,14.13,4020,70.80979919433594,660000,-12854.08013302,164974,164,42456,123607904.0,1447.554931640625
0.0055,0.9969574213027954,13.13,4081,55.22324752807617,670000,-13390.403179119998,167474,164,43214,50254728.0,-21135.896484375
0.0055,13.859628677368164,12.69,4140,124.39725494384766,680000,-9978.648584999999,169974,164,43774,32205036.0,1956.043701171875
0.0055,4.875061511993408,12.73,4199,82.89303588867188,690000,5134.97883745,172474,164,44560,16285107.0,-12022.7041015625
0.0055,15.728912353515625,19.08,4263,132.240478515625,700000,-84339.79771387,174974,164,45111,31561818.0,1455.8515625
0.0055,0.21070247888565063,12.25,4320,71.62886810302734,710000,9995.51482055,177474,164,45885,13510650.0,-3474.586181640625
0.0055,-1.9745690822601318,12.0,4379,79.3433837890625,720000,2671.31043465,179974,164,46679,11117692.0,-12649.185546875
0.0055,2.4324193000793457,12.22,4439,67.75653839111328,730000,10300.90565074,182474,164,47425,29071308.0,-8224.1181640625
0.0055,7.250634670257568,12.19,4497,97.91995239257812,740000,10605.24645858,184974,164,48083,21007592.0,-14046.169921875
0.0055,0.9040610194206238,12.06,4556,70.55728912353516,750000,11922.2,187474,164,48909,60656288.0,-22294.00390625
0.0055,7.371999740600586,12.08,4617,109.0567398071289,760000,1569.18112996,189974,164,49537,25558244.0,1514.291015625
0.0055,-132.2967529296875,14.25,4679,105.5239486694336,770000,-21260.8475813,192474,164,50311,51254976.0,-5625.25341796875
0.0055,15.536190032958984,12.82,4742,147.8495635986328,780000,4222.858275709999,194974,164,50779,103440352.0,7474.88671875
0.0055,-9.427496910095215,16.36,4802,127.74824523925781,790000,-71284.44957170001,197474,164,51380,29038632.0,4015.33154296875
0.0055,-0.05582773685455322,12.08,4861,62.560890197753906,800000,11719.6,199974,164,52212,12071642.0,-14762.5419921875
0.0055,-46.63930892944336,12.45,4920,54.271087646484375,810000,4170.557745700001,202474,164,53043,18777054.0,-17602.337890625
0.0055,41.68421173095703,35.66,4980,862.3154296875,820000,-518114.67781096004,204974,164,53547,157595104.0,48399.4296875
0.0055,-16.880582809448242,19.08,5038,505.88836669921875,830000,-105997.58802694001,207474,164,54103,187414528.0,58796.78515625
0.0055,7.446490287780762,12.22,5095,73.98017883300781,840000,10301.32956121,209974,164,54821,23699514.0,-6226.5478515625
0.0055,-0.4532266855239868,12.1,5153,59.71654510498047,850000,11516.82162434,212474,164,55612,43110160.0,-5678.4462890625
0.0055,-126.76203918457031,23.43,5212,1013.9016723632812,860000,-245861.10622722,214974,164,56195,277087424.0,42388.6640625
0.0055,52.45808410644531,22.8,5269,4042.223388671875,870000,-302082.54061775,217474,165,56495,1897349632.0,207449.0625
0.0055,3.393069267272949,13.16,5325,1151.9940185546875,880000,-138261.85815491,219974,165,57103,210981824.0,146334.625
0.0055,5.885866165161133,14.02,5384,647.4410400390625,890000,-8033.57270895,222474,165,57781,128057856.0,100316.2421875
0.0055,1.5961332321166992,13.6,5449,536.3038330078125,900000,-3679.03739328,224974,165,58503,165446832.0,44343.4140625
0.0055,5.894497871398926,13.47,5508,393.87579345703125,910000,-2362.34226816,227474,165,59239,68413008.0,15058.134765625
0.0055,34.94219970703125,43.43,5565,397.5503234863281,920000,-591244.98114631,229974,165,59764,99982000.0,27309.82421875
0.0055,2.9743173122406006,26.74,5623,165.41848754882812,930000,-294775.86193937,232474,165,60283,45301712.0,20297.35546875
0.0055,4.028462886810303,12.2,5681,43.9586067199707,940000,10502.87496019,234974,165,60999,29496332.0,-7992.49462890625
0.0055,-0.8128389716148376,12.19,5742,53.238609313964844,950000,10600.61476242,237474,165,61622,30803302.0,5911.4111328125
0.0055,-153.97528076171875,13.6,5808,165.1494140625,960000,-64208.568306949994,239974,165,62384,179641696.0,2969.517578125
0.0055,8.867704391479492,12.28,5873,79.51453399658203,970000,9693.413896389999,242474,165,63050,22403872.0,-10456.306640625
0.0055,-0.5313214063644409,12.1,5938,52.7193717956543,980000,11517.0,244974,165,63769,14957294.0,-18225.09375
0.0055,2.7843973636627197,12.01,6002,38.13282012939453,990000,12423.27346554,247474,164,64599,9271279.0,-17315.33203125
0.0055,-1.6103827953338623,27.79,6065,252.9403076171875,1000000,-357471.34275510005,249974,164,65286,72364664.0,812.6641845703125
