train/actor_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/ent_coef
-75587.875,190000,12.29,188,0.0055,47474,-6.387355804443359,10441,133525.29601646,15873218.0,1006,81.93981170654297
-76633.671875,200000,13.41,188,0.0055,49974,-1.4210240840911865,11212,133185.41586148,9661864.0,1059,62.1082649230957
-64096.3359375,210000,15.18,188,0.0055,52474,3.1943023204803467,11903,130959.16116868,16255170.0,1112,67.85314178466797
-78054.75,220000,16.45,188,0.0055,54974,-18.346332550048828,12614,132284.01061499,10751587.0,1165,98.82709503173828
-87243.28125,230000,11.45,188,0.0055,57474,-0.7036616802215576,13453,133647.09322336002,4510451.0,1218,42.61332321166992
-88282.375,240000,11.03,188,0.0055,59974,0.2969930171966553,14240,133661.89946983,1336447.5,1271,35.272621154785156
-56935.1875,250000,15.6,188,0.0055,62474,18.435056686401367,14826,128459.75195791,31083922.0,1324,186.1245574951172
-84698.125,260000,12.08,188,0.0055,64974,0.9242724180221558,15641,133529.22661074,10394496.0,1377,60.12708282470703
-76693.078125,270000,11.22,188,0.0055,67474,7.530202865600586,16420,133662.11257544003,10376945.0,1430,59.36064910888672
-79761.9921875,280000,11.06,188,0.0055,69974,2.95399808883667,17315,133668.19427329,8933198.0,1483,38.72323989868164
-64280.9765625,290000,31.82,188,0.0055,72474,18.692996978759766,17844,23172.42533963999,9508870.0,1536,92.53058624267578
-75420.5625,300000,11.65,188,0.0055,74974,-6.851931571960449,18583,131831.47153276,8432037.0,1589,65.46107482910156
-70855.2734375,310000,32.73,188,0.0055,77474,-2.359973430633545,19148,123974.75580438999,12347716.0,1642,78.09737396240234
-83636.7265625,320000,11.17,188,0.0055,79974,2.4630792140960693,20003,133664.78986467,15885773.0,1696,54.976932525634766
-87952.4140625,330000,12.39,188,0.0055,82474,6.109379768371582,20799,133419.56874147002,11898517.0,1749,68.4835433959961
-14117.099609375,340000,23.35,188,0.0055,84974,-5.915778636932373,21444,-17640.084167029996,35240648.0,1802,398.767333984375
-54935.20703125,350000,24.58,188,0.0055,87474,17.078927993774414,21979,32467.37825851999,18798568.0,1856,192.53330993652344
-62231.71484375,360000,12.39,188,0.0055,89974,15.623573303222656,22562,133522.48776076,8767898.0,1909,115.37532043457031
-74878.203125,370000,11.34,188,0.0055,92474,-21.054410934448242,23364,133655.29953679998,6838492.0,1962,78.16659545898438
-48778.48828125,380000,24.27,188,0.0055,94974,5.836244583129883,24088,79870.47114770999,37893528.0,2015,464.74639892578125
-72214.9140625,390000,12.59,188,0.0055,97474,2.1179399490356445,24502,133405.15322523,23292634.0,2068,108.37649536132812
-75913.625,400000,11.3,188,0.0055,99974,5.38492488861084,25322,133150.19955248,6117516.0,2122,53.318382263183594
-77215.0234375,410000,11.05,187,0.0055,102474,1.1671388149261475,26213,133564.89951888,3613623.5,2181,46.4384651184082
-83281.703125,420000,11.0,187,0.0055,104974,3.275332450866699,27092,133669.99964081,4232847.5,2241,39.299102783203125
-82396.9765625,430000,15.72,186,0.0055,107474,16.72713279724121,27643,128658.93559782999,8279757.0,2301,124.52177429199219
-79242.046875,440000,11.16,186,0.0055,109974,3.0047550201416016,28437,133665.07366247,7011022.0,2361,52.092281341552734
-79235.0,450000,11.77,185,0.0055,112474,3.2290968894958496,29196,133543.48495046998,23291458.0,2420,73.85730743408203
-64808.625,460000,16.67,185,0.0055,114974,-66.04517364501953,29928,83173.92946105,33021224.0,2480,113.42703247070312
-68722.0625,470000,11.87,185,0.0055,117474,16.842763900756836,30414,133238.09534996,10428596.0,2539,112.91302490234375
-80543.5625,480000,11.44,184,0.0055,119974,-0.20387309789657593,31283,133553.85035971002,5046706.0,2599,55.6945686340332
