train/ent_coef,rollout/ep_len_mean,train/n_updates,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate
36.4552001953125,5.71,42474,103889.5625,182,-13.766006469726562,930,8522284.0,170000,-150696.05120705,34249,0.0055
18.881593704223633,4.0,44974,109426.6953125,182,-2.1206274032592773,985,3420446.75,180000,-124789.34222247999,36560,0.0055
17.059497833251953,4.0,47474,104968.359375,182,-0.4940045475959778,1040,2148678.75,190000,-124642.69981322001,39054,0.0055
18.537364959716797,4.0,49974,106281.515625,182,-8.003887176513672,1095,9461450.0,200000,-124871.41223741003,41503,0.0055
63.646854400634766,5.51,52474,130537.1796875,182,-70.09519958496094,1150,80591904.0,210000,-158543.31207225,43133,0.0055
30.601552963256836,4.0,54974,115656.421875,182,5.013189315795898,1205,5051837.5,220000,-124845.95247195,44954,0.0055
36.2789192199707,4.0,57474,116162.9921875,182,4.622790336608887,1260,225347360.0,230000,-125002.95631611999,47187,0.0055
22.116315841674805,4.0,59974,106129.796875,182,-4.004770755767822,1315,3190171.75,240000,-124741.45293108001,49653,0.0055
13.190468788146973,4.0,62474,107302.421875,182,0.13317078351974487,1370,3326453.0,250000,-125101.05743058,51609,0.0055
13.805716514587402,4.01,64974,106650.09375,182,0.133628249168396,1425,13653849.0,260000,-125807.92504318003,53768,0.0055
28.760379791259766,8.16,67474,109199.4453125,182,3.2506561279296875,1480,3858387.0,270000,-185511.88140363002,55764,0.0055
16.430875778198242,4.01,69974,108129.2890625,182,0.35631102323532104,1535,3174901.0,280000,-124609.27303199,58264,0.0055
24.56813621520996,5.58,72474,116676.34375,182,7.867796897888184,1590,8183444.0,290000,-140838.90545921,60537,0.0055
49.07413864135742,4.0,74974,107298.8984375,182,9.55795669555664,1645,24863668.0,300000,-125586.20342637,62297,0.0055
133.75604248046875,4.33,77474,111979.8828125,182,15.481208801269531,1700,15169960.0,310000,-129453.83382667,64368,0.0055
24.50668716430664,4.0,79974,109572.34375,182,4.585348606109619,1755,9669535.0,320000,-124981.92496168001,66298,0.0055
11.579279899597168,4.0,82474,104433.75,182,-0.7148185968399048,1810,3885528.75,330000,-124922.88272449,68795,0.0055
30.767444610595703,4.97,84974,97631.859375,182,-101.85153198242188,1865,47885944.0,340000,-139571.35380238,71208,0.0055
31.019367218017578,5.58,87474,114594.265625,182,-4.173908233642578,1920,6852729.0,350000,-140700.62209675,72443,0.0055
34.61972427368164,4.41,89974,113624.703125,182,6.634405136108398,1974,6533021.0,360000,-128772.52445703,74869,0.0055
44.19904327392578,4.03,92474,110648.234375,182,4.830102920532227,2029,9648822.0,370000,-125492.36720637,77174,0.0055
25.349294662475586,4.38,94974,106790.359375,182,-131.21533203125,2083,12143408.0,380000,-130276.11867591001,79558,0.0055
309.9934997558594,4.0,97474,178112.59375,182,0.12594234943389893,2136,69483216.0,390000,-125865.32274890001,80489,0.0055
98.23577117919922,4.07,99974,145274.59375,182,10.815253257751465,2189,18626664.0,400000,-126412.82198943,82144,0.0055
22.630983352661133,4.0,102474,128967.859375,182,-1.7643179893493652,2249,4909020.0,410000,-125201.26711249999,84560,0.0055
23.685224533081055,4.0,104974,113072.671875,181,0.5249956250190735,2308,6094288.0,420000,-125030.19279256002,87055,0.0055
12.66249942779541,4.0,107474,103658.796875,181,-1.325621485710144,2368,19949080.0,430000,-124637.85768348,89545,0.0055
73.82424926757812,26.37,109974,121125.46875,181,33.69720458984375,2427,61862016.0,440000,-582377.4879322901,90460,0.0055
25.05866050720215,4.0,112474,116213.203125,180,-2.0477402210235596,2486,14354183.0,450000,-124720.95067405001,92238,0.0055
22.695737838745117,4.0,114974,118594.2578125,180,0.16242167353630066,2545,4976761.0,460000,-124885.25279464001,94396,0.0055
19.52985191345215,4.0,117474,111817.578125,180,-0.6211315393447876,2604,4716407.5,470000,-124586.6578296,96883,0.0055
31.905967712402344,4.0,119974,107691.984375,180,14.99884033203125,2663,7108224.5,480000,-124933.74073353,99152,0.0055
210.199951171875,4.54,122474,131987.390625,179,23.240161895751953,2722,40547440.0,490000,-131118.2746944,101073,0.0055
72.7256088256836,8.32,124974,131054.3984375,179,-29.192142486572266,2781,24096036.0,500000,-201556.10511036997,102677,0.0055
74.17060852050781,4.0,127474,114525.765625,179,5.112360000610352,2840,5871933.0,510000,-126329.24368463997,105029,0.0055
