train/learning_rate,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,time/episodes,train/n_updates
0.0064,3587,-159.18368530273438,25487.144216970002,-0.017058812081813812,0.9875760078430176,297.08,580000,161,359.6786804199219,1410,144974
0.0064,3653,-293.4722900390625,10567.222575959997,-0.11345036327838898,1.2404454946517944,369.69,590000,161,337.5105285644531,1432,147474
0.0064,3720,189.93798828125,24556.628548139994,0.08665449917316437,0.8321245908737183,381.25,600000,161,136.93885803222656,1451,149974
0.0064,3788,91.9759521484375,45790.8104634,-0.39860427379608154,0.862766683101654,360.94,610000,161,111.0723648071289,1475,152474
0.0064,3855,-3173.82421875,17731.66200076,3.1795878410339355,26.259674072265625,344.53,620000,160,1615.7249755859375,1520,154974
0.0064,3921,-969.0098876953125,4053.8391993700025,-0.3388531506061554,6.128535747528076,384.0,630000,160,1245.074462890625,1529,157474
0.0064,3987,-262.34930419921875,-3668.2767098399986,-0.5714117288589478,3.1393773555755615,451.12,640000,160,595.8748779296875,1541,159974
0.0064,4054,-68.08854675292969,-31885.646457839994,-0.799785315990448,2.846402883529663,490.33,650000,160,272.5083923339844,1554,162474
0.0064,4121,-55.12493896484375,-32534.037834929997,1.6886374950408936,3.1933557987213135,521.66,660000,160,234.13519287109375,1566,164974
0.0064,4189,-48.02488708496094,-38911.03211191,-0.6025032997131348,1.4312870502471924,583.98,670000,159,365.4471740722656,1578,167474
0.0064,4256,-207.55606079101562,23273.117514239995,-0.4406203627586365,2.0262093544006348,540.83,680000,159,392.2218933105469,1625,169974
0.0064,4322,-114.94881439208984,66227.0888211,0.6226115226745605,2.384502649307251,329.12,690000,159,179.24636840820312,1663,172474
0.0064,4389,-19.56734848022461,65134.96671442,-1.7802757024765015,2.8762521743774414,253.46,700000,159,136.90614318847656,1690,174974
0.0064,4456,243.3861541748047,64197.77377587999,0.12257108092308044,1.1117987632751465,288.57,710000,159,149.20713806152344,1727,177474
0.0064,4523,77.00547790527344,38589.20795527,0.00529667641967535,0.9858438372612,360.64,720000,159,315.1718444824219,1742,179974
0.0064,4590,-315.25048828125,27060.02292103,0.40094882249832153,2.1126396656036377,358.4,730000,159,514.0054321289062,1777,182474
0.0064,4660,-203.3785400390625,29372.472403159998,0.39766013622283936,1.3543614149093628,393.6,740000,158,302.11077880859375,1794,184974
0.0064,4726,236.77442932128906,27016.54822548,-0.08149642497301102,0.8688047528266907,438.97,750000,158,292.5384216308594,1816,187474
0.0064,4791,169.0946502685547,46008.70109031,0.4537283778190613,1.3152168989181519,375.38,760000,158,120.3216323852539,1844,189974
0.0064,4857,323.3349914550781,43399.29879185001,0.03210322558879852,1.0300884246826172,419.78,770000,158,346.2399597167969,1870,192474
0.0064,4924,352.138427734375,39269.779041990005,-0.05576179176568985,0.8771355748176575,429.85,780000,158,110.1097412109375,1888,194974
0.0064,4991,-17.96164321899414,42957.411191290004,-0.003045723307877779,1.0041123628616333,417.61,790000,158,79.17389678955078,1909,197474
0.0064,5059,-333.27178955078125,35939.00991405,0.06286496669054031,0.82103031873703,427.87,800000,158,83.50487518310547,1934,199974
0.0064,5125,139.11288452148438,58401.08311883001,0.16647279262542725,1.1069632768630981,356.68,810000,158,500.6481628417969,1974,202474
0.0064,5192,144.47149658203125,68898.89596997999,-0.6429214477539062,0.6974371671676636,233.2,820000,157,276.4745788574219,2020,204974
0.0064,5259,-109.61627960205078,83369.39433746,0.5602195262908936,0.656336784362793,230.46,830000,157,313.362060546875,2064,207474
0.0064,5327,78.05818176269531,98910.25667072,0.0016030794940888882,1.0054981708526611,222.96,840000,157,82.26919555664062,2109,209974
0.0064,5397,-635.6498413085938,107614.14515360998,0.028511276468634605,0.8858229517936707,181.67,850000,157,92.09077453613281,2173,212474
0.0064,5464,-947.66064453125,84685.47579167,0.12668734788894653,1.3542426824569702,136.75,860000,157,145.1274871826172,2248,214974
0.0064,5531,-852.9000854492188,111885.27755731,-0.4629531800746918,1.237725019454956,92.08,870000,157,493.3420104980469,2354,217474
