train/policy_gradient_loss,time/fps,train/learning_rate,train/value_loss,train/loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,time/time_elapsed,train/explained_variance,train/n_updates,train/std,train/approx_kl,train/clip_range
-0.00087834939804452,988,0.0003,3277168301.8,1693688832.0,-243341.63914870995,350000,70.1,0.0,-8.481012087315321,354,0.0,420,0.9945273995399475,0.00084935,0.2
-0.0010968629076160141,990,0.0003,3356390146.8,1824029952.0,-210583.47341658,360000,58.43,4.8828125e-05,-8.479067195951938,363,5.960464477539063e-08,430,0.9940760135650635,0.0011746571,0.2
-0.0006863941620395053,980,0.0003,3059848723.6,1657501312.0,-230428.85545956998,370000,69.79,0.0,-8.481511284410953,377,-1.1920928955078125e-07,450,0.9948276877403259,0.00080120674,0.2
-0.00039587622577528234,983,0.0003,3418291099.0,1647799424.0,-243477.94045661998,380000,67.45,0.0,-8.481357506662608,386,5.960464477539063e-08,460,0.9945266842842102,0.00019372226,0.2
-0.0007571639793241047,985,0.0003,3192329747.0,1421734656.0,-244795.25962043996,390000,69.34,0.0,-8.480487628281116,395,0.0,470,0.9945853352546692,0.0007679105,0.2
-0.000890935320603603,987,0.0003,3411092441.4,1654504320.0,-234612.55155873994,400000,67.04,1.220703125e-05,-8.480718512833118,404,5.960464477539063e-08,480,0.9945737719535828,0.00086986064,0.2
-0.001524324302590685,978,0.0003,2992893629.0,1539053184.0,-225490.11076289002,410000,68.85,0.0002197265625,-8.477432434260844,418,0.0,500,0.993522584438324,0.0020086463,0.2
-0.0013948121266366797,980,0.0003,3192007970.2,1305052160.0,-238575.62147411003,420000,70.45,0.000146484375,-8.472459691017866,428,0.0,510,0.9929377436637878,0.0017422793,0.2
-0.0007231328391753778,983,0.0003,3165710503.3,1551539584.0,-214047.18501850002,430000,66.1,0.0,-8.470198511332274,437,0.0,520,0.992784321308136,0.000811219,0.2
-0.000977989714283467,985,0.0003,3228511103.8,1681836416.0,-228285.33387589004,440000,68.09,1.220703125e-05,-8.469253588467836,446,0.0,530,0.992612898349762,0.0013293856,0.2
-0.0008443804415946942,987,0.0003,3259747762.2,1629656320.0,-205481.46053598996,450000,59.24,0.0,-8.467947552353143,455,-1.1920928955078125e-07,540,0.9923654198646545,0.0011295725,0.2
-0.0006047080751159228,978,0.0003,3001288601.5,1684026752.0,-211788.48549738002,460000,63.04,0.0,-8.465008725225925,469,0.0,560,0.9922913908958435,0.0005850956,0.2
-0.0016809881872177357,980,0.0003,3082011952.2,1624307840.0,-211931.66737193,470000,63.96,0.0003173828125,-8.465746465325356,479,0.0,570,0.9919775128364563,0.002100322,0.2
-0.001744612361471809,982,0.0003,3225392828.8,2005732096.0,-212294.53335580998,480000,61.61,0.00059814453125,-8.465480096638203,488,-1.1920928955078125e-07,580,0.9921979904174805,0.0020840708,0.2
-0.0007601922952744644,984,0.0003,3111142213.0,1632710016.0,-223237.49941832,490000,63.22,0.0,-8.46493516638875,497,0.0,590,0.9917919039726257,0.0007369576,0.2
-0.0004074944015883375,977,0.0003,3073339516.8,1517601280.0,-217776.91459728003,500000,63.88,0.0,-8.459169186651707,511,0.0,610,0.9906272292137146,0.0002908046,0.2
-0.0012693218128333682,978,0.0003,2998660405.3,1425047168.0,-200902.22825224002,510000,64.51,7.32421875e-05,-8.45470159649849,520,0.0,620,0.990016520023346,0.0015195371,0.2
-0.0011822942462458741,980,0.0003,3226755380.4,1794415616.0,-225058.10461518998,520000,68.45,1.220703125e-05,-8.45129740536213,530,0.0,630,0.9895065426826477,0.001382849,0.2
-0.0010336180261219853,982,0.0003,3227448830.8,1732971520.0,-229956.17065672,530000,65.9,2.44140625e-05,-8.449356483668089,539,0.0,640,0.9893838763237,0.001111577,0.2
-0.0007787883001583396,984,0.0003,3260263275.2,1953696000.0,-223855.04598524005,540000,64.68,0.0,-8.448586802184582,548,0.0,650,0.9892486929893494,0.0009101711,0.2
-0.0010594319611300306,977,0.0003,2901246214.3,1508931328.0,-208742.93641006,550000,69.54,2.44140625e-05,-8.447351320832968,562,0.0,670,0.989206850528717,0.0012832867,0.2
-0.0007825342649994127,978,0.0003,3049346461.0,1605541888.0,-213658.63788362,560000,67.93,0.0,-8.44825242459774,572,0.0,680,0.9893467426300049,0.0008721807,0.2
-0.0005004146527426201,980,0.0003,2959081750.5,1422385792.0,-230955.91473495,570000,69.39,0.0,-8.44852294921875,581,5.960464477539063e-08,690,0.9893375039100647,0.0005866089,0.2
-0.0010575241961305437,982,0.0003,3054826258.1,1439593472.0,-250397.77437402005,580000,72.38,6.103515625e-05,-8.447717231512069,590,-1.1920928955078125e-07,700,0.9890880584716797,0.0015165047,0.2
-0.0017944703444300104,975,0.0003,2756601151.3,1328010496.0,-209591.31420659996,590000,68.99,0.0008056640625,-8.445434428006411,604,-1.1920928955078125e-07,720,0.988926112651825,0.0022884854,0.2
-0.0009907223779009656,977,0.0003,3020398696.3,1319094016.0,-203610.93108819998,600000,60.46,2.44140625e-05,-8.445083616673946,613,-1.1920928955078125e-07,730,0.988673985004425,0.0014441219,0.2
-0.0011108244392744383,978,0.0003,3066283837.5,1393883520.0,-210782.23711355997,610000,65.02,0.0,-8.442647501826286,623,-1.1920928955078125e-07,740,0.9881222248077393,0.0013650793,0.2
-0.00031990800835046684,980,0.0003,3093897833.3,1495383680.0,-197002.43051073005,620000,62.85,0.0,-8.440252955257893,632,5.960464477539063e-08,750,0.9878756403923035,0.0002498239,0.2
-0.0013944503058155532,981,0.0003,2943987902.4,1642755584.0,-194223.68631509997,630000,61.04,0.00035400390625,-8.437580832093953,641,0.0,760,0.9872456192970276,0.0020395084,0.2
-0.0014609149102398078,975,0.0003,2999336333.4,1173586432.0,-175634.53512761,640000,55.96,0.00113525390625,-8.432053447514772,655,1.1920928955078125e-07,780,0.986624002456665,0.0024645086,0.2
-0.0004090079128218349,977,0.0003,2946429238.6,1410020352.0,-181173.72772627,650000,54.85,0.0,-8.428807691484689,665,-1.1920928955078125e-07,790,0.9856441020965576,0.00056319823,0.2
-0.0014686490030726418,978,0.0003,3036436157.8,1283286016.0,-193320.02343758,660000,61.52,0.00081787109375,-8.424794287234544,674,0.0,800,0.9853299260139465,0.0023821539,0.2
