train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/episodes,time/total_timesteps,train/ent_coef_loss,time/fps,train/ent_coef
0.0055,11226339.0,21.89,-60987.125,133556.72379126,132474,1891,16518,530000,-0.5319625735282898,280,46.789955139160156
0.0055,4322291.0,22.1,-63429.21875,130628.18320151999,134974,1929,16942,540000,0.4133799970149994,279,42.61051940917969
0.0055,5242573.5,99.94,-44383.4375,-145053.63105912,137474,1967,17023,550000,19.306129455566406,279,142.45123291015625
0.0055,3723702.0,23.38,-53893.4921875,132521.09704472,139974,2006,17433,560000,2.2624292373657227,279,53.489990234375
0.0055,15131733.0,64.89,-39333.25,-36398.48577654,142474,2044,17685,570000,4.593574523925781,278,63.20562744140625
0.0055,3712149.5,21.86,-46726.99609375,126736.22918791,144974,2083,18087,580000,-0.09915919601917267,278,50.12989044189453
0.0055,5891015.5,23.91,-52933.19140625,133414.6,147474,2122,18434,590000,5.652135372161865,278,73.4106216430664
0.0055,4004863.0,22.55,-59949.3359375,133241.8,149974,2160,18885,600000,2.801621675491333,277,47.25585174560547
0.0055,4180496.0,41.59,-61496.3984375,127220.46303781,152474,2199,19225,610000,-0.3393758535385132,277,49.65773010253906
0.0055,3829616.0,22.46,-58379.4921875,132944.38900723,154974,2238,19574,620000,0.81634521484375,277,43.423492431640625
0.0055,71026264.0,21.71,-50575.58984375,133561.87842296998,157474,2276,19958,630000,-13.543192863464355,276,75.3510513305664
0.0055,4870923.5,23.47,-49092.3671875,133527.80743303002,159974,2315,20196,640000,3.3193812370300293,276,60.3966178894043
0.0055,22014904.0,21.76,-50367.78125,133362.67463355002,162474,2353,20631,650000,1.682727575302124,276,53.72081756591797
0.0055,46825024.0,22.1,-7766.0068359375,133557.74149731,164974,2392,20926,660000,-126.83414459228516,275,299.6430358886719
0.0055,115164912.0,114.51,67674.7578125,-303025.17527339,167474,2429,20969,670000,21.770240783691406,275,1724.9713134765625
0.0055,44942084.0,145.69,34640.56640625,-110882.00202997998,169974,2467,21047,680000,43.93892288208008,275,714.9810791015625
0.0055,14446801.0,25.09,-19572.91796875,129753.80421134,172474,2505,21268,690000,-0.3797118067741394,275,66.33747863769531
0.0055,14674594.0,24.16,-18826.16796875,133510.39794311,174974,2543,21670,700000,0.5439896583557129,275,48.79207992553711
0.0055,8355326.0,22.32,-52707.234375,132434.45179835,177474,2582,22096,710000,-2.3511953353881836,274,45.252220153808594
0.0055,13252499.0,80.7,-19645.703125,71395.20422341001,179974,2619,22219,720000,5.7363128662109375,274,458.7433776855469
0.0055,30023492.0,171.42,2652.17529296875,-232232.9432911,182474,2658,22289,730000,27.439228057861328,274,215.2409210205078
0.0055,24350860.0,23.09,-35672.875,133437.20555424,184974,2696,22626,740000,0.3299705982208252,274,55.12482452392578
0.0055,95228912.0,23.3,-38296.171875,131507.73031327,187474,2735,23059,750000,1.2196383476257324,274,52.11005783081055
0.0055,16289021.0,37.69,-41986.2578125,88906.35236981999,189974,2773,23434,760000,13.710087776184082,273,156.1754608154297
0.0055,1785559296.0,76.79,117393.5625,-146541.41159239,192474,2812,23604,770000,-95.83361053466797,273,4161.54638671875
0.0055,953518522368.0,163.84,1776509.875,-664517.99238121,194974,2850,23653,780000,49.63731384277344,273,222656.171875
0.0055,16780396544.0,240.47,1151407.75,-1107760.00502116,197474,2888,23690,790000,77.44648742675781,273,10031.93359375
0.0055,5737333760.0,269.55,965825.125,-1342861.96815499,199974,2925,23723,800000,37.673561096191406,273,314.1585998535156
0.0055,2135963392.0,115.97,604313.625,-774854.9829231899,202474,2964,23815,810000,13.709793090820312,273,10.602640151977539
0.0055,588435328.0,97.27,301151.9375,-690659.0885030698,204974,3002,23910,820000,-6.453215599060059,273,0.2809202969074249
0.0055,127059320.0,74.73,196263.125,-753512.8853581899,207474,3040,24033,830000,14.138609886169434,272,0.05481255427002907
0.0055,57936968.0,134.17,133725.9375,-1148663.96585686,209974,3078,24043,840000,-45.42195129394531,272,33.01356887817383
0.0055,34326976.0,222.36,127229.484375,-1375355.4390373298,212474,3115,24064,850000,-0.16814696788787842,272,116.63011169433594
0.0055,5044184064.0,295.02,248953.765625,-1773620.7673363704,214974,3153,24099,860000,-58.6002197265625,272,4521.263671875
0.0055,400929984.0,322.2,161382.546875,-2485616.4918335797,217474,3191,24143,870000,63.945716857910156,272,1345.29052734375
0.0055,6277396992.0,285.37,833654.0,-3082641.9085054994,219974,3229,24175,880000,-9.416653633117676,272,8735.9833984375
