train/n_updates,train/policy_objective,train/kl_divergence_loss,train/std,train/learning_rate,time/total_timesteps,time/time_elapsed,train/explained_variance,train/is_line_search_success,rollout/ep_len_mean,time/fps,train/value_loss,rollout/ep_rew_mean
50,0.029763678088784218,0.00914297066628933,0.6876590847969055,0.001,410000,314,-1.1920928955078125e-07,1.0,16.87,1303,5509749210.4,123373.00654613
51,0.03281984105706215,0.009662234224379063,0.6834971904754639,0.001,420000,322,0.0,1.0,16.55,1303,5583040786.4,122866.35173643999
52,0.038603127002716064,0.008226372301578522,0.6817623376846313,0.001,430000,329,5.960464477539063e-08,1.0,14.77,1303,5626836902.4,125761.28442366999
53,0.039882540702819824,0.008808906190097332,0.6761578321456909,0.001,440000,337,0.0,1.0,18.3,1303,5858549356.0,124826.60581693001
54,0.03371559828519821,0.009385311976075172,0.6742717623710632,0.001,450000,345,0.0,1.0,15.16,1303,5405418572.0,123850.08311337
56,0.006160883232951164,0.006460420321673155,0.6698272228240967,0.001,460000,354,0.0,1.0,15.31,1298,5691922244.8,126252.42132688999
57,0.04054044932126999,0.008567878976464272,0.667024552822113,0.001,470000,361,0.0,1.0,15.02,1298,5712385358.4,126776.37350954
58,0.022286681458353996,0.0066441865637898445,0.6653271317481995,0.001,480000,369,0.0,1.0,15.12,1298,5834780696.0,126160.54661966
59,0.035338014364242554,0.009818576276302338,0.6641008853912354,0.001,490000,377,0.0,1.0,15.43,1298,5895461398.4,129071.07234156999
61,0.031572625041007996,0.008546004071831703,0.6564438343048096,0.001,500000,386,0.0,1.0,15.46,1293,5556007552.8,129776.51666679999
62,0.025380410254001617,0.009909238666296005,0.6537132859230042,0.001,510000,394,-2.384185791015625e-07,1.0,15.57,1293,5878954499.2,128851.81949243
63,0.031890518963336945,0.008606385439634323,0.6529561877250671,0.001,520000,401,5.960464477539063e-08,1.0,15.0,1294,5826586754.4,128992.27841558
64,0.04542366787791252,0.008429564535617828,0.6518877744674683,0.001,530000,409,0.0,1.0,15.33,1294,5905899186.4,129980.697192
65,0.02700282260775566,0.008525810204446316,0.6478355526924133,0.001,540000,417,-1.1920928955078125e-07,1.0,20.1,1294,6021342112.0,114076.76128522001
67,0.04009536653757095,0.009538354352116585,0.6450198888778687,0.001,550000,426,-2.384185791015625e-07,1.0,15.11,1289,5884975315.2,128482.53847514
68,0.034727051854133606,0.006387927569448948,0.6441143751144409,0.001,560000,434,0.0,1.0,14.93,1290,5750729238.4,128182.04734376
69,0.03514823690056801,0.009664328768849373,0.6437013149261475,0.001,570000,441,0.0,1.0,14.65,1290,6022656914.4,129700.76971362
70,0.04386892542243004,0.008476966060698032,0.6427241563796997,0.001,580000,449,0.0,1.0,15.33,1290,6032517212.0,129566.3
72,0.030918404459953308,0.007808104157447815,0.6398488283157349,0.001,590000,458,0.0,1.0,14.75,1286,6197025916.0,131109.8
73,0.03420679271221161,0.009322742000222206,0.6378225684165955,0.001,600000,466,5.960464477539063e-08,1.0,14.43,1286,6088282510.4,130212.2
74,0.04382776468992233,0.00924090575426817,0.6360528469085693,0.001,610000,473,1.1920928955078125e-07,1.0,14.41,1287,6187939380.8,132639.61772088
75,0.029646428301930428,0.009370892308652401,0.6342059373855591,0.001,620000,481,-1.1920928955078125e-07,1.0,14.33,1287,6222285045.6,132132.26196695
76,0.024800971150398254,0.006758024916052818,0.6308969855308533,0.001,630000,489,0.0,1.0,14.07,1287,6297761428.0,132233.94726498998
78,0.0376603826880455,0.009760833345353603,0.62998366355896,0.001,640000,498,0.0,1.0,14.23,1284,6291181204.8,131924.25849842
79,0.030263276770710945,0.009624610655009747,0.6260193586349487,0.001,650000,506,0.0,1.0,14.03,1284,6338497622.4,130395.68986248999
80,0.028429914265871048,0.009570397436618805,0.6252359747886658,0.001,660000,513,0.0,1.0,13.92,1284,6431067521.6,132945.40325262
81,0.03602356091141701,0.009738423861563206,0.6255176067352295,0.001,670000,521,-1.1920928955078125e-07,1.0,13.88,1285,6433573056.0,130852.16525633
83,0.025599325075745583,0.009967739693820477,0.6215692758560181,0.001,680000,530,-1.1920928955078125e-07,1.0,13.96,1281,6432729380.8,130685.07255502
84,0.042567066848278046,0.009044898673892021,0.6211451888084412,0.001,690000,538,0.0,1.0,13.9,1281,6377221781.6,131073.0721586
85,0.03720458596944809,0.009682388044893742,0.619430422782898,0.001,700000,545,0.0,1.0,13.67,1282,6397386607.2,128227.65362477001
86,0.033398695290088654,0.009984729811549187,0.6182785034179688,0.001,710000,553,0.0,1.0,13.93,1282,6514395332.8,132648.61087003
87,0.027849024161696434,0.007222589571028948,0.6172029376029968,0.001,720000,561,0.0,1.0,13.75,1282,6469665170.4,133157.8
89,0.030574850738048553,0.009464144706726074,0.6138628125190735,0.001,730000,570,5.960464477539063e-08,1.0,13.59,1279,6458944309.6,131136.14139176998
90,0.02511514537036419,0.00964311882853508,0.6133177280426025,0.001,740000,578,0.0,1.0,13.63,1279,6529626103.2,133057.46277905
91,0.025698671117424965,0.009632470086216927,0.6125114560127258,0.001,750000,585,0.0,1.0,13.76,1280,6458482201.6,133172.8
92,0.027840590104460716,0.009508747607469559,0.6100918650627136,0.001,760000,593,0.0,1.0,15.29,1280,6574354422.4,130952.08031561
93,0.020841967314481735,0.006318544503301382,0.6077366471290588,0.001,770000,601,0.0,1.0,13.75,1280,6356181849.6,130684.41487738
95,0.03499213606119156,0.009977789595723152,0.60408616065979,0.001,780000,610,0.0,1.0,13.83,1277,6599497227.2,132650.80557648
96,0.026469657197594643,0.008221027441322803,0.6030584573745728,0.001,790000,618,0.0,1.0,14.56,1277,6561766825.6,133318.91654248998
97,0.02194269746541977,0.006336965598165989,0.6019515991210938,0.001,800000,626,5.960464477539063e-08,1.0,13.75,1277,6461237702.4,133064.89600869
98,0.02641880139708519,0.008142443373799324,0.6009393334388733,0.001,810000,633,0.0,1.0,13.47,1277,6523915929.6,133470.7
100,0.031515758484601974,0.008702710270881653,0.5973622798919678,0.001,820000,643,0.0,1.0,13.73,1275,6567773868.8,133269.2
101,0.022668147459626198,0.006384572014212608,0.5964996814727783,0.001,830000,650,0.0,1.0,14.25,1275,6628072331.2,128462.94196749
102,0.03461289405822754,0.009083339013159275,0.5960657000541687,0.001,840000,658,-1.1920928955078125e-07,1.0,13.57,1275,6466171682.4,133172.12170724
103,0.02568964660167694,0.006388111971318722,0.595775842666626,0.001,850000,666,0.0,1.0,13.14,1275,6573759019.2,133386.85051130998
104,0.02543761394917965,0.009573969058692455,0.5936848521232605,0.001,860000,673,0.0,1.0,13.32,1275,6610942185.6,130961.00896932
106,0.034759633243083954,0.009130934253334999,0.5934698581695557,0.001,870000,682,0.0,1.0,13.78,1273,6686393444.8,133155.1
107,0.0333145447075367,0.009142777882516384,0.5920670032501221,0.001,880000,690,-1.1920928955078125e-07,1.0,13.05,1274,6658641042.4,133080.6
108,0.03349510580301285,0.009043560363352299,0.5912109017372131,0.001,890000,698,0.0,1.0,13.08,1274,6682113032.8,131238.55409598
109,0.024673037230968475,0.009046695195138454,0.5899071097373962,0.001,900000,705,-1.1920928955078125e-07,1.0,12.94,1275,6755026968.8,133183.0
111,0.033667877316474915,0.006534328684210777,0.5872597098350525,0.001,910000,714,0.0,1.0,12.93,1273,6771339847.2,133396.792456
112,0.026405176147818565,0.009066359139978886,0.5856124758720398,0.001,920000,722,0.0,1.0,12.96,1273,6722216250.4,133390.49713591
113,0.025734206661581993,0.006567028816789389,0.5847400426864624,0.001,930000,729,-1.1920928955078125e-07,1.0,12.89,1274,6730815042.4,133493.5
114,0.03499278426170349,0.009456870146095753,0.5836074352264404,0.001,940000,736,0.0,1.0,12.61,1275,6766943442.4,133505.41996316
115,0.021871881559491158,0.006940620951354504,0.58274906873703,0.001,950000,743,0.0,1.0,13.07,1277,6899322959.2,133386.15248831
117,0.022861270233988762,0.006561810150742531,0.5813547968864441,0.001,960000,752,0.0,1.0,12.48,1275,6883757035.2,131266.44900022
118,0.019596777856349945,0.007148189470171928,0.5800497531890869,0.001,970000,759,0.0,1.0,12.51,1276,6950982332.8,131257.56973823
119,0.027565017342567444,0.008603554219007492,0.5794855952262878,0.001,980000,767,5.960464477539063e-08,1.0,12.5,1277,6861293132.8,133604.3
120,0.027471259236335754,0.009823743253946304,0.5794147253036499,0.001,990000,774,-1.1920928955078125e-07,1.0,12.62,1278,6892392253.6,133303.25391302002
122,0.027595194056630135,0.009550323709845543,0.5782375931739807,0.001,1000000,783,0.0,1.0,12.6,1276,6864858964.8,133502.2
