time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,train/std,train/entropy_loss,time/fps,train/n_updates,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/value_loss,time/time_elapsed
460000,-1400482.5,-1266170.56650707,1.2730830907821655,-19.857666015625,1419,22999,0.0,49.35,0.0007,7067444736.0,323
470000,-1471063.5,-1041287.8032006301,1.2755261659622192,-19.890729904174805,1420,23499,0.0,46.39,0.0007,6291453952.0,330
480000,-1448279.875,-1221619.03538892,1.294000506401062,-20.06540298461914,1421,23999,5.960464477539063e-08,51.2,0.0007,7136008704.0,337
490000,-1119364.125,-798213.8362668499,1.2983434200286865,-20.10712242126465,1422,24499,0.0,31.81,0.0007,4385506816.0,344
500000,-1720881.25,-1215364.5537667302,1.3124042749404907,-20.233259201049805,1423,24999,0.0,45.87,0.0007,8697344000.0,351
510000,-1206645.5,-547818.19414408,1.3185540437698364,-20.28465461730957,1424,25499,-1.1920928955078125e-07,23.23,0.0007,5178389504.0,357
520000,-1637641.75,-2137731.45037296,1.3143211603164673,-20.237890243530273,1425,25999,1.7881393432617188e-07,74.98,0.0007,7919054848.0,364
530000,-1775361.625,-698145.37881734,1.3228065967559814,-20.306123733520508,1426,26499,0.0,29.45,0.0007,9376186368.0,371
540000,-1415121.75,-473941.26788165997,1.3234573602676392,-20.306093215942383,1427,26999,1.7881393432617188e-07,18.13,0.0007,7024385024.0,378
550000,-1267508.375,-592905.14640667,1.3278790712356567,-20.351926803588867,1428,27499,0.0,23.31,0.0007,5434152448.0,385
560000,-1278028.25,-652272.6381996099,1.3418831825256348,-20.475019454956055,1429,27999,0.0,25.69,0.0007,5473670656.0,391
570000,-1630160.75,-562576.24106085,1.34690523147583,-20.536718368530273,1430,28499,-1.1920928955078125e-07,22.4,0.0007,6953178624.0,398
580000,-1265074.75,-528984.59440719,1.3419979810714722,-20.481430053710938,1431,28999,0.0,21.37,0.0007,5870361088.0,405
590000,-1526728.875,-1070632.5218769899,1.347425103187561,-20.533353805541992,1431,29499,0.0,43.79,0.0007,6565960704.0,412
600000,-1730761.75,-1082297.21274078,1.349125862121582,-20.551973342895508,1406,29999,-1.1920928955078125e-07,47.92,0.0007,8383758336.0,426
610000,-1750956.75,-863700.21791992,1.3485900163650513,-20.549699783325195,1365,30499,0.0,37.97,0.0007,7841293824.0,446
