rollout/ep_len_mean,train/n_updates,train/std,train/policy_objective,train/kl_divergence_loss,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/is_line_search_success,train/explained_variance,train/learning_rate,train/value_loss
135.54,17,0.9362456202507019,0.035374097526073456,0.007715063635259867,1519,92,140000,-135536.88586809003,1.0,0.0,0.001,1221671988.1
140.97,18,0.938143253326416,0.03227010741829872,0.008926354348659515,1525,98,150000,-133961.33066224997,1.0,0.0,0.001,1215603141.0
169.71,19,0.9162194728851318,0.0322389081120491,0.007722037378698587,1533,104,160000,-178833.03881248002,1.0,0.0,0.001,1036237747.6
205.43,20,0.9091370105743408,0.026951748877763748,0.00787078496068716,1538,110,170000,-214855.26786726003,1.0,0.0,0.001,1037040818.0
214.14,21,0.8950896263122559,0.03627990931272507,0.00965376477688551,1544,116,180000,-188926.04959177997,1.0,1.1920928955078125e-07,0.001,820125773.1
180.58,23,0.8943046927452087,0.023298541083931923,0.0047363354824483395,1527,124,190000,-122929.57735443002,1.0,5.960464477539063e-08,0.001,949444824.4
151.26,24,0.8906740546226501,0.023914210498332977,0.008125756867229939,1530,130,200000,-84381.11662393,1.0,0.0,0.001,902508390.5
169.73,25,0.8832265734672546,0.04481637477874756,0.007831747643649578,1534,136,210000,-127088.42976973,1.0,0.0,0.001,1060950339.2
196.71,26,0.877410888671875,0.02201436460018158,0.006777046713978052,1538,142,220000,-160597.68254751002,1.0,0.0,0.001,945628288.3
198.62,28,0.9073467254638672,0.029737118631601334,0.008177447132766247,1525,150,230000,-119366.65010194,1.0,1.1920928955078125e-07,0.001,728220866.5
172.0,29,0.9031891822814941,0.023883700370788574,0.007631315384060144,1529,156,240000,-87860.6073068,1.0,0.0,0.001,896767794.8
171.83,30,0.8968713283538818,0.03553921729326248,0.007022980600595474,1533,163,250000,-75617.03539267,1.0,0.0,0.001,807487975.1
159.19,31,0.8949055075645447,0.0349888801574707,0.008883657865226269,1536,169,260000,-48706.585966139995,1.0,0.0010769367218017578,0.001,836613913.6
182.56,32,0.893362820148468,0.030393872410058975,0.006940179970115423,1539,175,270000,-61558.14978586,1.0,0.013009369373321533,0.001,773658286.95
188.21,34,0.8969524502754211,0.022954976186156273,0.0068744756281375885,1528,183,280000,-59278.21337491999,1.0,0.02603292465209961,0.001,716959090.3
137.87,35,0.8917813897132874,0.03768276050686836,0.007434498518705368,1530,189,290000,-22653.04465019,1.0,0.023298442363739014,0.001,768454671.7
170.03,36,0.9053488373756409,0.0278145931661129,0.008693195879459381,1534,195,300000,-65986.04218552001,1.0,0.024207770824432373,0.001,840281320.55
185.57,37,0.9031049609184265,0.02411649562418461,0.009520023129880428,1536,201,310000,-67002.37943297,1.0,0.027954936027526855,0.001,685788677.2
222.14,39,0.9147490859031677,0.03273501619696617,0.009221644140779972,1528,209,320000,-113927.8448549,1.0,0.03478872776031494,0.001,626736320.3
228.35,40,0.91209477186203,0.013774281367659569,0.009925993159413338,1528,215,330000,-118130.09011192998,1.0,0.037895262241363525,0.001,547220780.4
268.56,41,0.921958863735199,0.056050367653369904,0.008189327083528042,1530,222,340000,-236520.62094874002,1.0,-0.014672040939331055,0.001,1821482821.2
229.7,42,0.9187058806419373,0.04073769599199295,0.00792460236698389,1531,228,350000,-222141.51067329,1.0,1.1920928955078125e-07,0.001,1143074372.2
226.22,43,0.916944682598114,0.028270671144127846,0.00791935995221138,1532,234,360000,-111997.18984462999,1.0,0.0,0.001,512507983.5
218.34,45,0.8997448086738586,0.022574760019779205,0.006514741573482752,1522,243,370000,-59977.6689018,1.0,0.0,0.001,608725553.05
