rollout/ep_len_mean,time/total_timesteps,train/is_line_search_success,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/policy_objective,time/fps,time/time_elapsed,train/n_updates,train/kl_divergence_loss,train/std,train/value_loss
4.54,630000,1.0,5.960464477539063e-08,0.0013,-124322.3151937,0.04707722365856171,1249,504,76,0.008223025128245354,0.7680813074111938,9877976992.0
5.2,640000,1.0,0.0,0.0013,-128705.96819551001,0.06240024417638779,1246,513,78,0.008576148189604282,0.7671241164207458,9736538950.4
5.27,650000,1.0,0.0,0.0013,-129196.26747455,0.04662463441491127,1247,521,79,0.005813307594507933,0.7665280699729919,10354617664.0
5.54,660000,1.0,0.0,0.0013,-132837.51704561003,0.04607420414686203,1247,529,80,0.00928405299782753,0.765842616558075,9969045212.8
5.35,670000,1.0,5.960464477539063e-08,0.0013,-128932.47586837,0.05488821119070053,1247,536,81,0.007278389297425747,0.7668170928955078,9780755798.4
5.49,680000,1.0,1.7881393432617188e-07,0.0013,-129298.91903481998,0.06126253306865692,1244,546,83,0.007903027348220348,0.7629114985466003,9888974886.4
6.09,690000,1.0,0.0,0.0013,-137007.31463626004,0.059673652052879333,1245,554,84,0.006521667819470167,0.7599261999130249,10576621068.8
5.81,700000,1.0,0.0,0.0013,-130780.2707731,0.109210304915905,1245,561,85,0.008507674559950829,0.75845867395401,9740480116.8
5.91,710000,1.0,0.0,0.0013,-132557.93813759,0.061251651495695114,1246,569,86,0.00881412997841835,0.7552072405815125,9505848436.8
5.73,720000,1.0,-1.1920928955078125e-07,0.0013,-130600.12125802,0.034673579037189484,1246,577,87,0.007616980001330376,0.7563794255256653,10216733552.0
6.22,730000,1.0,1.7881393432617188e-07,0.0013,-131272.07403273002,0.05307866632938385,1243,586,89,0.00814592931419611,0.7530577182769775,9601412913.6
5.69,740000,1.0,0.0,0.0013,-128395.55557533001,0.05548631399869919,1244,594,90,0.009943658486008644,0.7523906230926514,10281993809.6
6.51,750000,1.0,1.1920928955078125e-07,0.0013,-142810.56500628,0.10608647018671036,1244,602,91,0.008631646633148193,0.7503392696380615,10028996928.0
6.02,760000,1.0,-2.384185791015625e-07,0.0013,-129901.15677032001,0.08752186596393585,1244,610,92,0.007674217224121094,0.7521557211875916,10259133904.0
6.44,770000,1.0,0.0,0.0013,-130834.73253881,0.02045120671391487,1244,618,93,0.00948786549270153,0.7505472898483276,9012283337.6
7.18,780000,1.0,1.1920928955078125e-07,0.0013,-146325.25182081,0.1263023316860199,1242,627,95,0.009379634633660316,0.748349130153656,8919983771.2
6.41,790000,1.0,0.0,0.0013,-130025.95777507,0.033475205302238464,1242,635,96,0.006762840785086155,0.7473877668380737,15178304099.2
6.44,800000,1.0,0.0,0.0013,-130825.06873646997,0.03596707805991173,1243,643,97,0.008033868856728077,0.7491451501846313,9340958376.0
6.73,810000,1.0,0.0,0.0013,-132798.96732095,0.05750901252031326,1243,651,98,0.007903928868472576,0.7463118433952332,9428278121.6
7.42,820000,1.0,0.0,0.0013,-138883.88555115,0.013007557019591331,1241,660,100,0.0065619428642094135,0.7478411197662354,9240799678.4
6.78,830000,1.0,1.1920928955078125e-07,0.0013,-131939.33035317002,0.04420933127403259,1241,668,101,0.0058479770086705685,0.7460153102874756,9910494029.6
6.56,840000,1.0,0.0,0.0013,-131527.02346258002,0.049357932060956955,1241,676,102,0.006588741205632687,0.7449901103973389,9274687740.0
6.82,850000,1.0,0.0,0.0013,-134015.60166060005,0.0585595928132534,1241,684,103,0.00910333264619112,0.7443663477897644,9905499035.2
6.32,860000,1.0,0.0,0.0013,-129718.1556419,0.060621485114097595,1241,692,104,0.0065451208502054214,0.744924008846283,9307911540.8
6.74,870000,1.0,0.0,0.0013,-133018.57801522,0.044308852404356,1239,701,106,0.008026476949453354,0.7433794140815735,9387771481.6
7.04,880000,1.0,5.960464477539063e-08,0.0013,-135249.73362164,0.06217418983578682,1240,709,107,0.007648383267223835,0.7397557497024536,9205623882.4
6.52,890000,1.0,5.960464477539063e-08,0.0013,-131203.37503223997,0.004684792831540108,1240,717,108,0.004432420711964369,0.7387886643409729,9529353825.6
6.57,900000,1.0,0.0,0.0013,-131372.56497327,0.060766976326704025,1240,725,109,0.005185591988265514,0.7383482456207275,9079850936.8
6.65,910000,1.0,0.0,0.0013,-131411.81562261,0.07541171461343765,1238,734,111,0.0090245446190238,0.7360263466835022,8935254600.0
6.78,920000,1.0,0.0,0.0013,-132292.28405316,0.03899824619293213,1238,742,112,0.006886468268930912,0.7348948121070862,8847622411.2
7.22,930000,1.0,0.0,0.0013,-137843.71785398,0.03182179853320122,1238,750,113,0.007088067941367626,0.7342013716697693,8754112495.2
6.96,940000,1.0,0.0,0.0013,-135384.12100697,0.029242832213640213,1238,758,114,0.00530029134824872,0.7335485816001892,9057578839.2
6.37,950000,1.0,0.0,0.0013,-129759.68129537001,0.05418284982442856,1238,766,115,0.008072124794125557,0.731911838054657,8785215515.2
6.52,960000,1.0,0.0,0.0013,-130673.58322897999,0.03895039111375809,1237,775,117,0.007633518893271685,0.7269185185432434,8608931372.8
6.79,970000,1.0,0.0,0.0013,-132594.7055766,0.002488506492227316,1237,783,118,0.002501216484233737,0.7261748909950256,8552237910.4
6.71,980000,1.0,0.0,0.0013,-130320.59238021998,0.011956973932683468,1237,791,119,0.0072394609451293945,0.7250610589981079,8520798380.8
6.56,990000,1.0,1.1920928955078125e-07,0.0013,-130337.63869561002,0.020390914753079414,1237,800,120,0.004098902456462383,0.725743293762207,9464631536.8
6.74,1000000,1.0,2.980232238769531e-07,0.0013,-135013.16540996,0.05324668064713478,1235,809,122,0.009277627803385258,0.7245987057685852,9625592663.2
