train/ent_coef_loss,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-0.1938871443271637,-880.8489990234375,130717,0.001,1989.03163005,7568.55029296875,17.36,3113,48912,335,1045840,0.6109987497329712,,
-0.09203331172466278,-864.3245239257812,130722,0.001,1988.16184183,11411.7421875,17.39,3113,48916,335,1045880,0.6109168529510498,,
-0.08690137416124344,-921.1637573242188,130734,0.001,1963.6190699299996,9997.787109375,17.43,3113,48920,335,1045976,0.610419511795044,,
-0.2250778079032898,-875.439453125,130738,0.001,1963.7655955599996,10744.9736328125,17.43,3113,48924,335,1046008,0.610136866569519,,
0.2038833647966385,-849.9459228515625,130751,0.001,1969.1840795400003,4826.2587890625,17.14,3114,48928,335,1046112,0.6097115278244019,,
-0.0966852679848671,-862.6840209960938,130765,0.001,1966.7177068699998,9906.91796875,17.29,3114,48932,335,1046224,0.6095544695854187,,
0.019390981644392014,-878.407958984375,130769,0.001,1962.8430267400001,13791.9833984375,17.43,3114,48936,335,1046256,0.6095150709152222,,
-0.13628080487251282,-863.9363403320312,130779,0.001,1938.9227568700005,10991.494140625,17.78,3114,48940,335,1046336,0.6093694567680359,,
-0.06465959548950195,-826.344482421875,130784,0.001,1940.69098167,6890.8251953125,17.64,3114,48944,335,1046376,0.6092043519020081,,
0.21122398972511292,-873.7105712890625,130794,0.001,1943.65668285,4973.6005859375,17.35,3115,48948,335,1046456,0.608925998210907,,
0.15748891234397888,-901.0194091796875,130802,0.001,1944.05672372,8632.765625,17.29,3115,48952,335,1046520,0.6089447140693665,,
0.005258373916149139,-965.0299072265625,130810,0.001,1957.6276525199999,6896.65625,16.54,3115,48956,335,1046584,0.6092410087585449,,
-0.12352001667022705,-870.1763916015625,130819,0.001,1929.0655864599996,15169.7451171875,16.56,3115,48960,335,1046656,0.6093725562095642,,
-0.13954278826713562,-836.9365844726562,130829,0.001,1929.9184919799998,10171.55859375,16.43,3116,48964,335,1046736,0.6093388199806213,,
-0.0464884415268898,-925.0651245117188,130836,0.001,1932.5292562400002,11051.87890625,16.36,3116,48968,335,1046792,0.6091946363449097,,
-0.014236599206924438,-933.2152099609375,130848,0.001,1927.9109105700002,5308.2978515625,16.69,3116,48972,335,1046888,0.6088390946388245,,
-0.11554104834794998,-892.9414672851562,130857,0.001,1927.3804811700002,9142.5400390625,16.72,3116,48976,335,1046960,0.6085099577903748,,
-0.027182959020137787,-958.0166625976562,130862,0.001,1921.3924507600002,5505.046875,16.94,3117,48980,335,1047000,0.6082645058631897,,
-0.028917968273162842,-931.2374267578125,130871,0.001,1921.6281174599999,6076.8896484375,16.92,3117,48984,335,1047072,0.6078811287879944,,
-0.021557360887527466,-931.575927734375,130876,0.001,1922.19122189,11157.21484375,16.9,3117,48988,335,1047112,0.6076326370239258,,
0.4068228602409363,-964.8348388671875,130888,0.001,1921.22693887,6217.62646484375,16.93,3117,48992,335,1047208,0.6075042486190796,,
0.07575304061174393,-920.5337524414062,130897,0.001,1956.51952094,8051.3515625,16.94,3117,48996,335,1047280,0.6080181002616882,,
0.16376642882823944,-854.070556640625,130905,0.001,1956.3352493399998,8861.400390625,16.88,3118,49000,335,1047344,0.6083998084068298,,
-0.17754891514778137,-906.13525390625,130917,0.001,1952.4237409100003,5806.8759765625,17.19,3118,49004,335,1047440,0.6092853546142578,,
-0.018245896324515343,-912.1920166015625,130925,0.001,1949.1715001600003,5158.7255859375,17.34,3118,49008,335,1047504,0.6096563935279846,,
