rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_objective,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/std,train/learning_rate,train/n_updates,train/value_loss,time/total_timesteps,time/fps
-373709.77910191996,373.48,0.0329301618039608,0.0,0.008142818696796894,1.0,158,0.8264469504356384,0.0013,31,667060719.75,260000,1643
-400161.59183114,395.52,0.004423703998327255,5.960464477539063e-08,0.003801174694672227,1.0,163,0.8311075568199158,0.0013,32,659678299.15,270000,1646
-408940.26420333004,403.03,0.04119430482387543,-1.1920928955078125e-07,0.007079854141920805,1.0,171,0.8300113677978516,0.0013,34,834074403.8,280000,1636
-399891.95662272,401.26,0.02593124471604824,0.0,0.0066248513758182526,1.0,176,0.8220226168632507,0.0013,35,491483025.85,290000,1639
-437922.7448418699,450.07,0.03773435577750206,0.0,0.009635299444198608,1.0,182,0.8220471739768982,0.0013,36,417907971.425,300000,1642
-458686.51738984004,476.86,0.06334376335144043,-1.1920928955078125e-07,0.009514846839010715,1.0,188,0.8202754855155945,0.0013,37,784221210.0,310000,1645
-422595.5439577399,495.24,0.04751353710889816,1.1920928955078125e-07,0.008876852691173553,1.0,195,0.8190879821777344,0.0013,39,359816957.425,320000,1635
-423944.28341869,544.22,0.048556793481111526,0.0,0.007599230855703354,1.0,201,0.8104812502861023,0.0013,40,204179300.3125,330000,1639
-392445.25628364,557.59,0.042869433760643005,5.960464477539063e-08,0.007705313619226217,1.0,207,0.8123335242271423,0.0013,41,294243051.425,340000,1640
-413821.22749470006,617.06,0.029079731553792953,0.0,0.007286769803613424,1.0,212,0.8098551630973816,0.0013,42,197941907.025,350000,1643
-404362.05636656,639.36,0.051320333033800125,0.0,0.006915861275047064,1.0,218,0.8121067881584167,0.0013,43,374029934.025,360000,1645
-314195.32537679,574.98,0.05645877122879028,0.0,0.009156372398138046,1.0,226,0.810693085193634,0.0013,45,699859136.9,370000,1636
-309882.34518054,604.44,0.017583593726158142,0.0,0.005849968641996384,1.0,231,0.8124698996543884,0.0013,46,132846085.68125,380000,1638
-250930.89759856998,570.76,0.03126218914985657,-1.1920928955078125e-07,0.007232139352709055,1.0,237,0.8095585703849792,0.0013,47,152442392.95625,390000,1641
-207935.60450147002,535.4,0.04622209444642067,0.0,0.007679445203393698,1.0,243,0.8086474537849426,0.0013,48,233943854.7625,400000,1642
-156750.12331105,479.06,0.039793480187654495,0.0,0.0076209246180951595,1.0,250,0.8067663311958313,0.0013,50,312259384.4125,410000,1635
-162921.63006847,549.55,0.016853753477334976,0.0,0.0054736994206905365,1.0,256,0.8021455407142639,0.0013,51,80778433.8125,420000,1637
-133241.66686042,501.38,0.04959779977798462,0.0,0.007685778196901083,1.0,262,0.8006520867347717,0.0013,52,485542495.0,430000,1639
