rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/step_size,train/learning_rate,rollout/return_std,train/delta_std,train/iterations
1000.0,172,3298,570000,-19866056.683102,5.06868436112029e-10,0.02,4932246.5,0.05,9
1000.0,175,3298,580000,-19855241.027730748,,,,,
780.0,178,3298,590000,-15456616.637927221,,,,,
820.0,181,3298,600000,-16268521.342038726,,,,,
801.8,184,3298,610000,-15890837.928646665,,,,,
1000.0,187,3298,620000,-19853120.0,3.1412078493886497e-10,0.02,7958722.5,0.05,10
504.125,191,3298,630000,-9963761.198645124,,,,,
603.3,194,3297,640000,-11920739.7288264,,,,,
646.1428571428571,197,3298,650000,-12758111.561490497,,,,,
,200,3298,660000,,2.6502314232068613e-10,0.02,9433138.0,0.05,11
504.5,203,3298,670000,-10014032.745528167,,,,,
422.25,206,3298,680000,-8346132.754629083,,,,,
,209,3298,690000,,2.4487400995809594e-10,0.02,10209331.0,0.05,12
1000.0,212,3298,700000,-19925990.9742625,,,,,
559.1111111111111,215,3298,710000,-11061753.647068555,,,,,
639.2727272727273,218,3298,720000,-12659096.571061362,,,,,
716.5714285714286,221,3298,730000,-14200036.787165428,,,,,
,224,3298,740000,,2.8294655507465905e-10,0.02,8835591.0,0.05,13
1000.0,227,3298,750000,-19833687.007754333,,,,,
717.2857142857143,230,3298,760000,-14172788.681696145,,,,,
802.1,233,3298,770000,-15873984.7864474,,,,,
717.0,236,3298,780000,-14201029.553344216,,,,,
1000.0,239,3298,790000,-19909480.0,2.831835599348409e-10,0.02,8828196.0,0.05,14
1000.0,242,3298,800000,-19617389.61855367,,,,,
858.2857142857143,245,3297,810000,-16909345.032419574,,,,,
889.7777777777778,248,3298,820000,-17581393.188786667,,,,,
847.2307692307693,251,3298,830000,-16772161.940952152,,,,,
867.6,254,3298,840000,-17185762.348825198,,,,,
670.3333333333334,257,3298,850000,-13255378.264069334,3.7079256332006594e-10,0.02,6742314.0,0.05,15
802.2,260,3298,860000,-15892384.9584416,,,,,
876.375,263,3298,870000,-17343427.355917,,,,,
901.1,266,3298,880000,-17751712.1202786,,,,,
851.0769230769231,269,3298,890000,-16751789.543166615,,,,,
,272,3298,900000,,3.744326237953288e-10,0.02,6676768.0,0.05,16
668.6666666666666,275,3298,910000,-13145451.103134332,,,,,
834.3333333333334,278,3298,920000,-16518442.295177499,,,,,
779.0,281,3298,930000,-15438027.298165888,,,,,
834.25,284,3298,940000,-16511149.400668167,,,,,
801.2,287,3298,950000,-15874913.212891933,,,,,
1000.0,291,3298,960000,-19863299.078268997,3.1420616108945865e-10,0.02,7956560.0,0.05,17
801.8,294,3298,970000,-15940776.347724598,,,,,
876.125,297,3298,980000,-17293374.98016025,,,,,
900.9,300,3298,990000,-17822442.2241777,,,,,
923.7692307692307,303,3298,1000000,-18279290.606798463,,,,,
