train/kl_divergence_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/is_line_search_success,train/learning_rate,time/time_elapsed,train/std,time/total_timesteps,train/n_updates,train/policy_objective,train/value_loss,rollout/ep_len_mean
0.007226565387099981,-142642.76430115,1165,0.0,1.0,0.001,257,0.8678572177886963,300000,36,0.08316737413406372,2240130497.6,55.49
0.007433242630213499,-132720.94659562001,1167,-1.1920928955078125e-07,1.0,0.001,265,0.8631822466850281,310000,37,0.06936471164226532,2336132210.2,55.67
0.0067449226044118404,-133879.54227867,1162,0.0,1.0,0.001,275,0.8546265363693237,320000,39,0.07184690237045288,2192616598.8,56.45
0.006820499897003174,-132032.62219614,1163,-1.1920928955078125e-07,1.0,0.001,283,0.8534536957740784,330000,40,0.077776700258255,2304321604.6,53.53
0.007085179444402456,-126432.60237463997,1164,1.1920928955078125e-07,1.0,0.001,291,0.8528555631637573,340000,41,0.08395133167505264,2248423296.2,52.4
0.007332397159188986,-126471.40923179999,1166,1.1920928955078125e-07,1.0,0.001,300,0.8533774018287659,350000,42,0.07068333774805069,2226941977.4,54.46
0.006858222186565399,-124003.00636018999,1166,5.960464477539063e-08,1.0,0.001,308,0.8477875590324402,360000,43,0.08409030735492706,2157243485.0,51.66
0.007073577027767897,-134734.39857670004,1162,-1.1920928955078125e-07,1.0,0.001,318,0.8493553996086121,370000,45,0.07489242404699326,2219245914.8,58.55
0.007245494052767754,-130605.11098492,1163,0.0,1.0,0.001,326,0.8467392325401306,380000,46,0.07924161851406097,2010176075.0,59.45
0.00774366082623601,-124894.18933888001,1163,0.0,1.0,0.001,335,0.8443949222564697,390000,47,0.0770701915025711,2018211639.0,56.74
0.007912497967481613,-134803.03973142998,1164,0.0,1.0,0.001,343,0.8428494334220886,400000,48,0.08219379931688309,2036150140.6,61.73
0.0076456801034510136,-121406.66385848001,1160,0.0,1.0,0.001,353,0.8414841294288635,410000,50,0.07918281853199005,1991937786.8,53.41
0.007556034717708826,-140463.13856062,1160,-1.1920928955078125e-07,1.0,0.001,361,0.8401057124137878,420000,51,0.07343699783086777,1838738339.8,65.81
0.007943125441670418,-151430.89070597003,1161,0.0,1.0,0.001,370,0.8359374403953552,430000,52,0.07423955947160721,1979953217.4,71.11
0.007555920165032148,-115596.5313304,1161,1.7881393432617188e-07,1.0,0.001,378,0.8335602283477783,440000,53,0.08257179707288742,1952162011.2,52.11
0.008618955500423908,-122177.21205933999,1162,0.0,1.0,0.001,387,0.8352851867675781,450000,54,0.07197369635105133,1946786753.2,59.04
0.007526522036641836,-126484.59888674997,1157,0.0,1.0,0.001,397,0.8320037722587585,460000,56,0.07840356230735779,1739946254.8,66.57
0.007842130027711391,-153837.29077633,1157,1.1920928955078125e-07,1.0,0.001,405,0.8278478980064392,470000,57,0.07891528308391571,1765181762.2,77.66
0.008122995495796204,-137712.69701754997,1158,0.0,1.0,0.001,414,0.824669599533081,480000,58,0.07207620143890381,1697273095.6,77.03
0.0075083086267113686,-132638.0573204,1159,-1.1920928955078125e-07,1.0,0.001,422,0.8224554657936096,490000,59,0.07721814513206482,1679040432.2,69.68
0.007735833525657654,-170161.69025209002,1157,0.0,1.0,0.001,431,0.8204976916313171,500000,61,0.07773801684379578,1601451463.3,90.41
0.007785413879901171,-137992.84985934998,1158,0.0,1.0,0.001,440,0.8192102313041687,510000,62,0.0812869518995285,1619515189.0,72.99
0.008177787065505981,-132000.90202552,1159,0.0,1.0,0.001,448,0.8187544345855713,520000,63,0.08471862971782684,1619092729.0,72.87
0.007978281006217003,-139082.50436587003,1160,0.0,1.0,0.001,456,0.8182716965675354,530000,64,0.08400648832321167,1565112995.6,77.25
0.0074539282359182835,-141082.80643716,1161,0.0,1.0,0.001,464,0.8180682063102722,540000,65,0.09413067251443863,1508151250.8,77.71
0.008122624829411507,-176543.80646826996,1158,-1.1920928955078125e-07,1.0,0.001,474,0.8181802034378052,550000,67,0.0764017403125763,1332397442.4,101.17
0.008029663003981113,-158754.19616194998,1159,1.1920928955078125e-07,1.0,0.001,483,0.8168113827705383,560000,68,0.07419413328170776,1520853733.4,88.16
0.008098473772406578,-134480.82179040997,1160,-1.1920928955078125e-07,1.0,0.001,491,0.818306028842926,570000,69,0.08242743462324142,1463105419.3,78.58
0.007698951289057732,-121031.69486985999,1161,0.0,1.0,0.001,499,0.8130922913551331,580000,70,0.07483331859111786,1483495029.5,73.47
0.008080760948359966,-132065.41837646998,1159,0.0,1.0,0.001,508,0.8106575012207031,590000,72,0.08425019681453705,1554001723.5,76.21
0.007988710887730122,-159617.88217245,1160,0.0,1.0,0.001,517,0.8100062608718872,600000,73,0.07738880068063736,1215564535.5,103.15
0.007896899245679379,-134810.02511346,1160,0.0,1.0,0.001,525,0.8076128363609314,610000,74,0.08365383744239807,1326597450.4,84.09
0.008348247967660427,-118144.41211556998,1161,0.0,1.0,0.001,533,0.8032775521278381,620000,75,0.07404028624296188,1511783244.6,74.79
0.007673002313822508,-110965.3791206,1162,0.0,1.0,0.001,542,0.8044788241386414,630000,76,0.08045485615730286,1413126106.9,69.74
