train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef,train/actor_loss,time/fps,train/ent_coef_loss
16700.056640625,0.0003,1117,-2065223.4406180691,39974,90.85,160000,1026,135.0182342529297,1877304.875,155,2.4036507606506348
24360.4609375,0.0003,1134,-5824352.218208459,42474,190.41,170000,1090,141.88563537597656,1844679.375,155,-1.302747368812561
19674.90625,0.0003,1277,-1009725.6088341601,44974,62.97,180000,1154,145.46481323242188,1803575.0,155,-4.001943111419678
19485.5546875,0.0003,1333,-1985079.3691842197,47474,101.84,190000,1218,153.4527130126953,1776317.125,155,-0.9992330074310303
18301.9609375,0.0003,1349,-4105054.13270951,49974,190.42,200000,1283,152.03196716308594,1707937.125,155,-1.446879267692566
16832.787109375,0.0003,1364,-6850271.1644990705,52474,295.69,210000,1347,143.30563354492188,1701174.125,155,-1.929024338722229
12732.20703125,0.0003,1395,-8586215.043398142,54974,384.99,220000,1412,129.88018798828125,1686467.25,155,-1.9240548610687256
18804.544921875,0.0003,1444,-6597300.34480914,57474,339.07,230000,1477,146.8012237548828,1637827.0,155,0.8840084671974182
11573.01171875,0.0003,1454,-6239643.76479712,59974,367.11,240000,1541,151.7399444580078,1628657.25,155,0.9079557657241821
8818.0537109375,0.0003,1465,-5306479.91717341,62474,388.41,250000,1606,143.4384002685547,1545784.75,155,-2.210042953491211
8218.1787109375,0.0003,1480,-5080632.20724991,64974,414.63,260000,1671,136.29071044921875,1519481.25,155,-0.05557623505592346
13342.3779296875,0.0003,1492,-5816028.558404578,67474,494.37,270000,1737,128.61334228515625,1468446.25,155,0.6994904279708862
7920.9287109375,0.0003,1502,-6392539.556021269,69974,574.82,280000,1802,128.64892578125,1430557.625,155,1.0943348407745361
15698.51171875,0.0003,1517,-6846400.338958041,72474,676.55,290000,1867,130.1912841796875,1359461.75,155,4.101826190948486
10043.3828125,0.0003,1538,-6643612.50542435,74974,732.62,300000,1932,132.92807006835938,1345070.25,155,-0.9336299896240234
7047.2080078125,0.0003,1584,-2614056.2426561504,77474,475.23,310000,1998,143.56396484375,1295151.75,155,0.60227370262146
12025.630859375,0.0003,1630,-847646.5427673198,79974,233.3,320000,2063,145.5101776123047,1245950.125,155,-0.5842684507369995
13026.5322265625,0.0003,1682,-1419014.3386646404,82474,209.18,330000,2128,138.5789031982422,1188915.375,155,-2.1443498134613037
11164.9267578125,0.0003,1708,-1525424.90046657,84974,211.99,340000,2194,134.58743286132812,1148549.375,154,-2.930285692214966
8830.4638671875,0.0003,1721,-1588806.53216607,87474,292.75,350000,2259,132.04029846191406,1071905.375,154,1.8764667510986328
9252.3564453125,0.0003,1738,-1731505.2086565602,89974,372.21,360000,2324,135.16156005859375,1037675.3125,154,-2.1662533283233643
6789.32421875,0.0003,1749,-1982643.4643462799,92474,450.57,370000,2389,132.58572387695312,987889.5625,154,-0.08908317983150482
6908.0859375,0.0003,1765,-1858141.5371513502,94974,511.59,380000,2455,132.32545471191406,948823.5,154,-0.8441854119300842
9890.5654296875,0.0003,1778,-1807597.49761542,97474,597.31,390000,2520,132.07008361816406,894791.75,154,0.7326945066452026
8384.76171875,0.0003,1794,-1647620.5845889,99974,653.99,400000,2585,130.9120330810547,842712.6875,154,-2.422677516937256
7405.48974609375,0.0003,1806,-1464852.45382027,102474,723.7,410000,2651,134.1550750732422,809251.875,154,-2.566038131713867
8330.77734375,0.0003,1815,-1330858.0274331502,104974,754.74,420000,2716,133.52427673339844,742337.1875,154,-1.2722506523132324
7287.47802734375,0.0003,1826,-1147095.5026827,107474,766.39,430000,2782,129.76988220214844,695658.875,154,-0.4968307614326477
7185.08349609375,0.0003,1835,-1178280.98517158,109974,817.38,440000,2847,122.85802459716797,657286.8125,154,-2.4432125091552734
5657.2109375,0.0003,1846,-996030.6659562703,112474,827.31,450000,2913,113.96694946289062,627249.4375,154,2.151510715484619
6888.36669921875,0.0003,1855,-1043115.8640224001,114974,860.01,460000,2978,109.00418090820312,578480.9375,154,-0.022501468658447266
5254.771484375,0.0003,1879,-884985.7571066101,117474,789.63,470000,3044,108.05027770996094,540291.3125,154,1.3215161561965942
5017.15576171875,0.0003,1904,-841261.90994091,119974,714.7,480000,3110,108.59453582763672,509189.5625,154,-1.1407073736190796
6069.5078125,0.0003,1932,-716386.70750225,122474,534.97,490000,3176,105.59365844726562,499385.25,154,-2.559455394744873
