time/episodes,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef
103959,863445.8125,3.8898677825927734,-676850.3244514801,128,114974,460000,3578,25.08,0.0003,25440.458984375,73.91692352294922
104051,1143326.5,-1.8268243074417114,-3358757.5248847096,128,117474,470000,3659,120.23,0.0003,32008.0703125,62.89727783203125
104143,985171.8125,4.835824012756348,-2611224.39756499,128,119974,480000,3741,95.95,0.0003,33114.80859375,62.16835403442383
104634,1023288.5,1.5168914794921875,-165036.99461414,128,122474,490000,3822,7.82,0.0003,42618.26953125,65.8770980834961
105200,1133796.625,3.024015426635742,-934225.2734945801,128,124974,500000,3902,34.51,0.0003,49382.13671875,70.52519226074219
105490,1184555.5,1.346439242362976,-271286.61060267,128,127474,510000,3983,11.84,0.0003,48182.3125,76.94544982910156
105634,1272145.125,-0.9488897919654846,-1409519.7078173,127,129974,520000,4065,50.87,0.0003,40893.9609375,89.21113586425781
105677,1285554.375,-0.29489484429359436,-4059053.95057734,127,132474,530000,4146,139.23,0.0003,57215.73046875,93.0608139038086
105732,1334704.75,-3.810425281524658,-5790891.809254409,127,134974,540000,4227,197.81,0.0003,46015.171875,95.55508422851562
105825,1260474.25,1.0601084232330322,-3775232.58414409,127,137474,550000,4309,130.17,0.0003,56973.6484375,96.20584869384766
106057,1505195.75,-2.8671364784240723,-1304496.4816870298,127,139974,560000,4391,44.78,0.0003,62491.66015625,102.29985046386719
106228,1534636.75,-2.130708932876587,-1888602.69633896,127,142474,570000,4472,66.55,0.0003,41340.86328125,100.32683563232422
106659,1432989.0,-1.6837539672851562,-677330.40783873,127,144974,580000,4553,23.8,0.0003,56681.7265625,101.90325927734375
107132,1411594.0,-1.574396014213562,-398090.50410429994,127,147474,590000,4635,15.0,0.0003,55609.75390625,106.45671081542969
107951,1575031.875,0.3290892541408539,-154100.10861936002,127,149974,600000,4717,7.63,0.0003,48380.46484375,109.64799499511719
108400,1470652.125,2.9844939708709717,-90535.77646271998,127,152474,610000,4799,5.33,0.0003,51764.21875,111.03611755371094
109097,1524886.75,-1.2298171520233154,-86095.77616671001,126,154974,620000,4882,4.57,0.0003,60530.69921875,119.04277038574219
109932,1462608.625,1.5283877849578857,-683656.4304786001,126,157474,630000,4964,23.94,0.0003,65516.1171875,126.4382553100586
111815,1455129.25,-1.444318175315857,-88036.08340054998,126,159974,640000,5046,3.74,0.0003,61118.56640625,131.4645233154297
113799,1508328.25,-0.47876885533332825,-87803.72881677,126,162474,650000,5127,3.73,0.0003,56334.68359375,127.2841796875
115916,1564283.5,-2.7292802333831787,-88361.94962714,126,164974,660000,5209,3.45,0.0003,47563.05078125,133.2676239013672
118722,1439166.625,1.009373664855957,-87119.31757694,126,167474,670000,5292,3.68,0.0003,59233.515625,131.06942749023438
121151,1535051.25,0.30696868896484375,-86392.49773643,126,169974,680000,5373,3.81,0.0003,57289.359375,131.3636932373047
123703,1529169.75,-0.78840172290802,-86119.5938941,126,172474,690000,5456,3.93,0.0003,56164.24609375,132.4700164794922
