time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss
3231,1516.6241455078125,0.0003,580000,-93370.64438949,378.01,138,-1.9192869663238525,4185,25.09461212158203,144974,33058.34765625
3248,1264.4857177734375,0.0003,590000,-95622.68989013003,439.92,138,0.6147210597991943,4260,25.748775482177734,147474,31786.947265625
3263,1172.414306640625,0.0003,600000,-100643.37661974,477.78,138,0.9664875864982605,4336,24.91535758972168,149974,27496.375
3289,1250.3756103515625,0.0003,610000,-114881.50427979,429.01,138,2.231903314590454,4411,19.74639129638672,152474,25638.29296875
3486,1633.8743896484375,0.0003,620000,-96004.48500735001,27.28,138,2.065575122833252,4487,19.970163345336914,154974,25491.494140625
3637,1438.966796875,0.0003,630000,-92302.62170249998,59.36,138,0.21912766993045807,4563,20.97795867919922,157474,27360.36328125
3650,1156.267333984375,0.0003,640000,-91675.07271103002,173.21,137,-1.4992139339447021,4638,21.385234832763672,159974,25713.73046875
3685,1125.6473388671875,0.0003,650000,-97169.81960913,277.59,137,0.40541380643844604,4713,16.0488338470459,162474,21521.2109375
4161,1499.156494140625,0.0003,660000,-96275.12519416,10.8,137,3.095001220703125,4788,18.056289672851562,164974,21001.001953125
4285,1399.732177734375,0.0003,670000,-94770.27995636,92.0,137,-1.3858201503753662,4864,18.340980529785156,167474,21879.08203125
4384,1417.74853515625,0.0003,680000,-108544.78025628,101.21,137,2.82817006111145,4940,17.80359649658203,169974,20033.80078125
4411,1158.7030029296875,0.0003,690000,-107334.78262144001,178.42,137,-0.2753942012786865,5018,13.951719284057617,172474,23798.916015625
4425,1232.9288330078125,0.0003,700000,-108966.263345,268.63,137,0.3235190808773041,5094,15.681650161743164,174974,20077.908203125
4448,1361.6182861328125,0.0003,710000,-106576.08628595999,354.92,137,1.0649162530899048,5171,14.750015258789062,177474,20392.267578125
4460,1002.6084594726562,0.0003,720000,-104451.20046090003,439.75,137,-0.6523650884628296,5248,12.415254592895508,179974,23452.443359375
4473,1226.0498046875,0.0003,730000,-97938.41664581999,533.41,137,-1.1000046730041504,5325,11.968533515930176,182474,21385.310546875
4502,1124.8070068359375,0.0003,740000,-90688.52088153001,555.83,136,-1.5289087295532227,5402,12.790201187133789,184974,24490.38671875
4557,1273.071533203125,0.0003,750000,-343205.33111393003,322.41,136,-0.41742435097694397,5479,15.077814102172852,187474,21913.58984375
4576,1004.8045654296875,0.0003,760000,-438906.31060325,289.53,136,1.139326572418213,5556,17.833133697509766,189974,20494.69921875
