time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,time/total_timesteps,time/fps,train/clip_range,train/clip_fraction,rollout/ep_rew_mean,train/std,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/loss
283,0.0,83.46,0.0017,-11.191354803740978,310000,1092,0.2,0.0223388671875,-204385.52962092997,1.5707532167434692,0.0041504824,-0.0017900975613883928,1457310125.4,370,703390528.0
296,0.0,68.36,0.0017,-11.377698730677366,320000,1079,0.2,0.01885986328125,-206394.15066139,1.6226459741592407,0.0041288813,-0.0020498539233813062,1747790599.1,390,761303424.0
304,-1.1920928955078125e-07,69.83,0.0017,-11.458699788153172,330000,1083,0.2,0.00726318359375,-188738.28433243,1.6449660062789917,0.0029840497,-0.0011843048787341104,1526466910.0,400,868303936.0
312,0.0,66.96,0.0017,-11.541803438961505,340000,1086,0.2,0.01802978515625,-181596.21638847998,1.6677578687667847,0.004581031,-0.002126882928314444,1644909696.1,410,884270144.0
321,5.960464477539063e-08,80.34,0.0017,-11.634725160896778,350000,1090,0.2,0.02947998046875,-219368.91724646997,1.695870041847229,0.0051241405,-0.0031924817070830614,1502952172.6,420,819441984.0
329,0.0,67.74,0.0017,-11.721462089568377,360000,1093,0.2,0.02177734375,-192965.39015095995,1.718427062034607,0.0042735282,-0.001968600275085919,1666684561.3,430,946441984.0
341,0.0,74.12,0.0017,-11.908907569944859,370000,1082,0.2,0.02645263671875,-197037.17903722002,1.77627432346344,0.005423636,-0.0027019017023121707,1598752486.8,450,989015168.0
350,0.0,77.29,0.0017,-11.992731551080942,380000,1085,0.2,0.01597900390625,-213031.01146722,1.7971631288528442,0.003606395,-0.00156221957076923,1603743788.85,460,595775296.0
358,0.0,77.95,0.0017,-12.085490399599076,390000,1088,0.2,0.02584228515625,-186394.91698697,1.8313331604003906,0.0043123844,-0.003098227517330088,1502074671.95,470,669812992.0
366,-1.1920928955078125e-07,77.11,0.0017,-12.187736749649048,400000,1091,0.2,0.0230712890625,-205536.16942461004,1.8597255945205688,0.0039780173,-0.0021984313658322207,1472952588.95,480,734979328.0
379,5.960464477539063e-08,76.11,0.0017,-12.369861426949502,410000,1081,0.2,0.0208984375,-197097.52866541,1.915730595588684,0.004121826,-0.0019090016014160938,1515344167.15,500,767301696.0
387,-1.1920928955078125e-07,76.07,0.0017,-12.467674831300974,420000,1084,0.2,0.0261962890625,-193458.43800803003,1.9526772499084473,0.0049524186,-0.002427211949725461,1485773757.85,510,836467904.0
395,0.0,75.09,0.0017,-12.589851776510477,430000,1086,0.2,0.02340087890625,-179257.75145349,1.9932926893234253,0.004753931,-0.0024056476631812984,1473478967.4,520,874524864.0
