rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/step_size,train/iterations,rollout/return_std,train/delta_std
1000.0,-39675869.024882495,296,620000,2088,,,,,
836.3333333333334,-33168334.55630234,301,630000,2086,,,,,
781.4444444444445,-30980728.746601887,306,640000,2085,,,,,
772.7692307692307,-30661290.24860023,311,650000,2085,,,,,
803.0666666666667,-31886646.4005592,316,660000,2084,,,,,
1000.0,-39846319.528048,321,670000,2082,0.0018,1.4115534262282292e-11,13,15939885.0,0.05
1000.0,-39717265.91994775,326,680000,2081,,,,,
780.6666666666666,-30956169.273217004,331,690000,2080,,,,,
753.9166666666666,-29867748.23955159,336,700000,2079,,,,,
,,341,710000,2078,0.0018,1.2722262479614166e-11,14,17685534.0,0.05
1000.0,-39669364.43788,346,720000,2077,,,,,
835.3333333333334,-33169762.04622167,351,730000,2076,,,,,
876.5,-34842722.88083562,356,740000,2075,,,,,
718.4285714285714,-28470144.83467514,361,750000,2074,,,,,
507.5,-20058141.5854905,366,760000,2072,0.0018,1.1878321243274925e-11,15,18942070.0,0.05
672.5,-26541811.788724,371,770000,2072,,,,,
672.1111111111111,-26536398.791832887,376,780000,2071,,,,,
696.6923076923077,-27575934.739440616,381,790000,2070,,,,,
737.1333333333333,-29207340.3648428,386,800000,2069,,,,,
1000.0,-39859145.8706185,391,810000,2068,0.0018,1.269273314924435e-11,16,17726678.0,0.05
1000.0,-39948319.84229575,396,820000,2068,,,,,
877.5,-34930541.526043,401,830000,2068,,,,,
607.0,-24025050.249978933,406,840000,2067,,,,,
1000.0,-39854844.5592795,411,850000,2066,0.0018,1.135407653313214e-11,17,19816670.0,0.05
1000.0,-39863961.1146555,416,860000,2065,,,,,
1000.0,-39745480.84729729,421,870000,2064,,,,,
821.7272727272727,-32598059.599678278,426,880000,2063,,,,,
,,431,890000,2063,0.0018,1.2742485018535366e-11,18,17657466.0,0.05
1000.0,-39804975.9578605,436,900000,2062,,,,,
1000.0,-39755297.597424194,441,910000,2061,,,,,
596.0833333333334,-23444983.44764575,446,920000,2059,,,,,
612.0,-24080594.4995672,451,930000,2058,,,,,
1000.0,-39709465.134013,456,940000,2057,0.0018,1.1513153277964427e-11,19,19542864.0,0.05
803.0,-31697922.048488,461,950000,2056,,,,,
780.6666666666666,-30874793.362843998,466,960000,2056,,,,,
820.5454545454545,-32516269.342143632,471,970000,2055,,,,,
859.0,-34039671.52820485,476,980000,2055,,,,,
,,481,990000,2054,0.0018,1.665122727201318e-11,20,13512517.0,0.05
438.0,-17244827.863404,486,1000000,2053,,,,,
562.8888888888889,-22285622.93756656,491,1010000,2053,,,,,
621.3076923076923,-24585350.14768877,496,1020000,2052,,,,,
