train/std,rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/explained_variance
1.1325000524520874,-75566.42117295999,14999,-13.863683700561523,0.0007,20845378.0,44971.484375,1686,43.05,177,300000,1.1920928955078125e-07
1.1320838928222656,-117786.70394012,15499,-13.863546371459961,0.0007,54885272.0,-32456.896484375,1686,51.17,183,310000,-1.1920928955078125e-07
1.1384178400039673,-90286.32165451,15999,-13.893575668334961,0.0007,16868022.0,24204.572265625,1685,29.37,189,320000,0.0
1.1402076482772827,-118052.07056775998,16499,-13.908388137817383,0.0007,1985436032.0,295671.625,1684,39.93,195,330000,-1.1920928955078125e-07
1.1457489728927612,-109308.15329736,16999,-13.95591926574707,0.0007,51164032.0,-53333.2890625,1684,39.53,201,340000,0.0
1.1473076343536377,-59392.05455918001,17499,-13.961027145385742,0.0007,2914125568.0,-397755.5625,1684,42.22,207,350000,1.7881393432617188e-07
1.1507363319396973,-84293.99389915001,17999,-13.988832473754883,0.0007,23492372.0,-2069.95849609375,1684,46.79,213,360000,0.0
1.1349806785583496,-62128.623924039995,18499,-13.855031967163086,0.0007,1023109248.0,186759.5,1686,52.81,219,370000,0.0
1.1463854312896729,-123176.75216000002,18999,-13.94371223449707,0.0007,3107095552.0,-398406.15625,1687,28.3,225,380000,0.0
1.1592007875442505,-39797.97027111,19499,-14.043130874633789,0.0007,45209288.0,61114.83203125,1687,41.99,231,390000,0.0
1.1509498357772827,-19094.912940749997,19999,-13.979494094848633,0.0007,506992192.0,-40116.8203125,1689,68.35,236,400000,1.7881393432617188e-07
1.1598747968673706,-95480.24138897001,20499,-14.042837142944336,0.0007,15276246.0,-19721.9609375,1690,56.85,242,410000,-1.1920928955078125e-07
1.1616159677505493,-88007.62625518999,20999,-14.066789627075195,0.0007,10039394.0,28441.693359375,1690,42.21,248,420000,0.0
1.1622824668884277,-103736.88177060001,21499,-14.063848495483398,0.0007,1507602048.0,-227270.96875,1691,69.86,254,430000,0.0
1.1665278673171997,-66587.14839928,21999,-14.108537673950195,0.0007,1002403008.0,-126538.359375,1692,29.24,259,440000,0.0
1.174537181854248,-81071.99004353,22499,-14.166326522827148,0.0007,2383264256.0,-302114.375,1692,39.71,265,450000,0.0
1.1732579469680786,-56586.65150412999,22999,-14.161903381347656,0.0007,957967.3125,10169.458984375,1693,36.42,271,460000,-1.1920928955078125e-07
1.1652363538742065,-126946.88426278999,23499,-14.10285758972168,0.0007,2343630080.0,-354259.3125,1695,47.55,277,470000,0.0
1.1698139905929565,-89227.69750561997,23999,-14.136734008789062,0.0007,1872443392.0,-282328.53125,1696,20.13,282,480000,-1.1920928955078125e-07
1.178499698638916,-81962.10392365001,24499,-14.187881469726562,0.0007,3812576768.0,-498976.0,1696,22.25,288,490000,0.0
1.1794655323028564,-67629.18998683,24999,-14.203756332397461,0.0007,1456947968.0,-200361.234375,1698,81.12,294,500000,0.0
1.1799569129943848,-98276.08609208999,25499,-14.217023849487305,0.0007,1291051008.0,-239227.90625,1699,114.06,300,510000,0.0
1.183136224746704,-116132.91661184002,25999,-14.237459182739258,0.0007,533281376.0,-58555.42578125,1701,116.5,305,520000,0.0
1.1626747846603394,-19376.92359156,26499,-14.080886840820312,0.0007,965879936.0,-130987.921875,1702,60.06,311,530000,1.1920928955078125e-07
1.1691298484802246,-211556.12474157996,26999,-14.131441116333008,0.0007,20108872.0,-31418.021484375,1703,108.4,317,540000,1.1920928955078125e-07
1.175398349761963,-250608.687626,27499,-14.180074691772461,0.0007,2175362.5,8431.21484375,1704,187.99,322,550000,-1.1920928955078125e-07
1.1773260831832886,-61693.6028375,27999,-14.188455581665039,0.0007,2923687.5,13889.787109375,1706,184.94,328,560000,0.0
1.1760374307632446,-57638.02382325,28499,-14.176546096801758,0.0007,118562768.0,-116366.5234375,1707,175.92,333,570000,-2.384185791015625e-07
1.1736013889312744,-85874.55159952,28999,-14.143579483032227,0.0007,3553826304.0,-573841.625,1708,135.46,339,580000,0.0
