train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/std,rollout/ep_len_mean,train/loss,time/total_timesteps,time/time_elapsed,train/approx_kl,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean
-0.0004152001702095731,0.2,0.0,0.0003,-17.025973618030548,38840820529.6,0.999927818775177,45.21,19931066368.0,150000,168,0.00010413086,887,0.0,180,-675489.2965656699
-0.0002364385458349716,0.2,0.0,0.0003,-17.02580129802227,37491578500.8,0.9998247027397156,58.95,21277001728.0,160000,179,4.129077e-05,892,-1.1920928955078125e-07,190,-863456.7958403002
-0.00033543035096954553,0.2,0.0,0.0003,-17.024639634788038,39687905049.6,0.9997385144233704,43.8,19154710528.0,170000,189,7.097738e-05,895,-2.384185791015625e-07,200,-656076.02684602
-0.0002514949610485928,0.2,0.0,0.0003,-17.02378159761429,38154553113.6,0.999678373336792,55.38,20446642176.0,180000,200,3.877585e-05,899,0.0,210,-815339.86784509
-0.0003142524576105643,0.2,0.0,0.0003,-17.023391097784042,39631302841.6,0.9996519088745117,58.88,19659507712.0,190000,215,6.531706e-05,883,-1.1920928955078125e-07,230,-850753.4760005799
-0.00047341461322503164,0.2,0.0,0.0003,-17.022684761881827,39916577747.2,0.9995866417884827,52.2,19288264704.0,200000,225,0.00010859976,887,-1.1920928955078125e-07,240,-770431.86020463
-0.0003706127612531418,0.2,0.0,0.0003,-17.022404335439205,37353381520.0,0.9996033310890198,55.18,19252719616.0,210000,235,9.6921365e-05,890,0.0,250,-804288.67005422
-0.0006542472137880395,0.2,0.0,0.0003,-17.02194542437792,38935576008.0,0.9995116591453552,45.66,18402496512.0,220000,246,0.0001786944,893,0.0,260,-677623.98562731
-0.00036011031734233255,0.2,0.0,0.0003,-17.02215159088373,39578968868.8,0.9996015429496765,54.37,19284090880.0,230000,261,7.52871e-05,880,-1.1920928955078125e-07,280,-797815.39961887
-0.00030023588387848574,0.2,0.0,0.0003,-17.022523246705532,40023113012.8,0.9996097087860107,47.54,19397464064.0,240000,271,6.0144077e-05,883,-2.384185791015625e-07,290,-707991.8556039901
-0.0004776642084834748,0.2,0.0,0.0003,-17.022188736498357,40275358998.4,0.9995439052581787,51.78,20553955328.0,250000,281,0.00011951968,886,0.0,300,-760238.6866425802
