train/n_updates,time/time_elapsed,train/explained_variance,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,rollout/ep_rew_mean,time/fps,train/kl_divergence_loss,train/std,train/value_loss
86,659,1.1920928955078125e-07,710000,0.001,3.03,1.0,0.056377112865448,-136723.60580865,1076,0.007759493310004473,0.7594009637832642,12104396734.4
87,668,0.0,720000,0.001,3.03,1.0,0.014328476041555405,-136781.57141401002,1077,0.005626757629215717,0.759167492389679,11968416139.2
89,679,0.0,730000,0.001,3.01,1.0,0.035861700773239136,-136319.13509383,1074,0.009164463728666306,0.7555037140846252,11887432833.6
90,688,0.0,740000,0.001,3.01,1.0,0.007819029502570629,-136292.89358585,1074,0.009758401662111282,0.7560821175575256,11856194729.6
91,697,0.0,750000,0.001,3.02,1.0,0.03266819939017296,-136634.76174390002,1074,0.009584875777363777,0.7525890469551086,12098970392.0
92,707,0.0,760000,0.001,3.06,1.0,0.012393155135214329,-137316.00155558003,1074,0.006494867615401745,0.7530521750450134,11893050489.6
93,715,5.960464477539063e-08,770000,0.001,3.08,1.0,0.010031020268797874,-137743.82975243,1075,0.00584268057718873,0.7515289187431335,11939182556.8
95,726,-1.1920928955078125e-07,780000,0.001,3.04,1.0,0.010711823590099812,-136886.92560616,1074,0.0060568698681890965,0.7484433054924011,11845561265.6
96,735,-1.1920928955078125e-07,790000,0.001,3.07,1.0,0.018643615767359734,-137745.11014222,1074,0.008707491680979729,0.7466296553611755,11862114657.6
97,743,1.1920928955078125e-07,800000,0.001,3.02,1.0,0.03125502169132233,-136643.08752384997,1075,0.0056415158323943615,0.7454140782356262,11912762134.4
98,752,0.0,810000,0.001,3.13,1.0,0.009990287013351917,-139118.36800903,1076,0.007200696971267462,0.7436595559120178,11853999897.6
100,762,-1.1920928955078125e-07,820000,0.001,3.01,1.0,0.02429305575788021,-136393.33211959002,1074,0.006743977311998606,0.7429799437522888,11772910451.2
101,771,0.0,830000,0.001,3.0,1.0,0.02237815037369728,-136144.98262134,1075,0.007136734202504158,0.7423749566078186,11776344830.4
102,780,0.0,840000,0.001,3.0,1.0,0.014324691146612167,-136119.51218582,1076,0.0068645598366856575,0.7420787215232849,11743547019.2
103,789,0.0,850000,0.001,3.0,1.0,0.016466384753584862,-136108.56834502998,1077,0.007253441493958235,0.7427787780761719,11732923537.6
104,798,0.0,860000,0.001,3.0,1.0,0.016972456127405167,-136109.94895721003,1077,0.006592486519366503,0.7416908144950867,11722920716.8
106,808,-1.1920928955078125e-07,870000,0.001,3.01,1.0,0.03335650637745857,-136384.64066123002,1075,0.008356809616088867,0.7395833730697632,11713846097.6
107,817,-1.1920928955078125e-07,880000,0.001,3.0,1.0,0.025195397436618805,-136152.92072981,1075,0.007095379754900932,0.7377628087997437,11698710547.2
108,827,0.0,890000,0.001,3.01,1.0,0.025414131581783295,-136331.32856088004,1076,0.007051980588585138,0.734812319278717,11694685918.4
109,835,0.0,900000,0.001,3.0,1.0,0.028012137860059738,-136159.53307144,1076,0.006256340071558952,0.734142541885376,11692808680.0
111,846,0.0,910000,0.001,3.0,1.0,0.020550718531012535,-136123.90108254002,1075,0.007047351915389299,0.7350454926490784,11667440699.2
112,855,0.0,920000,0.001,3.0,1.0,0.0195033960044384,-136165.69995047,1075,0.006085613276809454,0.7354462146759033,11657984356.8
113,864,0.0,930000,0.001,3.01,1.0,0.02715442329645157,-136338.28969280998,1076,0.008847473189234734,0.7357034683227539,11655013232.0
114,873,0.0,940000,0.001,3.0,1.0,0.025479644536972046,-136153.92709282003,1076,0.007682294584810734,0.7342196106910706,11651458304.0
115,882,0.0,950000,0.001,3.01,1.0,0.018856164067983627,-136314.13663528,1076,0.0076680537313222885,0.7346771359443665,11632308979.2
117,892,0.0,960000,0.001,3.0,1.0,0.03253161534667015,-136144.37453108,1075,0.009521514177322388,0.7351366281509399,11663448636.8
118,901,5.960464477539063e-08,970000,0.001,3.01,1.0,0.02497115544974804,-136348.71784751,1075,0.009630014188587666,0.7348635792732239,11612336964.8
119,910,0.0,980000,0.001,3.01,1.0,0.03183918446302414,-136340.06968967998,1076,0.009747926145792007,0.7333996891975403,11634013065.6
120,919,0.0,990000,0.001,3.03,1.0,0.021514365449547768,-136717.06196179998,1077,0.005990713834762573,0.7341400980949402,11604369755.2
122,929,0.0,1000000,0.001,3.04,1.0,0.03173132985830307,-137114.78427622,1075,0.009069426916539669,0.734878659248352,11594605592.0
