time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/return_std,train/delta_std,train/step_size,train/iterations,train/learning_rate
810000,1754,803.1333333333333,-40153304.19062467,461,,,,,
820000,1754,150.85714285714286,-7332664.5576121425,467,19990616.0,0.05,1.1255280561728309e-11,19,0.0018
830000,1754,339.55555555555554,-16852949.774412222,473,,,,,
840000,1754,466.2307692307692,-23253662.575468842,478,,,,,
850000,1754,1000.0,-50182380.354314,484,25561930.0,0.05,8.802152583198275e-12,20,0.0018
860000,1754,672.6666666666666,-33623140.216385,490,,,,,
870000,1755,754.5,-37709999.4638205,495,,,,,
880000,1755,648.2857142857143,-32399668.156774353,501,,,,,
890000,1755,1000.0,-50243085.297524,507,24854058.0,0.05,9.052847013690801e-12,21,0.0018
900000,1755,1000.0,-50181716.62979925,512,,,,,
910000,1755,505.0,-25202430.540690333,518,,,,,
920000,1755,1000.0,-49919605.903392,524,25769656.0,0.05,8.731198923583872e-12,22,0.0018
930000,1755,1000.0,-50082107.871954,529,,,,,
940000,1755,605.9,-30222351.8172127,535,,,,,
950000,1755,620.7692307692307,-30961380.512853768,541,,,,,
960000,1755,13.0,-315601.618403,546,23786854.0,0.05,9.459006494738631e-12,23,0.0018
970000,1755,506.75,-25269669.89202775,552,,,,,
980000,1755,718.1428571428571,-35903443.92136343,558,,,,,
990000,1756,703.6,-35175416.855896994,563,,,,,
1000000,1756,772.0,-38605157.17961569,569,,,,,
