train/value_loss,train/std,time/time_elapsed,train/policy_objective,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,train/is_line_search_success,rollout/ep_rew_mean,train/kl_divergence_loss
2313102026.0,0.8596080541610718,260,0.08808521926403046,42,0.0013,54.62,1345,350000,0.0,1.0,-92850.78351842001,0.007137854117900133
2111241463.8,0.8561750054359436,267,0.086311474442482,43,0.0013,50.66,1346,360000,0.0,1.0,-84026.70164202999,0.007948052138090134
2251191787.0,0.85213702917099,275,0.08631941676139832,45,0.0013,51.79,1341,370000,0.0,1.0,-75559.90733267,0.007105535827577114
2212163649.6,0.8479138016700745,283,0.07893931865692139,46,0.0013,51.92,1341,380000,0.0,1.0,-75780.38392623,0.007214257959276438
2094866151.2,0.8450474143028259,290,0.07392319291830063,47,0.0013,50.17,1341,390000,0.0,1.0,-40269.27178906,0.00740432133898139
1932025822.2,0.8410825729370117,298,0.0787273645401001,48,0.0013,51.34,1342,400000,0.0,1.0,-29106.81623453,0.007340316195040941
1968439067.8,0.8373094201087952,306,0.08355899155139923,50,0.0013,50.69,1337,410000,0.0,1.0,-32717.25430321,0.007415898144245148
1833453457.8,0.8334992527961731,313,0.08136220276355743,51,0.0013,54.53,1337,420000,0.0,1.0,-23529.32307015,0.007900797761976719
2217997549.2,0.8319388031959534,321,0.07990043610334396,52,0.0013,42.71,1337,430000,0.0,1.0,-13406.4086014,0.008006195537745953
2292723790.0,0.8310376405715942,328,0.07064742594957352,53,0.0013,47.53,1337,440000,-1.1920928955078125e-07,1.0,-4571.958939290001,0.007973486557602882
2002005540.0,0.830126166343689,336,0.07875416427850723,54,0.0013,51.35,1337,450000,0.0,1.0,-16317.01201368,0.007834885269403458
1786747131.6,0.8235543966293335,345,0.07591801881790161,56,0.0013,48.42,1332,460000,0.0,1.0,10642.82151866,0.00806540995836258
1807676104.8,0.8213512301445007,352,0.07953310757875443,57,0.0013,48.59,1333,470000,0.0,1.0,15255.020502799998,0.008028521202504635
1709646489.7,0.8202469348907471,359,0.08116313815116882,58,0.0013,44.15,1333,480000,5.960464477539063e-08,1.0,51959.96358371001,0.008164571598172188
1781528250.0,0.8201528787612915,367,0.07225104421377182,59,0.0013,46.01,1333,490000,0.0,1.0,45265.1393707,0.007138300221413374
1762918012.8,0.8164082169532776,376,0.07406707853078842,61,0.0013,46.68,1329,500000,0.0,1.0,44309.01835099,0.008310982957482338
1988074109.8,0.8123184442520142,383,0.07727716118097305,62,0.0013,41.28,1329,510000,0.0,1.0,58458.86076075001,0.007971447892487049
1912659691.2,0.8108015656471252,391,0.06515222787857056,63,0.0013,39.21,1329,520000,0.0,1.0,65105.927364760006,0.00800508912652731
2080659988.0,0.8102858662605286,398,0.07843104004859924,64,0.0013,35.26,1329,530000,0.0,1.0,70795.52869305,0.008291598409414291
2228944182.2,0.8088480830192566,406,0.07614517956972122,65,0.0013,33.94,1329,540000,0.0,1.0,75568.10618633,0.008026525378227234
2358169167.6,0.799629271030426,415,0.07500897347927094,67,0.0013,33.44,1324,550000,-1.1920928955078125e-07,1.0,84035.98850586,0.008027381263673306
2675934118.8,0.7963283061981201,422,0.07972723245620728,68,0.0013,28.36,1324,560000,0.0,1.0,95743.81412786,0.008342843502759933
2782882818.4,0.7934430837631226,430,0.06977564841508865,69,0.0013,27.42,1323,570000,0.0,1.0,101825.33624359,0.008318010717630386
2937934924.8,0.7897800207138062,438,0.05856878682971001,70,0.0013,28.65,1323,580000,0.0,1.0,101296.57633387,0.008377919904887676
2993997074.8,0.7861467599868774,447,0.07576905936002731,72,0.0013,27.16,1318,590000,-1.1920928955078125e-07,1.0,107209.58089238999,0.008277391083538532
3445210876.0,0.784017026424408,455,0.0677017867565155,73,0.0013,25.57,1318,600000,0.0,1.0,109868.11939895999,0.008498173207044601
3633169846.4,0.7825127840042114,462,0.07022517919540405,74,0.0013,24.44,1317,610000,5.960464477539063e-08,1.0,109693.89641959999,0.008248689584434032
3925440259.6,0.7788801193237305,470,0.08184967935085297,75,0.0013,19.82,1317,620000,0.0,1.0,115889.56166537,0.00874230545014143
4235918590.4,0.7758288979530334,478,0.07353721559047699,76,0.0013,19.84,1316,630000,0.0,1.0,121162.9719391,0.008717783726751804
5051524350.4,0.7690380215644836,487,0.07383426278829575,78,0.0013,17.03,1312,640000,-1.1920928955078125e-07,1.0,123027.9,0.008466764353215694
5480560390.4,0.7679916024208069,495,0.07206527143716812,79,0.0013,20.4,1311,650000,0.0,1.0,113835.05569278,0.009621363133192062
