time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/return_std,train/iterations,train/step_size,train/learning_rate,train/delta_std
1543,323,918.1666666666666,500000,-46003512.795348324,,,,,
1544,330,,510000,,16999284.0,9,1.4706501294536878e-10,0.02,0.05
1544,336,670.0,520000,-33538872.379934996,,,,,
1544,343,716.7142857142857,530000,-35874507.730780855,,,,,
1544,349,703.8,540000,-35229196.6052271,,,,,
1544,356,718.0714285714286,550000,-35967172.830169715,,,,,
1543,362,6.0,560000,-198519.433312,22233114.0,10,1.124448867351191e-10,0.02,0.05
1542,369,751.5,570000,-37643861.3019325,,,,,
1541,376,834.3333333333334,580000,-41824541.493101664,,,,,
1539,383,801.8,590000,-40183008.56553359,,,,,
1539,389,771.1538461538462,600000,-38653573.89964308,,,,,
1537,396,,610000,,20096696.0,11,1.243985470189557e-10,0.02,0.05
1536,403,669.6666666666666,620000,-33579501.21553267,,,,,
1535,410,716.5714285714286,630000,-35955775.27587285,,,,,
1535,416,702.4,640000,-35231452.3854825,,,,,
1534,423,669.4,650000,-33555418.6107884,,,,,
1532,430,1000.0,660000,-50101643.936679,23909062.0,12,1.045628653106867e-10,0.02,0.05
1532,437,1000.0,670000,-50096589.32298775,,,,,
1532,443,1000.0,680000,-50132084.50683683,,,,,
1532,450,807.7,690000,-40399679.88302209,,,,,
1531,457,791.6428571428571,700000,-39632529.3972225,,,,,
1530,463,,710000,,19817380.0,13,1.2615188060838278e-10,0.02,0.05
1530,470,433.42857142857144,720000,-21673906.350157287,,,,,
1530,476,559.3333333333334,730000,-27982749.156335555,,,,,
1530,483,6.0,740000,-196899.327009,25726198.0,14,9.71772037838825e-11,0.02,0.05
1530,490,405.0,750000,-20214367.8498576,,,,,
1530,496,559.7777777777778,760000,-28004034.470173668,,,,,
1530,503,587.75,770000,-29409503.321617667,,,,,
1531,509,,780000,,24929746.0,15,1.0028181063326258e-10,0.02,0.05
1532,515,670.0,790000,-33509957.688322667,,,,,
1532,521,717.0,800000,-35925149.70006514,,,,,
1533,528,779.8888888888889,810000,-39083152.44154389,,,,,
1533,534,716.5,820000,-35895856.64841165,,,,,
1533,541,,830000,,22319234.0,16,1.1201101157709559e-10,0.02,0.05
1533,547,504.5,840000,-25224947.08116533,,,,,
1533,554,628.375,850000,-31477766.303070497,,,,,
1533,560,669.5,860000,-33566413.63646016,,,,,
1533,567,716.7142857142857,870000,-35941612.485424355,,,,,
1533,573,503.5,880000,-25229939.268361498,22333610.0,17,1.1193890953054009e-10,0.02,0.05
1533,580,751.75,890000,-37721972.4472955,,,,,
1533,586,754.625,900000,-37843360.22608712,,,,,
1533,593,803.7,910000,-40323916.8179594,,,,,
1533,600,788.7857142857143,920000,-39577027.41519,,,,,
1532,606,,930000,,20047504.0,18,1.2470380283957638e-10,0.02,0.05
1532,613,1000.0,940000,-50198692.50320733,,,,,
1532,619,834.3333333333334,950000,-41879323.93461883,,,,,
1532,626,574.1428571428571,960000,-28786428.84570871,,,,,
1532,633,,970000,,24979774.0,19,1.0008096434921399e-10,0.02,0.05
1532,639,751.0,980000,-37679700.464769,,,,,
1532,646,715.7142857142857,990000,-35896678.06942643,,,,,
1532,652,801.0,1000000,-40187781.6601374,,,,,
1532,659,834.1666666666666,1010000,-41842728.27089617,,,,,
