time/total_timesteps,time/fps,train/explained_variance,train/policy_loss,train/value_loss,train/entropy_loss,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/std,rollout/ep_rew_mean
170000,1712,0.0,2262.35205078125,324883.5625,-9.376126289367676,8499,99,133.55,0.0007,1.1581143140792847,-172740.79674319
180000,1703,0.0,-19854.5546875,20006930.0,-9.431153297424316,8999,105,138.47,0.0007,1.1685563325881958,-146042.56810003
190000,1694,0.0,-523.2566528320312,3290.64404296875,-9.517522811889648,9499,112,152.46,0.0007,1.1848565340042114,-191082.33848888
200000,1687,0.0,-16062.3095703125,28114640.0,-9.52391242980957,9999,118,120.56,0.0007,1.1865938901901245,-167272.75662062
210000,1680,0.0,-9066.9306640625,10338045.0,-9.614950180053711,10499,124,176.32,0.0007,1.2046395540237427,-201569.31492443
220000,1673,0.0,-8878.470703125,10235329.0,-9.67273235321045,10999,131,205.74,0.0007,1.2178610563278198,-216613.24782858993
230000,1667,0.0,-614.7447509765625,5272.84912109375,-9.766281127929688,11499,137,246.74,0.0007,1.2354485988616943,-201818.14833985
240000,1670,1.1920928955078125e-07,-513.2849731445312,3088.61962890625,-9.723437309265137,11999,143,132.89,0.0007,1.2260950803756714,-118607.39444062
250000,1679,2.384185791015625e-07,-503.4945373535156,3053.118408203125,-9.675933837890625,12499,148,118.36,0.0007,1.2173153162002563,-139022.64120733002
260000,1687,0.0,-12422.6826171875,15178616.0,-9.722281455993652,12999,154,100.77,0.0007,1.2267628908157349,-161185.99784062
270000,1696,1.7881393432617188e-07,-572861.3125,4127590912.0,-9.811189651489258,13499,159,146.38,0.0007,1.245162010192871,-306222.60598618997
280000,1703,0.0,-510.48907470703125,2903.08154296875,-9.897987365722656,13999,164,181.22,0.0007,1.263447642326355,-1286926.05520673
290000,1710,1.1920928955078125e-07,-33770.9453125,35067204.0,-9.947220802307129,14499,169,95.21,0.0007,1.2744262218475342,-141642.19915737998
300000,1717,-1.1920928955078125e-07,-54865.7734375,496406944.0,-10.058686256408691,14999,174,108.87,0.0007,1.2961721420288086,-152257.94751487998
310000,1724,-1.1920928955078125e-07,-533.7888793945312,4862.0537109375,-10.111435890197754,15499,179,137.07,0.0007,1.308712363243103,-166220.02341969
320000,1730,-1.1920928955078125e-07,-18825.0859375,19986652.0,-10.205838203430176,15999,184,192.21,0.0007,1.3314547538757324,-210627.54042767998
330000,1735,-1.1920928955078125e-07,-468.29345703125,2701.208984375,-10.23792839050293,16499,190,164.45,0.0007,1.3386789560317993,-164644.06823576
340000,1740,0.0,-15819.1611328125,13949387.0,-10.298041343688965,16999,195,87.28,0.0007,1.3506789207458496,-164047.71116216
350000,1745,0.0,424.57940673828125,25906.86328125,-10.390734672546387,17499,200,120.03,0.0007,1.3730212450027466,-128174.96811994999
360000,1749,1.1920928955078125e-07,19048.09375,8970910.0,-10.442573547363281,17999,205,104.26,0.0007,1.383766531944275,-140107.21579377
370000,1753,0.0,-14667.5078125,15847778.0,-10.474159240722656,18499,210,125.63,0.0007,1.390285611152649,-135054.83226795
380000,1757,-2.384185791015625e-07,-13819.498046875,25721266.0,-10.527342796325684,18999,216,104.65,0.0007,1.4025774002075195,-136718.79134794002
390000,1760,0.0,-13199.5263671875,10258850.0,-10.530770301818848,19499,221,91.79,0.0007,1.4010947942733765,-168059.76834326
400000,1763,5.960464477539063e-08,-622.0416259765625,5271.9658203125,-10.505821228027344,19999,226,151.67,0.0007,1.3972954750061035,-165957.77056624
410000,1765,0.0,-278.037353515625,4750.95556640625,-10.506438255310059,20499,232,153.08,0.0007,1.3982787132263184,-160677.48788718
420000,1767,0.0,1211.472900390625,6055945.5,-10.523470878601074,20999,237,162.21,0.0007,1.4025635719299316,-175691.48789909002
430000,1770,-3.5762786865234375e-07,13687.865234375,3346660.5,-10.584677696228027,21499,242,177.48,0.0007,1.4161015748977661,-208097.30446991
440000,1771,0.0,332.895751953125,39365.3671875,-10.607047080993652,21999,248,173.13,0.0007,1.4220489263534546,-185257.03271716004
450000,1773,-1.1920928955078125e-07,6217.26904296875,954247.0,-10.598313331604004,22499,253,143.75,0.0007,1.4198206663131714,-162019.49748263
460000,1775,0.0,-10632.5703125,12535187.0,-10.586585998535156,22999,259,183.72,0.0007,1.4174871444702148,-221248.2137802
470000,1777,0.0,-11224.64453125,10391379.0,-10.604168891906738,23499,264,231.84,0.0007,1.4219942092895508,-228549.38636400003
480000,1779,1.1920928955078125e-07,-19048.7890625,20104172.0,-10.661016464233398,23999,269,332.0,0.0007,1.4383848905563354,-302631.10064098
490000,1781,0.0,-437.17230224609375,2156.72509765625,-10.715971946716309,24499,275,401.74,0.0007,1.4502464532852173,-326348.21719712997
500000,1783,0.0,-39576.65234375,40111512.0,-10.70352840423584,24999,280,384.62,0.0007,1.4490933418273926,-278259.05808380997
510000,1786,-1.1920928955078125e-07,-478.32952880859375,2092.776123046875,-10.74808406829834,25499,285,183.68,0.0007,1.460631251335144,-167920.26994547003
520000,1787,0.0,4058.82421875,955980.625,-10.695411682128906,25999,290,59.26,0.0007,1.449217438697815,-109403.64235442
530000,1789,0.0,1308.03466796875,89193.421875,-10.739072799682617,26499,296,111.92,0.0007,1.462239146232605,-217984.96403863002
540000,1791,-1.1920928955078125e-07,4443.52880859375,7115036.0,-10.792962074279785,26999,301,149.94,0.0007,1.4738550186157227,-246297.00213574
550000,1792,0.0,2384.948486328125,206417.40625,-10.817046165466309,27499,306,109.46,0.0007,1.482223391532898,-116260.94703853002
