time/total_timesteps,train/value_loss,train/clip_fraction,time/time_elapsed,train/entropy_loss,train/n_updates,train/std,train/learning_rate,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/explained_variance,time/fps
780000,17278543992.0,0.00042724609375,877,-21.249495331943034,950,1.4253543615341187,0.0017,-450871.54276232,8576363008.0,-0.0017000799540255684,0.2,31.97,0.0014376766,0.0,889
790000,16790107279.2,0.006201171875,887,-21.302220273017884,960,1.431533932685852,0.0017,-589846.30508072,8204292096.0,-0.0029155855556382447,0.2,43.72,0.0029561135,1.7881393432617188e-07,889
800000,17816618471.2,0.00201416015625,898,-21.351996147632597,970,1.437390923500061,0.0017,-397452.55704414,8870594560.0,-0.001626783584833902,0.2,28.14,0.0021952423,-1.1920928955078125e-07,890
810000,16369523168.0,0.00120849609375,908,-21.3992261454463,980,1.4429491758346558,0.0017,-450691.18678136996,8745623552.0,-0.0023509158765591563,0.2,32.34,0.0019753838,0.0,891
820000,16931238796.8,0.00528564453125,924,-21.49699110239744,1000,1.4547675848007202,0.0017,-472142.4615753601,8536007168.0,-0.0023126913818487084,0.2,34.31,0.002561365,1.7881393432617188e-07,887
830000,16450122663.2,0.001220703125,935,-21.547976434230804,1010,1.4615243673324585,0.0017,-428200.1518556201,7651117056.0,-0.0024439197883111773,0.2,30.48,0.0016512581,-1.1920928955078125e-07,887
840000,16559736693.6,0.00478515625,945,-21.600695042312147,1020,1.4674493074417114,0.0017,-483103.71148466,7906202624.0,-0.0031843871216551633,0.2,35.22,0.003106616,0.0,888
850000,16551239486.4,0.001318359375,956,-21.65015127658844,1030,1.4737972021102905,0.0017,-436690.84451304,8202924032.0,-0.0024371038904064334,0.2,31.35,0.0017335322,0.0,888
860000,16031649050.4,0.0010986328125,966,-21.696227461099625,1040,1.4788012504577637,0.0017,-492596.56617365003,8194292224.0,-0.002428655923540646,0.2,36.08,0.0020949251,2.980232238769531e-07,889
870000,15713799240.0,0.001416015625,982,-21.785204251110553,1060,1.4902955293655396,0.0017,-415635.54882909,7782384128.0,-0.001575913097076409,0.2,29.48,0.0018049129,0.0,885
880000,16068152354.4,0.006787109375,992,-21.84023035466671,1070,1.4981681108474731,0.0017,-481015.23265563,8431122432.0,-0.0034815912464182474,0.2,34.86,0.0030090525,0.0,886
890000,16103333911.2,0.003857421875,1003,-21.896463878452778,1080,1.5044161081314087,0.0017,-502778.03004854004,8581153280.0,-0.002438109671584243,0.2,36.61,0.0022077407,1.1920928955078125e-07,886
900000,16395092210.4,0.0019775390625,1014,-21.948658853769302,1090,1.511309266090393,0.0017,-476396.1981522901,7969252352.0,-0.002433381307764648,0.2,34.2,0.0019809245,-1.1920928955078125e-07,887
910000,16302115518.4,0.00010986328125,1029,-22.0481641754508,1110,1.5236040353775024,0.0017,-445697.87859485997,7941840896.0,-0.0014819163061474683,0.2,32.78,0.0011005504,0.0,884
920000,16216470431.2,0.00247802734375,1039,-22.095693297684193,1120,1.5294677019119263,0.0017,-438562.18989901,8226752000.0,-0.002739130950976687,0.2,30.92,0.0021543647,1.7881393432617188e-07,884
930000,16492263833.6,0.00294189453125,1050,-22.145085521042347,1130,1.5362406969070435,0.0017,-445192.87480229995,8346083328.0,-0.0023565825258629047,0.2,31.73,0.0025188967,-2.384185791015625e-07,885
940000,16244379924.0,0.001806640625,1061,-22.194879522919656,1140,1.5422606468200684,0.0017,-427756.93154772,8336815616.0,-0.0023899381994851865,0.2,30.19,0.0020794866,0.0,885
950000,16387372456.0,0.00350341796875,1072,-22.24378749281168,1150,1.5486997365951538,0.0017,-455625.37365619995,7953509376.0,-0.0026512441769227734,0.2,32.51,0.0025487076,0.0,886
960000,15763319916.8,0.0056640625,1087,-22.342967589199542,1170,1.5615192651748657,0.0017,-472934.71666438,7622584320.0,-0.0026654770443201416,0.2,34.61,0.0027515544,-2.384185791015625e-07,882
970000,15597173560.8,0.003564453125,1098,-22.392224007844924,1180,1.5681251287460327,0.0017,-530008.63629214,7731922432.0,-0.002613787667360157,0.2,38.64,0.0022351982,0.0,883
980000,17094994047.2,0.0006103515625,1109,-22.44231623262167,1190,1.5747971534729004,0.0017,-518340.81733219005,9691369472.0,-0.0015678130588639761,0.2,38.36,0.0014450187,-2.384185791015625e-07,883
990000,16218989110.4,0.0005859375,1119,-22.493549506366254,1200,1.581605315208435,0.0017,-492232.08848101,8304522240.0,-0.001786981449549785,0.2,35.5,0.001521199,-3.5762786865234375e-07,883
1000000,16268690509.6,0.00511474609375,1135,-22.584424196183683,1220,1.5925582647323608,0.0017,-555822.5124633401,7017227776.0,-0.0019956132735387657,0.2,41.88,0.0023263367,-2.384185791015625e-07,880
