time/fps,time/total_timesteps,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,time/episodes,train/learning_rate,rollout/ep_rew_mean
140,320000,95.13581085205078,10795.244140625,365.39,2283,79974,-0.029106497764587402,1599570.375,46370,0.0003,-10844250.138661198
139,330000,94.5508804321289,8750.9482421875,372.44,2361,82474,1.4919826984405518,1675356.625,46402,0.0003,-11045219.73479539
139,340000,85.78164672851562,9395.44140625,246.03,2438,84974,0.43370452523231506,1657283.625,46459,0.0003,-7269630.212151181
139,350000,83.29135131835938,12500.376953125,77.01,2516,87474,6.356672286987305,1942307.25,46568,0.0003,-2224459.66002191
138,360000,81.1523666381836,14191.8779296875,29.56,2593,89974,0.4177037477493286,1947482.75,46745,0.0003,-811079.7685583101
138,370000,84.24210357666016,23891.451171875,114.22,2671,92474,-2.7581419944763184,1833736.75,46791,0.0003,-3306642.00625732
138,380000,93.95816040039062,21631.134765625,201.14,2749,94974,-2.183187484741211,1653135.875,46832,0.0003,-5797077.00181605
137,390000,100.78739166259766,13672.0,94.9,2827,97474,-4.079765319824219,1915688.125,46934,0.0003,-2724333.6707143397
137,400000,101.66819763183594,10090.6123046875,164.34,2905,99974,5.950643539428711,1764584.125,46979,0.0003,-4751627.54723649
137,410000,111.97306823730469,19196.04296875,114.23,2983,102474,-1.408241868019104,1805360.625,47077,0.0003,-3292967.2011951804
137,420000,110.28572082519531,16296.7412109375,114.08,3061,104974,2.157440185546875,2059264.75,47142,0.0003,-3315454.73729781
136,430000,114.20870971679688,15426.22265625,134.95,3139,107474,1.2348984479904175,1929658.75,47207,0.0003,-4006344.99461223
136,440000,125.41525268554688,9386.4345703125,84.34,3217,109974,4.1592278480529785,2070929.75,47323,0.0003,-2506727.3692252
136,450000,133.86367797851562,9183.970703125,74.7,3296,112474,-2.182861804962158,1841485.5,47504,0.0003,-2205684.8892492997
136,460000,146.1891632080078,15105.7216796875,24.95,3374,114974,-2.421656847000122,1799632.5,47782,0.0003,-697651.61788133
136,470000,148.60690307617188,22294.640625,66.77,3452,117474,-2.6516194343566895,2127306.0,47943,0.0003,-1675462.38347471
135,480000,156.32192993164062,9339.7724609375,15.52,3530,119974,6.579280376434326,2078627.25,48486,0.0003,-448285.6758897899
135,490000,166.3353729248047,19431.251953125,13.58,3608,122474,6.577297210693359,1797320.625,50005,0.0003,-383214.74119391
135,500000,171.5733642578125,11847.69921875,3.99,3686,124974,0.9221986532211304,1931842.75,52130,0.0003,-111724.17480749
135,510000,185.98216247558594,11503.1015625,4.23,3765,127474,-0.018217384815216064,2156342.0,54354,0.0003,-114461.80225276001
135,520000,200.1237335205078,13415.189453125,4.52,3843,129974,-0.4546486735343933,1871228.125,56552,0.0003,-118027.2213718
135,530000,214.6461639404297,22750.9453125,4.0,3917,132474,-3.6936845779418945,1802933.25,59017,0.0003,-104559.37781109
135,540000,229.1339111328125,11280.4501953125,4.13,3991,134974,2.430985927581787,1710219.375,60886,0.0003,-104448.74607365999
135,550000,231.9510955810547,26807.423828125,4.06,4064,137474,-1.8210299015045166,1700392.625,63319,0.0003,-102576.78256538002
135,560000,226.9967803955078,17917.87890625,4.0,4140,139974,-1.9445003271102905,1846375.25,65817,0.0003,-100535.37621273001
135,570000,230.51979064941406,26859.65625,4.01,4218,142474,-4.312616348266602,1740217.75,68059,0.0003,-100742.53611315001
134,580000,232.9508819580078,10821.822265625,4.0,4296,144974,-0.8953244090080261,1653497.625,70550,0.0003,-100144.03766951998
134,590000,232.0482177734375,11068.373046875,4.0,4373,147474,-1.4636927843093872,1397449.75,72939,0.0003,-100233.80471149001
134,600000,234.60569763183594,13800.1435546875,4.0,4446,149974,-2.017913341522217,1570695.875,75373,0.0003,-100102.58958220002
134,610000,244.4069366455078,8857.5673828125,4.0,4520,152474,0.6204734444618225,1485694.125,77869,0.0003,-100201.68050636
134,620000,250.77752685546875,13089.91015625,4.0,4594,154974,-2.4900765419006348,1539219.0,80367,0.0003,-100008.82679264001
134,630000,243.94668579101562,15043.125,4.0,4668,157474,1.1577060222625732,1631059.625,82863,0.0003,-100004.42588185999
134,640000,246.66893005371094,12965.130859375,4.0,4741,159974,6.027835845947266,1409146.125,85335,0.0003,-99988.69284344999
134,650000,245.98486328125,19213.181640625,6.04,4815,162474,2.824766159057617,1310538.5,87386,0.0003,-160390.42039995
134,660000,250.82763671875,8954.349609375,14.29,4889,164974,-0.022706210613250732,1503463.5,88343,0.0003,-371702.74409736
134,670000,250.59844970703125,14746.796875,4.58,4962,167474,3.622499704360962,1427267.75,88848,0.0003,-110675.50831177001
134,680000,247.9642791748047,26690.26171875,8.5,5037,169974,7.009225845336914,1229845.0,89327,0.0003,-190983.75654844
134,690000,248.21766662597656,25851.607421875,5.46,5112,172474,1.3666008710861206,1323060.125,90004,0.0003,-128335.09045354002
134,700000,245.74534606933594,12941.884765625,14.03,5191,174974,0.8138362765312195,1380559.125,90831,0.0003,-372924.7594799101
134,710000,226.63262939453125,16620.80078125,4.0,5270,177474,0.6779075264930725,1481641.625,92613,0.0003,-100149.09364349996
134,720000,227.3746337890625,15426.7080078125,4.0,5349,179974,1.4573581218719482,1516290.5,94962,0.0003,-100150.37325891001
134,730000,201.3696746826172,9543.4150390625,4.0,5428,182474,1.5990616083145142,1389968.25,97199,0.0003,-100070.05570335999
134,740000,184.45689392089844,15802.396484375,4.0,5507,184974,-1.0929157733917236,1365958.25,99131,0.0003,-99976.86528798997
134,750000,184.4248809814453,7997.333984375,4.0,5586,187474,0.7572596073150635,1347044.875,101315,0.0003,-99936.54075898002
134,760000,184.14088439941406,10984.865234375,3.98,5666,189974,3.33650279045105,1273141.25,103666,0.0003,-99947.70127611
134,770000,182.18389892578125,8725.130859375,3.99,5745,192474,-0.5526699423789978,1234689.375,105988,0.0003,-99932.51924071001
133,780000,173.54417419433594,14808.9326171875,3.95,5825,194974,-3.152754783630371,1391824.0,108510,0.0003,-99954.31197430001
133,790000,179.27902221679688,7223.7861328125,3.86,5904,197474,6.09824275970459,1187868.25,111071,0.0003,-99953.52364439997
133,800000,166.24252319335938,14853.0576171875,3.74,5981,199974,-2.452846050262451,1245983.125,113685,0.0003,-99943.84629941001
133,810000,165.5625,5951.59375,3.61,6057,202474,1.358500599861145,1220998.0,116400,0.0003,-99966.8071591
133,820000,154.60780334472656,9817.9638671875,3.43,6133,204974,0.6558369398117065,994442.3125,119187,0.0003,-99986.08420186
133,830000,147.46942138671875,9733.744140625,3.38,6211,207474,1.9846792221069336,1107663.5,122134,0.0003,-99983.25208872
133,840000,139.2798614501953,4358.10498046875,3.37,6290,209974,4.934503078460693,995388.0625,125048,0.0003,-99988.49167504002
133,850000,136.09718322753906,4315.1015625,3.34,6363,212474,-2.193307876586914,1057077.25,128073,0.0003,-99995.07510993998
133,860000,127.26827239990234,10018.583984375,3.54,6435,214974,1.1512253284454346,922969.625,130887,0.0003,-99986.99307468
133,870000,121.20368194580078,9311.2958984375,3.57,6508,217474,-4.1148152351379395,939994.5625,133477,0.0003,-99986.72216345002
133,880000,114.73780822753906,5180.658203125,3.69,6580,219974,-0.6274269819259644,1038551.125,135940,0.0003,-99983.71147398998
133,890000,114.7938461303711,5034.6103515625,3.8,6653,222474,2.8881869316101074,977632.625,138377,0.0003,-99974.18074081
133,900000,110.90949249267578,8351.5185546875,3.84,6725,224974,0.005748629570007324,972146.375,140342,0.0003,-99990.08137586001
133,910000,104.03994750976562,15933.890625,4.79,6797,227474,-3.8892440795898438,1054589.75,142310,0.0003,-110185.66916117
133,920000,100.92142486572266,4914.62353515625,3.96,6870,229974,-0.34341853857040405,895277.25,144134,0.0003,-100004.90360571
133,930000,98.63412475585938,13064.68359375,4.28,6942,232474,-2.9492251873016357,946863.625,145710,0.0003,-104062.91591196002
133,940000,90.91580963134766,5374.669921875,3.96,7015,234974,1.792297601699829,920658.375,147964,0.0003,-99997.64428692
134,950000,86.67630767822266,9649.1533203125,4.8,7087,237474,-3.0885658264160156,996796.625,149925,0.0003,-119892.158667
134,960000,83.3738784790039,5228.7138671875,3.91,7159,239974,2.3874921798706055,928950.875,151674,0.0003,-100010.66263843
134,970000,84.67733764648438,9029.138671875,3.94,7230,242474,2.1761488914489746,1018862.1875,153968,0.0003,-100008.21465240998
134,980000,83.8409652709961,8156.14697265625,3.94,7302,244974,2.949848175048828,881702.75,155732,0.0003,-100007.37509330001
134,990000,85.09931945800781,12300.0654296875,3.87,7374,247474,2.823254108428955,1020091.125,158087,0.0003,-100002.99049819
134,1000000,81.25780487060547,6632.03466796875,3.81,7446,249974,-5.729517459869385,1039216.25,160614,0.0003,-99996.71065484002
