time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/fps,train/policy_loss,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/value_loss
230000,-143020.25839904998,11499,1623,-585.4884033203125,1.0319679975509644,-8.694867134094238,0.0,0.0007,320.94,141,6051.37744140625
240000,-188131.54719039,11999,1621,10331.162109375,1.0491803884506226,-8.797789573669434,0.0,0.0007,295.57,147,8371977.0
250000,-224434.79662972997,12499,1620,-449.0411071777344,1.0379329919815063,-8.730361938476562,1.1920928955078125e-07,0.0007,340.76,154,2958.89306640625
260000,-225526.30282813002,12999,1619,-445.4845275878906,1.0486222505569458,-8.785234451293945,0.0,0.0007,385.62,160,4036.45166015625
270000,-213677.30525956,13499,1618,-1336.7618408203125,1.0587657690048218,-8.843795776367188,5.960464477539063e-08,0.0007,421.22,166,33770.6328125
280000,-303096.72343551,13999,1618,5766.79931640625,1.0799719095230103,-8.95638370513916,-1.1920928955078125e-07,0.0007,481.39,172,1781851.25
290000,-273048.44646392,14499,1619,-135125.59375,1.090167760848999,-9.014189720153809,0.0,0.0007,504.22,179,1459433216.0
300000,-255716.05157219002,14999,1618,-18951.970703125,1.0900639295578003,-9.014330863952637,1.7881393432617188e-07,0.0007,525.71,185,19993766.0
310000,-261450.99714463003,15499,1618,-422.6839294433594,1.0961040258407593,-9.044530868530273,-1.1920928955078125e-07,0.0007,490.62,191,3713.78271484375
320000,-198368.91120074,15999,1617,-704.0081787109375,1.1132845878601074,-9.1381196975708,0.0,0.0007,423.0,197,10445.5693359375
330000,-96808.06884809003,16499,1617,-705.840576171875,1.1122034788131714,-9.131882667541504,-1.1920928955078125e-07,0.0007,287.55,204,11144.662109375
340000,-126059.63538624,16999,1616,-178420.09375,1.1118870973587036,-9.133474349975586,1.7881393432617188e-07,0.0007,50.83,210,1921464320.0
350000,-136492.46565204003,17499,1615,-871.9876708984375,1.1110390424728394,-9.131942749023438,-1.1920928955078125e-07,0.0007,94.32,216,19618.478515625
360000,-145129.56885317003,17999,1615,296.85675048828125,1.095894694328308,-9.050127029418945,1.1920928955078125e-07,0.0007,143.77,222,162882.875
370000,-143427.76963158004,18499,1615,-8543.224609375,1.1091276407241821,-9.12322998046875,0.0,0.0007,181.77,228,10365389.0
380000,-121922.12062942,18999,1616,14965.5830078125,1.1116443872451782,-9.139104843139648,-2.384185791015625e-07,0.0007,208.59,235,12540154.0
390000,-133370.75478732,19499,1618,-752.4293212890625,1.1222485303878784,-9.196457862854004,0.0,0.0007,235.38,241,12585.634765625
400000,-135745.12484734,19999,1619,13614.3388671875,1.1238988637924194,-9.205497741699219,0.0,0.0007,293.26,247,8139223.0
410000,-137578.82171537998,20499,1620,-371.3959045410156,1.1241663694381714,-9.204911231994629,0.0,0.0007,354.94,252,2198.656494140625
420000,-151421.98376281,20999,1622,-69934.375,1.1320244073867798,-9.2467679977417,0.0,0.0007,377.83,258,984495424.0
430000,-135943.41931345002,21499,1624,4129.880859375,1.1401878595352173,-9.290343284606934,0.0,0.0007,354.42,264,1022206.625
440000,-145392.67626558998,21999,1625,-483.275634765625,1.1470849514007568,-9.31905460357666,0.0,0.0007,392.32,270,4712.208984375
450000,-214242.14024766,22499,1627,-601.637939453125,1.1768285036087036,-9.479180335998535,-2.384185791015625e-07,0.0007,481.19,276,5261.26416015625
460000,-228986.71760493,22999,1628,-850.6350708007812,1.1760411262512207,-9.471434593200684,-2.384185791015625e-07,0.0007,523.21,282,9392.724609375
470000,-257036.50887739996,23499,1629,9203.1298828125,1.186496376991272,-9.525429725646973,-2.384185791015625e-07,0.0007,541.36,288,6559906.5
480000,-252913.91560429003,23999,1630,-746.8057861328125,1.1932159662246704,-9.560379981994629,1.1920928955078125e-07,0.0007,425.62,294,10506.2744140625
490000,-185088.88046373002,24499,1631,14687.1376953125,1.2118237018585205,-9.651429176330566,1.7881393432617188e-07,0.0007,323.78,300,8804848.0
500000,-132308.11838449002,24999,1632,-662.9376220703125,1.2090574502944946,-9.631454467773438,-1.1920928955078125e-07,0.0007,297.56,306,21339.1328125
510000,-147270.54524214,25499,1632,-636.28564453125,1.2167954444885254,-9.665404319763184,0.0,0.0007,374.63,312,9259.9794921875
520000,-152205.58664427,25999,1633,-1141.84814453125,1.2161723375320435,-9.669236183166504,0.0,0.0007,390.72,318,17737.556640625
530000,-146349.07379648,26499,1634,-363.6319885253906,1.22824227809906,-9.725844383239746,0.0,0.0007,377.88,324,1683.8626708984375
540000,-194347.52448558997,26999,1636,-3919.129638671875,1.2488369941711426,-9.822762489318848,0.0,0.0007,383.23,330,6880073.0
550000,-186300.23285009002,27499,1637,-26734.587890625,1.2551649808883667,-9.853973388671875,-1.1920928955078125e-07,0.0007,392.43,335,24727436.0
560000,-164567.46090324,27999,1638,-765.0968017578125,1.25483238697052,-9.846588134765625,-8.344650268554688e-07,0.0007,298.97,341,11274.4794921875
570000,-142272.02346179,28499,1639,-470.61114501953125,1.263222575187683,-9.883011817932129,-1.1920928955078125e-07,0.0007,239.36,347,4001.384033203125
580000,-112995.60026396,28999,1639,-412.1730041503906,1.2679089307785034,-9.90853214263916,-2.384185791015625e-07,0.0007,106.48,353,2437.207763671875
590000,-106020.10543565998,29499,1640,-323.55078125,1.2705814838409424,-9.91178035736084,1.1920928955078125e-07,0.0007,134.69,359,1473.485107421875
600000,-138077.2916872,29999,1640,1054.7528076171875,1.284643292427063,-9.973001480102539,-2.384185791015625e-07,0.0007,185.16,365,93751.765625
610000,-198125.73385758002,30499,1640,-106793.5,1.3003199100494385,-10.044507026672363,0.0,0.0007,194.61,371,975526080.0
620000,-182897.21496156,30999,1640,-186641.78125,1.317448377609253,-10.119138717651367,0.0,0.0007,236.6,377,1446495488.0
630000,-168022.43289065998,31499,1641,-937.1920776367188,1.3172940015792847,-10.110077857971191,5.960464477539063e-08,0.0007,232.6,383,17195.53125
640000,-125068.50704178998,31999,1641,-66147.578125,1.324560523033142,-10.143697738647461,0.0,0.0007,211.05,389,272086624.0
650000,-148805.42011781,32499,1642,-325.9098815917969,1.3332234621047974,-10.182171821594238,5.960464477539063e-08,0.0007,286.58,395,1264.408447265625
660000,-142832.94223942,32999,1642,-877.21826171875,1.3299840688705444,-10.163389205932617,1.1920928955078125e-07,0.0007,316.04,401,12975.923828125
670000,-141846.14264784998,33499,1642,-305.01727294921875,1.3360739946365356,-10.187849998474121,0.0,0.0007,376.03,407,1187.4635009765625
680000,-149614.26833552998,33999,1642,-562.4920043945312,1.3285561800003052,-10.160562515258789,0.0,0.0007,433.6,413,4443.6318359375
690000,-144627.82578048002,34499,1642,-14695.255859375,1.3381909132003784,-10.194611549377441,1.7881393432617188e-07,0.0007,496.27,420,25411652.0
700000,-129825.19676432,34999,1642,-350.42620849609375,1.363290786743164,-10.306732177734375,-1.1920928955078125e-07,0.0007,480.45,426,1930.659423828125
710000,-146893.54247789,35499,1642,-13315.5830078125,1.3637129068374634,-10.309709548950195,-1.1920928955078125e-07,0.0007,550.11,432,19283604.0
720000,-153725.96988366003,35999,1642,1102.7567138671875,1.3691822290420532,-10.323493957519531,5.960464477539063e-08,0.0007,429.77,438,99565.0546875
730000,-229195.05778326,36499,1642,-25355.52734375,1.3701258897781372,-10.332489967346191,1.1920928955078125e-07,0.0007,402.32,444,24606650.0
740000,-156186.84221282002,36999,1642,-311.2477722167969,1.372249960899353,-10.350372314453125,1.7881393432617188e-07,0.0007,212.25,450,994.2183837890625
750000,-57884.59332667001,37499,1643,-16814.96484375,1.3787516355514526,-10.382287979125977,-1.1920928955078125e-07,0.0007,227.06,456,26953414.0
760000,-167814.99236614,37999,1642,-182.45640563964844,1.3891173601150513,-10.41726016998291,5.960464477539063e-08,0.0007,247.59,462,6255.47998046875
770000,-151853.56002729,38499,1643,-283.72467041015625,1.4110280275344849,-10.51409912109375,0.0,0.0007,326.17,468,915.8781127929688
780000,-153641.10490317,38999,1643,-450.9713439941406,1.4254380464553833,-10.569869041442871,0.0,0.0007,399.6,474,3563.24658203125
790000,-148947.92944130002,39499,1643,-24284.091796875,1.4323081970214844,-10.593888282775879,0.0,0.0007,461.19,480,25245100.0
800000,-150230.90295164,39999,1643,-298.19744873046875,1.452682614326477,-10.68601131439209,0.0,0.0007,490.21,486,839.3914794921875
810000,-109410.9491342,40499,1642,-288.99017333984375,1.447268009185791,-10.659438133239746,1.1920928955078125e-07,0.0007,197.18,493,820.2581176757812
820000,-115033.57832238998,40999,1642,-353.2191162109375,1.448133111000061,-10.654190063476562,0.0,0.0007,168.48,499,2281.50341796875
830000,-122707.84296772002,41499,1642,-728.8302612304688,1.4606099128723145,-10.708575248718262,-1.1920928955078125e-07,0.0007,233.31,505,9007.5400390625
840000,-117768.44652117002,41999,1642,-815.587890625,1.4883207082748413,-10.82387638092041,-1.1920928955078125e-07,0.0007,318.57,511,8858.6064453125
850000,-120266.27402258999,42499,1642,-420.22064208984375,1.5116394758224487,-10.907670021057129,-1.1920928955078125e-07,0.0007,365.59,517,2760.18310546875
860000,-114865.90862148,42999,1642,-590.4500732421875,1.5012556314468384,-10.863722801208496,-1.1920928955078125e-07,0.0007,331.99,523,6238.70068359375
870000,-116533.91589766002,43499,1641,-577.2078857421875,1.501132607460022,-10.860374450683594,0.0,0.0007,411.12,529,5212.9140625
880000,-123197.53403935001,43999,1641,-250.02017211914062,1.5067130327224731,-10.87460994720459,0.0,0.0007,426.53,536,633.5194702148438
890000,-105367.22756395001,44499,1641,-587.9532470703125,1.51498544216156,-10.903428077697754,0.0,0.0007,456.5,542,4934.75537109375
900000,-90000.27557997,44999,1640,-408.802978515625,1.52427339553833,-10.940627098083496,0.0,0.0007,449.49,548,2564.71826171875
910000,-84112.82254924,45499,1639,-238.78842163085938,1.5446834564208984,-11.01262092590332,0.0,0.0007,358.05,554,571.0064697265625
920000,-96682.18546976999,45999,1639,-787.8034057617188,1.552219271659851,-11.045121192932129,0.0,0.0007,377.52,561,7228.0849609375
930000,-142164.42088917,46499,1639,-232.60977172851562,1.5590378046035767,-11.08823299407959,-1.1920928955078125e-07,0.0007,379.08,567,524.58544921875
940000,-152114.96554729,46999,1639,-18422.24609375,1.5629431009292603,-11.097463607788086,0.0,0.0007,433.37,573,15234720.0
950000,-160108.59592266998,47499,1639,-457.76055908203125,1.5624648332595825,-11.100762367248535,5.960464477539063e-08,0.0007,466.95,579,2866.68798828125
960000,-145374.62658965,47999,1638,-265.81695556640625,1.5714343786239624,-11.140472412109375,-2.384185791015625e-07,0.0007,344.82,585,1153.9515380859375
970000,-127616.31030062001,48499,1637,13466.5810546875,1.5622321367263794,-11.103583335876465,0.0,0.0007,413.33,592,7340980.0
980000,-137824.48571571,48999,1637,-199.2434844970703,1.5801805257797241,-11.162224769592285,1.7881393432617188e-07,0.0007,449.78,598,413.3124084472656
990000,-129377.98255861,49499,1636,-1077.777587890625,1.594119906425476,-11.211163520812988,5.960464477539063e-08,0.0007,440.78,604,15908.845703125
1000000,-133081.95740499,49999,1636,3794.494873046875,1.6038669347763062,-11.243866920471191,0.0,0.0007,450.27,611,841149.8125
