time/total_timesteps,time/fps,train/value_loss,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
230000,1246,3895376640.0,184,0.0007,-22.9357852935791,1.1920928955078125e-07,11499,-847560.0,1.1197841167449951,-168483.24013991002,31.88
240000,1246,1082545920.0,192,0.0007,-23.074647903442383,5.960464477539063e-08,11999,-355877.375,1.1302847862243652,-170782.95185349998,34.94
250000,1245,3101481472.0,200,0.0007,-23.192947387695312,-2.384185791015625e-07,12499,-748605.75,1.1403576135635376,-206736.9853718,38.1
260000,1244,224934432.0,208,0.0007,-23.29281997680664,5.960464477539063e-08,12999,-159518.765625,1.1472582817077637,-213035.56570482004,36.44
270000,1243,789302144.0,217,0.0007,-23.40975570678711,5.960464477539063e-08,13499,-547898.5625,1.1568280458450317,-284658.55264447,40.84
280000,1243,641205312.0,225,0.0007,-23.545713424682617,-1.1920928955078125e-07,13999,-482834.84375,1.1667840480804443,-255452.70933815,41.67
290000,1243,808605824.0,233,0.0007,-23.497692108154297,0.0,14499,-468082.90625,1.1635651588439941,-242286.24240527,37.45
300000,1243,157925424.0,241,0.0007,-23.66187858581543,0.0,14999,-178205.09375,1.1767925024032593,-275817.27549973,41.33
310000,1243,4386778624.0,249,0.0007,-23.82603645324707,0.0,15499,-1069084.75,1.1900056600570679,-258081.69621884997,40.1
320000,1241,3333873152.0,257,0.0007,-23.893512725830078,0.0,15999,-904968.125,1.1947462558746338,-221772.15808508,31.7
330000,1240,1117221376.0,265,0.0007,-23.97469711303711,-1.1920928955078125e-07,16499,-204165.421875,1.2024556398391724,-227985.75948397003,39.16
340000,1239,1028297728.0,274,0.0007,-24.059850692749023,-1.1920928955078125e-07,16999,-289729.4375,1.2090612649917603,-251401.73690339993,41.36
350000,1238,267461808.0,282,0.0007,-24.184371948242188,0.0,17499,-271690.6875,1.2201824188232422,-235432.65452736,45.33
360000,1237,3154140672.0,290,0.0007,-24.188838958740234,0.0,17999,-841817.1875,1.2197774648666382,-156637.27179095,29.15
370000,1236,2962023936.0,299,0.0007,-24.275846481323242,0.0,18499,-785310.75,1.2268415689468384,-230316.69853587,38.14
380000,1235,141014304.0,307,0.0007,-24.326492309570312,-1.1920928955078125e-07,18999,-205909.78125,1.230878233909607,-243233.9577916,45.99
390000,1234,13894835.0,315,0.0007,-24.396728515625,0.0,19499,-10785.9970703125,1.2361092567443848,-165934.25354072,24.96
400000,1234,221710688.0,323,0.0007,-24.489686965942383,1.7881393432617188e-07,19999,-71601.75,1.2433741092681885,-191893.10110251006,34.29
410000,1235,499489216.0,331,0.0007,-24.634294509887695,0.0,20499,-66042.578125,1.2558233737945557,-242627.67202822998,37.26
420000,1235,286789600.0,339,0.0007,-24.77025032043457,0.0,20999,-277707.78125,1.2664340734481812,-189293.14911486997,33.79
430000,1236,4250939904.0,347,0.0007,-24.9424991607666,0.0,21499,-945711.5,1.281864881515503,-174492.70093245,27.83
440000,1236,641227904.0,355,0.0007,-25.049863815307617,1.1920928955078125e-07,21999,-561559.625,1.2907180786132812,-220347.54028053998,37.6
450000,1236,201936192.0,363,0.0007,-25.151973724365234,0.0,22499,-218038.625,1.3000105619430542,-280784.66369954,38.2
460000,1237,4876229632.0,371,0.0007,-25.311992645263672,0.0,22999,-1212438.25,1.3146389722824097,-423934.79502231,53.26
470000,1237,224164000.0,379,0.0007,-25.369874954223633,0.0,23499,-297880.4375,1.3209664821624756,-360363.92515711003,45.8
480000,1238,456025280.0,387,0.0007,-25.550111770629883,2.384185791015625e-07,23999,-323890.125,1.3356420993804932,-286279.27663426,47.88
490000,1239,4444371968.0,395,0.0007,-25.67239761352539,0.0,24499,-1085052.25,1.3467129468917847,-218273.55629055,36.44
500000,1240,2265844480.0,403,0.0007,-25.868240356445312,1.7881393432617188e-07,24999,-676705.5,1.3635890483856201,-208037.02848006005,36.05
510000,1240,83591888.0,410,0.0007,-26.02060317993164,-1.1920928955078125e-07,25499,-130233.671875,1.3769465684890747,-267654.88709709,39.5
520000,1241,260357888.0,418,0.0007,-26.32131576538086,0.0,25999,-350669.59375,1.405995488166809,-233554.83634275998,35.59
530000,1238,1340188928.0,427,0.0007,-26.48324966430664,0.0,26499,-481378.3125,1.4218361377716064,-232494.24228356,38.49
540000,1238,3551243776.0,436,0.0007,-26.51400375366211,1.1920928955078125e-07,26999,-895917.1875,1.4249554872512817,-190547.74414416,33.04
550000,1238,3116291840.0,444,0.0007,-26.68039321899414,0.0,27499,-1019096.3125,1.4403622150421143,-209742.51652929996,29.33
560000,1237,1113023744.0,452,0.0007,-26.704349517822266,0.0,27999,-450962.9375,1.4422520399093628,-174642.53578486003,33.99
570000,1237,989615232.0,460,0.0007,-26.989490509033203,0.0,28499,-274293.5625,1.4693132638931274,-219208.68674156003,39.24
580000,1236,1536806144.0,468,0.0007,-27.098079681396484,5.960464477539063e-08,28999,-694931.625,1.4800664186477661,-304067.63740075,42.86
590000,1235,4844129280.0,477,0.0007,-27.046154022216797,0.0,29499,-1382633.25,1.4752448797225952,-359980.18281103,54.83
600000,1234,7535467520.0,485,0.0007,-27.199726104736328,0.0,29999,-1926395.375,1.4907660484313965,-166146.60133364997,30.35
610000,1233,1673557248.0,494,0.0007,-27.23492431640625,1.1920928955078125e-07,30499,-500917.3125,1.4939674139022827,-212301.79066483007,31.36
620000,1232,102902384.0,502,0.0007,-27.36423110961914,0.0,30999,-207666.375,1.506986379623413,-303764.0868453,50.39
630000,1232,1125787392.0,511,0.0007,-27.434520721435547,0.0,31499,-340683.5,1.5126384496688843,-216237.60557366998,35.66
640000,1231,4744525312.0,519,0.0007,-27.533893585205078,-1.1920928955078125e-07,31999,-1332291.75,1.5233603715896606,-192946.79262458003,35.3
650000,1230,1307637248.0,528,0.0007,-27.627288818359375,-1.1920928955078125e-07,32499,-794525.25,1.533724069595337,-176489.51249654003,31.57
660000,1230,2700003584.0,536,0.0007,-27.642635345458984,1.1920928955078125e-07,32999,-1121844.0,1.534820318222046,-290398.24416263006,45.19
670000,1230,904328896.0,544,0.0007,-27.80685043334961,1.1920928955078125e-07,33499,-562215.875,1.5513702630996704,-238480.67229916994,29.46
680000,1230,3097323008.0,552,0.0007,-28.054882049560547,5.960464477539063e-08,33999,-877003.125,1.5773494243621826,-680455.3224275899,32.3
690000,1230,321153344.0,560,0.0007,-28.099788665771484,0.0,34499,-189692.609375,1.582624912261963,-330407.81599441,43.17
700000,1230,2797229312.0,569,0.0007,-28.238025665283203,0.0,34999,-1183240.75,1.5983613729476929,-497621.54549228,57.74
710000,1230,127988056.0,577,0.0007,-28.278362274169922,-1.1920928955078125e-07,35499,-227671.296875,1.6028271913528442,-342546.49384096,37.48
720000,1230,379159968.0,585,0.0007,-28.328319549560547,1.1920928955078125e-07,35999,-460422.75,1.6068434715270996,-284431.39690844005,41.19
730000,1230,1664851200.0,593,0.0007,-28.560138702392578,1.1920928955078125e-07,36499,-823177.625,1.6317713260650635,-370709.7533029301,47.56
740000,1230,583058304.0,601,0.0007,-28.61355972290039,0.0,36999,-245001.125,1.6385865211486816,-208356.40204055005,34.4
750000,1230,2329575936.0,609,0.0007,-28.696849822998047,0.0,37499,-985884.3125,1.6468844413757324,-179921.68523879992,30.19
760000,1230,3411358208.0,617,0.0007,-28.816089630126953,-1.1920928955078125e-07,37999,-1136081.25,1.65936279296875,-182192.77051811997,26.92
770000,1229,1099802880.0,626,0.0007,-29.01041030883789,0.0,38499,-433477.3125,1.6809213161468506,-210097.55840777003,33.91
780000,1229,354821024.0,634,0.0007,-29.130123138427734,5.960464477539063e-08,38999,-301237.65625,1.6943086385726929,-207407.96354941002,31.96
790000,1229,2414590976.0,642,0.0007,-29.387348175048828,-1.1920928955078125e-07,39499,-869447.125,1.7236889600753784,-355351.60102108005,44.48
800000,1228,357891456.0,651,0.0007,-29.427791595458984,-1.1920928955078125e-07,39999,-311167.96875,1.727592945098877,-270675.73572061,39.74
810000,1228,2801941504.0,659,0.0007,-29.530048370361328,0.0,40499,-1186495.25,1.740160584449768,-223415.09159133,36.4
820000,1228,2461512448.0,667,0.0007,-29.58987045288086,0.0,40999,-937635.875,1.746854543685913,-254860.76905339997,40.47
830000,1227,1490692864.0,676,0.0007,-29.67765235900879,0.0,41499,-675904.9375,1.7580885887145996,-196259.32937618994,34.47
840000,1227,1472653568.0,684,0.0007,-29.73171615600586,0.0,41999,-465234.0,1.7647923231124878,-159189.23960017,28.24
850000,1227,6439617.5,692,0.0007,-29.904109954833984,0.0,42499,13876.240234375,1.785581350326538,-191782.80192260002,33.73
860000,1227,1609267456.0,700,0.0007,-29.920780181884766,1.1920928955078125e-07,42999,-546855.25,1.7883533239364624,-169612.62343267002,28.76
870000,1226,4320058368.0,709,0.0007,-29.984561920166016,0.0,43499,-1266880.5,1.7961456775665283,-213693.987348,31.24
880000,1226,347705664.0,717,0.0007,-30.063720703125,1.7881393432617188e-07,43999,-433311.09375,1.8079228401184082,-202018.10250187997,31.66
890000,1225,3023798016.0,725,0.0007,-30.087900161743164,0.0,44499,-923058.125,1.8112341165542603,-301517.99342092,42.02
900000,1225,1037603968.0,734,0.0007,-30.327655792236328,0.0,44999,-572877.375,1.8420130014419556,-187032.80548111006,28.56
910000,1225,122833616.0,742,0.0007,-30.405811309814453,0.0,45499,-227894.40625,1.8514900207519531,-326331.71785730997,47.44
920000,1224,3029632512.0,751,0.0007,-30.458255767822266,5.960464477539063e-08,45999,-1406254.75,1.8594601154327393,-325605.92670008,42.53
930000,1224,589297216.0,759,0.0007,-30.464298248291016,1.7881393432617188e-07,46499,-580789.5,1.8604189157485962,-360423.25767397997,56.28
940000,1223,173111632.0,768,0.0007,-30.648651123046875,0.0,46999,-255348.046875,1.885102391242981,-301946.77219315997,40.11
950000,1223,231804704.0,776,0.0007,-30.792774200439453,0.0,47499,-294300.1875,1.903799057006836,-198084.74356303999,35.82
960000,1222,1045102912.0,784,0.0007,-30.974239349365234,0.0,47999,-501110.25,1.9261153936386108,-179483.18176435,28.93
970000,1222,760527104.0,793,0.0007,-31.18564796447754,0.0,48499,-492103.1875,1.9542901515960693,-190969.04189800002,28.3
980000,1222,274652096.0,801,0.0007,-31.338754653930664,-1.1920928955078125e-07,48999,-241510.703125,1.9747529029846191,-269324.53109491995,35.96
990000,1221,917569728.0,810,0.0007,-31.42331314086914,1.7881393432617188e-07,49499,-490487.9375,1.9850401878356934,-210968.18794371,33.42
1000000,1221,4414268416.0,818,0.0007,-31.418331146240234,2.384185791015625e-07,49999,-1369098.25,1.986592411994934,-225407.59205005,37.34
