rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef,time/total_timesteps,train/critic_loss,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
3.55,0.0055,995,324.55206298828125,540000,115745376.0,134974,149693,542,130093.328125,-125845.98666857003,38.76287078857422
3.05,0.0055,1015,128.33062744140625,550000,26954588.0,137474,152927,541,124168.21875,-117663.92031668998,-9.302303314208984
3.02,0.0055,1035,81.2791976928711,560000,20727728.0,139974,156037,540,117609.8125,-116987.32476552,8.096389770507812
3.0,0.0055,1055,269.5882263183594,570000,19081936.0,142474,159315,540,118707.09375,-117080.23243268002,1.691469430923462
4.92,0.0055,1074,78.42984771728516,580000,50622116.0,144974,162514,539,110497.3203125,-144782.93099657004,1.109863042831421
3.36,0.0055,1094,259.8737487792969,590000,25601352.0,147474,164708,539,124982.3671875,-120519.11442408999,25.797718048095703
3.47,0.0055,1113,50.09752655029297,600000,13497407.0,149974,167935,538,113821.90625,-121704.57652102,-17.182449340820312
3.0,0.0055,1133,116.56394958496094,610000,15836110.0,152474,171045,538,118500.84375,-116871.34341520998,3.442640542984009
4.68,0.0055,1152,172.4348907470703,620000,27550400.0,154974,174111,538,117629.3125,-134068.47534694,12.81401252746582
4.01,0.0055,1171,182.0663299560547,630000,59663988.0,157474,175850,537,157254.796875,-129752.18731891,29.745407104492188
3.0,0.0055,1191,50.300045013427734,640000,10941355.0,159974,179125,537,127560.359375,-116761.22661338,5.007812976837158
3.02,0.0055,1210,39.28992462158203,650000,8658552.0,162474,182443,537,119755.640625,-116849.56794583001,1.5173633098602295
5.52,0.0055,1229,26.226531982421875,660000,17384364.0,164974,185643,536,114961.9375,-170684.60735649,9.452848434448242
6.65,0.0055,1248,368.9078369140625,670000,282648320.0,167474,187497,536,144119.34375,-178987.652708,-26.29800033569336
5.0,0.0055,1268,816.9939575195312,680000,183018928.0,169974,189458,536,175452.375,-140448.8840668,-10.970296859741211
3.01,0.0055,1287,100.14521026611328,690000,53800376.0,172474,192026,535,127657.546875,-117019.5304702,42.57413101196289
3.0,0.0055,1306,34.341312408447266,700000,16307156.0,174974,195353,535,114927.46875,-116699.00609893996,4.542640209197998
3.13,0.0055,1326,25.52276611328125,710000,27429000.0,177474,198549,535,107364.4296875,-118270.27717963,-4.026041507720947
