rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,time/fps,train/ent_coef_loss,train/actor_loss,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates
-5394153.103582,680.25,458,12660.599609375,240,-0.4793676733970642,1118741.75,1328,320000,80.8321304321289,0.0003,79974
-2958730.379770469,476.41,496,12222.9658203125,240,-0.7053978443145752,1106975.5,1370,330000,103.56867980957031,0.0003,82474
-593811.7829771,249.59,543,12328.4140625,240,0.2050325870513916,1096032.5,1411,340000,111.23612213134766,0.0003,84974
-562944.53484877,309.01,555,11254.90625,240,1.4040610790252686,1054958.125,1453,350000,115.68358612060547,0.0003,87474
-496442.34795423003,368.31,565,9064.5517578125,240,-0.5454282164573669,982869.9375,1495,360000,117.65823364257812,0.0003,89974
-477235.55066415,457.26,575,5676.15087890625,240,0.7897515892982483,904826.1875,1537,370000,119.0925064086914,0.0003,92474
-425440.73987566005,536.27,585,4569.29541015625,240,-0.39077028632164,817719.25,1581,380000,115.96244049072266,0.0003,94974
-385144.2995943501,605.41,595,5004.3837890625,239,-0.6388779878616333,740332.5,1625,390000,110.05767059326172,0.0003,97474
-336256.71242874005,674.52,605,4378.70751953125,239,-1.0953834056854248,677316.625,1670,400000,93.89657592773438,0.0003,99974
-286900.39597141,753.48,615,3363.63037109375,239,2.5245625972747803,614025.0625,1712,410000,87.45664978027344,0.0003,102474
-267669.11765141005,842.28,625,3267.98388671875,239,0.8663592338562012,558646.5625,1755,420000,83.65438842773438,0.0003,104974
-223741.72992126,921.18,635,4549.48486328125,239,0.3069097399711609,505351.96875,1798,430000,80.82623291015625,0.0003,107474
-174095.04396566,980.34,645,3357.7578125,239,-1.471254587173462,456378.21875,1840,440000,83.65119934082031,0.0003,109974
-114083.51071422001,1000.0,655,3071.135498046875,238,0.38599616289138794,424849.46875,1883,450000,79.84196472167969,0.0003,112474
-113944.70945145999,1000.0,665,2869.798095703125,238,0.572368323802948,391384.75,1925,460000,78.92163848876953,0.0003,114974
-114429.21031444002,1000.0,675,2573.10498046875,239,2.7325778007507324,350135.4375,1966,470000,73.11075592041016,0.0003,117474
-112863.42377918001,1000.0,685,2507.00390625,239,0.6892269253730774,311225.625,2005,480000,68.92039489746094,0.0003,119974
-110293.02334634999,1000.0,695,2769.140380859375,239,-1.8442494869232178,291113.78125,2044,490000,63.54787063598633,0.0003,122474
-107714.64823263999,1000.0,705,3104.78662109375,239,-2.2958984375,271610.6875,2083,500000,62.57407760620117,0.0003,124974
