time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/step_size,train/iterations,rollout/return_std,train/delta_std
580000,-19846668.351860818,2964,195,1000.0,,,,,
590000,-19840416.12460907,2962,199,1000.0,,,,,
600000,-113869.132106,2960,202,13.0,0.02,3.024461037171022e-08,9,82659.359375,0.05
610000,-14558445.814508252,2958,206,753.25,,,,,
620000,-16352925.790108502,2955,209,835.5,,,,,
630000,-17462924.23283278,2953,213,890.3333333333334,,,,,
640000,-17894400.787395548,2952,216,910.2727272727273,,,,,
650000,-18308229.69754043,2950,220,929.5,,,,,
660000,,2948,223,,0.02,5.086615018079499e-10,10,4914860.0,0.05
670000,-19819719.037027333,2946,227,1000.0,,,,,
680000,-16556624.808628166,2945,230,835.0,,,,,
690000,-15874226.3208909,2943,234,802.5,,,,,
700000,-16539178.799553834,2942,237,835.4166666666666,,,,,
710000,-17187864.429616198,2940,241,868.3333333333334,,,,,
720000,-19625049.998545,2940,244,1000.0,0.02,3.7110906014881095e-10,11,6736563.5,0.05
730000,-19662571.598835252,2939,248,1000.0,,,,,
740000,-19748401.154101003,2938,251,1000.0,,,,,
750000,-19774646.347431004,2936,255,1000.0,,,,,
760000,-19797428.449195,2935,258,1000.0,,,,,
770000,-19820680.044090785,2934,262,1000.0,,,,,
780000,,2933,265,,0.02,1.2515191549766769e-08,12,199757.234375,0.05
790000,-14863201.992005002,2932,269,752.75,,,,,
800000,-16502944.877540002,2931,272,835.1666666666666,,,,,
810000,-17627931.255417887,2930,276,890.1111111111111,,,,,
820000,-18035845.18110545,2929,279,910.0909090909091,,,,,
830000,-18420922.486919355,2928,283,929.3571428571429,,,,,
840000,-94890.177922,2927,286,10.0,0.02,5.06994446425324e-10,13,4931020.5,0.05
850000,-10018491.436686333,2927,290,511.1666666666667,,,,,
860000,-12483192.31743975,2926,293,633.375,,,,,
870000,-14496660.33624273,2925,297,733.3636363636364,,,,,
880000,-15333807.125923004,2924,300,774.3846153846154,,,,,
890000,,2923,304,,0.02,3.1524294286100485e-10,14,7930392.0,0.05
900000,-19295854.333947502,2923,307,1000.0,,,,,
910000,-19616884.9657118,2922,311,1000.0,,,,,
920000,-17204268.986200623,2921,314,876.0,,,,,
930000,-16464302.2893045,2921,318,836.4166666666666,,,,,
940000,-16955005.78654307,2920,321,859.7857142857143,,,,,
950000,-19813124.569473,2919,325,1000.0,0.02,3.7304140332317104e-10,15,6701669.0,0.05
960000,-19868459.813057,2919,328,1000.0,,,,,
970000,-17016205.381044857,2918,332,860.7142857142857,,,,,
980000,-17540688.207367223,2918,335,891.6666666666666,,,,,
990000,-16726200.832498537,2917,339,849.1538461538462,,,,,
1000000,-17140661.4759322,2917,342,869.2666666666667,,,,,
