train/critic_loss,train/learning_rate,time/total_timesteps,time/episodes,train/ent_coef_loss,time/fps,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,train/n_updates,rollout/ep_rew_mean
146094688.0,0.0055,420000,13888,-9.89302921295166,328,-48154.0703125,82.46688842773438,18.8,1277,104974,114439.68056756
200928128.0,0.0055,430000,14198,55.884620666503906,327,27507.935546875,732.7762451171875,34.79,1311,107474,-56440.23029967999
113071168.0,0.0055,440000,14623,-1.5271952152252197,327,-15120.392578125,131.52532958984375,22.1,1344,109974,-77192.99671159
119780016.0,0.0055,450000,15024,1.9694609642028809,326,-49948.359375,54.261009216308594,18.53,1377,112474,129774.44438202001
31089408.0,0.0055,460000,15532,-1.828505039215088,326,-53755.4921875,47.7960090637207,17.66,1410,114974,133049.46328393
31996372.0,0.0055,470000,15932,-16.336856842041016,325,-58826.38671875,46.677642822265625,22.69,1444,117474,120048.9
259562416.0,0.0055,480000,16145,-37.005706787109375,324,54829.3515625,1060.925048828125,44.41,1477,119974,-285000.09515440004
47523848.0,0.0055,490000,16535,36.00602340698242,324,-18236.37890625,89.69475555419922,21.21,1510,122474,131901.60096101998
186552976.0,0.0055,500000,17063,-6.030370712280273,323,-37243.6171875,38.101051330566406,18.2,1543,124974,133018.0
22142660.0,0.0055,510000,17579,-1.6396499872207642,323,-54045.42578125,38.802345275878906,23.56,1577,127474,93778.36245536999
15410097152.0,0.0055,520000,18120,168.66673278808594,322,-300786.53125,15083.2734375,19.55,1610,129974,-327892.92078231
6716191744.0,0.0055,530000,18477,143.13568115234375,322,347123.3125,2358.827880859375,31.5,1643,132474,-439144.77668498
1475877760.0,0.0055,540000,18781,-17.01848602294922,322,274130.28125,573.0577392578125,43.5,1676,134974,-1198086.21348655
651599808.0,0.0055,550000,19124,32.575565338134766,321,214155.5,113.14229583740234,21.91,1709,137474,-195322.29424006998
206160128.0,0.0055,560000,19525,-1.892630696296692,321,138965.65625,32.493953704833984,22.74,1742,139974,-121907.22537253998
1129375360.0,0.0055,570000,19839,35.71934509277344,321,255345.828125,2000.1346435546875,36.82,1775,142474,-1034664.4481764298
435989632.0,0.0055,580000,20300,54.35953140258789,320,220519.578125,243.01751708984375,17.62,1808,144974,-252833.93035633006
165361040.0,0.0055,590000,20815,37.097618103027344,320,160843.375,90.0842056274414,13.59,1841,147474,-276393.20515432995
111836624.0,0.0055,600000,21284,-3.344561815261841,319,100298.2890625,23.11283302307129,28.13,1875,149974,-81942.35903487999
9932523520.0,0.0055,610000,21641,-390.6551513671875,319,285329.75,3708.090087890625,18.62,1908,152474,-435953.53384727007
59610767360.0,0.0055,620000,21993,-189.73126220703125,319,523051.53125,7039.16162109375,29.26,1941,154974,-280052.99786651996
2418808832.0,0.0055,630000,22414,-79.48551177978516,319,338744.90625,1807.2442626953125,13.13,1974,157474,-168340.44856033
481819360.0,0.0055,640000,23350,70.07496643066406,318,243721.3125,221.72096252441406,4.78,2007,159974,-105153.71439987
547821248.0,0.0055,650000,24757,22.62506103515625,318,191671.0625,79.49250793457031,5.75,2040,162474,-97677.60074379001
147964208.0,0.0055,660000,25110,63.25822067260742,318,190778.875,254.5145721435547,20.3,2073,164974,-273005.80622076
121748784.0,0.0055,670000,25716,29.939943313598633,318,154732.0625,159.6372528076172,17.48,2106,167474,-123954.56936149998
475174993920.0,0.0055,680000,26102,150.07806396484375,317,1021610.75,95680.7109375,28.61,2139,169974,-500669.27700945997
85306671104.0,0.0055,690000,26796,106.9913330078125,317,1282842.625,13306.03125,7.84,2172,172474,-117611.1979451
28732264448.0,0.0055,700000,28880,18.637622833251953,317,822984.5625,1043.0181884765625,5.39,2205,174974,-128736.50215453001
22377187328.0,0.0055,710000,31297,13.551873207092285,317,340711.875,253.117919921875,4.0,2238,177474,-97880.17381209001
2789760000.0,0.0055,720000,33759,-2.4282541275024414,316,214681.640625,163.2843780517578,4.0,2271,179974,-97019.97536067001
2642601472.0,0.0055,730000,34842,53.14789581298828,316,337855.3125,2387.069091796875,12.5,2304,182474,-337346.22838476003
9283008512.0,0.0055,740000,37077,6.315864562988281,316,328868.875,1994.5211181640625,4.01,2338,184974,-104647.63373910001
14487285760.0,0.0055,750000,37889,87.74005126953125,316,455526.875,2542.875,4.89,2371,187474,-102027.56180991
5949095936.0,0.0055,760000,39265,-1.4793813228607178,316,409757.34375,654.5467529296875,4.05,2404,189974,-98831.63690648999
22339840000.0,0.0055,770000,40616,151.87664794921875,315,718928.9375,12683.5234375,13.07,2437,192474,-178388.04796547
15596033024.0,0.0055,780000,41494,135.89239501953125,315,741553.75,2987.40673828125,4.13,2470,194974,-100403.57010481
4387813888.0,0.0055,790000,43988,24.459936141967773,315,326255.53125,85.50872039794922,4.0,2503,197474,-99797.55254685
4654491648.0,0.0055,800000,46042,48.41227340698242,315,422209.15625,892.6156616210938,4.0,2536,199974,-98872.41875289001
12240972800.0,0.0055,810000,47812,37.08451843261719,315,663807.0,1123.8897705078125,4.67,2570,202474,-112042.56629347001
42271023104.0,0.0055,820000,49278,-300.736083984375,315,873756.125,7463.3876953125,36.14,2603,204974,-1596010.0103139502
176162570240.0,0.0055,830000,49692,48.24260711669922,314,1481032.0,31843.646484375,19.0,2636,207474,-306051.14318645
48699211776.0,0.0055,840000,50593,39.31733703613281,314,1382929.375,10026.8544921875,7.81,2669,209974,-126043.91497856
13175822336.0,0.0055,850000,52187,16.006267547607422,314,939831.25,2732.1083984375,5.0,2702,212474,-101494.53774974003
15028721664.0,0.0055,860000,54230,-7.330569267272949,314,712637.125,7301.8818359375,7.18,2735,214974,-147609.2286717
27328512000.0,0.0055,870000,55694,91.47381591796875,314,641482.1875,1175.2412109375,4.0,2768,217474,-99887.45370508
5224006656.0,0.0055,880000,58116,69.41546630859375,314,351257.6875,348.73138427734375,4.0,2801,219974,-99613.60599783999
4727495680.0,0.0055,890000,60613,-7.499909400939941,313,213440.8125,61.050941467285156,4.0,2835,222474,-98239.47548729001
85166194688.0,0.0055,900000,62431,-252.03201293945312,313,1908186.5,4580.98046875,23.66,2868,224974,-735340.8957089898
67195650048.0,0.0055,910000,63651,40.641944885253906,313,895793.625,10368.62890625,4.63,2901,227474,-106374.44950326
14527229952.0,0.0055,920000,65771,30.746885299682617,313,597118.625,2846.835205078125,4.53,2934,229974,-114364.24570171999
9242693632.0,0.0055,930000,68174,-3.9011828899383545,313,362423.03125,1323.6427001953125,4.04,2967,232474,-97255.89731246
5290698752.0,0.0055,940000,70217,46.86802673339844,313,384821.3125,2496.651611328125,4.13,3000,234974,-98632.06881640998
3557064960.0,0.0055,950000,72652,17.505922317504883,313,218582.890625,1116.804443359375,4.07,3033,237474,-98306.72394463999
261477892096.0,0.0055,960000,74206,-91.26092529296875,313,1511935.5,23112.484375,16.83,3067,239974,-391270.6134981599
20029792256.0,0.0055,970000,76145,62.19422149658203,312,354693.75,795.1392822265625,4.0,3100,242474,-98795.47022027001
4947508736.0,0.0055,980000,77877,22.63504409790039,312,424176.6875,679.5046997070312,4.47,3133,244974,-98802.41310544999
3580456448.0,0.0055,990000,80327,15.331457138061523,312,275940.90625,703.9161376953125,4.0,3166,247474,-98198.55619246
15258830848.0,0.0055,1000000,81728,130.21511840820312,312,443121.3125,2344.024169921875,4.03,3199,249974,-103255.92136907
