train/learning_rate,train/std,train/value_loss,train/entropy_loss,time/fps,rollout/ep_len_mean,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/total_timesteps
0.0007,1.8621374368667603,764.6265869140625,-12.050607681274414,1780,355.45,-301.4294128417969,1.1920928955078125e-07,-172691.66651508998,488,43499,870000
0.0007,1.8630293607711792,488422304.0,-12.049700736999512,1780,249.82,-53136.0546875,0.0,-149705.44849615998,494,43999,880000
0.0007,1.86270272731781,10361.705078125,-12.040371894836426,1781,250.19,84.2353744506836,0.0,-166139.17294192,499,44499,890000
0.0007,1.8756990432739258,2140.24169921875,-12.074435234069824,1781,276.2,-408.59930419921875,0.0,-183732.10445467,505,44999,900000
0.0007,1.9012428522109985,1620630.875,-12.14559268951416,1782,97.72,7376.9091796875,-1.1920928955078125e-07,-126433.75860631002,510,45499,910000
0.0007,1.9445446729660034,39482792.0,-12.265974044799805,1782,172.16,-36447.6875,1.7881393432617188e-07,-264502.30011853,516,45999,920000
0.0007,1.9544848203659058,382073.09375,-12.288073539733887,1782,263.9,3408.365234375,0.0,-312449.85534788,521,46499,930000
0.0007,1.969281554222107,607.85693359375,-12.335400581359863,1782,312.58,-274.4270935058594,-1.1920928955078125e-07,-325335.19829684,527,46999,940000
0.0007,1.9869886636734009,79269128.0,-12.370125770568848,1782,412.58,-46506.296875,1.1920928955078125e-07,-362272.51468633994,532,47499,950000
0.0007,2.0140793323516846,24690146.0,-12.43664836883545,1782,150.27,-27379.306640625,0.0,-178068.14543995998,538,47999,960000
0.0007,2.04894757270813,1387826.625,-12.540215492248535,1782,127.13,6549.328125,0.0,-182429.5304539,544,48499,970000
0.0007,2.084038019180298,29667.787109375,-12.644165992736816,1783,104.1,241.333984375,-2.384185791015625e-07,-129647.39887048,549,48999,980000
0.0007,2.1024720668792725,15077726.0,-12.69627571105957,1783,159.96,-19078.775390625,5.960464477539063e-08,-186111.46966733996,555,49499,990000
0.0007,2.122504949569702,19856718.0,-12.767175674438477,1783,215.3,-30583.791015625,2.384185791015625e-07,-247965.81224086997,560,49999,1000000
