train/kl_divergence_loss,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,time/time_elapsed,time/total_timesteps,train/policy_objective,time/fps,train/explained_variance,train/value_loss,train/learning_rate
0.007516361307352781,1.0,54930.088365669995,78.91,0.812638521194458,41,251,340000,0.06977315992116928,1351,0.025960683822631836,1041221221.3,0.001
0.007512267678976059,1.0,57784.9582135,68.94,0.806780993938446,42,258,350000,0.06410780549049377,1351,0.027758657932281494,1043655230.5,0.001
0.007550695911049843,1.0,78470.77550592,63.0,0.801612377166748,43,266,360000,0.07321878522634506,1351,0.005204141139984131,1220172927.4,0.001
0.007687466684728861,1.0,79500.52096461,62.01,0.7920653820037842,45,274,370000,0.0682901069521904,1345,0.006858527660369873,1253181825.4,0.001
0.00819383654743433,1.0,90580.89830002001,59.16,0.7855408787727356,46,282,380000,0.06292393058538437,1345,0.002738356590270996,1398723782.2,0.001
0.008434080518782139,1.0,110253.44142609999,50.5,0.7818643450737,47,289,390000,0.0711093470454216,1345,0.005600988864898682,1533544758.7,0.001
0.008388943038880825,1.0,110379.71081544,52.34,0.7782478332519531,48,297,400000,0.06877825409173965,1345,0.006355762481689453,1592013832.8,0.001
0.007651702966541052,1.0,111186.37577075,45.18,0.7768182158470154,50,306,410000,0.06261422485113144,1339,0.011086881160736084,1923986333.4,0.001
0.008030020631849766,1.0,107967.88288363001,44.81,0.7756015658378601,51,313,420000,0.0723709911108017,1339,0.004277348518371582,1862478396.8,0.001
0.008756542578339577,1.0,99009.44279240999,47.82,0.7752327919006348,52,321,430000,0.0685633048415184,1339,1.0132789611816406e-06,2070125416.2,0.001
0.008053281344473362,1.0,109949.24685476998,42.61,0.77032470703125,53,328,440000,0.06412072479724884,1338,9.47713851928711e-06,1968324133.8,0.001
0.008655188605189323,1.0,110506.92476066001,45.18,0.7688583731651306,54,336,450000,0.0761013776063919,1338,0.009788751602172852,2048876475.6,0.001
0.008332607336342335,1.0,117035.31168424,43.95,0.7635617852210999,56,344,460000,0.066277414560318,1333,0.014704346656799316,2171045138.6,0.001
0.008532244712114334,1.0,115790.77247124,54.33,0.7609661221504211,57,352,470000,0.06507951021194458,1333,0.031027138233184814,2160357663.2,0.001
0.008208631537854671,1.0,108175.86140504,53.83,0.7604556679725647,58,359,480000,0.06687391549348831,1333,0.03793799877166748,1869216188.4,0.001
0.008095882833003998,1.0,124848.50979084,35.61,0.7546002268791199,59,367,490000,0.06487064063549042,1333,-0.00012755393981933594,1983691787.2,0.001
0.008418000303208828,1.0,117998.93440315001,44.19,0.7492510676383972,61,376,500000,0.06183358281850815,1328,0.03689473867416382,2154588182.6,0.001
0.008837458677589893,1.0,127407.76221321,37.12,0.7476444840431213,62,383,510000,0.06947869062423706,1328,0.0001296401023864746,2184010572.0,0.001
0.008699090220034122,1.0,117615.20577752002,47.49,0.7457273006439209,63,391,520000,0.0629941001534462,1328,0.0,2428772125.4,0.001
0.008551884442567825,1.0,122864.91682511999,34.94,0.7417674660682678,64,399,530000,0.0647222250699997,1326,1.1920928955078125e-07,2309511694.8,0.001
0.008489064872264862,1.0,123823.85422749,36.74,0.7385306358337402,65,406,540000,0.06081834435462952,1326,0.0,2704190871.8,0.001
0.008835298009216785,1.0,124593.55389699999,29.53,0.7357373833656311,67,415,550000,0.0570487342774868,1322,-0.000577092170715332,2796253525.4,0.001
0.008878382854163647,1.0,123227.11354768001,37.59,0.7342017292976379,68,423,560000,0.06084796413779259,1322,-1.1920928955078125e-07,2692938933.0,0.001
