train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/critic_loss
62348.625,47474,40.85016632080078,51.41,1392,6880,190000,136,-535916.60888481,0.0064,0.6513956785202026,3859.67822265625
65086.44921875,49974,45.97678756713867,35.86,1466,7089,200000,136,-197768.00027012997,0.0064,-1.4007155895233154,3552.13134765625
65670.3515625,52474,34.51712417602539,61.56,1540,7289,210000,136,-645035.54473085,0.0064,2.5081827640533447,5074.4208984375
68629.3515625,54974,34.142303466796875,53.25,1615,7468,220000,136,-468797.60127069993,0.0064,-3.061544895172119,3830.888671875
61435.578125,57474,27.3188419342041,36.21,1690,7792,230000,136,-134919.98616705002,0.0064,0.4297621250152588,3553.13818359375
65157.7890625,59974,34.947086334228516,53.09,1765,8005,240000,135,-306137.03334126004,0.0064,-2.104952812194824,3949.92919921875
57600.97265625,62474,39.65438461303711,75.08,1841,8131,250000,135,-734042.3988385899,0.0064,-2.1456830501556396,3919.8525390625
55650.609375,64974,41.67430877685547,35.58,1918,8380,260000,135,-319563.11066215,0.0064,-0.1256658434867859,3721.478271484375
53420.66015625,67474,37.697540283203125,50.15,1996,8611,270000,135,-314717.61075594,0.0064,5.88638973236084,3464.072509765625
54768.87109375,69974,29.4406795501709,36.0,2075,8883,280000,134,-240498.97932435,0.0064,0.20711281895637512,4010.53662109375
56854.05078125,72474,32.268001556396484,48.18,2155,9117,290000,134,-270230.5224160699,0.0064,-1.8552120923995972,4030.701416015625
57614.3359375,74974,33.316768646240234,36.66,2235,9348,300000,134,-148243.18859986,0.0064,-0.22215351462364197,4361.1435546875
53854.99609375,77474,34.811546325683594,39.59,2316,9619,310000,133,-163704.64613735,0.0064,0.8324702382087708,3375.96630859375
53212.68359375,79974,28.97707176208496,44.73,2398,9885,320000,133,-183281.56998187996,0.0064,1.5174392461776733,3773.645263671875
51287.46484375,82474,32.909114837646484,31.81,2481,10155,330000,132,-97247.11847341998,0.0064,0.17806950211524963,3599.508544921875
55431.31640625,84974,31.806291580200195,46.65,2564,10383,340000,132,-216950.10684533,0.0064,4.3115339279174805,3387.486572265625
51221.83984375,87474,31.25713348388672,44.47,2648,10590,350000,132,-135655.65981219002,0.0064,-0.009984485805034637,3284.67529296875
44783.94921875,89974,26.831300735473633,41.39,2732,10832,360000,131,-296827.55223876,0.0064,-0.4372684359550476,3961.831787109375
50070.8359375,92474,26.394380569458008,67.4,2816,10986,370000,131,-552199.30480151,0.0064,0.14879831671714783,3850.590087890625
50655.40625,94974,32.43620300292969,61.58,2900,11162,380000,131,-411042.27311149,0.0064,-2.0994341373443604,3883.5712890625
47577.75,97474,34.8232421875,41.39,2984,11415,390000,130,-179404.60256975002,0.0064,1.2849500179290771,3906.538330078125
52156.578125,99974,29.01512336730957,36.28,3069,11712,400000,130,-136278.64668019,0.0064,-2.418569803237915,3939.018798828125
52800.1484375,102474,27.92420768737793,46.47,3153,11941,410000,130,-293566.32954117,0.0064,-1.244903564453125,4513.416015625
55824.875,104974,36.632408142089844,51.36,3238,12156,420000,129,-251195.45252356,0.0064,-1.1915863752365112,4457.5654296875
49674.234375,107474,31.109333038330078,35.89,3322,12448,430000,129,-105065.2668685,0.0064,0.5010257363319397,3671.40087890625
51457.76953125,109974,39.70294189453125,52.04,3407,12668,440000,129,-451716.16797453,0.0064,3.184664487838745,4760.69384765625
49998.77734375,112474,35.12373733520508,28.75,3491,12943,450000,128,-148723.75618286,0.0064,1.7211384773254395,3908.25830078125
52324.828125,114974,33.3145751953125,38.31,3576,13228,460000,128,-247529.58305425002,0.0064,-0.5327421426773071,4416.68017578125
56823.66796875,117474,37.49677658081055,39.83,3661,13455,470000,128,-113964.85002811,0.0064,-1.7086631059646606,3665.711669921875
54879.93359375,119974,49.43648147583008,44.64,3745,13697,480000,128,-193540.96962367,0.0064,1.9982805252075195,3673.588623046875
47362.2109375,122474,43.386444091796875,32.14,3830,13970,490000,127,-119337.86939083999,0.0064,-2.2402539253234863,3553.82763671875
54342.6484375,124974,42.12812042236328,30.91,3915,14241,500000,127,-122420.63408874998,0.0064,-2.656282424926758,4281.458984375
50980.76171875,127474,32.46958541870117,57.04,3999,14435,510000,127,-350300.1810392,0.0064,2.1099560260772705,3910.979248046875
53911.5703125,129974,45.85140609741211,35.14,4083,14680,520000,127,-133185.90144182,0.0064,0.4290761351585388,3773.83837890625
51591.2265625,132474,38.98152542114258,39.01,4168,14856,530000,127,-180020.00832078003,0.0064,-1.9923056364059448,4124.3671875
54066.1015625,134974,36.92547607421875,29.88,4252,15157,540000,126,-102873.78051712,0.0064,-2.742672920227051,4261.3251953125
49593.2578125,137474,32.23917770385742,56.07,4337,15366,550000,126,-302954.94715487,0.0064,-1.1244139671325684,4141.24462890625
51153.0546875,139974,37.81303024291992,37.47,4422,15631,560000,126,-95581.77936307999,0.0064,-0.7559385299682617,4058.850830078125
53481.6171875,142474,42.46024703979492,45.22,4506,15891,570000,126,-263352.20438619,0.0064,1.2099307775497437,4124.982421875
46362.515625,144974,65.37828063964844,33.65,4590,16202,580000,126,-33050.113694960004,0.0064,-1.0940062999725342,4929.17578125
48665.62890625,147474,56.18556213378906,34.08,4674,16518,590000,126,-55498.029604749994,0.0064,-0.6375935077667236,4870.74853515625
45488.17578125,149974,54.405094146728516,27.71,4758,16885,600000,126,-17792.89263521,0.0064,-0.7898515462875366,4414.4423828125
41788.4921875,152474,60.16516876220703,32.59,4842,17194,610000,125,-99275.52490342999,0.0064,2.2385106086730957,4963.77392578125
40344.53515625,154974,58.50428009033203,28.76,4926,17545,620000,125,-103991.80355949001,0.0064,-1.1334806680679321,5635.32568359375
44436.0625,157474,76.49529266357422,24.4,5010,17873,630000,125,-71431.40331580999,0.0064,1.32159423828125,5483.255859375
35906.9765625,159974,67.20431518554688,40.97,5094,18178,640000,125,-265187.52209636004,0.0064,-2.3552560806274414,6120.9912109375
39621.546875,162474,80.87515258789062,22.23,5178,18594,650000,125,-31239.403053079997,0.0064,-0.06990185379981995,5973.98779296875
39199.30078125,164974,98.75399017333984,32.13,5262,18913,660000,125,-117167.52611948,0.0064,0.44090110063552856,5478.41748046875
29096.30859375,167474,96.73218536376953,25.29,5347,19316,670000,125,14488.97798799,0.0064,-1.210105538368225,7433.6259765625
31748.197265625,169974,85.36878204345703,24.68,5431,19752,680000,125,-111216.18218660999,0.0064,-1.6523716449737549,7042.35888671875
34936.4296875,172474,97.51517486572266,20.76,5515,20154,690000,125,-9025.788191119998,0.0064,2.8192126750946045,7773.8720703125
33552.70703125,174974,107.51044464111328,26.04,5600,20528,700000,124,-112497.88653455999,0.0064,6.864687919616699,7360.4208984375
35692.21875,177474,110.15658569335938,22.67,5685,20933,710000,124,23156.79735368,0.0064,-0.42023158073425293,7848.166015625
40175.10546875,179974,120.49127197265625,26.94,5769,21338,720000,124,-91000.59200035,0.0064,4.091608047485352,7598.896484375
38244.12109375,182474,110.27935791015625,21.16,5854,21807,730000,124,43577.48890191,0.0064,-3.5096771717071533,7932.72802734375
26093.3828125,184974,121.97124481201172,18.61,5939,22264,740000,124,33824.602251389995,0.0064,-0.5651444792747498,7911.41552734375
31421.880859375,187474,120.63838958740234,17.0,6024,22784,750000,124,-21631.98831447,0.0064,3.2230541706085205,8906.2216796875
14892.966796875,189974,118.48405456542969,16.28,6109,23389,760000,124,56468.200040489995,0.0064,0.13044562935829163,8735.5302734375
14648.3984375,192474,132.515380859375,15.12,6194,23902,770000,124,46045.56332123,0.0064,0.6436867713928223,9476.80859375
8733.9892578125,194974,121.39704895019531,17.39,6278,24512,780000,124,39344.20794359,0.0064,-1.7859281301498413,9736.298828125
10199.74609375,197474,141.8492431640625,14.8,6363,25131,790000,124,91361.51050573,0.0064,-4.762862682342529,10858.8349609375
-1652.8258056640625,199974,171.7495880126953,18.82,6447,25734,800000,124,24637.225679199997,0.0064,4.373267650604248,8944.2353515625
-6338.76025390625,202474,134.6940155029297,19.72,6532,26329,810000,123,-35665.9562979,0.0064,0.7765674591064453,8992.2607421875
-16658.75,204974,137.57766723632812,15.19,6617,26889,820000,123,60036.91792262,0.0064,2.201530933380127,8921.162109375
1535.5064697265625,207474,182.6163330078125,15.53,6702,27491,830000,123,47551.22286393,0.0064,-0.344144731760025,8334.939453125
-3040.443603515625,209974,144.48690795898438,13.6,6786,28039,840000,123,96667.20202084999,0.0064,2.5396411418914795,8566.125
-15752.7626953125,212474,130.9466094970703,13.17,6871,28782,850000,123,108174.49571819998,0.0064,-2.36252498626709,7883.98095703125
-25465.423828125,214974,121.64673614501953,13.88,6956,29405,860000,123,80912.81401983,0.0064,1.9968109130859375,6673.375
-19382.46484375,217474,131.25254821777344,14.49,7041,30077,870000,123,88963.29381827998,0.0064,-4.285346984863281,6969.1494140625
-13332.66015625,219974,115.46177673339844,18.04,7126,30732,880000,123,-60007.642187170015,0.0064,-2.0544204711914062,7266.5009765625
-17366.11328125,222474,113.70130157470703,17.43,7210,31303,890000,123,-8392.736098399999,0.0064,-0.6438664793968201,6889.017578125
-14738.3720703125,224974,126.10811614990234,15.56,7295,31810,900000,123,51463.81739267001,0.0064,0.25112175941467285,7881.82080078125
-11968.783203125,227474,131.97508239746094,20.35,7380,32369,910000,123,-89574.32609906,0.0064,5.3644890785217285,8219.2509765625
-3008.02734375,229974,129.1118621826172,16.54,7464,32933,920000,123,25983.947387419994,0.0064,-0.7962577939033508,9404.822265625
-3886.709228515625,232474,150.0403594970703,20.77,7549,33467,930000,123,-63104.79911356999,0.0064,-2.003371000289917,10109.0654296875
10692.248046875,234974,155.98939514160156,18.73,7634,33899,940000,123,-2982.6383319699985,0.0064,-2.0231127738952637,10075.3115234375
12067.703125,237474,173.8440704345703,14.54,7718,34486,950000,123,52890.63688852,0.0064,4.571048736572266,10056.0166015625
5494.2373046875,239974,149.8325958251953,15.66,7804,35159,960000,123,15404.582523929997,0.0064,4.354650497436523,8545.845703125
2401.0693359375,242474,143.0579376220703,14.04,7889,35782,970000,122,90132.6089952,0.0064,1.0354936122894287,9469.169921875
3417.36181640625,244974,141.02557373046875,15.04,7974,36427,980000,122,59251.687523230015,0.0064,-6.316517353057861,9851.775390625
-7846.259765625,247474,145.7086181640625,14.5,8059,37102,990000,122,6359.995932169999,0.0064,-2.804377555847168,8458.6904296875
-8595.9794921875,249974,154.5212860107422,14.67,8144,37810,1000000,122,28874.824479870003,0.0064,2.344860076904297,8602.3359375
