train/policy_gradient_loss,train/explained_variance,time/time_elapsed,train/value_loss,time/total_timesteps,train/n_updates,train/loss,train/std,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,time/fps,train/approx_kl,train/clip_range,rollout/ep_rew_mean,train/clip_fraction
-0.0009712169694466866,0.0,523,7068997803.6,360000,430,3532312576.0,0.9967260956764221,21.05,-21.23542365580797,0.0003,687,0.0002916149,0.2,-150709.58955591999,0.0
-0.001251341928036709,-1.1920928955078125e-07,542,6837774381.6,370000,450,3501632000.0,0.9967467784881592,23.84,-21.23476841300726,0.0003,682,0.0005572918,0.2,-171831.12461379997,0.0
-0.0012242623946804088,-1.1920928955078125e-07,555,6806524031.2,380000,460,3364243712.0,0.9967522025108337,25.17,-21.234948721528053,0.0003,683,0.00042504008,0.2,-173873.00066962,0.0
-0.0010166144611503114,0.0,568,7000037569.6,390000,470,3758946304.0,0.9966656565666199,21.74,-21.23434637784958,0.0003,685,0.00036721225,0.2,-158323.99972076004,0.0
-0.0019107670726953075,1.1920928955078125e-07,582,7114671423.6,400000,480,3689205248.0,0.9964696168899536,18.69,-21.232270409166812,0.0003,686,0.0008507138,0.2,-144881.95478298998,0.0
-0.001190446013606561,1.1920928955078125e-07,601,7098010840.4,410000,500,3612218368.0,0.9964522123336792,22.1,-21.230018109083176,0.0003,682,0.00041088532,0.2,-161891.04168341,0.0
-0.001407394584020949,0.0,614,6538300364.8,420000,510,3191233792.0,0.9965638518333435,26.61,-21.23133486509323,0.0003,683,0.00064398407,0.2,-177037.88743033004,0.0
-0.0008666305337101221,0.0,627,6730054579.6,430000,520,3269366784.0,0.9964361786842346,22.09,-21.231256218254565,0.0003,684,0.00025295094,0.2,-161139.80697199,0.0
-0.0007601711608003825,0.0,641,6718589630.0,440000,530,3240224000.0,0.9962539076805115,23.22,-21.228868523240088,0.0003,686,0.00016172323,0.2,-162304.51159648,0.0
-0.0010943286928522867,0.0,654,6451478006.0,450000,540,3570793472.0,0.995948851108551,22.05,-21.225189815461636,0.0003,687,0.000407429,0.2,-150770.08271,0.0
-0.00107647802651627,0.0,673,6556624720.4,460000,560,3217728512.0,0.9957259893417358,23.0,-21.219406232237816,0.0003,683,0.00042758457,0.2,-161414.77942092,0.0
-0.0008225962936194264,0.0,686,6721502819.2,470000,570,3359798272.0,0.9957088232040405,25.02,-21.219404362142086,0.0003,684,0.0003169219,0.2,-175062.82548769002,0.0
-0.0012912744778077467,0.0,700,6775261400.4,480000,580,3197703680.0,0.9955999851226807,23.1,-21.21839910149574,0.0003,685,0.00055645267,0.2,-154729.61298109,0.0
-0.0009421918633051973,5.960464477539063e-08,713,6542942106.4,490000,590,3307646464.0,0.9955093860626221,23.79,-21.21689639687538,0.0003,686,0.00030512695,0.2,-170083.85927716,0.0
-0.0014217950307283899,0.0,731,6532985153.2,500000,610,2991217152.0,0.9951557517051697,23.19,-21.212102057039736,0.0003,683,0.0005699366,0.2,-156697.02550121,0.0
-0.0014717945081429208,-2.384185791015625e-07,745,6640825743.2,510000,620,3436930560.0,0.995092511177063,24.77,-21.210362823307513,0.0003,684,0.0005583252,0.2,-165289.58429067998,0.0
-0.0012146943467087113,1.1920928955078125e-07,758,6565370580.0,520000,630,3095355904.0,0.9950937032699585,19.46,-21.20985688865185,0.0003,685,0.00052506686,0.2,-142498.43127121998,0.0
-0.0012118156384531176,0.0,772,6507869997.2,530000,640,3279274240.0,0.9949175715446472,23.13,-21.208487036824227,0.0003,686,0.0005482645,0.2,-158737.50300193002,0.0
-0.0007605053535371554,1.1920928955078125e-07,785,6387222278.8,540000,650,3175251968.0,0.9949338436126709,23.97,-21.207298532128334,0.0003,687,0.00017562215,0.2,-167436.88594346002,0.0
-0.00108904346534473,0.0,804,6245816556.4,550000,670,3556055040.0,0.994818389415741,26.02,-21.206367802619933,0.0003,683,0.00041139932,0.2,-169361.27719842002,0.0
-0.0013002722798773902,0.0,817,6235374937.2,560000,680,3017287936.0,0.9946835041046143,24.32,-21.20458277910948,0.0003,684,0.00060005113,0.2,-167476.98337187,0.0
