train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,time/time_elapsed,train/learning_rate,train/n_updates,time/total_timesteps,train/policy_loss,train/std,time/fps
1.1920928955078125e-07,11.6,-217362.73750679998,-21.24835205078125,7366717440.0,530,0.0001,9999,800000,-1724890.25,0.9976854920387268,1508
0.0,13.64,-246721.18426265,-21.25318717956543,9382064128.0,537,0.0001,10124,810000,-1876964.625,0.9980331659317017,1508
0.0,13.8,-248739.81052856002,-21.260194778442383,8585111040.0,543,0.0001,10249,820000,-1776639.75,0.9984961748123169,1507
1.7881393432617188e-07,12.15,-229962.85303185004,-21.264686584472656,6926008320.0,550,0.0001,10374,830000,-1591681.75,0.9987423419952393,1507
-1.1920928955078125e-07,11.8,-215924.69809991997,-21.25851821899414,5537432576.0,557,0.0001,10499,840000,-1291254.875,0.9983730912208557,1506
0.0,12.55,-230733.46233374,-21.262229919433594,7529113088.0,564,0.0001,10624,850000,-1732045.0,0.9985890984535217,1506
0.0,12.5,-231293.08122159,-21.258264541625977,8056836096.0,571,0.0001,10749,860000,-1792404.375,0.9983373880386353,1505
0.0,14.66,-262871.45660628,-21.260910034179688,10997348352.0,577,0.0001,10874,870000,-2145907.75,0.9985095262527466,1505
0.0,13.15,-239116.28669392996,-21.264148712158203,8037343232.0,584,0.0001,10999,880000,-1783115.375,0.9987294673919678,1504
0.0,12.76,-236723.92341072002,-21.259519577026367,7891899904.0,591,0.0001,11124,890000,-1722904.75,0.9984506368637085,1504
-1.1920928955078125e-07,13.92,-245704.64108531,-21.26821517944336,8125441024.0,598,0.0001,11249,900000,-1796847.0,0.999013364315033,1503
0.0,13.1,-239878.43615877,-21.27060317993164,5839110144.0,605,0.0001,11374,910000,-1500100.25,0.9991960525512695,1502
0.0,12.67,-233442.31312437996,-21.268295288085938,10136646656.0,612,0.0001,11499,920000,-1973713.75,0.9990143179893494,1501
0.0,13.51,-247340.37294983998,-21.270225524902344,7283743232.0,619,0.0001,11624,930000,-1670283.25,0.9991692304611206,1501
5.960464477539063e-08,14.57,-257807.26107064998,-21.26718521118164,8383605248.0,626,0.0001,11749,940000,-1869056.375,0.9989445805549622,1500
-1.1920928955078125e-07,13.62,-245149.16894206006,-21.26971435546875,6514807808.0,633,0.0001,11874,950000,-1628602.75,0.9991052746772766,1499
0.0,11.34,-203773.09558332,-21.27151107788086,6893990912.0,640,0.0001,11999,960000,-1633644.75,0.9992455244064331,1498
0.0,13.04,-233389.22463155002,-21.281253814697266,9761770496.0,647,0.0001,12124,970000,-1989694.75,0.9998699426651001,1498
-1.1920928955078125e-07,12.73,-229028.66984345004,-21.280282974243164,7884208640.0,654,0.0001,12249,980000,-1716452.375,0.9998565912246704,1497
0.0,13.58,-237897.03516826,-21.287656784057617,7145346048.0,661,0.0001,12374,990000,-1686556.0,1.0003373622894287,1497
-2.384185791015625e-07,12.59,-228036.99362506001,-21.287282943725586,5791081472.0,667,0.0001,12499,1000000,-1550921.625,1.0002835988998413,1497
