rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/std,train/explained_variance,time/total_timesteps,time/fps,train/policy_objective,train/value_loss,train/is_line_search_success,train/kl_divergence_loss
9.8,0.001,-179236.03512462002,385,53,0.8851813673973083,2.980232238769531e-07,440000,1141,0.061125248670578,16194266580.8,1.0,0.008889878168702126
10.92,0.001,-191998.98691510007,394,54,0.883012592792511,-2.384185791015625e-07,450000,1141,0.056633636355400085,15769239976.0,1.0,0.007000415585935116
9.04,0.001,-171180.00808059,404,56,0.8800234198570251,0.0,460000,1137,0.06048974394798279,15452452756.8,1.0,0.007924537174403667
11.38,0.001,-193608.72254469,413,57,0.8767459988594055,-2.384185791015625e-07,470000,1137,0.05960504710674286,14589105481.6,1.0,0.008820150047540665
9.94,0.001,-180070.38927494,421,58,0.8763015866279602,-2.384185791015625e-07,480000,1137,0.060671109706163406,15402946896.0,1.0,0.007518908474594355
9.48,0.001,-174510.24731260995,430,59,0.8743652701377869,0.0,490000,1138,0.04178014397621155,13841327880.0,1.0,0.008368616923689842
10.56,0.001,-186420.57710809997,440,61,0.8705978989601135,0.0,500000,1134,0.06502114981412888,14230709609.6,1.0,0.00834696926176548
12.22,0.001,-203068.34848815002,449,62,0.8698262572288513,0.0,510000,1134,0.04993137717247009,14559338640.0,1.0,0.008428102359175682
10.86,0.001,-190142.10074602003,458,63,0.8684200048446655,0.0,520000,1134,0.05203507840633392,14672115150.4,1.0,0.008108323439955711
9.66,0.001,-176153.65332375997,467,64,0.8657779693603516,0.0,530000,1134,0.06647904962301254,15366363705.6,1.0,0.008481359109282494
10.27,0.001,-183034.78005084005,475,65,0.8651739358901978,0.0,540000,1135,0.05525953695178032,13796440772.8,1.0,0.007930321618914604
8.37,0.001,-162950.93905925,485,67,0.8625030517578125,0.0,550000,1131,0.04789821431040764,15299512737.6,1.0,0.008566848002374172
9.13,0.001,-171040.18235932998,494,68,0.8618594408035278,2.384185791015625e-07,560000,1132,0.056883446872234344,14291461348.8,1.0,0.008339224383234978
9.61,0.001,-175135.36842962,503,69,0.8602703213691711,0.0,570000,1132,0.04866290092468262,13654783425.6,1.0,0.008826724253594875
7.02,0.001,-148926.33899737,512,70,0.8595895767211914,0.0,580000,1132,0.04582713916897774,13659530672.0,1.0,0.00740286149084568
9.54,0.001,-174595.62106555,522,72,0.8581454753875732,0.0,590000,1128,0.05677512288093567,13129145076.8,1.0,0.007492567412555218
8.41,0.001,-162874.15249242,531,73,0.8582987189292908,3.5762786865234375e-07,600000,1128,0.04054298251867294,13427940336.0,1.0,0.007146151270717382
8.08,0.001,-159321.14503308,540,74,0.8570740222930908,-2.384185791015625e-07,610000,1128,0.06555519253015518,13433169795.2,1.0,0.008856105618178844
7.97,0.001,-157970.30180887,549,75,0.8564529418945312,0.0,620000,1129,0.04239312559366226,12691194086.4,1.0,0.008145643398165703
7.78,0.001,-156538.74852367002,557,76,0.8547218441963196,2.384185791015625e-07,630000,1129,0.044981759041547775,12303149481.6,1.0,0.008230981417000294
7.6,0.001,-154119.33334416,568,78,0.8533312082290649,0.0,640000,1126,0.04023858532309532,12291911347.2,1.0,0.006336092948913574
6.82,0.001,-146102.51397292,577,79,0.8518292307853699,2.384185791015625e-07,650000,1126,0.03278091177344322,12706404268.8,1.0,0.006857206579297781
10.47,0.001,-186127.31966840997,586,80,0.8502790331840515,-2.384185791015625e-07,660000,1126,0.0377383753657341,11343080201.6,1.0,0.008403649553656578
9.09,0.001,-166932.78255581,594,81,0.8492841720581055,0.0,670000,1126,0.046107590198516846,13476445446.4,1.0,0.008041271939873695
8.7,0.001,-165307.28891119,605,83,0.8477365970611572,0.0,680000,1123,0.04269704222679138,12399639187.2,1.0,0.006646609399467707
7.86,0.001,-157377.48878016,614,84,0.8472508788108826,2.384185791015625e-07,690000,1123,0.059502605348825455,12030271368.0,1.0,0.009160050190985203
7.16,0.001,-149357.84277247,622,85,0.8472121357917786,0.0,700000,1123,0.04598752781748772,11781925632.0,1.0,0.009693330153822899
7.04,0.001,-148842.52046926998,631,86,0.8475974202156067,0.0,710000,1123,0.06207644194364548,13364997214.4,1.0,0.007746984716504812
7.8,0.001,-156205.47537329997,640,87,0.8458560705184937,-2.384185791015625e-07,720000,1123,0.045828573405742645,11939933259.2,1.0,0.008294578641653061
7.66,0.001,-154273.31476042,651,89,0.8446943759918213,2.384185791015625e-07,730000,1121,0.04457557573914528,11673726075.2,1.0,0.00657942658290267
10.2,0.001,-181684.72506994996,660,90,0.8451433181762695,-2.384185791015625e-07,740000,1121,0.056931182742118835,11908380420.8,1.0,0.009905914776027203
8.5,0.001,-163234.59170589,668,91,0.8439028263092041,0.0,750000,1121,0.05343131348490715,12902008724.8,1.0,0.0063756234012544155
7.12,0.001,-148756.89702807003,677,92,0.8433183431625366,-1.1920928955078125e-07,760000,1121,0.035066742449998856,12326927859.2,1.0,0.007674118038266897
6.83,0.001,-145968.39262556,686,93,0.8424192667007446,1.7881393432617188e-07,770000,1121,0.011664683930575848,12288815497.6,1.0,0.005492935422807932
7.4,0.001,-151907.34401942,696,95,0.8421741127967834,0.0,780000,1119,0.04745662957429886,12425480798.4,1.0,0.009278983809053898
6.84,0.001,-146019.10741636998,705,96,0.8420909643173218,0.0,790000,1119,0.05058921128511429,12076307854.4,1.0,0.009713537059724331
9.05,0.001,-170680.4631418,714,97,0.8418397307395935,0.0,800000,1119,0.042501404881477356,12870489278.4,1.0,0.00864571426063776
7.25,0.001,-150268.06737585002,723,98,0.8417044878005981,0.0,810000,1119,0.07055748254060745,12469025667.2,1.0,0.008894872851669788
6.64,0.001,-144018.20105509998,733,100,0.8403628468513489,2.980232238769531e-07,820000,1117,0.05519648268818855,11784867900.8,1.0,0.007837144657969475
6.4,0.001,-141506.20755993,742,101,0.8388360142707825,0.0,830000,1117,0.028090553358197212,12082940435.2,1.0,0.00773363234475255
6.84,0.001,-145827.86649520998,751,102,0.8388501405715942,-2.384185791015625e-07,840000,1117,0.04499884694814682,12756889140.8,1.0,0.008971720933914185
7.37,0.001,-151496.57126517,760,103,0.8384231925010681,1.7881393432617188e-07,850000,1118,0.02481738291680813,13265074112.0,1.0,0.007392761297523975
7.89,0.001,-157128.05614134003,768,104,0.838344156742096,1.7881393432617188e-07,860000,1118,0.043936967849731445,11974478878.4,1.0,0.007262370083481073
6.74,0.001,-144947.90969358,779,106,0.8355916142463684,0.0,870000,1116,0.02587609738111496,12093046705.6,1.0,0.008232658728957176
6.94,0.001,-147276.40368992998,787,107,0.8344080448150635,2.384185791015625e-07,880000,1116,0.04694105684757233,11862434644.8,1.0,0.006569464225322008
6.64,0.001,-144183.1552962,796,108,0.8336220979690552,-2.384185791015625e-07,890000,1117,0.04457589238882065,11759028585.6,1.0,0.00697715999558568
7.28,0.001,-150707.3915469,805,109,0.8330619931221008,2.384185791015625e-07,900000,1117,0.046292804181575775,11353512065.6,1.0,0.007031196728348732
6.19,0.001,-139439.64900685,815,111,0.8320857882499695,2.384185791015625e-07,910000,1115,0.048935189843177795,11225833467.2,1.0,0.00763546722009778
7.43,0.001,-152435.03414439003,824,112,0.8317415118217468,-2.384185791015625e-07,920000,1115,0.05238988623023033,12049588974.4,1.0,0.007929100655019283
6.1,0.001,-138625.70024829998,833,113,0.829637885093689,0.0,930000,1115,0.054359037429094315,10716100171.2,1.0,0.0074706613086164
8.06,0.001,-159353.99536477998,842,114,0.8295133709907532,0.0,940000,1116,0.041696105152368546,11229242656.0,1.0,0.00996924377977848
7.13,0.001,-149020.68797716,851,115,0.829183042049408,1.1920928955078125e-07,950000,1116,0.05878710746765137,12549793936.0,1.0,0.008948562666773796
7.3,0.001,-152018.45307828003,861,117,0.8287741541862488,-1.1920928955078125e-07,960000,1114,0.05632178485393524,11955748716.8,1.0,0.009601548314094543
6.61,0.001,-143538.65678380002,870,118,0.8283742666244507,2.384185791015625e-07,970000,1114,0.06245103478431702,11825409062.4,1.0,0.008265610784292221
7.74,0.001,-156113.80788555,879,119,0.8285324573516846,0.0,980000,1114,0.04795021563768387,12709640814.4,1.0,0.0072401585057377815
9.28,0.001,-171660.77430912998,888,120,0.8276211619377136,-1.1920928955078125e-07,990000,1114,0.04715946316719055,12727668460.8,1.0,0.009085499681532383
6.44,0.001,-142175.38369405002,898,122,0.8280044794082642,0.0,1000000,1112,0.06580189615488052,11616609299.2,1.0,0.008629155345261097
