time/time_elapsed,train/value_loss,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,time/fps,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/std,train/clip_fraction
548,1143357420.2,639989184.0,-198838.70833479997,-0.002665261330912472,0.2,0.0017,1.1920928955078125e-07,-11.427462507784366,510,280000,340,87.95,0.005028227,1.6398736238479614,0.02786865234375
567,1058600067.45,694220032.0,-223037.83659686003,-0.002686673301832343,0.2,0.0017,2.384185791015625e-07,-11.532654929161072,511,290000,350,108.95,0.00420064,1.6734498739242554,0.01588134765625
586,920816389.225,284909120.0,-216814.58399393,-0.0011873940504301573,0.2,0.0017,-1.1920928955078125e-07,-11.645985515415669,511,300000,360,111.39,0.0037683535,1.7051652669906616,0.01722412109375
604,945071540.525,487321952.0,-198575.16489336002,-0.0018743178574368359,0.2,0.0017,0.0,-11.76547864228487,512,310000,370,92.81,0.0043465486,1.7409858703613281,0.02005615234375
633,1016799498.8,445539712.0,-210222.06073722002,-0.002363100454567757,0.2,0.0017,-1.1920928955078125e-07,-11.987560454010964,505,320000,390,99.55,0.0051084124,1.8082071542739868,0.02149658203125
652,1009554124.925,457443392.0,-206178.79078166996,-0.0021562093246757287,0.2,0.0017,-1.1920928955078125e-07,-12.090583042055368,505,330000,400,93.42,0.0040699127,1.8353757858276367,0.022216796875
671,1026715906.675,527772448.0,-220480.14356853,-0.0016392345874919555,0.2,0.0017,0.0,-12.183859568834304,506,340000,410,103.95,0.00388366,1.865884780883789,0.016943359375
687,1115536409.35,652853376.0,-210786.87758702,-0.0020552034493448446,0.2,0.0017,1.1920928955078125e-07,-12.281367680430412,509,350000,420,96.71,0.0041910755,1.8983336687088013,0.0193359375
701,968825788.675,406879072.0,-205809.44742524996,-0.0016610471178864828,0.2,0.0017,0.0,-12.382571183890104,513,360000,430,96.75,0.0037293537,1.9310837984085083,0.016357421875
730,854398225.925,523058112.0,-222252.07629038004,-0.0015164025886406306,0.2,0.0017,0.0,-12.627573189884425,506,370000,450,109.21,0.005037936,2.017028570175171,0.02003173828125
748,1070483393.125,693058048.0,-200990.69064464996,-0.0027475170796606107,0.2,0.0017,1.1920928955078125e-07,-12.754268696904182,507,380000,460,92.33,0.0049848584,2.060432195663452,0.0253173828125
767,910046144.775,269594336.0,-220857.23302325996,-0.0032271650667098583,0.2,0.0017,0.0,-12.880920692533255,508,390000,470,105.4,0.0053385273,2.105220317840576,0.0298095703125
786,1036864860.35,658403776.0,-218259.14418215,-0.0018968077433783037,0.2,0.0017,-1.1920928955078125e-07,-12.994800250977278,508,400000,480,103.78,0.0046702996,2.1426618099212646,0.02255859375
814,879606295.475,380945728.0,-213600.15537258997,-0.001827362623771478,0.2,0.0017,1.1920928955078125e-07,-13.252767054736614,503,410000,500,105.35,0.003917371,2.2383413314819336,0.01854248046875
834,1078318930.275,446458016.0,-202145.73161619,-0.003166089792011917,0.2,0.0017,0.0,-13.345431578159332,503,420000,510,87.76,0.0041042184,2.2740633487701416,0.02109375
847,1060211576.325,483325024.0,-222371.55615178996,-0.0014239025911592762,0.2,0.0017,0.0,-13.44505957737565,507,430000,520,96.06,0.0031470424,2.314154863357544,0.0095703125
863,967607898.45,446412992.0,-218138.93896162,-0.0038952397189859767,0.2,0.0017,0.0,-13.549904468655587,509,440000,530,98.85,0.0052903183,2.3531391620635986,0.0314208984375
882,1009338092.525,280791264.0,-200207.18351831005,-0.002419443403596233,0.2,0.0017,1.1920928955078125e-07,-13.659892052412033,509,450000,540,89.68,0.0052576163,2.4002768993377686,0.026708984375
911,914937846.3,381206496.0,-221215.51770936002,-0.002160988400464703,0.2,0.0017,-1.1920928955078125e-07,-13.88915159329772,504,460000,560,103.77,0.004384214,2.4940035343170166,0.0238525390625
930,929742886.725,597925568.0,-221546.79431428,-0.001757461945999239,0.2,0.0017,0.0,-14.007125266641378,505,470000,570,102.82,0.0039850776,2.547781467437744,0.0145751953125
949,926216456.6,578242176.0,-209586.37584265,-0.0020820978377741996,0.2,0.0017,0.0,-14.131733689457178,505,480000,580,96.97,0.0045340946,2.600318670272827,0.0218505859375
967,970883728.5,400214016.0,-210108.84811942998,-0.002001437495255232,0.2,0.0017,5.960464477539063e-08,-14.240311779826879,506,490000,590,105.26,0.0038905595,2.6442337036132812,0.0184326171875
993,918904933.675,406368832.0,-201216.57168956,-0.0017472857511165786,0.2,0.0017,1.1920928955078125e-07,-14.455629577487707,503,500000,610,97.7,0.0043983217,2.738705635070801,0.02252197265625
1009,960553692.975,391232640.0,-210409.77496489,-0.0023242031424160815,0.2,0.0017,0.0,-14.558167224377394,505,510000,620,97.16,0.004787216,2.79792857170105,0.02249755859375
1028,984904230.8,487847392.0,-194472.70145777,-0.0029390421132120537,0.2,0.0017,2.384185791015625e-07,-14.66899683251977,505,520000,630,90.46,0.004701251,2.8465588092803955,0.02757568359375
1047,1035012020.85,800348480.0,-198237.92527974,-0.0017181888142658863,0.2,0.0017,0.0,-14.760870298743248,505,530000,640,83.14,0.0038355573,2.8904178142547607,0.01497802734375
1066,1002171445.325,415257280.0,-208402.54767958,-0.00123491573958745,0.2,0.0017,0.0,-14.845172128081321,506,540000,650,94.76,0.0031950208,2.92964768409729,0.01217041015625
1095,866302713.8,275168960.0,-211542.77251895997,-0.0018605001863761573,0.2,0.0017,1.7881393432617188e-07,-15.076622503250837,501,550000,670,100.15,0.004384342,3.0552680492401123,0.017431640625
1114,1019102054.125,468985952.0,-177676.58338104005,-0.0016557909666516935,0.2,0.0017,0.0,-15.181766190379857,502,560000,680,85.48,0.003974757,3.115485429763794,0.01884765625
1133,907860198.35,497892864.0,-202486.57551571,-0.002210847597052634,0.2,0.0017,5.960464477539063e-08,-15.296960252523423,502,570000,690,91.62,0.0047650873,3.178921699523926,0.02490234375
1150,912077963.825,417053184.0,-203547.63458408997,-0.002006248200632399,0.2,0.0017,-1.1920928955078125e-07,-15.39724750071764,504,580000,700,93.15,0.0034860761,3.2294623851776123,0.01607666015625
1174,929043927.825,598865344.0,-188074.74000539992,-0.0024928744131102578,0.2,0.0017,0.0,-15.619477780163288,502,590000,720,86.94,0.0050556147,3.3636181354522705,0.026904296875
1193,845567936.275,574203328.0,-205373.40269528,-0.0002430402078971383,0.2,0.0017,0.0,-15.74022459834814,502,600000,730,96.82,0.0029863953,3.430567979812622,0.01114501953125
1212,885935305.4,526757472.0,-243740.05210794002,-0.002087394999762182,0.2,0.0017,-1.1920928955078125e-07,-15.862726160883904,503,610000,740,112.93,0.004196045,3.5058934688568115,0.01572265625
1230,876136887.1125,512749216.0,-221738.65198768,-0.0011410874354623956,0.2,0.0017,0.0,-15.979348278045654,503,620000,750,99.01,0.003584838,3.570239305496216,0.01441650390625
1249,872152770.925,453258016.0,-212097.22261598997,-0.0017698935273074313,0.2,0.0017,0.0,-16.089772759377958,504,630000,760,95.04,0.004171368,3.6386375427246094,0.0213623046875
1278,889234432.1,485055200.0,-227923.10153808995,-0.002627983242746268,0.2,0.0017,-1.1920928955078125e-07,-16.32454909235239,500,640000,780,100.81,0.0048116576,3.7860820293426514,0.02591552734375
1297,863970297.5,247059760.0,-219212.18142354998,-0.002399733121455938,0.2,0.0017,1.1920928955078125e-07,-16.454213048517705,501,650000,790,102.19,0.0056239674,3.8770179748535156,0.0276611328125
1310,940488196.875,414753312.0,-213386.7080751,-0.0015733429228930618,0.2,0.0017,-2.384185791015625e-07,-16.593346652388572,503,660000,800,95.6,0.0041897185,3.968780517578125,0.0158203125
1328,840963714.025,584265088.0,-226059.13827037998,-0.0008634809444629354,0.2,0.0017,1.1920928955078125e-07,-16.711159613728523,504,670000,810,99.76,0.0029471442,4.035860538482666,0.00985107421875
1357,910346197.85,315793344.0,-220663.05128198,-0.0006879816002765438,0.2,0.0017,0.0,-16.9537595808506,500,680000,830,100.49,0.0034517325,4.206387996673584,0.0141845703125
1377,899931025.475,370433088.0,-206486.35067506,-0.00214519946857763,0.2,0.0017,0.0,-17.07357775270939,501,690000,840,89.68,0.0046756687,4.292341709136963,0.0241455078125
1396,946618642.3,351990560.0,-214199.08656538,-0.0008356548600204405,0.2,0.0017,2.384185791015625e-07,-17.196438328921793,501,700000,850,92.06,0.003658463,4.390353679656982,0.0130126953125
1415,972680957.35,518832416.0,-217136.33077421997,-0.001976050337907509,0.2,0.0017,0.0,-17.327225705981256,501,710000,860,85.09,0.0044330666,4.485219478607178,0.01995849609375
1434,855570155.275,539959168.0,-233233.26018731005,-0.0013187745216782787,0.2,0.0017,1.1920928955078125e-07,-17.47266078591347,501,720000,870,108.38,0.0048048533,4.60745096206665,0.0213623046875
1460,966512697.25,372735520.0,-214920.17154308996,-0.0014855129491479601,0.2,0.0017,1.1920928955078125e-07,-17.749395410716534,499,730000,890,93.48,0.003685493,4.813058376312256,0.0157958984375
1475,799799182.8,460216352.0,-251547.0126452,-0.0009042716044859844,0.2,0.0017,-1.1920928955078125e-07,-17.865090581774712,501,740000,900,114.43,0.003930524,4.921406269073486,0.01539306640625
1494,926027484.175,294532416.0,-237909.76600187,-0.000904607823031256,0.2,0.0017,0.0,-17.990225911140442,501,750000,910,108.42,0.0038208119,5.031273365020752,0.01290283203125
1513,804312022.15,463569984.0,-232720.39977873006,-0.00264610079175327,0.2,0.0017,0.0,-18.13882781714201,502,760000,920,107.19,0.005741976,5.174495697021484,0.02369384765625
1532,871539719.15,601725056.0,-217779.15209931,-0.0013551804579037708,0.2,0.0017,1.1920928955078125e-07,-18.2708533257246,502,770000,930,90.84,0.004184557,5.276485443115234,0.019873046875
1561,818418539.575,433623456.0,-210106.03792047995,-0.001637569108788739,0.2,0.0017,0.0,-18.527477292716505,499,780000,950,90.84,0.0049589486,5.533575057983398,0.02034912109375
1580,915499387.65,477631104.0,-229425.49410878,-0.0006951683481020154,0.2,0.0017,-1.1920928955078125e-07,-18.662269000709056,499,790000,960,98.67,0.0035115406,5.654239177703857,0.0120361328125
1600,783610538.35,352424192.0,-262383.79724010004,-0.0015829179228603607,0.2,0.0017,0.0,-18.80024430900812,499,800000,970,117.6,0.0049616387,5.79846715927124,0.0212158203125
1618,762372378.65,437043616.0,-263911.62229008,-0.0021312363760443986,0.2,0.0017,-1.1920928955078125e-07,-18.921502853929997,500,810000,980,118.5,0.004922372,5.907793045043945,0.0286865234375
1641,880559769.95,351712256.0,-209562.07154163,-0.000991263238574902,0.2,0.0017,-1.1920928955078125e-07,-19.179855717718603,499,820000,1000,93.08,0.003914452,6.186483860015869,0.01900634765625
1660,823430921.65,531427520.0,-238011.99300925003,-0.0006252331635550945,0.2,0.0017,0.0,-19.323548080027102,499,830000,1010,108.87,0.0046197167,6.354248046875,0.01793212890625
1679,792239644.1,467900128.0,-257164.47573689997,-0.0005280322489852552,0.2,0.0017,-1.1920928955078125e-07,-19.455072847008704,500,840000,1020,106.08,0.0035681191,6.482615947723389,0.01090087890625
1698,782305072.525,228112128.0,-230784.47740162,-0.0012584002883158974,0.2,0.0017,5.960464477539063e-08,-19.579060900211335,500,850000,1030,100.86,0.0041310308,6.621577739715576,0.01529541015625
1717,838938727.475,337518400.0,-245968.69214886994,-0.0009277167055188329,0.2,0.0017,-1.1920928955078125e-07,-19.709298181533814,500,860000,1040,96.49,0.0040172595,6.769806385040283,0.0153076171875
1748,711793019.0,408197312.0,-264284.94732455997,-0.0014897314831614494,0.2,0.0017,-1.1920928955078125e-07,-19.975134240090846,497,870000,1060,114.11,0.00506511,7.088111400604248,0.02298583984375
1767,899919257.1,418732000.0,-259087.32726256002,-0.00026709690619100004,0.2,0.0017,1.1920928955078125e-07,-20.105287384986877,497,880000,1070,104.78,0.0029168385,7.234277725219727,0.0098388671875
1780,868688386.45,285060160.0,-228414.13409107004,-0.00046207689892980853,0.2,0.0017,0.0,-20.23084959983826,499,890000,1080,97.95,0.0036338943,7.4030280113220215,0.01397705078125
1798,901916249.8,593626880.0,-232946.17168081002,-0.0018560723201517249,0.2,0.0017,0.0,-20.359812603890894,500,900000,1090,93.46,0.0044492986,7.568516254425049,0.02020263671875
1827,779732126.25,370299552.0,-252537.93988423,-0.0002945154015833396,0.2,0.0017,5.960464477539063e-08,-20.62937539219856,497,910000,1110,109.18,0.0045372844,7.95181131362915,0.01842041015625
1847,894041314.6,505276576.0,-255808.87871447002,-0.001220581809502619,0.2,0.0017,0.0,-20.764856344461442,498,920000,1120,98.86,0.0037113968,8.12789249420166,0.0142333984375
1866,735929258.525,242541584.0,-248840.33175513,-0.0007945780249428936,0.2,0.0017,0.0,-20.908574484288692,498,930000,1130,104.97,0.0047871014,8.352656364440918,0.0185546875
1884,879455085.95,332852448.0,-249566.08172457002,-0.001226439320089412,0.2,0.0017,-1.1920928955078125e-07,-21.057278260588646,498,940000,1140,103.36,0.004702078,8.55310344696045,0.02091064453125
1903,817779433.3,427664864.0,-234221.32985908003,-0.001188716788237798,0.2,0.0017,5.960464477539063e-08,-21.191833224892616,499,950000,1150,94.91,0.0041994704,8.752129554748535,0.0164794921875
1929,804261746.525,446508608.0,-272631.11092643,-0.000784761646809784,0.2,0.0017,0.0,-21.4687991887331,497,960000,1170,111.07,0.00392221,9.191102027893066,0.01400146484375
1944,833021755.45,515891616.0,-241765.93265040003,-2.171947344322689e-05,0.2,0.0017,-1.1920928955078125e-07,-21.589066372811793,498,970000,1180,102.73,0.0024963687,9.377789497375488,0.0073974609375
1963,839371809.275,475928096.0,-247869.01705993005,-2.2079071459302214e-05,0.2,0.0017,0.0,-21.724394261837006,499,980000,1190,97.9,0.0040632836,9.618556022644043,0.01429443359375
1982,790996692.325,315153216.0,-236185.10045360003,-0.0018590612425214204,0.2,0.0017,0.0,-21.879388339817524,499,990000,1200,101.78,0.0057993536,9.89258098602295,0.028759765625
2011,712178178.6875,376487840.0,-271705.29663933,-0.0006274457487961627,0.2,0.0017,0.0,-22.150155858695506,497,1000000,1220,110.79,0.0045672115,10.357714653015137,0.01864013671875
