train/learning_rate,time/episodes,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/fps,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean
0.001,439,-4362.9482421875,180000,959,852.62,3409882.0,187,14.37100601196289,-0.31281396746635437,44974,-110392.82867487
0.001,451,-4583.65087890625,190000,1011,875.05,3187903.5,187,15.376784324645996,0.33260735869407654,47474,-120895.03931697998
0.001,459,-5329.96826171875,200000,1063,883.78,994895.125,188,11.454904556274414,-0.03554624319076538,49974,-131224.74021502
0.001,471,-5658.54296875,210000,1115,911.21,1788014.25,188,11.186470031738281,0.5497006773948669,52474,-160090.23520363
0.001,481,-6351.83642578125,220000,1166,921.22,2916718.5,188,10.368885040283203,-0.11931326985359192,54974,-170459.95384447998
0.001,492,-6367.2734375,230000,1217,926.89,1461403.5,188,9.415270805358887,0.3949454128742218,57474,-162252.66268173003
0.001,501,-5348.982421875,240000,1268,939.01,1212798.125,189,12.19250202178955,-1.4867290258407593,59974,-148161.44360194998
0.001,512,-6879.634765625,250000,1320,961.15,15307430.0,189,9.411931991577148,-0.6626109480857849,62474,-148762.57575633
0.001,521,-7550.28076171875,260000,1371,964.62,1143723.5,189,9.85533332824707,-0.9668641090393066,64974,-137404.37791903
0.001,532,-7478.845703125,270000,1422,977.45,16709736.0,189,8.848875999450684,0.47286710143089294,67474,-130036.46655189001
0.001,542,-7660.140625,280000,1473,974.89,1623496.5,189,9.962020874023438,-0.8480587601661682,69974,-137151.51980586
0.001,554,-7823.0615234375,290000,1525,967.11,1461876.25,190,8.260668754577637,-0.14796395599842072,72474,-123995.84524625
0.001,564,-7935.4921875,300000,1576,963.1,1478466.375,190,8.979867935180664,-0.566567599773407,74974,-113331.16788228
0.001,575,-8631.4658203125,310000,1627,956.92,1315299.125,190,10.695154190063477,2.0492231845855713,77474,-92452.63196509998
0.001,586,-8657.71484375,320000,1678,960.74,1217762.125,190,11.402092933654785,0.8295456171035767,79974,-100891.80975769
0.001,597,-8039.7587890625,330000,1730,951.96,2992085.0,190,11.093119621276855,-1.0150419473648071,82474,-101567.11405713
0.001,606,-8687.6044921875,340000,1781,951.96,24161502.0,190,9.686836242675781,0.781948447227478,84974,-109503.35777795
0.001,617,-9715.525390625,350000,1832,952.06,2438704.5,191,10.003515243530273,0.033477455377578735,87474,-122613.14737784003
0.001,626,-9502.705078125,360000,1883,953.69,10624465.0,191,7.877960681915283,0.3613567352294922,89974,-132037.4225093
0.001,637,-10054.685546875,370000,1935,957.75,1136228.5,191,7.478636264801025,0.4570706784725189,92474,-128892.05186204003
0.001,648,-9845.416015625,380000,1987,947.85,722067.375,191,7.4690775871276855,0.48852428793907166,94974,-107597.00020833
0.001,659,-10096.060546875,390000,2039,952.04,1584991.5,191,8.449090003967285,0.24459025263786316,97474,-144449.37629803002
0.001,669,-10014.95703125,400000,2092,943.66,1035714.875,191,8.094566345214844,0.8141587972640991,99974,-140429.56623650002
0.001,679,-12549.31640625,410000,2151,952.02,3600511.5,190,8.459432601928711,0.05021260678768158,102474,-130953.54350636
0.001,689,-13489.408203125,420000,2210,960.68,1389827.125,189,6.3022637367248535,0.6343514919281006,104974,-187655.48323328997
0.001,699,-13622.51171875,430000,2269,969.46,3040331.0,189,8.392313957214355,-0.5340633392333984,107474,-189377.52623519005
0.001,710,-17168.708984375,440000,2328,962.33,871664.0,188,7.909305095672607,-1.3181384801864624,109974,-212774.37141828996
0.001,720,-15788.9892578125,450000,2387,962.33,1366344.375,188,6.7283406257629395,-1.0187441110610962,112474,-195872.95568189997
0.001,731,-17398.96875,460000,2446,956.75,774142.625,188,6.978863716125488,0.7591567039489746,114974,-199561.01371293
0.001,740,-14771.052734375,470000,2505,956.75,3857114.5,187,7.932447910308838,-1.429103136062622,117474,-222822.67485886998
0.001,751,-17772.302734375,480000,2564,974.43,564135.5,187,6.63050651550293,-0.3453443944454193,119974,-261199.7458041
0.001,760,-16764.123046875,490000,2623,974.43,19343474.0,186,5.900548934936523,1.6124763488769531,122474,-237089.37833476
0.001,771,-17570.5859375,500000,2682,982.81,513586.71875,186,6.418973445892334,-0.6661887168884277,124974,-257099.15514512
0.001,784,-17585.984375,510000,2741,964.94,627735.4375,186,6.6348557472229,-0.6908946633338928,127474,-249734.86730284002
0.001,793,-18728.75390625,520000,2800,965.11,1436032.5,185,6.528857707977295,2.269639015197754,129974,-239805.92088695997
0.001,804,-17013.671875,530000,2858,965.11,889473.375,185,8.37462043762207,-1.1971793174743652,132474,-234268.31736877997
0.001,813,-18495.291015625,540000,2917,972.24,1249468.0,185,6.258157253265381,-0.5595109462738037,134974,-221156.12489119
0.001,824,-16672.9765625,550000,2975,972.24,922445.875,184,7.534424304962158,0.040999606251716614,137474,-236859.98458253004
0.001,833,-17495.779296875,560000,3034,982.13,988665.75,184,5.972512245178223,-0.5492938160896301,139974,-233379.51258981
0.001,844,-17140.466796875,570000,3092,982.13,1594405.125,184,7.842649459838867,-0.805933952331543,142474,-217218.497956
0.001,853,-17610.890625,580000,3153,982.13,257092.828125,183,7.7231855392456055,1.027216911315918,144974,-237662.34060477
0.001,864,-17445.9296875,590000,3213,982.13,1709417.0,183,5.505249500274658,1.8145426511764526,147474,-241126.81857093997
0.001,873,-16176.078125,600000,3271,982.13,875444.625,183,5.86884069442749,0.01568017154932022,149974,-231094.29825631
0.001,884,-16400.0390625,610000,3329,1000.0,502728.96875,183,8.05305290222168,0.05457063019275665,152474,-220595.14887799
0.001,893,-16317.9619140625,620000,3388,1000.0,605931.125,182,6.521714687347412,0.3315335512161255,154974,-178301.39007421
0.001,904,-16432.4140625,630000,3446,1000.0,378302.8125,182,6.995543003082275,0.29988807439804077,157474,-206030.50621790002
0.001,913,-14326.212890625,640000,3504,1000.0,1351464.375,182,6.590989112854004,1.2136261463165283,159974,-217751.4233825
0.001,924,-14968.1611328125,650000,3563,1000.0,995253.375,182,5.883399963378906,1.2746293544769287,162474,-202088.72672179004
0.001,935,-14480.3359375,660000,3622,985.55,676522.4375,182,4.973820686340332,-0.7201703786849976,164974,-207421.84766176992
0.001,945,-13676.216796875,670000,3681,985.55,917813.875,182,6.220612525939941,-0.2687278091907501,167474,-207621.36806421998
0.001,955,-14243.86328125,680000,3738,983.35,1528584.625,181,5.0491156578063965,-0.539909839630127,169974,-167042.85305702998
0.001,965,-13801.419921875,690000,3796,983.35,973688.8125,181,5.388104438781738,-0.29088902473449707,172474,-134951.84839054997
0.001,975,-13165.794921875,700000,3853,983.35,673140.25,181,4.4994049072265625,-0.7829304933547974,174974,-153104.5489151
0.001,985,-12300.08203125,710000,3910,983.35,371177.75,181,4.75570821762085,0.7314826250076294,177474,-156229.33815672
0.001,995,-11866.9619140625,720000,3967,983.35,1451638.75,181,6.180496692657471,0.8297675848007202,179974,-162851.01805223
0.001,1005,-12057.583984375,730000,4024,983.35,695508.5,181,4.269974231719971,0.09890267252922058,182474,-125164.85444205
0.001,1015,-12634.6279296875,740000,4080,983.35,312903.875,181,4.590193271636963,-0.8242628574371338,184974,-119838.54969824999
0.001,1025,-12723.431640625,750000,4137,983.35,1168179.25,181,4.71163272857666,0.19635790586471558,187474,-122507.76156919001
0.001,1035,-11631.9189453125,760000,4194,997.8,632102.375,181,4.8458051681518555,0.5587842464447021,189974,-116378.58625663
0.001,1045,-11529.171875,770000,4251,997.8,961727.625,181,4.54824161529541,-0.16021385788917542,192474,-119020.85501597001
0.001,1055,-11537.2294921875,780000,4308,1000.0,5072910.5,181,5.655054092407227,0.2571958899497986,194974,-108681.07554296
0.001,1065,-11137.8564453125,790000,4365,1000.0,554133.5,180,4.589217662811279,-1.180123209953308,197474,-144599.93255126002
0.001,1075,-11398.4599609375,800000,4422,1000.0,3552540.0,180,4.9236650466918945,0.16094298660755157,199974,-150643.09687339002
0.001,1085,-10196.529296875,810000,4479,1000.0,915864.125,180,4.296861171722412,-0.09088578820228577,202474,-157829.37852622
0.001,1095,-9874.05078125,820000,4535,1000.0,857749.375,180,4.423077583312988,0.9947038888931274,204974,-168196.57888662003
0.001,1105,-10162.685546875,830000,4592,1000.0,4402268.5,180,4.681181907653809,-0.45639991760253906,207474,-177311.36910427
0.001,1115,-9668.966796875,840000,4649,1000.0,1054848.5,180,4.681946277618408,0.16251972317695618,209974,-181511.15307623002
0.001,1127,-8789.01171875,850000,4706,992.5,788200.625,180,5.569321155548096,-0.7797316312789917,212474,-172493.40828103
0.001,1135,-8778.970703125,860000,4763,992.5,3282162.25,180,4.542889595031738,-0.12461794912815094,214974,-172801.24255613
0.001,1147,-8464.109375,870000,4820,992.5,13204328.0,180,3.6446986198425293,0.1492564082145691,217474,-157985.02773062
0.001,1155,-8454.7529296875,880000,4877,992.5,930812.1875,180,3.453413963317871,-0.8132513165473938,219974,-179518.97796592995
0.001,1167,-8835.392578125,890000,4934,992.5,548651.1875,180,3.520108699798584,0.5584750175476074,222474,-163205.49800974998
0.001,1175,-8742.673828125,900000,4990,992.5,512393.3125,180,4.412769794464111,0.17055431008338928,224974,-160910.86685662
0.001,1187,-7974.478515625,910000,5048,992.5,872321.3125,180,5.380540370941162,-0.9122703671455383,227474,-149804.66559493
0.001,1195,-7942.3046875,920000,5104,992.5,425406.375,180,3.655466079711914,0.3405716121196747,229974,-139078.71576635996
0.001,1207,-8220.5361328125,930000,5161,992.5,825400.375,180,3.7818586826324463,-1.0942661762237549,232474,-116975.34894669002
0.001,1215,-7656.076171875,940000,5218,992.5,1172608.5,180,3.2508580684661865,0.27578097581863403,234974,-126787.04470915998
0.001,1227,-7110.640625,950000,5275,1000.0,801619.75,180,4.586836814880371,-0.8346357345581055,237474,-130006.97679407001
0.001,1235,-6382.8388671875,960000,5331,1000.0,458120.0625,180,4.053305625915527,-0.5784390568733215,239974,-121007.31414908002
0.001,1247,-7037.384765625,970000,5387,994.55,820639.25,180,3.5370473861694336,-0.4341599643230438,242474,-122515.14854278
0.001,1257,-5691.5126953125,980000,5444,988.7,480372.0,180,3.7614519596099854,0.14217406511306763,244974,-101186.7873838
0.001,1267,-6246.9169921875,990000,5500,984.01,851254.625,179,2.9229283332824707,0.16935202479362488,247474,-89183.39719884
0.001,1277,-6221.64013671875,1000000,5557,984.01,249110.625,179,3.3964734077453613,-0.092233806848526,249974,-73080.90190215
