rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,rollout/return_std,train/step_size,train/iterations,train/delta_std
-27590182.206359383,560000,923.4615384615385,3342,167,,,,,
-27900781.41477487,570000,933.6666666666666,3343,170,,,,,
-29901650.39125,580000,1000.0,3343,173,0.02,7450697.0,3.355390687520554e-10,10,0.05
-29857591.33851175,590000,1000.0,3343,176,,,,,
-29799019.464650717,600000,1000.0,3343,179,,,,,
-29835476.904030666,610000,1000.0,3341,182,,,,,
-27567161.032517772,620000,924.5384615384615,3341,185,,,,,
-27875131.500365734,630000,934.6,3341,188,,,,,
-20019634.22324167,640000,669.3333333333334,3341,191,0.02,7410454.0,3.3736125004679707e-10,11,0.05
-23952138.1788824,650000,801.6,3341,194,,,,,
-23307114.50643478,660000,779.3333333333334,3341,197,,,,,
-22477114.251111582,670000,752.0,3341,200,,,,,
-29952902.344969,680000,1000.0,3335,203,0.02,14288688.0,1.749635714087816e-10,12,0.05
-29912114.518356666,690000,1000.0,3335,206,,,,,
-25676663.795146283,700000,858.5714285714286,3335,209,,,,,
-23932326.9095698,710000,802.4,3336,212,,,,,
-21929568.89936013,720000,735.7333333333333,3336,215,,,,,
-30051477.809105,730000,1000.0,3335,218,0.02,13319797.0,1.8769055754042085e-10,13,0.05
-23931926.2858322,740000,801.6,3335,221,,,,,
-25587521.72097714,750000,858.2857142857143,3335,224,,,,,
-26827734.0602759,760000,900.8,3335,227,,,,,
-27314706.354347,770000,917.3333333333334,3335,230,,,,,
-27798379.9684568,780000,933.8666666666667,3335,233,,,,,
-29890103.546685,790000,1000.0,3335,236,0.02,7422900.5,3.3679559141575055e-10,14,0.05
-29858515.128009252,800000,1000.0,3336,239,,,,,
-29890925.745913833,810000,1000.0,3336,242,,,,,
-26885099.1418761,820000,900.6,3336,245,,,,,
-27395876.452484753,830000,917.1666666666666,3336,248,,,,,
-27918816.666687734,840000,933.7333333333333,3337,251,,,,,
-30042270.137007,850000,1000.0,3335,254,0.02,7451971.0,3.354817257328335e-10,15,0.05
-29847742.818301752,860000,1000.0,3336,257,,,,,
-25635721.10908943,870000,858.7142857142857,3336,260,,,,,
-24474821.681001272,880000,819.9090909090909,3336,263,,,,,
-21943939.921077933,890000,735.8666666666667,3336,266,,,,,
-29881386.4369525,900000,1000.0,3337,269,0.02,13311100.0,1.878131677957029e-10,16,0.05
-15069962.9386125,910000,507.625,3337,272,,,,,
-19082216.11627709,920000,641.9090909090909,3338,275,,,,,
-20748333.231115077,930000,697.0,3338,278,,,,,
,940000,,3338,281,0.02,13272594.0,1.8835805137840111e-10,17,0.05
-8644752.151536142,950000,292.57142857142856,3338,284,,,,,
-11689773.057157846,960000,396.2307692307692,3338,287,,,,,
,970000,,3337,290,0.02,15167945.0,1.6482126774519656e-10,18,0.05
-22493958.90169375,980000,752.0,3338,293,,,,,
-21379791.983608283,990000,718.0,3338,296,,,,,
-19960585.3031465,1000000,703.2,3338,299,,,,,
-22261972.701842997,1010000,771.6923076923077,3338,302,,,,,
