time/fps,train/n_updates,train/policy_loss,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/std,time/total_timesteps,time/time_elapsed
1432,2999,-1577409.0,-21.27204704284668,2.980232238769531e-07,6161913344.0,-511452.07703275996,32.56,0.0001,0.9992072582244873,240000,167
1431,3124,-1633890.5,-21.265453338623047,1.7881393432617188e-07,6768303104.0,-486007.50399089,29.99,0.0001,0.9987832307815552,250000,174
1433,3249,-1645001.375,-21.26791000366211,1.1920928955078125e-07,6660131840.0,-413617.18016233,25.58,0.0001,0.9989117980003357,260000,181
1435,3374,-1530693.875,-21.270217895507812,5.960464477539063e-08,6135938048.0,-469727.5376322,29.81,0.0001,0.9991070032119751,270000,188
1436,3499,-1588068.75,-21.269859313964844,5.960464477539063e-08,6383561728.0,-465440.41597017995,29.56,0.0001,0.9990698099136353,280000,194
1436,3624,-1685039.75,-21.266761779785156,1.7881393432617188e-07,6830457856.0,-399177.61157356,25.12,0.0001,0.9988478422164917,290000,201
1437,3749,-1594195.375,-21.267087936401367,2.384185791015625e-07,6995644416.0,-460702.12067151,29.16,0.0001,0.9989173412322998,300000,208
1436,3874,-1641926.5,-21.270095825195312,2.384185791015625e-07,6809883648.0,-460288.77788395004,29.12,0.0001,0.9990441799163818,310000,215
1437,3999,-1849373.0,-21.26748275756836,1.1920928955078125e-07,8912149504.0,-399351.53443927004,24.53,0.0001,0.998913049697876,320000,222
1437,4124,-1549377.75,-21.265745162963867,-1.1920928955078125e-07,6631215104.0,-491218.94883676997,31.18,0.0001,0.9988169074058533,330000,229
1439,4249,-1654343.75,-21.262229919433594,1.1920928955078125e-07,7438738944.0,-423119.4803789299,26.3,0.0001,0.9985790848731995,340000,236
1440,4374,-1529919.625,-21.260391235351562,0.0,5910677504.0,-546732.55707512,34.65,0.0001,0.9984493255615234,350000,242
1442,4499,-1602963.875,-21.257522583007812,-1.1920928955078125e-07,6249464832.0,-418945.83096566,26.58,0.0001,0.9982160329818726,360000,249
1443,4624,-1628382.75,-21.25576400756836,-1.1920928955078125e-07,7985632768.0,-457814.01623715,28.52,0.0001,0.998198926448822,370000,256
1443,4749,-1661254.75,-21.25193977355957,0.0,6798327296.0,-515655.16371867,33.21,0.0001,0.9978829622268677,380000,263
1444,4874,-1595701.625,-21.246261596679688,-2.384185791015625e-07,6581890048.0,-468002.7581660199,29.76,0.0001,0.997516393661499,390000,270
1444,4999,-1744928.625,-21.24245262145996,-1.1920928955078125e-07,7977717760.0,-469714.22411006014,30.01,0.0001,0.9972755908966064,400000,276
1444,5124,-1473762.75,-21.247779846191406,-1.1920928955078125e-07,5915452928.0,-406956.30741055985,25.97,0.0001,0.9976621270179749,410000,283
1444,5249,-1613754.75,-21.25613021850586,-1.1920928955078125e-07,6559601664.0,-476807.36570865987,30.86,0.0001,0.9981874227523804,420000,290
1444,5374,-1946163.75,-21.25535774230957,0.0,9376793600.0,-412455.51831918,26.07,0.0001,0.9980936050415039,430000,297
1444,5499,-1529784.875,-21.251951217651367,-2.384185791015625e-07,6158297088.0,-467334.75479618006,30.19,0.0001,0.9979493618011475,440000,304
1444,5624,-1559530.0,-21.25050926208496,-1.1920928955078125e-07,5910081536.0,-477558.4741146899,30.89,0.0001,0.9977543950080872,450000,311
1445,5749,-1576789.0,-21.245168685913086,0.0,6113790976.0,-458110.91944092995,29.69,0.0001,0.9974405169487,460000,318
1445,5874,-1659822.625,-21.24193000793457,0.0,6878125056.0,-442628.5561518499,28.03,0.0001,0.9971893429756165,470000,325
1446,5999,-1643673.375,-21.24539566040039,0.0,6700170240.0,-439552.83785364,27.98,0.0001,0.9974604249000549,480000,331
1446,6124,-1544435.25,-21.252002716064453,-1.1920928955078125e-07,5744145920.0,-438504.41006655,27.91,0.0001,0.9978427290916443,490000,338
1447,6249,-1595367.875,-21.25485610961914,0.0,7121112064.0,-435120.8266693,27.58,0.0001,0.9981111884117126,500000,345
1448,6374,-1592255.0,-21.2530517578125,0.0,6446553088.0,-472240.59718792007,30.6,0.0001,0.9979870915412903,510000,352
1448,6499,-1690039.25,-21.262819290161133,0.0,7305404416.0,-476002.87921861,30.84,0.0001,0.9986198544502258,520000,358
1449,6624,-1892494.625,-21.26100730895996,0.0,8410918912.0,-413754.25863403006,26.45,0.0001,0.9984632134437561,530000,365
1449,6749,-1621977.0,-21.260616302490234,0.0,7039612416.0,-448461.25736720004,29.02,0.0001,0.9985222220420837,540000,372
1450,6874,-1819263.625,-21.266468048095703,0.0,7841316864.0,-398016.8449704801,25.15,0.0001,0.998873770236969,550000,379
1451,6999,-1888708.25,-21.26088523864746,0.0,9126151168.0,-451008.80543352,29.04,0.0001,0.9985560178756714,560000,385
1452,7124,-1538402.75,-21.270204544067383,5.960464477539063e-08,6378941440.0,-453743.41009831993,29.31,0.0001,0.9991512298583984,570000,392
1452,7249,-1491017.375,-21.26930809020996,5.960464477539063e-08,5704538624.0,-503537.59915925,32.42,0.0001,0.9990703463554382,580000,399
1453,7374,-1749588.0,-21.264156341552734,0.0,7690955264.0,-384517.14805267996,24.63,0.0001,0.9987466931343079,590000,406
1453,7499,-1605775.875,-21.26022720336914,5.960464477539063e-08,6435372544.0,-400025.3924245701,25.17,0.0001,0.9984433650970459,600000,412
1454,7624,-1555425.25,-21.25244140625,1.7881393432617188e-07,6236802048.0,-430721.8228079999,27.61,0.0001,0.9979596734046936,610000,419
1454,7749,-1417082.125,-21.249954223632812,2.384185791015625e-07,5223514112.0,-430788.2707322299,27.81,0.0001,0.997794508934021,620000,426
1455,7874,-1463945.75,-21.25156021118164,-1.1920928955078125e-07,5617467392.0,-429239.1916148501,27.53,0.0001,0.9978996515274048,630000,432
1455,7999,-1435121.625,-21.251609802246094,1.1920928955078125e-07,5307530752.0,-390652.34229834995,25.07,0.0001,0.9979134202003479,640000,439
1455,8124,-1750532.75,-21.25026512145996,-2.384185791015625e-07,7174920704.0,-369898.6471679301,23.42,0.0001,0.9977816343307495,650000,446
1454,8249,-1644375.875,-21.252735137939453,0.0,6606977536.0,-410516.30175186,26.47,0.0001,0.9979463815689087,660000,453
1453,8374,-1536666.375,-21.25164794921875,0.0,6086026240.0,-451091.8658151099,29.55,0.0001,0.997915506362915,670000,460
1453,8499,-1724489.625,-21.25421142578125,1.1920928955078125e-07,7518737408.0,-377935.1719779599,24.35,0.0001,0.9980509877204895,680000,467
1452,8624,-1829590.25,-21.251123428344727,-1.1920928955078125e-07,8983567360.0,-380994.04838899,24.22,0.0001,0.9978830218315125,690000,475
1451,8749,-1542998.375,-21.25307846069336,1.7881393432617188e-07,6049141760.0,-403084.8654945,26.11,0.0001,0.9979847073554993,700000,482
1451,8874,-1333443.75,-21.249183654785156,0.0,4369305600.0,-372132.62455828994,23.69,0.0001,0.9977295398712158,710000,489
1450,8999,-1817297.625,-21.248292922973633,-1.1920928955078125e-07,7879702016.0,-397042.32966721006,25.05,0.0001,0.9976445436477661,720000,496
1450,9124,-1523347.25,-21.25166130065918,0.0,6012993536.0,-332293.10689593997,20.59,0.0001,0.9979315996170044,730000,503
1449,9249,-1408235.75,-21.25054931640625,-1.1920928955078125e-07,4958219264.0,-432065.64057149,28.28,0.0001,0.9977921843528748,740000,510
1449,9374,-1683272.375,-21.247352600097656,0.0,7067803648.0,-432474.82591460994,27.94,0.0001,0.9975845813751221,750000,517
1448,9499,-1398619.375,-21.251102447509766,0.0,5322939392.0,-389843.76133183,25.05,0.0001,0.9978736042976379,760000,524
1447,9624,-1547307.375,-21.255319595336914,-2.384185791015625e-07,5941195776.0,-411298.58858596,26.75,0.0001,0.9981324672698975,770000,531
1447,9749,-1558842.0,-21.25729751586914,0.0,6680807424.0,-404241.83515314007,26.01,0.0001,0.9982649683952332,780000,538
1446,9874,-1468957.75,-21.26199722290039,0.0,5694697984.0,-423081.41165655,27.64,0.0001,0.998568594455719,790000,546
1445,9999,-1544673.875,-21.254880905151367,0.0,6221175296.0,-459341.52708262,30.11,0.0001,0.9981192350387573,800000,553
1444,10124,-1460360.0,-21.258535385131836,1.7881393432617188e-07,5585524736.0,-354851.83769159997,22.43,0.0001,0.9983853697776794,810000,560
1444,10249,-1464865.375,-21.264888763427734,0.0,5652982784.0,-364374.99070361996,23.08,0.0001,0.9987952709197998,820000,567
1443,10374,-1564309.0,-21.27151870727539,0.0,6286745088.0,-380209.91659531,24.54,0.0001,0.9992054104804993,830000,574
1443,10499,-1585509.25,-21.265321731567383,0.0,6701384704.0,-405801.6531119,26.35,0.0001,0.998820960521698,840000,581
1442,10624,-1707329.0,-21.26755142211914,0.0,7316230144.0,-421844.66214852,27.39,0.0001,0.9989660978317261,850000,589
1441,10749,-1804852.75,-21.265233993530273,0.0,8362565632.0,-387618.28157581994,24.96,0.0001,0.9988096952438354,860000,596
1441,10874,-1629933.625,-21.267871856689453,0.0,6251977216.0,-431516.64082140004,27.87,0.0001,0.9989652037620544,870000,603
1440,10999,-1509804.0,-21.27195930480957,5.960464477539063e-08,5729078272.0,-411800.36958161,26.27,0.0001,0.9992621541023254,880000,610
1440,11124,-1641337.25,-21.267026901245117,0.0,6873966080.0,-430064.1214370101,27.61,0.0001,0.9989427924156189,890000,617
1441,11249,-1497804.125,-21.27398681640625,1.7881393432617188e-07,5566367232.0,-397920.97011407005,25.48,0.0001,0.999393105506897,900000,624
1441,11374,-1537686.625,-21.278013229370117,0.0,6216915968.0,-403275.9596026201,25.6,0.0001,0.9996755123138428,910000,631
1442,11499,-1532372.875,-21.27859878540039,0.0,5786741760.0,-411524.46541998006,26.44,0.0001,0.9996893405914307,920000,637
1442,11624,-1657332.75,-21.278053283691406,2.384185791015625e-07,7228799488.0,-430657.21567218006,27.7,0.0001,0.9996779561042786,930000,644
1442,11749,-1661310.625,-21.274524688720703,1.7881393432617188e-07,6762180096.0,-431916.4422104,27.97,0.0001,0.9994261860847473,940000,651
1442,11874,-1798254.375,-21.277122497558594,0.0,7837154304.0,-375180.1385438001,24.19,0.0001,0.999589741230011,950000,658
1443,11999,-1407380.125,-21.278440475463867,1.1920928955078125e-07,4921337856.0,-341509.62204273,21.31,0.0001,0.9996982216835022,960000,665
1443,12124,-1585277.625,-21.289976119995117,0.0,6228348416.0,-385544.22138686,24.78,0.0001,1.000449538230896,970000,671
1443,12249,-1527844.375,-21.29014778137207,0.0,6225073152.0,-387461.23276694,25.52,0.0001,1.0005189180374146,980000,678
1444,12374,-1429823.5,-21.29647445678711,-2.384185791015625e-07,5141853184.0,-392690.0247519,25.46,0.0001,1.0009151697158813,990000,685
1444,12499,-1585145.25,-21.29551887512207,-1.1920928955078125e-07,6207800320.0,-371826.76789491996,24.06,0.0001,1.0008256435394287,1000000,692
