time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,time/fps,train/explained_variance,train/learning_rate
528,450000,-296087.76536956,9.28,1.1401879787445068,0.2,540,-23.23150383234024,0.001025390625,24198064128.0,-0.0023891030701634008,52907089500.8,0.0022959532,850,0.0,0.0017
544,460000,-324467.18496844004,10.51,1.1464987993240356,0.2,560,-23.31327606290579,0.00223388671875,26740903936.0,-0.002357018939437694,51687444953.6,0.0026169973,845,0.0,0.0017
555,470000,-335000.48931533,10.77,1.1498875617980957,0.2,570,-23.356328289210797,0.00030517578125,21811599360.0,-0.001541417359658226,47497195656.0,0.0013991001,846,1.1920928955078125e-07,0.0017
566,480000,-297269.21461115003,9.4,1.1529699563980103,0.2,580,-23.398611034452916,0.001220703125,32905283584.0,-0.0017117040695666219,51785310096.0,0.0019733228,847,-1.1920928955078125e-07,0.0017
577,490000,-316281.50284396,10.12,1.1560897827148438,0.2,590,-23.438960906863212,0.0028076171875,20942026752.0,-0.0017983012696277001,48374208388.8,0.0025053986,849,0.0,0.0017
592,500000,-343864.72643688996,11.0,1.1615482568740845,0.2,610,-23.513116480410098,0.0016357421875,20428214272.0,-0.002527120439481223,45631656254.4,0.0024974227,844,1.1920928955078125e-07,0.0017
603,510000,-380270.21924688,12.26,1.1646835803985596,0.2,620,-23.550092835724353,0.0009765625,23960528896.0,-0.0020388612623719383,50102712312.0,0.0021480839,845,0.0,0.0017
614,520000,-282569.32955789997,8.74,1.16813325881958,0.2,630,-23.592240990698336,0.0033447265625,26081433600.0,-0.002283585800250876,52172748470.4,0.0023092078,846,0.0,0.0017
624,530000,-332344.83157839,10.52,1.1713694334030151,0.2,640,-23.63534622937441,0.00302734375,21735182336.0,-0.0025105637582782947,47998748332.8,0.002449109,848,0.0,0.0017
635,540000,-279275.62069818,8.52,1.1745926141738892,0.2,650,-23.67686046808958,0.0069091796875,26875025408.0,-0.002693188620833098,50644663835.2,0.0031691487,849,0.0,0.0017
650,550000,-247898.00079825998,7.46,1.1818965673446655,0.2,670,-23.766181379556656,0.0005859375,20782962688.0,-0.0018889740600570803,43289254889.6,0.0016302791,844,0.0,0.0017
661,560000,-258035.6956615,7.79,1.1851880550384521,0.2,680,-23.811033430695534,0.0040283203125,24166150144.0,-0.0024920383481003227,45638099862.4,0.0026122532,846,-2.384185791015625e-07,0.0017
672,570000,-368195.66559308,11.65,1.1883643865585327,0.2,690,-23.851952812075616,0.002294921875,24374573056.0,-0.0020148039184277877,44172329920.0,0.0021087672,847,5.960464477539063e-08,0.0017
683,580000,-303480.10364536,9.56,1.1915103197097778,0.2,700,-23.89175271242857,0.0014404296875,28063469568.0,-0.002150611596152885,57597646960.0,0.0022898857,848,0.0,0.0017
