train/n_updates,train/kl_divergence_loss,train/policy_objective,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/is_line_search_success,train/learning_rate,train/std,rollout/ep_rew_mean,train/value_loss
90,0.008799741044640541,0.01949365623295307,-1.1920928955078125e-07,907.91,179,740000,4113,1.0,0.001,0.7153298258781433,-105709.81483107,67765259.6671875
91,0.004441323224455118,0.03362414240837097,1.1920928955078125e-07,929.15,182,750000,4116,1.0,0.001,0.7127108573913574,-137057.93156223002,182879705.95
92,0.005054490175098181,0.027145350351929665,0.0,951.67,184,760000,4120,1.0,0.001,0.710871160030365,-143171.49852146002,68633159.4578125
93,0.006013198290020227,0.01379657257348299,0.0,947.2,186,770000,4124,1.0,0.001,0.7113680243492126,-134422.47430990002,34817481.73398437
95,0.003057691268622875,0.002683080965653062,0.0,946.27,189,780000,4113,1.0,0.001,0.7071288228034973,-133789.46606136,23405389.863671876
96,0.0051526897586882114,0.002489986829459667,-1.1920928955078125e-07,941.42,191,790000,4116,1.0,0.001,0.706281840801239,-144908.65168702,74106120.071875
97,0.00552011514082551,0.04155169799923897,1.1920928955078125e-07,941.42,194,800000,4119,1.0,0.001,0.7060208320617676,-165710.48299645996,118524922.70625
98,0.005516959819942713,0.022664576768875122,-1.1920928955078125e-07,941.42,196,810000,4122,1.0,0.001,0.7062399387359619,-169591.47940281,3897466.0748046874
100,0.005923731718212366,0.023255156353116035,0.0,951.11,199,820000,4112,1.0,0.001,0.703944742679596,-174922.22975654996,18341306.6328125
101,0.0030654817819595337,0.004074425436556339,0.0,946.3,201,830000,4114,1.0,0.001,0.7032085061073303,-186696.54481506,85662671.0890625
102,0.002561155240982771,0.003421307308599353,1.7881393432617188e-07,949.95,203,840000,4118,1.0,0.001,0.7026340365409851,-199462.58894373002,116800831.18125
103,0.006115766242146492,0.05562027916312218,-1.1920928955078125e-07,957.14,206,850000,4120,1.0,0.001,0.7020267844200134,-231408.53203760003,417279888.95
104,0.00936849880963564,0.0028258091770112514,0.0,968.11,208,860000,4123,1.0,0.001,0.7014064788818359,-303480.50301549,21013419.960546874
106,0.00473886588588357,0.033083755522966385,-1.1920928955078125e-07,969.86,211,870000,4113,1.0,0.001,0.6973747611045837,-298306.5751677,60745851.4875
107,0.00981904286891222,0.01798141375184059,0.0,969.7,213,880000,4116,1.0,0.001,0.6975783705711365,-302562.37801326,14055905.481640626
108,0.005149654112756252,0.012937192805111408,0.0,974.55,216,890000,4119,1.0,0.001,0.6973841786384583,-316469.70118266006,158597149.8875
109,0.005753015633672476,0.04133680462837219,1.7881393432617188e-07,974.55,218,900000,4120,1.0,0.001,0.6965407729148865,-339199.7057028199,335581383.15
111,0.007357344496995211,0.05994178354740143,-1.1920928955078125e-07,974.55,221,910000,4110,1.0,0.001,0.6953442096710205,-338601.90733485995,2156076.5454589846
112,0.009056040085852146,0.019268173724412918,0.0,957.77,223,920000,4114,1.0,0.001,0.6950938701629639,-342485.68914751,40498944.46210937
113,0.005444544833153486,0.036150798201560974,-1.1920928955078125e-07,957.77,225,930000,4116,1.0,0.001,0.6944305300712585,-366856.04210406,274759577.75
114,0.0063872807659208775,0.04815341904759407,0.0,960.93,228,940000,4118,1.0,0.001,0.6932218670845032,-328181.68752965005,214206354.6125
115,0.008332987315952778,0.016811776906251907,0.0,938.39,230,950000,4121,1.0,0.001,0.6932700276374817,-333164.62496749,17223674.289453126
117,0.008313259109854698,0.040001124143600464,5.960464477539063e-08,928.66,233,960000,4112,1.0,0.001,0.6928000450134277,-276163.63603983005,62352809.578125
118,0.009436238557100296,0.029089370742440224,0.0,928.66,235,970000,4115,1.0,0.001,0.6920221447944641,-270576.56336187,7678826.952929688
119,0.009686506353318691,0.018685750663280487,-1.1920928955078125e-07,928.82,237,980000,4117,1.0,0.001,0.6926627159118652,-254966.86720105,48005498.26992188
120,0.005263070110231638,0.0338580347597599,5.960464477539063e-08,928.82,240,990000,4119,1.0,0.001,0.6932000517845154,-220788.28057345,111840301.046875
122,0.00992515217512846,0.052555665373802185,1.1920928955078125e-07,928.82,243,1000000,4110,1.0,0.001,0.6921235918998718,-228934.68406581003,101326408.1125
