train/ent_coef,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,time/time_elapsed
38.531612396240234,47474,360.03,-90239.69882184,190000,-0.019400835037231445,187,1524,0.001,13194187.0,15644.22265625,1013
40.07155227661133,49974,410.0,-97048.59647469001,200000,-0.6865007281303406,187,1547,0.001,8691683.0,14496.16015625,1066
44.71991729736328,52474,433.29,-101723.21892177,210000,-0.9929563999176025,187,1566,0.001,13333268.0,11542.5966796875,1119
38.680850982666016,54974,470.58,-101944.60619637002,220000,-2.541367769241333,187,1581,0.001,46171248.0,11378.5869140625,1172
38.41661834716797,57474,506.79,-123053.51013743,230000,1.3538179397583008,187,1603,0.001,14631441.0,14949.80078125,1225
37.60963439941406,59974,517.26,-109817.07026164999,240000,1.6940758228302002,187,1621,0.001,6103789.5,10053.625,1278
35.4995231628418,62474,544.93,-98254.49741797001,250000,-0.0592968612909317,187,1633,0.001,19886126.0,9250.375,1332
34.09833908081055,64974,603.92,-104786.33301955002,260000,1.2201480865478516,187,1647,0.001,5795421.5,8687.0546875,1385
31.951499938964844,67474,586.28,-105657.65578224002,270000,1.3947818279266357,187,1669,0.001,37870088.0,9102.7333984375,1438
36.08379364013672,69974,561.38,-99381.45282922,280000,-0.494869589805603,187,1687,0.001,9124636.0,5430.57666015625,1491
34.485469818115234,72474,563.01,-90075.89294513999,290000,0.8919485807418823,187,1712,0.001,20057096.0,4383.9384765625,1544
36.14950942993164,74974,518.33,-90309.42444776,300000,1.5123859643936157,187,1731,0.001,29571712.0,5301.4462890625,1597
30.083602905273438,77474,473.98,-83200.15830572,310000,3.609818935394287,187,1751,0.001,8199160.0,3177.3095703125,1650
33.09088897705078,79974,488.8,-75743.51042402,320000,1.8593069314956665,187,1771,0.001,7493733.5,1606.2220458984375,1703
31.701669692993164,82474,513.16,-82810.76000682,330000,0.5417971611022949,187,1786,0.001,5813196.0,769.21142578125,1756
31.61147117614746,84974,547.29,-100757.29599413,340000,0.7060860991477966,187,1799,0.001,15807451.0,2959.94091796875,1810
30.844409942626953,87474,563.59,-102840.78420738998,350000,-0.2435016632080078,187,1817,0.001,44784752.0,427.4560852050781,1863
32.56022262573242,89974,574.74,-104739.58282512,360000,-1.8908019065856934,187,1834,0.001,12820959.0,-1624.20654296875,1916
27.970218658447266,92474,631.65,-148276.30956746,370000,0.6491091251373291,187,1847,0.001,7611883.0,-1050.1878662109375,1969
32.217918395996094,94974,646.6,-159508.55216537,380000,-1.0849508047103882,187,1861,0.001,8174087.0,-3115.21875,2022
29.2437801361084,97474,668.3,-156332.42393571002,390000,0.47928667068481445,187,1878,0.001,4513758.0,-2287.19287109375,2075
29.49675178527832,99974,656.28,-142257.40788736998,400000,-0.5399125814437866,187,1893,0.001,19660990.0,-2239.290283203125,2128
24.298152923583984,102474,666.42,-153860.9979909,410000,-0.9828331470489502,187,1907,0.001,13833492.0,-7299.2421875,2188
29.327899932861328,104974,701.0,-143852.96513717997,420000,1.6989538669586182,186,1918,0.001,26361892.0,-4153.87548828125,2248
26.57779884338379,107474,659.64,-176101.32652011004,430000,-0.35751965641975403,186,1939,0.001,8296626.0,-9452.3759765625,2308
20.96845245361328,109974,636.7,-142638.23330072002,440000,0.5214293003082275,185,1956,0.001,26319968.0,-7897.52880859375,2368
24.24814224243164,112474,567.7,-182229.08858953998,450000,-0.9533991813659668,185,1984,0.001,5371084.0,-8463.822265625,2428
23.62611198425293,114974,582.62,-185873.24744786,460000,-0.8524085283279419,184,1995,0.001,13464615.0,-9940.919921875,2488
21.480106353759766,117474,529.75,-200005.65210560005,470000,-0.15322968363761902,184,2015,0.001,6557543.0,-8157.626953125,2548
24.45757293701172,119974,557.44,-214242.2141598,480000,-2.623812675476074,183,2029,0.001,11102151.0,-8919.76953125,2608
24.11189079284668,122474,562.88,-217133.90794742,490000,1.1478357315063477,183,2042,0.001,7364748.0,-11143.6455078125,2668
24.33588409423828,124974,527.94,-195164.56496883,500000,-0.8096932172775269,183,2068,0.001,6357454.5,-13025.986328125,2729
22.703205108642578,127474,565.74,-255285.27274475002,510000,0.5389970541000366,182,2089,0.001,61339112.0,-9201.3447265625,2788
28.409107208251953,129974,472.13,-249611.84458679,520000,2.07375431060791,182,2118,0.001,66920624.0,-11773.7392578125,2848
23.05072593688965,132474,367.41,-130665.65280271,530000,-0.3636687099933624,182,2154,0.001,22137924.0,-13874.51953125,2908
18.67313575744629,134974,271.5,-73477.44609016,540000,-1.3621673583984375,181,2192,0.001,5320830.5,-17286.91015625,2968
20.920520782470703,137474,284.5,-60102.01994201999,550000,-1.802025556564331,181,2225,0.001,29141660.0,-16379.423828125,3028
21.7228946685791,139974,238.89,-75275.58952625,560000,-0.883501410484314,181,2271,0.001,12999438.0,-15420.990234375,3088
23.075668334960938,142474,277.08,-77469.38677865002,570000,-1.784494400024414,181,2298,0.001,24909460.0,-18840.01171875,3147
24.106006622314453,144974,253.75,-47738.76383052999,580000,-2.2101356983184814,180,2357,0.001,18755618.0,-16849.642578125,3207
26.498817443847656,147474,171.32,29236.318855280002,590000,-0.2737564444541931,180,2407,0.001,54245232.0,-22443.56640625,3267
26.514408111572266,149974,223.74,-69187.57116533,600000,-0.2793367803096771,180,2443,0.001,23265030.0,-24971.970703125,3327
25.60546875,152474,228.36,-81301.45132545,610000,0.8677235245704651,180,2500,0.001,5784901.0,-26094.509765625,3387
25.914051055908203,154974,185.56,3698.96468979,620000,0.28459298610687256,179,2552,0.001,4379691.0,-27330.595703125,3446
25.01317596435547,157474,72.19,91137.79963493,630000,0.9696207642555237,179,2677,0.001,36576376.0,-29876.103515625,3505
23.484773635864258,159974,50.46,116725.28437103,640000,0.9444023370742798,179,2854,0.001,4038882.0,-34875.765625,3564
26.514665603637695,162474,45.31,114986.62942520002,650000,-1.0890692472457886,179,2988,0.001,53139612.0,-37487.95703125,3622
26.5063419342041,164974,36.26,130130.31334950002,660000,0.6807734370231628,179,3214,0.001,8495314.0,-36815.515625,3681
30.227914810180664,167474,41.87,125718.2652516,670000,-1.1212507486343384,179,3461,0.001,44697120.0,-43663.578125,3739
29.246553421020508,169974,56.22,128594.14476617,680000,-1.7915390729904175,179,3635,0.001,7186950.0,-48155.77734375,3797
30.421321868896484,172474,45.33,131384.49435544002,690000,1.3560501337051392,178,3846,0.001,5881292.0,-49664.0703125,3855
32.168701171875,174974,49.38,125035.39961456,700000,3.3317103385925293,178,4078,0.001,36320536.0,-54133.16015625,3914
30.9901180267334,177474,46.77,127311.81497954,710000,0.4595783054828644,178,4263,0.001,96756528.0,-56349.11328125,3972
34.38104248046875,179974,33.59,131416.65262732,720000,0.4257555603981018,178,4523,0.001,93685152.0,-61520.984375,4030
29.464187622070312,182474,53.55,131083.79007513,730000,0.40432819724082947,178,4760,0.001,52296936.0,-63276.1015625,4088
27.755508422851562,184974,32.47,132023.14968188002,740000,-1.061936616897583,178,5046,0.001,75148640.0,-62421.4375,4146
32.029510498046875,187474,34.58,131941.63927518,750000,-0.18376599252223969,178,5337,0.001,7983335.5,-63886.46484375,4204
28.51002311706543,189974,37.36,131499.93450591,760000,-0.010181039571762085,178,5643,0.001,12157292.0,-68560.515625,4262
27.323974609375,192474,36.76,129632.39550187,770000,0.4899073541164398,178,5927,0.001,8579054.0,-70393.2890625,4320
29.1124324798584,194974,31.57,132111.41087917,780000,0.8837347626686096,178,6229,0.001,11480195.0,-69768.9375,4378
29.567106246948242,197474,38.7,132563.14783772,790000,-1.2474137544631958,178,6514,0.001,24504764.0,-71928.5703125,4436
29.736677169799805,199974,29.12,132510.69676155,800000,-0.0781179666519165,178,6854,0.001,4595784.0,-72949.2890625,4493
32.925785064697266,202474,33.04,131746.45674918,810000,-0.2771882116794586,177,7174,0.001,4583265.5,-73067.703125,4551
28.29892921447754,204974,65.37,125162.32332807999,820000,1.7760072946548462,177,7402,0.001,11739794.0,-73449.2421875,4609
29.693092346191406,207474,29.34,132492.86724767,830000,3.4897046089172363,177,7705,0.001,6408998.5,-79172.140625,4667
28.730308532714844,209974,34.06,131498.87802328,840000,-0.1087285578250885,177,8000,0.001,77362672.0,-76254.5078125,4725
31.662967681884766,212474,39.02,130942.34434641,850000,1.4160785675048828,177,8244,0.001,9273544.0,-76278.046875,4783
30.05351448059082,214974,37.01,132417.71633994998,860000,-1.7109839916229248,177,8538,0.001,8891157.0,-75938.796875,4841
28.98895835876465,217474,26.6,133137.19945232003,870000,2.176194667816162,177,8880,0.001,10846308.0,-80787.328125,4899
27.33097267150879,219974,48.43,127027.88740320998,880000,0.2730412781238556,177,9148,0.001,6586068.0,-78542.3046875,4957
27.975488662719727,222474,25.69,133061.50959127,890000,0.7605907917022705,177,9494,0.001,6091665.0,-79879.453125,5015
23.492961883544922,224974,24.34,133193.29943554002,900000,-0.5580750703811646,177,9866,0.001,28055732.0,-77672.03125,5073
28.14241600036621,227474,27.81,133058.59934542,910000,-0.774946928024292,177,10177,0.001,9179997.0,-79606.8203125,5131
25.670812606811523,229974,24.61,132475.09603021,920000,0.32951727509498596,177,10560,0.001,3987068.0,-79686.84375,5189
27.70229148864746,232474,27.96,133078.01636121,930000,-1.3873164653778076,177,10926,0.001,34292960.0,-78920.28125,5247
24.833635330200195,234974,24.44,132191.28303642,940000,0.4164442718029022,177,11302,0.001,7462404.0,-82054.015625,5305
28.7315673828125,237474,22.77,131851.11049121,950000,1.7628247737884521,177,11692,0.001,11963577.0,-80368.1640625,5363
27.700084686279297,239974,27.97,132300.35966225,960000,-0.12006764113903046,177,12038,0.001,15920032.0,-82004.7578125,5421
26.891481399536133,242474,40.26,131196.1774714,970000,0.41602814197540283,177,12306,0.001,8844707.0,-82662.9296875,5479
30.771957397460938,244974,24.92,131980.16334421,980000,1.9795697927474976,176,12651,0.001,6717997.0,-83460.3359375,5537
33.05208969116211,247474,46.55,129599.88039815,990000,-0.5125844478607178,176,12801,0.001,8272211.5,-84242.8984375,5594
25.717376708984375,249974,25.35,133171.09933512,1000000,-0.8735054731369019,176,13092,0.001,16722442.0,-84786.671875,5652
