train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance
0.0017,8314719232.0,-0.00158640704521531,17954001997.6,930,547,510000,0.2,0.0024109674,-277363.20824254,-19.791621489822866,620,15.96,0.00206298828125,1.261555790901184,2.384185791015625e-07
0.0017,9941677056.0,-0.0012223368714330718,18356608659.2,931,557,520000,0.2,0.001560315,-261212.17358670995,-19.838970276713372,630,13.94,0.0007080078125,1.266762137413025,-1.1920928955078125e-07
0.0017,8215120384.0,-0.0015741450937639457,18353340472.8,932,568,530000,0.2,0.0015111035,-235635.73266465002,-19.89224448055029,640,12.84,0.00087890625,1.2727621793746948,0.0
0.0017,9098574848.0,-0.0029493316334992413,16837178856.0,933,578,540000,0.2,0.0036108827,-261361.21745777997,-19.944299444556236,650,14.61,0.013916015625,1.2778006792068481,0.0
0.0017,8638209024.0,-0.0013317720644408838,18247268524.8,928,592,550000,0.2,0.0011884065,-257862.85052996996,-20.044655549526215,670,14.11,0.000244140625,1.28874933719635,-1.1920928955078125e-07
0.0017,7778437632.0,-0.002341139146119531,17462102487.2,928,602,560000,0.2,0.0027787848,-248717.39854638997,-20.09428922086954,680,13.42,0.0056396484375,1.2938445806503296,0.0
0.0017,8761032704.0,-0.0014250694642214512,17373147601.6,929,612,570000,0.2,0.0015816758,-245895.26976733,-20.143313187360764,690,13.1,0.0011962890625,1.2993974685668945,0.0
0.0017,8758164480.0,-0.0013558464044763241,17828306454.4,930,623,580000,0.2,0.001702864,-283316.75974311994,-20.189872787892817,700,16.68,0.0009521484375,1.3039757013320923,1.7881393432617188e-07
0.0017,8206334464.0,-0.0021121423043950925,16896334974.4,925,637,590000,0.2,0.0029456168,-256647.10365120997,-20.27964664846659,720,14.21,0.00609130859375,1.3136703968048096,0.0
0.0017,7908304384.0,-0.0013052311120191006,17474091903.2,926,647,600000,0.2,0.0020646693,-254361.66845798993,-20.32214111685753,730,13.6,0.00152587890625,1.3186269998550415,5.960464477539063e-08
0.0017,8946782208.0,-0.0028257331190616243,17017842851.2,927,657,610000,0.2,0.0037695344,-241858.62902278997,-20.369219958782196,740,13.29,0.0089599609375,1.323919653892517,1.1920928955078125e-07
0.0017,9256940544.0,-0.0018983717243372666,17318471518.4,928,668,620000,0.2,0.0022370068,-245410.89804095,-20.41792012602091,750,13.53,0.0018798828125,1.32951021194458,-1.1920928955078125e-07
0.0017,7587632640.0,-0.001671591351259849,16717948089.6,928,678,630000,0.2,0.001827223,-282886.78579908,-20.468381863832473,760,16.18,0.00091552734375,1.3350781202316284,0.0
0.0017,7203679232.0,-0.0025111890954576666,16014482364.0,923,692,640000,0.2,0.003289452,-221712.84589682004,-20.570344395935535,780,11.48,0.010400390625,1.3464040756225586,1.7881393432617188e-07
0.0017,8466236928.0,-0.0016106791706988588,16464651086.4,924,702,650000,0.2,0.002032358,-202783.70842856998,-20.618577264249325,790,10.16,0.00516357421875,1.3518222570419312,-1.1920928955078125e-07
0.0017,8412121600.0,-0.002064738795525045,16518169070.4,925,712,660000,0.2,0.0026267413,-237199.88680818002,-20.66481159925461,800,12.93,0.0083984375,1.3567754030227661,0.0
0.0017,7841363968.0,-0.00120400041105313,16544323265.6,926,723,670000,0.2,0.0019516939,-221114.92669171,-20.71108771264553,810,11.08,0.0013427734375,1.3623714447021484,0.0
0.0017,7059740160.0,-0.0023035422895191005,16388247643.2,921,737,680000,0.2,0.0028587221,-228323.80558666997,-20.807829213142394,830,11.76,0.00654296875,1.373801350593567,-1.1920928955078125e-07
0.0017,9209274368.0,-0.002664532001290354,16883370135.2,922,747,690000,0.2,0.0034417277,-259731.17944489003,-20.862070862948894,840,14.57,0.00552978515625,1.3796638250350952,-1.1920928955078125e-07
0.0017,8364979200.0,-0.002320141494692507,16643851241.6,923,758,700000,0.2,0.0026951462,-238275.13731902,-20.914899542927742,850,13.08,0.00743408203125,1.3860125541687012,0.0
0.0017,8536054784.0,-0.0017940429754162324,16243456932.8,924,768,710000,0.2,0.0024636246,-220972.04315053995,-20.964685894548893,860,12.2,0.00367431640625,1.3912383317947388,5.960464477539063e-08
0.0017,8627810304.0,-0.0017128283634519903,16484289037.6,925,777,720000,0.2,0.0023202174,-271260.26461481,-21.01230462640524,870,14.96,0.00220947265625,1.397076964378357,-1.1920928955078125e-07
0.0017,7278967808.0,-0.0024193781275243962,15711416654.4,921,792,730000,0.2,0.0032936907,-257311.55121077,-21.111847984790803,890,14.0,0.00909423828125,1.4092332124710083,0.0
