train/critic_loss,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,time/fps,train/learning_rate,time/episodes
57287124.0,-1368918.3278914902,19630.83984375,320000,535,16.55433464050293,0.8048399686813354,308.85,79974,597,0.0055,771
7867246.5,-1198491.82647198,10375.296875,330000,552,16.859844207763672,4.332582473754883,349.82,82474,597,0.0055,783
3587221.5,-761085.1890906,9256.22265625,340000,569,47.567543029785156,-4.395447254180908,408.81,84974,597,0.0055,794
766669.375,-344234.07502436,2188.07568359375,350000,585,4.602459907531738,5.255770683288574,472.25,87474,597,0.0055,805
16881964.0,-926223.27491513,43325.0,360000,602,87.97450256347656,5.468846321105957,550.91,89974,597,0.0055,824
5305289.0,-1000841.6422737801,7957.03515625,370000,619,26.35079002380371,0.16442394256591797,610.61,92474,597,0.0055,843
32457776.0,-1131099.55964431,19494.796875,380000,636,103.18148040771484,11.436616897583008,621.99,94974,597,0.0055,864
75134360.0,-1213003.16481935,42689.37109375,390000,653,353.6549987792969,-166.70596313476562,540.25,97474,597,0.0055,891
17560280.0,-867098.3497613498,23598.26953125,400000,669,82.73851776123047,42.71739196777344,399.3,99974,597,0.0055,925
4107243.5,-822411.27335941,5780.40283203125,410000,688,9.921902656555176,4.1485772132873535,435.75,102474,595,0.0055,935
114360448.0,-1435924.0652262901,72309.0390625,420000,706,433.15740966796875,-64.38534545898438,348.08,104974,594,0.0055,977
22022448.0,-1253725.6115397399,51800.7890625,430000,724,51.218143463134766,24.31085968017578,341.23,107474,593,0.0055,999
11162970.0,-1200862.01142844,19781.638671875,440000,743,7.036429405212402,3.3565235137939453,413.17,109974,592,0.0055,1013
21704988.0,-1734568.2877914899,37973.41796875,450000,761,121.2538070678711,18.598190307617188,446.57,112474,590,0.0055,1031
2776541.75,-1525566.5687913701,13905.2958984375,460000,779,18.505985260009766,18.198543548583984,446.55,114974,589,0.0055,1047
5345005568.0,-1617534.40608924,491377.03125,470000,798,2319.007568359375,-226.4766387939453,481.0,117474,588,0.0055,1072
4068900096.0,-1944370.10798714,343664.28125,480000,816,3873.7861328125,112.19915771484375,107.94,119974,587,0.0055,1174
575957504.0,-2259566.8208545996,331883.375,490000,834,320.8686828613281,61.711265563964844,172.68,122474,586,0.0055,1208
97219536.0,-3220034.03930177,226662.015625,500000,853,41.04767990112305,15.599043846130371,278.13,124974,586,0.0055,1242
1908471296.0,-1645911.4332840901,264917.875,510000,871,174.52548217773438,-378.0659484863281,227.04,127474,585,0.0055,1298
2531428864.0,-2091768.0992598196,504239.6875,520000,889,6606.37744140625,82.35757446289062,190.54,129974,584,0.0055,1349
208414343168.0,-3216815.0672915997,1964232.125,530000,908,44847.125,-167.634033203125,220.45,132474,583,0.0055,1372
410937884672.0,-4672068.1010312,2596839.5,540000,926,79027.15625,111.2446517944336,302.57,134974,582,0.0055,1398
25577678848.0,-3804656.35381318,2225106.75,550000,945,1972.7607421875,92.04423522949219,297.47,137474,581,0.0055,1440
9598077952.0,-3125489.0194938593,1580108.875,560000,963,105.32352447509766,31.657270431518555,246.32,139974,581,0.0055,1480
9492252672.0,-4146753.6720724497,1232859.25,570000,981,197.4471435546875,-7.5340752601623535,257.74,142474,580,0.0055,1517
2492436224.0,-5012035.30593369,905963.25,580000,1000,564.287353515625,-106.55276489257812,268.82,144974,579,0.0055,1548
1201175552.0,-373925.81053586,596657.0625,590000,1018,154.4811248779297,16.335264205932617,20.38,147474,579,0.0055,1810
4381666304.0,-1380952.26037033,726748.375,600000,1037,2502.199462890625,-280.36224365234375,75.6,149974,578,0.0055,1956
86952034304.0,-3399116.93548068,1969896.0,610000,1055,22977.73828125,94.01177978515625,170.27,152474,577,0.0055,1978
10615990272.0,-2944870.7824741304,1257761.875,620000,1073,1792.3740234375,98.63510131835938,193.71,154974,577,0.0055,2062
1720787328.0,-1228166.8856780601,829892.375,630000,1092,56.75850296020508,43.641571044921875,62.62,157474,576,0.0055,2237
13219283968.0,-2648080.85055807,1013909.3125,640000,1110,1101.8154296875,-52.362152099609375,121.96,159974,576,0.0055,2266
21837527040.0,-4074079.3308598595,1032635.5,650000,1128,12409.564453125,132.06060791015625,206.63,162474,575,0.0055,2329
18354225152.0,-704899.07493965,1033193.375,660000,1147,591.3934936523438,81.7733154296875,40.99,164974,575,0.0055,2481
1070352384.0,-594186.7062915,626759.0,670000,1165,14.925139427185059,31.379425048828125,38.04,167474,574,0.0055,2764
369606784.0,-1669363.67294728,379760.84375,680000,1183,0.3192417621612549,-12.405607223510742,97.64,169974,574,0.0055,2873
3324191232.0,-3746681.422287369,755088.8125,690000,1202,357.46136474609375,-269.9366760253906,173.64,172474,573,0.0055,2886
4077764096.0,-6118926.94794523,1025654.75,700000,1220,5106.3759765625,-139.7297821044922,254.38,174974,573,0.0055,2899
91356135424.0,-8382697.746396219,2537746.75,710000,1238,31786.0,148.58644104003906,365.61,177474,573,0.0055,2923
5255407616.0,-8135809.724882499,1462777.75,720000,1257,8689.93359375,37.61681365966797,405.54,179974,572,0.0055,2965
274099863552.0,-1164229.82210487,2712121.0,730000,1275,28015.943359375,-99.6532974243164,103.12,182474,572,0.0055,3067
46709161984.0,-930862.97519148,2232486.0,740000,1293,3156.51025390625,113.16465759277344,102.49,184974,571,0.0055,3143
5966528512.0,-1492682.4961003899,1695596.75,750000,1312,112.3446044921875,31.551464080810547,135.57,187474,571,0.0055,3212
10492155904.0,-581119.1835486699,1511117.75,760000,1330,3227.447265625,-119.88581085205078,28.44,189974,571,0.0055,3434
112569450496.0,-1718239.4561887598,1515386.375,770000,1348,6686.48876953125,-573.0343627929688,91.34,192474,570,0.0055,3524
280494014464.0,-3882194.11729439,2542338.0,780000,1367,76523.46875,29.981082916259766,173.0,194974,570,0.0055,3541
52945854464.0,-4860337.8632143,2409133.25,790000,1385,19927.568359375,143.5797882080078,244.61,197474,570,0.0055,3592
10734340096.0,-676518.84788471,2020755.0,800000,1403,385.0341491699219,78.10650634765625,49.01,199974,569,0.0055,3724
10889944064.0,-840456.92327245,1379297.5,810000,1422,8.670390129089355,17.7259578704834,57.3,202474,569,0.0055,3883
172755714048.0,-2785784.68252751,2818515.5,820000,1440,4493.46044921875,-225.2212371826172,130.04,204974,569,0.0055,3942
1077435957248.0,-4645293.74909871,4217512.5,830000,1458,107237.5625,-75.27226257324219,206.59,207474,569,0.0055,3978
31139768320.0,-595143.1559782301,2257709.25,840000,1476,22082.203125,139.940673828125,79.29,209974,568,0.0055,4093
15429570560.0,-596790.71809062,2199620.0,850000,1495,1199.5400390625,-60.96888732910156,46.64,212474,568,0.0055,4367
399724216320.0,-902052.63844814,2192467.25,860000,1513,9135.111328125,93.6544418334961,48.89,214974,568,0.0055,4569
61680353280.0,-1685712.7626687502,2331689.25,870000,1531,4923.6962890625,55.12744903564453,89.86,217474,568,0.0055,4674
14854267904.0,-481096.5026633599,1978813.25,880000,1549,3027.597900390625,-361.3122253417969,30.21,219974,567,0.0055,4911
9452105728.0,-325581.1105678,1381483.75,890000,1568,703.231689453125,76.40290069580078,26.85,222474,567,0.0055,5134
17521098752.0,-1417304.8394624204,1232954.0,900000,1586,344.8431396484375,-54.058067321777344,68.25,224974,567,0.0055,5367
19945754624.0,-663477.0384104,1004577.375,910000,1604,533.5508422851562,35.338924407958984,35.22,227474,567,0.0055,5628
60711944192.0,-556846.1854093199,1638482.75,920000,1622,5944.59130859375,-460.34478759765625,39.67,229974,566,0.0055,5830
353297924096.0,-2038748.2572113702,3895782.0,930000,1641,52625.06640625,40.10320281982422,126.97,232474,566,0.0055,5872
21013512192.0,-749811.90560099,1822934.75,940000,1659,8345.0966796875,74.56771850585938,69.58,234974,566,0.0055,5988
14235512832.0,-819403.8834864001,1303263.75,950000,1677,61.68458557128906,53.12029266357422,56.43,237474,566,0.0055,6131
4538898432.0,-401099.33557739004,904741.0,960000,1695,0.7014228105545044,-1.728327751159668,33.19,239974,566,0.0055,6459
39055302656.0,-366998.2692781,1238046.75,970000,1713,38.28152847290039,-167.27020263671875,21.17,242474,565,0.0055,6735
103614177280.0,-3266677.8283500993,1396765.75,980000,1732,4709.564453125,-11.163853645324707,122.93,244974,565,0.0055,6762
2810475008.0,-228459.46975939997,926031.25,990000,1750,1797.7579345703125,82.2927474975586,18.47,247474,565,0.0055,7002
1073145344.0,-300703.32412910997,631932.6875,1000000,1768,179.53292846679688,38.153297424316406,20.89,249974,565,0.0055,7437
