time/fps,train/value_loss,time/time_elapsed,train/learning_rate,train/policy_loss,rollout/ep_rew_mean,time/total_timesteps,train/std,train/explained_variance,rollout/ep_len_mean,train/entropy_loss,train/n_updates
3521,195678736.0,39,0.0001,-102585.796875,-273489.35681101994,140000,0.998670756816864,0.0,94.47,-8.50576400756836,1749
3512,318300928.0,42,0.0001,-119982.125,-253375.39803271997,150000,0.9975764155387878,0.0,81.17,-8.498708724975586,1874
3509,1377776128.0,45,0.0001,-256609.09375,-230136.81634639003,160000,0.997105062007904,1.7881393432617188e-07,80.02,-8.49618911743164,1999
3506,248641184.0,48,0.0001,-107337.1640625,-240119.02657248,170000,0.9960618615150452,5.960464477539063e-08,82.83,-8.489869117736816,2124
3504,1088252928.0,51,0.0001,-194051.03125,-242786.06832454997,180000,0.995305061340332,1.1920928955078125e-07,83.73,-8.485518455505371,2249
3501,410972704.0,54,0.0001,-151155.046875,-200280.88685621004,190000,0.9944916367530823,0.0,77.42,-8.48030948638916,2374
3499,626967488.0,57,0.0001,-73176.234375,-229701.94940683,200000,0.9937569499015808,0.0,89.36,-8.47542667388916,2499
3496,515884736.0,60,0.0001,14611.9140625,-223057.18353986004,210000,0.9934415221214294,0.0,86.58,-8.474509239196777,2624
3495,1024581760.0,62,0.0001,-140952.40625,-240693.07377623004,220000,0.9928929209709167,0.0,93.07,-8.470504760742188,2749
3492,1046533504.0,65,0.0001,-173385.5,-185083.29789770005,230000,0.9920876622200012,0.0,68.04,-8.465738296508789,2874
3489,649958336.0,68,0.0001,-119123.984375,-185550.63232329005,240000,0.9912660121917725,0.0,72.3,-8.46091365814209,2999
3487,1627269632.0,71,0.0001,-233871.453125,-214647.89613305003,250000,0.9909863471984863,0.0,86.06,-8.459049224853516,3124
3484,1268397824.0,74,0.0001,-181318.34375,-200133.06767820005,260000,0.9900450706481934,0.0,72.25,-8.453084945678711,3249
3482,242914128.0,77,0.0001,-95735.484375,-204857.63832243998,270000,0.9891546368598938,0.0,80.62,-8.447649955749512,3374
3480,1136811264.0,80,0.0001,-45171.94921875,-171669.52700442,280000,0.9889516830444336,0.0,70.54,-8.446274757385254,3499
3478,598022848.0,83,0.0001,-38249.9296875,-171586.20698588004,290000,0.9877674579620361,0.0,72.56,-8.439373016357422,3624
3475,1611339008.0,86,0.0001,-212172.65625,-174808.09609474003,300000,0.9872281551361084,0.0,76.88,-8.435593605041504,3749
3472,99298256.0,89,0.0001,-58157.51171875,-147687.29520651003,310000,0.9869574904441833,0.0,60.49,-8.434112548828125,3874
3470,1109819136.0,92,0.0001,-43047.83984375,-152360.39358245,320000,0.9863887429237366,0.0,71.79,-8.431153297424316,3999
3466,440173376.0,95,0.0001,-105614.046875,-170329.11490092997,330000,0.9856658577919006,0.0,71.51,-8.426390647888184,4124
3464,490423616.0,98,0.0001,32363.849609375,-163569.16188474,340000,0.9850099682807922,5.960464477539063e-08,74.3,-8.422094345092773,4249
3461,612713344.0,101,0.0001,-17744.71484375,-158344.65345737,350000,0.9841854572296143,0.0,72.38,-8.417526245117188,4374
3451,165142608.0,104,0.0001,-34128.546875,-135480.11380038,360000,0.9832928776741028,0.0,58.92,-8.41165828704834,4499
3449,879525568.0,107,0.0001,-162061.03125,-163016.30681769,370000,0.9826857447624207,1.1920928955078125e-07,65.61,-8.408204078674316,4624
3448,594559104.0,110,0.0001,-94398.3828125,-156252.51990552,380000,0.9818385243415833,1.1920928955078125e-07,72.71,-8.402802467346191,4749
3445,374118656.0,113,0.0001,-135277.90625,-132659.73460188002,390000,0.981283962726593,5.960464477539063e-08,66.62,-8.39945125579834,4874
3443,333305568.0,116,0.0001,-29846.41796875,-130371.15041754,400000,0.9801710247993469,0.0,64.86,-8.392212867736816,4999
3440,1064609984.0,119,0.0001,-186128.984375,-131495.45253939996,410000,0.9794523119926453,0.0,59.25,-8.388251304626465,5124
3438,1302427520.0,122,0.0001,-164550.46875,-147335.61353826,420000,0.9789726138114929,-1.1920928955078125e-07,58.15,-8.384810447692871,5249
3436,686945920.0,125,0.0001,-136534.609375,-125353.00728499,430000,0.9777021408081055,0.0,66.35,-8.377277374267578,5374
3434,558310208.0,128,0.0001,-61394.10546875,-152352.21982665,440000,0.9771141409873962,0.0,83.21,-8.373024940490723,5499
3432,1381122816.0,131,0.0001,-115596.125,-124266.74779599,450000,0.9769096374511719,-1.1920928955078125e-07,57.23,-8.372394561767578,5624
3430,263906688.0,134,0.0001,-97457.109375,-128602.96626267002,460000,0.976161777973175,0.0,56.76,-8.367888450622559,5749
3427,1010838144.0,137,0.0001,-185329.34375,-141779.74601373,470000,0.9759635329246521,1.1920928955078125e-07,63.28,-8.366314888000488,5874
3425,1047926080.0,140,0.0001,-147755.640625,-147622.02302974006,480000,0.9763422012329102,0.0,66.07,-8.36895751953125,5999
3423,636962432.0,143,0.0001,-131187.640625,-145468.46716782,490000,0.9764235615730286,0.0,62.48,-8.369470596313477,6124
3421,191668144.0,146,0.0001,-81855.484375,-146093.09726644,500000,0.9759964942932129,0.0,60.69,-8.366766929626465,6249
3419,158163152.0,149,0.0001,-64168.75,-133283.73278499,510000,0.9754403233528137,0.0,61.21,-8.363302230834961,6374
3416,899140992.0,152,0.0001,-160001.03125,-132438.98219863002,520000,0.9748154282569885,0.0,64.73,-8.359180450439453,6499
3414,198093472.0,155,0.0001,-48582.82421875,-115573.85256402999,530000,0.973932683467865,0.0,57.3,-8.35456657409668,6624
3411,902420608.0,158,0.0001,12055.1689453125,-111177.71371503,540000,0.9732708930969238,0.0,61.14,-8.349456787109375,6749
3409,785023168.0,161,0.0001,-120627.1015625,-99919.62003143,550000,0.9728356003761292,0.0,64.65,-8.346915245056152,6874
3407,894698880.0,164,0.0001,-157907.671875,-128878.82445298998,560000,0.9719192385673523,0.0,67.57,-8.340866088867188,6999
3406,140274336.0,167,0.0001,-63645.96875,-135384.25932135002,570000,0.9710544943809509,0.0,73.28,-8.335675239562988,7124
3404,571738112.0,170,0.0001,8293.6416015625,-115850.37661001,580000,0.9702291488647461,0.0,74.59,-8.330914497375488,7249
3402,525431360.0,173,0.0001,-116192.5234375,-106797.18123055002,590000,0.9693028330802917,0.0,68.74,-8.325384140014648,7374
3400,219934464.0,176,0.0001,-96746.7578125,-104955.08960516998,600000,0.9695768356323242,0.0,67.21,-8.326776504516602,7499
3398,221163744.0,179,0.0001,-68141.3515625,-110081.09909366,610000,0.9698300361633301,0.0,63.24,-8.32803726196289,7624
3396,120761792.0,182,0.0001,-59688.57421875,-113981.20740067,620000,0.9690285325050354,0.0,63.48,-8.323137283325195,7749
3395,608917632.0,185,0.0001,-116696.5859375,-130019.52412029999,630000,0.9679791331291199,5.960464477539063e-08,67.15,-8.31667709350586,7874
3394,463744608.0,188,0.0001,30273.95703125,-120602.86525675001,640000,0.9671537280082703,0.0,71.9,-8.31143856048584,7999
3393,162094304.0,191,0.0001,-84261.71875,-137196.36661092998,650000,0.9670572876930237,1.1920928955078125e-07,66.73,-8.310779571533203,8124
3391,963106112.0,194,0.0001,39004.8671875,-100138.46440475002,660000,0.9658530354499817,0.0,69.94,-8.303686141967773,8249
3390,302355264.0,197,0.0001,-98815.828125,-101691.53716969003,670000,0.965568482875824,0.0,72.28,-8.301423072814941,8374
3388,71944288.0,200,0.0001,-54616.6953125,-106711.31766925,680000,0.9650159478187561,0.0,78.42,-8.297863960266113,8499
3387,217159984.0,203,0.0001,-68033.0390625,-110952.89006832,690000,0.9630748629570007,0.0,82.77,-8.28576946258545,8624
3386,568233280.0,206,0.0001,-96997.3359375,-106971.31020273,700000,0.9637289047241211,0.0,82.81,-8.2896728515625,8749
3385,184514432.0,209,0.0001,-87974.453125,-87285.4356258,710000,0.9638948440551758,0.0,76.94,-8.291080474853516,8874
3383,367434816.0,212,0.0001,44040.5234375,-93317.37299031,720000,0.9638083577156067,0.0,81.61,-8.290929794311523,8999
3382,1165042560.0,215,0.0001,-64024.61328125,-97085.58152795998,730000,0.9637628197669983,0.0,76.02,-8.289783477783203,9124
3381,214263168.0,218,0.0001,-88054.140625,-90760.02385793,740000,0.9632325768470764,5.960464477539063e-08,66.89,-8.286590576171875,9249
3378,857754752.0,221,0.0001,-131523.890625,-107951.10377578998,750000,0.9632769227027893,0.0,74.41,-8.287029266357422,9374
3378,165220512.0,224,0.0001,-75441.375,-109012.31145386,760000,0.9626631736755371,0.0,91.64,-8.28331184387207,9499
3377,1065808000.0,227,0.0001,-53768.0390625,-93879.1515102,770000,0.9629546999931335,0.0,67.25,-8.284612655639648,9624
3376,692288192.0,231,0.0001,-152518.296875,-97574.44722326998,780000,0.9627909064292908,0.0,70.19,-8.284051895141602,9749
3375,679194432.0,234,0.0001,-113677.0,-79091.58914794,790000,0.9624180793762207,0.0,64.71,-8.28141975402832,9874
3374,1265137408.0,237,0.0001,33159.8203125,-63884.77319108,800000,0.9620394706726074,0.0,66.83,-8.278840065002441,9999
3372,164078688.0,240,0.0001,-80112.2734375,-71332.95455433,810000,0.961909294128418,0.0,64.3,-8.278212547302246,10124
3373,110202776.0,243,0.0001,-59120.1640625,-121411.29039908,820000,0.9613223075866699,0.0,88.48,-8.274462699890137,10249
3372,1219908864.0,246,0.0001,-180345.75,-67949.19130035,830000,0.9607160687446594,0.0,68.11,-8.270490646362305,10374
3371,101458536.0,249,0.0001,-41814.578125,-75907.62404686002,840000,0.9608705639839172,-2.384185791015625e-07,66.09,-8.271442413330078,10499
3371,255056224.0,252,0.0001,-94037.6171875,-129605.65360851999,850000,0.9603619575500488,-1.1920928955078125e-07,104.57,-8.268138885498047,10624
3370,664371072.0,255,0.0001,-1974.852783203125,-101134.04991574999,860000,0.9600414633750916,0.0,98.81,-8.266475677490234,10749
3370,994037568.0,258,0.0001,-18554.64453125,-99511.59897610001,870000,0.9597412943840027,0.0,101.39,-8.264673233032227,10874
3369,609425344.0,261,0.0001,-12283.146484375,-57736.33188521,880000,0.9586541056632996,0.0,70.46,-8.25770378112793,10999
3368,1509614848.0,264,0.0001,85372.609375,-54163.20700502,890000,0.9578782916069031,0.0,75.18,-8.252603530883789,11124
3367,547682304.0,267,0.0001,-79531.296875,-106109.81988110999,900000,0.9573192000389099,0.0,94.27,-8.248973846435547,11249
3366,645235712.0,270,0.0001,29420.712890625,-75247.43924677999,910000,0.957911491394043,1.1920928955078125e-07,85.41,-8.253353118896484,11374
3366,183860336.0,273,0.0001,-67672.171875,-120907.52244306,920000,0.9571477770805359,-1.1920928955078125e-07,107.73,-8.248213768005371,11499
3365,1577981696.0,276,0.0001,130969.6484375,-48827.66727216,930000,0.956831157207489,0.0,70.37,-8.246511459350586,11624
3365,799951488.0,279,0.0001,-99393.1015625,-60958.699241769995,940000,0.9562537670135498,0.0,78.71,-8.24237060546875,11749
3365,565164928.0,282,0.0001,-79003.890625,-149530.45895784,950000,0.955264151096344,-1.1920928955078125e-07,106.53,-8.236349105834961,11874
3365,736812928.0,285,0.0001,-85653.625,-121291.57148346999,960000,0.954214870929718,0.0,86.24,-8.230218887329102,11999
3364,1214208768.0,288,0.0001,-158018.125,-70269.52688801,970000,0.9534223079681396,0.0,85.59,-8.225029945373535,12124
3364,124772816.0,291,0.0001,-69192.1484375,-73969.87261533999,980000,0.951999843120575,0.0,84.7,-8.215867042541504,12249
3364,698865216.0,294,0.0001,-139063.828125,-93125.40745489,990000,0.9521730542182922,5.960464477539063e-08,105.66,-8.216882705688477,12374
3363,933003584.0,297,0.0001,-125737.796875,-41958.33784616,1000000,0.9517691731452942,5.960464477539063e-08,76.08,-8.214727401733398,12499
