train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps
0.0003,1610345.125,13491.552734375,59974,240000,1531,2428,56.56,151.71881103515625,-814341.39731897,-0.7010471820831299,156
0.0003,1494042.0,21441.25390625,62474,250000,1595,2585,62.08,149.51791381835938,-1075261.05358398,0.2942916452884674,156
0.0003,1456633.375,16260.537109375,64974,260000,1660,2785,53.81,138.87811279296875,-970748.1038029902,-3.3695666790008545,156
0.0003,1368736.25,14991.728515625,67474,270000,1725,2935,71.75,121.13642883300781,-1059531.09095283,-3.2663590908050537,156
0.0003,1311051.375,20794.35546875,69974,280000,1789,3056,86.55,114.49650573730469,-962263.1314658601,2.079045295715332,156
0.0003,1263974.25,12965.2841796875,72474,290000,1854,3136,114.31,113.51527404785156,-1213651.6208809698,-1.9250266551971436,156
0.0003,1232832.625,17202.427734375,74974,300000,1919,3165,179.18,115.47608947753906,-1940078.69222587,1.849203109741211,156
0.0003,1215314.125,12353.5380859375,77474,310000,1985,3306,51.64,122.47642517089844,-488468.08603125997,1.1384238004684448,156
0.0003,1184399.875,13195.1328125,79974,320000,2050,3446,80.55,126.50314331054688,-695094.2554716599,2.5656843185424805,156
0.0003,1141742.0,12293.267578125,82474,330000,2115,3512,130.55,122.8036117553711,-994639.6348176199,-1.3969703912734985,155
0.0003,1107310.75,18145.224609375,84974,340000,2181,3593,151.46,116.32102966308594,-1094608.74429436,-0.9483327865600586,155
0.0003,1064889.875,11569.1865234375,87474,350000,2247,3846,31.34,116.79350280761719,-102377.87185371,1.0288137197494507,155
0.0003,1021267.4375,9640.5712890625,89974,360000,2312,4086,47.74,121.07319641113281,-129134.98358488001,1.177916169166565,155
0.0003,984122.875,11461.0908203125,92474,370000,2377,4231,67.64,126.58128356933594,-170058.5146015,-0.8897273540496826,155
0.0003,906223.0,10288.3427734375,94974,380000,2443,4334,93.18,131.9344482421875,-183241.40374742998,-3.822986125946045,155
0.0003,855417.625,8506.740234375,97474,390000,2509,4401,139.48,134.14816284179688,-154354.25805099998,0.5606189966201782,155
0.0003,809844.0625,8171.7060546875,99974,400000,2574,4470,153.82,133.4024658203125,-107613.47242461,-1.7322050333023071,155
0.0003,758634.3125,6662.03955078125,102474,410000,2640,4581,82.81,133.11456298828125,-89537.50583580999,0.3888506293296814,155
0.0003,696368.6875,9318.931640625,104974,420000,2705,4592,159.14,128.66217041015625,-97322.6738015,0.9714738130569458,155
0.0003,641824.3125,5301.166015625,107474,430000,2771,4610,259.29,125.80570983886719,-109072.14597581999,-0.12055271863937378,155
0.0003,592817.625,6327.49755859375,109974,440000,2836,4628,357.09,122.21751403808594,-119854.32032331999,2.2160985469818115,155
0.0003,555465.3125,6929.998046875,112474,450000,2902,4647,422.73,120.3241958618164,-127286.9798691,-0.6761013865470886,155
0.0003,501402.9375,8831.3515625,114974,460000,2967,4660,512.76,116.52682495117188,-134104.85050406,-0.8203071355819702,154
0.0003,454560.8125,7368.73486328125,117474,470000,3033,4672,598.71,114.79898834228516,-143558.50328369002,0.8320509195327759,154
0.0003,412583.75,6845.31787109375,119974,480000,3098,4684,660.18,113.70487976074219,-153930.09632777,1.6605559587478638,154
0.0003,383744.28125,5067.08154296875,122474,490000,3163,4696,676.37,107.24613952636719,-155892.37174838997,-3.334197521209717,154
0.0003,332782.25,5420.1708984375,124974,500000,3229,4714,664.42,104.10321807861328,-153552.5493866,-5.5642805099487305,154
0.0003,288267.25,4609.39990234375,127474,510000,3294,4724,699.72,102.73560333251953,-157528.33414554998,1.111283779144287,154
0.0003,263372.78125,4033.364013671875,129974,520000,3359,4735,755.07,99.20287322998047,-164849.36350608003,3.187145948410034,154
0.0003,241515.265625,3805.48779296875,132474,530000,3425,4745,809.39,95.60029602050781,-170705.46816455,0.4471427798271179,154
0.0003,215518.0625,4143.40380859375,134974,540000,3489,4829,280.08,95.5445556640625,-113572.39033102,-2.6514272689819336,154
0.0003,191434.609375,3231.247802734375,137474,550000,3555,4958,74.82,93.13819122314453,-100293.63734647,0.9780701398849487,154
0.0003,156685.5625,3364.656982421875,139974,560000,3620,5030,123.47,89.42221069335938,-93504.21604935998,2.053305149078369,154
0.0003,139799.734375,2884.95849609375,142474,570000,3685,5155,64.39,82.630126953125,-84824.93098248001,7.383410453796387,154
0.0003,138604.8125,2714.1962890625,144974,580000,3750,5371,48.76,77.08070373535156,-82940.33005499998,-0.5702905058860779,154
0.0003,128618.203125,2665.21875,147474,590000,3815,5532,66.61,72.73999786376953,-83302.50940101,-0.15517675876617432,154
0.0003,119593.984375,2589.636962890625,149974,600000,3880,5636,97.4,71.69146728515625,-88216.32338493998,1.149003505706787,154
0.0003,111006.796875,3383.633056640625,152474,610000,3945,5657,164.05,72.65074157714844,-93048.36584892003,0.17708325386047363,154
0.0003,94119.875,3083.06787109375,154974,620000,4010,5667,257.58,72.90925598144531,-104112.75770074001,1.7488186359405518,154
0.0003,91667.921875,3019.149169921875,157474,630000,4074,5677,349.95,69.96514892578125,-116220.01612847998,-2.1301326751708984,154
0.0003,78902.359375,3013.972412109375,159974,640000,4139,5687,441.73,65.96417236328125,-124836.62256903999,0.9309433698654175,154
0.0003,80059.328125,2923.640869140625,162474,650000,4204,5724,516.94,60.90988540649414,-132925.61296008,-3.4632627964019775,154
0.0003,72424.734375,2697.673828125,164974,660000,4269,5876,65.32,55.021697998046875,-83759.60925729,-2.0163779258728027,154
0.0003,77200.3203125,2324.922119140625,167474,670000,4334,5945,119.57,53.75647735595703,-88595.93723509001,-3.4040465354919434,154
0.0003,56474.7421875,2103.14208984375,169974,680000,4399,5956,205.26,46.893348693847656,-99055.2357793,2.041192054748535,154
0.0003,58526.59375,2081.9482421875,172474,690000,4464,5983,277.13,40.939388275146484,-105172.22842107002,1.8061213493347168,154
