time/fps,train/ent_coef,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,train/critic_loss,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/n_updates
145,58.2076530456543,0.0064,610000,19.48,1.148592472076416,4191,992.1275024414062,13659,-57659.3828125,133003.76220166,152474
145,52.15534973144531,0.0064,620000,37.98,1.905996322631836,4264,1075.9796142578125,13848,-50986.3359375,128864.71075489,154974
145,43.28057861328125,0.0064,630000,25.79,-3.247171640396118,4337,803.88916015625,14254,-49035.765625,133110.23755073,157474
145,45.212127685546875,0.0064,640000,19.16,-0.5238664746284485,4410,823.8311767578125,14716,-50355.890625,133312.3,159974
144,44.665069580078125,0.0064,650000,18.59,0.8352697491645813,4483,770.8709106445312,15140,-50828.6015625,131321.15972613,162474
144,44.653045654296875,0.0064,660000,18.27,-4.277108192443848,4556,862.6425170898438,15627,-45810.65625,133329.15311631,164974
144,45.85080337524414,0.0064,670000,18.6,0.7178811430931091,4630,1051.93115234375,16029,-47918.5234375,133324.4,167474
144,38.73680877685547,0.0064,680000,35.82,-0.2795495092868805,4703,734.8736572265625,16448,-52472.3671875,120352.73179328,169974
144,44.26478958129883,0.0064,690000,25.59,2.816870927810669,4776,790.5771484375,16916,-51409.08984375,130823.71291191998,172474
144,46.822418212890625,0.0064,700000,18.55,1.6674846410751343,4849,671.9556274414062,17381,-58459.68359375,133528.06359641,174974
144,48.454280853271484,0.0064,710000,28.05,-0.04087144136428833,4922,825.0588989257812,17858,-58300.8125,131362.31939751,177474
144,48.96428298950195,0.0064,720000,20.76,1.344622254371643,4996,936.811279296875,18373,-59493.3515625,133155.01977157,179974
143,52.74966049194336,0.0064,730000,18.53,3.142359495162964,5069,776.9537963867188,18898,-58939.72265625,133629.25083354,182474
143,48.607582092285156,0.0064,740000,26.9,-0.3892548978328705,5143,916.1333618164062,19303,-62984.8984375,130916.69850204,184974
143,47.89434051513672,0.0064,750000,20.08,-2.7050416469573975,5216,906.6280517578125,19762,-57612.4375,128861.28033662,187474
143,52.66064453125,0.0064,760000,18.3,-0.8234004378318787,5289,756.4650268554688,20179,-62024.3828125,133330.31378676998,189974
143,54.121612548828125,0.0064,770000,19.18,2.2954187393188477,5363,848.2210083007812,20617,-61079.0390625,128899.03990906998,192474
143,45.93574523925781,0.0064,780000,38.3,-0.7247597575187683,5436,1133.4683837890625,20892,-55520.1640625,126623.75705828,194974
143,43.934078216552734,0.0064,790000,25.78,1.2134194374084473,5509,1275.9298095703125,21273,-50856.19140625,130610.03489902001,197474
143,49.426971435546875,0.0064,800000,18.69,2.424689292907715,5582,1291.57275390625,21678,-50501.90625,133322.12901484,199974
143,54.7093505859375,0.0064,810000,18.73,0.9605988264083862,5655,1423.2061767578125,22172,-50419.5859375,133521.56112733,202474
143,53.50575637817383,0.0064,820000,20.16,-0.8252142071723938,5728,1332.4130859375,22573,-50711.9375,128672.36366934002,204974
143,50.51486587524414,0.0064,830000,28.17,-2.051621198654175,5802,941.90673828125,23060,-54575.359375,131663.89839892,207474
142,52.07714080810547,0.0064,840000,18.17,-0.088279128074646,5875,854.6906127929688,23605,-52781.9296875,133635.63852766,209974
142,62.00117874145508,0.0064,850000,18.2,1.7332009077072144,5948,1094.6485595703125,24149,-61472.9140625,133633.92979905,212474
142,58.985660552978516,0.0064,860000,18.31,-1.1899988651275635,6022,708.8342895507812,24637,-60548.3203125,133633.8,214974
142,45.76847457885742,0.0064,870000,45.74,-0.3120543956756592,6095,530.33447265625,24974,-62108.8515625,127989.44014810999,217474
142,42.985939025878906,0.0064,880000,18.31,2.788132429122925,6169,703.5947875976562,25487,-57563.5234375,133330.2,219974
142,43.14423370361328,0.0064,890000,19.48,0.4903627038002014,6242,692.6171875,25934,-61560.6171875,130456.12437442999,222474
142,39.91585159301758,0.0064,900000,20.19,1.0725879669189453,6315,473.6589050292969,26377,-62758.71484375,132583.6,224974
142,38.082252502441406,0.0064,910000,26.65,1.5079759359359741,6388,693.3595581054688,26763,-57439.05859375,125184.67882182002,227474
142,37.40071487426758,0.0064,920000,18.56,-0.5930095911026001,6462,778.7656860351562,27291,-57268.66796875,133224.07171753,229974
142,37.689666748046875,0.0064,930000,18.64,0.7091914415359497,6535,778.7471923828125,27724,-58836.9140625,133221.50859518,232474
142,46.812740325927734,0.0064,940000,19.13,0.1486564576625824,6608,750.6294555664062,28235,-58944.69921875,133011.64593837,234974
142,45.6145133972168,0.0064,950000,19.19,-3.522465467453003,6681,664.0523681640625,28751,-61523.83984375,132506.15681733002,237474
142,54.8187141418457,0.0064,960000,29.36,2.2824301719665527,6756,1006.34326171875,29217,-61802.453125,102818.84817970998,239974
142,56.94990158081055,0.0064,970000,18.89,-0.6767889857292175,6830,1011.9918212890625,29671,-60587.90625,133016.74457108,242474
141,61.058860778808594,0.0064,980000,19.24,0.5878821611404419,6905,1303.10107421875,30146,-63732.8203125,132604.4,244974
141,67.42283630371094,0.0064,990000,20.89,4.200264930725098,6979,1040.46630859375,30604,-61864.375,132365.58127776,247474
141,60.66651916503906,0.0064,1000000,19.2,1.5902767181396484,7052,1100.1239013671875,31114,-61472.55859375,132606.82222577,249974
