train/is_line_search_success,train/n_updates,time/fps,train/std,train/explained_variance,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/kl_divergence_loss,train/policy_objective,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean
1.0,26,1958,0.9098920822143555,0.0,128.26,220000,913050812.75,0.006755277514457703,0.05029803514480591,112,0.0013,-51217.664355429995
1.0,28,1934,0.9004969000816345,0.0,154.52,230000,682813381.5,0.0071023753844201565,0.05482742190361023,118,0.0013,-38493.52627894
1.0,29,1938,0.8849245309829712,0.0,127.71,240000,786498185.7,0.006853736937046051,0.051911354064941406,123,0.0013,4627.741340890001
1.0,30,1934,0.880972146987915,0.0,128.23,250000,759826892.15,0.007180487271398306,0.0487944632768631,129,0.0013,19956.943660210003
1.0,31,1927,0.8754433989524841,0.0,127.99,260000,751539712.7,0.007969397120177746,0.05641647428274155,134,0.0013,34412.9718305
1.0,32,1929,0.8689485788345337,8.225440979003906e-05,126.39,270000,736875001.5,0.008029411546885967,0.05015714839100838,139,0.0013,37545.81172656999
1.0,34,1910,0.8662046194076538,1.6093254089355469e-06,109.76,280000,811511494.3,0.008296382613480091,0.04828853905200958,146,0.0013,75180.81618041999
1.0,35,1908,0.8688467741012573,4.172325134277344e-07,96.51,290000,947337287.15,0.007433551829308271,0.048308465629816055,151,0.0013,83230.43806769
1.0,36,1906,0.8580552339553833,5.960464477539063e-08,113.53,300000,779324874.8,0.008279828354716301,0.05028741806745529,157,0.0013,73456.18493471999
1.0,37,1903,0.858662486076355,0.000485837459564209,92.99,310000,937026982.05,0.007634420413523912,0.0503925085067749,162,0.0013,71423.90940476999
1.0,39,1891,0.8606934547424316,0.0006728768348693848,99.37,320000,857614864.7,0.009140409529209137,0.059323251247406006,169,0.0013,82830.69634418
1.0,40,1892,0.8526890873908997,0.00012505054473876953,83.09,330000,1119594790.4,0.0072911083698272705,0.05381884425878525,174,0.0013,95847.88522166
1.0,41,1885,0.849757194519043,1.7821788787841797e-05,82.11,340000,993662975.1,0.00832067709416151,0.05139623582363129,180,0.0013,100298.01653995
1.0,42,1881,0.846807599067688,2.384185791015625e-07,72.08,350000,1227305425.3,0.008544369600713253,0.04450880363583565,186,0.0013,109058.95627363
1.0,43,1875,0.8449615240097046,1.9669532775878906e-05,56.55,360000,1234271659.3,0.008417283184826374,0.04889660328626633,191,0.0013,96692.28323982
1.0,45,1862,0.8444953560829163,0.0,71.0,370000,1237995075.8,0.00769225275143981,0.04905218258500099,198,0.0013,111812.63059617
1.0,46,1858,0.8455183506011963,5.960464477539063e-08,58.3,380000,1474280395.5,0.006136227399110794,0.03895805776119232,204,0.0013,112070.91608856
1.0,47,1860,0.8435856699943542,-1.1920928955078125e-07,60.97,390000,1540891971.9,0.008244992233812809,0.05069281533360481,209,0.0013,99253.95259514998
1.0,48,1855,0.8458645343780518,0.0,57.86,400000,1671177481.0,0.007265118416398764,0.045519739389419556,215,0.0013,104908.33870831999
1.0,50,1843,0.834647536277771,5.960464477539063e-08,67.9,410000,1358742178.2,0.009503989480435848,0.0524655357003212,222,0.0013,116943.76755121
1.0,51,1844,0.834905207157135,0.0,57.0,420000,1629243307.2,0.008013458922505379,0.046089962124824524,227,0.0013,104376.07795236
1.0,52,1845,0.8309760093688965,0.0,60.84,430000,1634848349.6,0.008017157204449177,0.04413777217268944,232,0.0013,111931.33899822
1.0,53,1843,0.8219197988510132,0.0,52.62,440000,1402248703.7,0.008469974622130394,0.04933147877454758,238,0.0013,108023.23534448999
1.0,54,1843,0.8208150267601013,1.233816146850586e-05,53.28,450000,1601070379.9,0.008791938424110413,0.046649593859910965,244,0.0013,113547.97371266
1.0,56,1829,0.810657799243927,2.8014183044433594e-06,53.32,460000,1834533119.2,0.00932370126247406,0.04768938198685646,251,0.0013,109932.09237297
1.0,57,1829,0.8034137487411499,2.980232238769531e-07,42.85,470000,1916004006.0,0.00825012568384409,0.04309225454926491,256,0.0013,114519.26967564
1.0,58,1831,0.8006705641746521,0.0,45.06,480000,2213408331.8,0.009299441240727901,0.045346587896347046,262,0.0013,119357.39448709998
1.0,59,1833,0.7993485927581787,0.0,46.9,490000,1543333696.1,0.008131365291774273,0.04546680301427841,267,0.0013,113358.92585002
1.0,61,1827,0.794352114200592,0.0,34.02,500000,2078656465.4,0.008604255504906178,0.05062771588563919,273,0.0013,120923.69092851
1.0,62,1826,0.7901528477668762,0.0,44.56,510000,1747722734.8,0.008652319200336933,0.046051956713199615,279,0.0013,124354.20704021999
1.0,63,1824,0.7900936603546143,0.0,60.31,520000,1927381807.6,0.008786584250628948,0.04474105313420296,284,0.0013,119203.83996059999
1.0,64,1825,0.7840509414672852,0.0,34.94,530000,1873854180.8,0.008259906433522701,0.040757015347480774,290,0.0013,123404.00096333
1.0,65,1828,0.7802168726921082,0.0,32.51,540000,1822968863.2,0.009246308356523514,0.045236412435770035,295,0.0013,118415.54393031
1.0,67,1822,0.780759871006012,5.960464477539063e-08,34.15,550000,2616906485.2,0.009330074302852154,0.041538190096616745,301,0.0013,125249.31728725
1.0,68,1819,0.7762157917022705,0.0,29.3,560000,2853773658.4,0.00849522277712822,0.04321720078587532,307,0.0013,124301.48160846999
1.0,69,1820,0.7749732136726379,-1.1920928955078125e-07,50.33,570000,2334947060.6,0.009301591664552689,0.0422852523624897,313,0.0013,119266.43910504
1.0,70,1818,0.7702482342720032,0.0,38.51,580000,2195175434.8,0.009589012712240219,0.039819370955228806,318,0.0013,122708.71363784
1.0,72,1807,0.7631303071975708,-1.1920928955078125e-07,27.07,590000,2929411418.4,0.008600432425737381,0.04099252074956894,326,0.0013,122661.63494895
1.0,73,1805,0.7581839561462402,0.0,36.18,600000,2763324755.0,0.0080817686393857,0.03733230382204056,332,0.0013,125571.02604428
1.0,74,1803,0.7552487254142761,0.0,25.87,610000,2969965752.8,0.00891308207064867,0.04522967338562012,338,0.0013,125217.11899668
1.0,75,1805,0.7529111504554749,0.0,34.65,620000,2606170967.8,0.009489253163337708,0.03445197269320488,343,0.0013,124398.94021733999
1.0,76,1805,0.7551324367523193,1.1920928955078125e-07,54.75,630000,2274525635.6,0.009397391229867935,0.040923282504081726,349,0.0013,121373.22966137996
1.0,78,1799,0.742855429649353,5.960464477539063e-08,65.71,640000,1074587882.9,0.009213141165673733,0.035684362053871155,355,0.0013,114128.16125467
1.0,79,1796,0.7347304224967957,0.0,35.86,650000,2949220025.6,0.008796174079179764,0.03840497136116028,361,0.0013,125404.43756876001
