train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss
7.519211769104004,320.1352844238281,7.46,115,91897,700000,-155961.59017368,6050,0.0064,-0.9693940877914429,174974,108130.4453125
8.750011444091797,479.25042724609375,7.3,115,93260,710000,-154243.15992131,6140,0.0064,-2.602557897567749,177474,107954.25
9.60413932800293,288.83599853515625,7.02,115,94632,720000,-151068.62385491,6231,0.0064,4.683420181274414,179974,107211.8359375
10.980995178222656,530.4891357421875,9.19,115,95873,730000,-180413.19146416,6323,0.0064,-4.222849369049072,182474,108468.0
16.305768966674805,695.0538330078125,9.41,115,96827,740000,-179002.96039540996,6413,0.0064,4.41426944732666,184974,111760.9375
15.307519912719727,1478.6470947265625,10.51,115,97837,750000,-189795.92330982,6505,0.0064,5.009368419647217,187474,113167.421875
21.661882400512695,1839.36083984375,8.38,115,98929,760000,-167829.35373002998,6596,0.0064,2.79854154586792,189974,113656.75
21.743812561035156,2188.60107421875,7.48,115,100198,770000,-155308.36012904003,6686,0.0064,-0.5769999027252197,192474,114204.6328125
24.99917221069336,1497.8873291015625,7.32,115,101497,780000,-154353.08632732998,6778,0.0064,-0.9755064249038696,194974,113779.1328125
19.463485717773438,1238.5762939453125,7.16,115,102882,790000,-153329.98465049002,6869,0.0064,-2.004167318344116,197474,111167.9140625
20.53397560119629,986.3206787109375,7.14,114,104289,800000,-152389.69998923,6960,0.0064,10.5884370803833,199974,109387.25
16.73971939086914,929.807373046875,7.19,114,105680,810000,-152751.2653499,7051,0.0064,-1.4141863584518433,202474,110056.7421875
11.643081665039062,547.3872680664062,7.04,114,107072,820000,-151126.04883031998,7142,0.0064,3.2668144702911377,204974,107197.3984375
9.4786376953125,233.7473907470703,7.13,114,108432,830000,-151528.99004447003,7231,0.0064,-1.4143309593200684,207474,106246.765625
7.122518539428711,198.9105987548828,7.54,114,109790,840000,-155557.71091618005,7316,0.0064,-0.6048048734664917,209974,106483.6875
6.9727983474731445,230.61260986328125,7.13,114,111101,850000,-151895.13238201,7404,0.0064,-1.281752586364746,212474,107358.625
6.983315944671631,201.30459594726562,7.01,114,112514,860000,-150671.49356714002,7495,0.0064,0.14907199144363403,214974,106254.4453125
7.6778740882873535,312.989990234375,7.03,114,113929,870000,-150718.61653305998,7587,0.0064,-0.3952294588088989,217474,106950.84375
6.595260143280029,171.7307891845703,7.01,114,115351,880000,-150449.81643295,7678,0.0064,1.8354530334472656,219974,106035.671875
6.392201900482178,207.8858184814453,7.4,114,116743,890000,-155142.68433194,7770,0.0064,-1.6352312564849854,222474,106038.984375
6.5305681228637695,157.97557067871094,7.33,114,118123,900000,-154126.90352323002,7861,0.0064,1.2292057275772095,224974,106333.078125
7.339189529418945,185.19747924804688,7.59,114,119462,910000,-157516.38848649999,7953,0.0064,-1.2251449823379517,227474,106376.0
11.146702766418457,473.9937438964844,7.53,114,120635,920000,-157350.05445107,8044,0.0064,-0.24111175537109375,229974,108148.21875
10.548935890197754,802.4246826171875,9.91,114,121902,930000,-194004.71400836,8136,0.0064,-2.1411237716674805,232474,109805.6328125
10.216734886169434,937.8201904296875,7.34,114,123177,940000,-155220.80641014,8228,0.0064,-4.650230407714844,234974,109351.7734375
11.553430557250977,959.874755859375,7.0,114,124566,950000,-151044.86511096,8318,0.0064,-0.2661319971084595,237474,109571.46875
12.734378814697266,907.642822265625,7.04,114,125936,960000,-151611.38840481,8404,0.0064,0.5200350284576416,239974,108986.078125
10.590071678161621,791.5349731445312,7.69,114,127314,970000,-158314.00315263998,8490,0.0064,-3.8302924633026123,242474,108616.546875
10.920166015625,634.9185791015625,7.06,114,128646,980000,-151173.16039766,8575,0.0064,0.6407486200332642,244974,109008.6953125
9.046130180358887,603.52587890625,7.42,114,130032,990000,-154776.12630904999,8660,0.0064,-4.083372592926025,247474,108489.7578125
7.1762285232543945,376.32794189453125,7.05,114,131436,1000000,-150935.34140936,8745,0.0064,1.0550682544708252,249974,107626.4296875
