rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/learning_rate,train/ent_coef_loss,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
53.44,-161564.22010163002,42474,129,0.0064,-3.994173765182495,1311,-2619.8896484375,170000,26.797916412353516,4735,4772.77197265625
42.04,-199722.54477814,44974,129,0.0064,0.46937644481658936,1390,-2167.16650390625,180000,21.222082138061523,4971,3776.5546875
64.82,-303260.59888358,47474,129,0.0064,-0.975377082824707,1469,-953.4461669921875,190000,19.188573837280273,5139,3648.967041015625
54.66,-154371.9812055,49974,129,0.0064,0.284770131111145,1548,-762.2093505859375,200000,16.940967559814453,5308,2939.615478515625
48.39,-117715.53702622,52474,129,0.0064,-1.1871271133422852,1627,116.46849060058594,210000,15.808260917663574,5531,3293.02294921875
40.12,-100018.71200131999,54974,128,0.0064,3.740992784500122,1707,-2368.86572265625,220000,16.207735061645508,5753,2621.2314453125
28.56,-31686.99184294,57474,128,0.0064,-2.8958046436309814,1787,527.1351318359375,230000,16.178213119506836,6096,2916.431640625
29.38,21087.277464930004,59974,128,0.0064,2.775024175643921,1867,-1961.316162109375,240000,17.297840118408203,6369,2617.01611328125
32.97,20587.74660735,62474,128,0.0064,5.187528610229492,1948,-3388.5,250000,14.18540096282959,6655,2382.5771484375
37.17,-54168.11386566,64974,127,0.0064,1.8587955236434937,2031,-4363.5703125,260000,16.161523818969727,7019,3555.049072265625
30.16,-77770.81666953,67474,127,0.0064,-2.788769245147705,2114,-3729.8759765625,270000,29.348703384399414,7424,5924.93017578125
19.77,64592.36792874999,69974,127,0.0064,-1.8374865055084229,2198,-14229.109375,280000,46.231815338134766,7778,10534.7373046875
34.44,-35709.70433331001,72474,127,0.0064,-3.928737163543701,2283,-35102.37109375,290000,56.1165885925293,8157,10435.9326171875
17.09,92698.83375997002,74974,126,0.0064,-7.394140720367432,2368,-41789.90625,300000,57.606510162353516,8557,8075.93212890625
24.62,40528.341551699996,77474,126,0.0064,3.7196664810180664,2454,-52322.87109375,310000,56.98516082763672,9116,6304.19921875
17.53,105006.48159743,79974,125,0.0064,6.316461563110352,2540,-56229.36328125,320000,55.670623779296875,9619,5967.251953125
15.04,118372.5153675,82474,125,0.0064,4.856984615325928,2627,-56779.140625,330000,48.60411834716797,10346,5136.8232421875
12.11,119898.3651763,84974,125,0.0064,-2.3825292587280273,2715,-61006.4375,340000,50.78892517089844,11104,5028.27587890625
11.74,129263.77390930001,87474,124,0.0064,0.4919377565383911,2803,-69784.734375,350000,46.53083038330078,11964,4303.62451171875
11.89,118203.52019407,89974,124,0.0064,0.931011438369751,2893,-74416.28125,360000,39.67916488647461,12782,2969.548583984375
12.29,112402.11595197,92474,124,0.0064,3.778912305831909,2981,-79898.9765625,370000,37.208431243896484,13605,1663.8861083984375
11.19,132214.24626369998,94974,123,0.0064,-0.48351433873176575,3070,-78967.21875,380000,34.12678146362305,14486,1411.684326171875
11.59,126716.36124494,97474,123,0.0064,3.160806655883789,3159,-83348.5234375,390000,27.548097610473633,15355,889.3596801757812
11.69,124802.44692299001,99974,123,0.0064,-4.038519859313965,3248,-84499.625,400000,25.120609283447266,16218,946.837158203125
11.01,133230.50343287,102474,122,0.0064,-1.7849233150482178,3338,-84673.96875,410000,21.81094741821289,17112,988.8198852539062
11.69,126564.74912954,104974,122,0.0064,-5.249630928039551,3427,-82324.90625,420000,19.5877628326416,17932,1042.36083984375
11.39,125775.87267978002,107474,122,0.0064,-2.8320274353027344,3516,-82390.390625,430000,19.69390106201172,18793,950.2080688476562
11.68,125358.91941216,109974,122,0.0064,0.9768351316452026,3604,-83099.984375,440000,20.96324920654297,19616,900.765380859375
12.55,110594.99112298,112474,121,0.0064,0.34346121549606323,3693,-80889.46875,450000,23.73575782775879,20421,1315.623291015625
11.6,130977.47325047,114974,121,0.0064,1.9099537134170532,3782,-78010.9375,460000,25.259071350097656,21209,1736.9210205078125
11.38,128803.55737502001,117474,121,0.0064,8.970666885375977,3871,-77245.453125,470000,26.93889808654785,21987,1312.5458984375
13.68,110704.45467055001,119974,121,0.0064,-2.9040606021881104,3960,-77536.6015625,480000,27.853626251220703,22780,1402.4041748046875
13.55,103202.56732625,122474,121,0.0064,-3.4625720977783203,4049,-76070.6484375,490000,26.34693145751953,23576,1793.9793701171875
11.17,126075.48558913,124974,120,0.0064,-8.418441772460938,4137,-73058.984375,500000,28.117145538330078,24411,1839.775634765625
11.1,118965.37415121001,127474,120,0.0064,1.5789061784744263,4226,-80279.8046875,510000,24.822145462036133,25274,1911.1199951171875
13.52,90553.19466761999,129974,120,0.0064,-3.157672882080078,4314,-74851.2109375,520000,25.0505428314209,26090,1975.822998046875
14.72,94575.16069504998,132474,120,0.0064,-0.5707961320877075,4403,-75285.5078125,530000,24.30693817138672,26882,1815.637451171875
12.15,118567.10705040001,134974,120,0.0064,-11.824559211730957,4492,-75020.59375,540000,24.320955276489258,27663,1898.676513671875
13.33,119548.29783188,137474,120,0.0064,2.705796480178833,4581,-75580.15625,550000,24.437423706054688,28352,1829.2684326171875
14.14,96931.51226597998,139974,119,0.0064,-4.540321350097656,4670,-69296.328125,560000,29.404111862182617,28916,2228.97607421875
11.26,130329.34790575999,142474,119,0.0064,-9.420883178710938,4759,-72436.484375,570000,29.78278160095215,29748,2000.825927734375
13.34,105435.56966539,144974,119,0.0064,1.3764417171478271,4849,-73364.0625,580000,33.891822814941406,30564,1791.8802490234375
11.93,127756.57787608002,147474,119,0.0064,-2.35897159576416,4938,-73311.4765625,590000,33.403160095214844,31373,1996.995849609375
12.53,100100.09011434998,149974,119,0.0064,-1.6357154846191406,5028,-74141.2578125,600000,40.785770416259766,32175,2854.36767578125
15.49,76743.82665653,152474,119,0.0064,4.388461589813232,5117,-72067.6015625,610000,36.62129211425781,32804,1746.1195068359375
13.59,111170.57140362001,154974,119,0.0064,4.9394073486328125,5207,-73320.015625,620000,33.484779357910156,33619,1474.6727294921875
12.19,114206.02331689,157474,118,0.0064,-3.195434093475342,5297,-73864.5,630000,27.10686492919922,34414,1922.2987060546875
12.13,122594.58617116,159974,118,0.0064,3.73091983795166,5386,-79408.640625,640000,28.20201301574707,35229,1293.6644287109375
13.87,84452.31908964999,162474,118,0.0064,-2.3697407245635986,5475,-76147.84375,650000,26.40329360961914,36045,1538.95849609375
14.43,109261.31464375001,164974,118,0.0064,-9.866085052490234,5564,-75804.84375,660000,28.648494720458984,36783,1305.0587158203125
13.61,112629.65344155,167474,118,0.0064,1.1289912462234497,5654,-75899.8125,670000,28.15874481201172,37557,1445.7237548828125
12.61,123888.41669503,169974,118,0.0064,-0.47705793380737305,5743,-79025.375,680000,22.81587791442871,38337,1221.3465576171875
13.17,112827.57231707,172474,118,0.0064,-0.9693584442138672,5832,-78149.0234375,690000,25.041078567504883,39092,1019.908935546875
11.44,133099.96205636,174974,118,0.0064,-0.33204174041748047,5922,-80440.515625,700000,27.777124404907227,39871,1068.8173828125
12.36,121662.51277064,177474,118,0.0064,-2.4310190677642822,6011,-78259.9609375,710000,27.48090934753418,40625,1159.8485107421875
11.14,129177.3016827,179974,118,0.0064,4.2474775314331055,6099,-78705.6171875,720000,27.479488372802734,41369,1133.8577880859375
11.48,127140.68936753,182474,117,0.0064,0.11150795221328735,6189,-78215.734375,730000,24.946170806884766,42195,1354.1673583984375
11.63,127263.28088092999,184974,117,0.0064,0.8137482404708862,6279,-76706.5,740000,25.498424530029297,43009,1686.3330078125
12.4,120965.07168290998,187474,117,0.0064,1.2485252618789673,6369,-80572.21875,750000,25.43720817565918,43817,1175.695068359375
11.85,126251.40434783,189974,117,0.0064,-2.04714298248291,6459,-79374.515625,760000,21.913108825683594,44643,1503.48681640625
13.12,118073.93849785,192474,117,0.0064,-0.5992021560668945,6549,-81242.4765625,770000,20.23505973815918,45444,994.605224609375
14.38,107719.68906277,194974,117,0.0064,1.4753856658935547,6638,-79386.234375,780000,20.227279663085938,46148,1285.1534423828125
15.74,97198.53116601,197474,117,0.0064,1.852668046951294,6727,-74656.796875,790000,23.43850326538086,46820,1336.0286865234375
13.04,117099.20748228,199974,117,0.0064,1.2964421510696411,6816,-79638.1328125,800000,22.512590408325195,47613,1197.4447021484375
11.8,126166.74811795,202474,117,0.0064,0.40452301502227783,6905,-78025.75,810000,21.65401840209961,48415,1446.990478515625
13.2,102704.00335694,204974,117,0.0064,-1.0588781833648682,6995,-75712.9375,820000,27.72224998474121,49193,1709.3399658203125
11.65,124303.05649157001,207474,117,0.0064,2.1003541946411133,7084,-77503.234375,830000,26.766326904296875,49993,1450.048095703125
11.38,132499.5,209974,117,0.0064,-1.1755852699279785,7173,-78832.1171875,840000,24.249927520751953,50813,1359.855712890625
14.0,98614.24604013002,212474,117,0.0064,3.724893569946289,7262,-78505.9453125,850000,23.99140167236328,51582,1430.2230224609375
14.39,94382.11051765,214974,116,0.0064,2.157607316970825,7351,-79761.0859375,860000,24.74243927001953,52339,1162.2484130859375
13.36,121902.2654749,217474,116,0.0064,-3.6751298904418945,7440,-78013.5390625,870000,27.32318115234375,53075,1387.9600830078125
12.96,120642.05541156001,219974,116,0.0064,1.534651279449463,7527,-78794.4765625,880000,28.991806030273438,53733,1337.047607421875
12.58,118860.26875547999,222474,116,0.0064,0.08124589920043945,7615,-73199.9140625,890000,30.454673767089844,54291,1685.2509765625
14.22,96100.68790397,224974,116,0.0064,6.909742832183838,7704,-73516.234375,900000,33.456993103027344,55017,1524.646484375
13.05,111503.96681147,227474,116,0.0064,-5.209983825683594,7792,-69483.984375,910000,36.26997756958008,55665,1858.793212890625
15.33,101603.77453108,229974,116,0.0064,6.966313362121582,7881,-75831.3203125,920000,36.32552719116211,56421,1476.3621826171875
14.17,120105.94206973,232474,116,0.0064,-1.474449634552002,7969,-71695.0390625,930000,35.408233642578125,57149,1845.3031005859375
11.78,127759.34552431,234974,116,0.0064,1.3625738620758057,8058,-75886.8046875,940000,31.565439224243164,57960,1651.150634765625
15.61,96369.86204712,237474,116,0.0064,7.559835910797119,8146,-78468.8984375,950000,29.691287994384766,58715,1314.3160400390625
14.98,81598.25010292,239974,116,0.0064,0.3351532220840454,8235,-78777.28125,960000,26.61666488647461,59469,1400.390625
12.06,122570.65222869,242474,116,0.0064,2.4517273902893066,8321,-80113.625,970000,23.573593139648438,60289,1142.067138671875
12.97,114308.40043364,244974,116,0.0064,-1.5259783267974854,8401,-78274.25,980000,24.439836502075195,60988,1365.8721923828125
11.56,127817.26020542,247474,116,0.0064,0.9478194117546082,8480,-81400.8515625,990000,23.439592361450195,61814,1039.22607421875
13.73,81230.56597703,249974,116,0.0064,3.8394670486450195,8558,-79279.8046875,1000000,21.97651481628418,62587,1867.184326171875
