train/value_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/explained_variance
33000837108.8,0.00010680399,0.2,29.78,-0.000502563284135249,-21.273698285222054,0.9992936849594116,0.0,0.0003,540000,799,-488524.15008700005,675,650,16859026432.0,0.0
32117466382.4,0.0001850623,0.2,26.41,-0.0007199561108791386,-21.27349663823843,0.9992911219596863,0.0,0.0003,550000,796,-433108.58751955,690,670,15771873280.0,1.1920928955078125e-07
33666759964.8,0.00010586942,0.2,29.56,-0.0004742793506011367,-21.273202028870582,0.9992592334747314,0.0,0.0003,560000,798,-472072.99838575005,701,680,16279559168.0,0.0
33946061150.4,8.814992e-05,0.2,23.9,-0.0004564359905998572,-21.27279865294695,0.999238908290863,0.0,0.0003,570000,799,-397062.85192548,712,690,16474825728.0,-1.1920928955078125e-07
32753805822.4,0.00012902654,0.2,25.92,-0.000616046775940049,-21.271613866090775,0.9991048574447632,0.0,0.0003,580000,801,-430557.82254448003,723,700,19066454016.0,-1.1920928955078125e-07
32169677476.8,0.00013824017,0.2,23.57,-0.0005493028118507936,-21.271697664260863,0.9991744756698608,0.0,0.0003,590000,797,-393936.6739757,739,720,17380894720.0,-2.384185791015625e-07
33328727593.6,0.00014408797,0.2,24.02,-0.0006558978514021874,-21.271310871839525,0.9991258978843689,0.0,0.0003,600000,799,-397197.77138505003,750,730,17209546752.0,0.0
31340693859.2,0.00013031057,0.2,24.86,-0.0006057250524463597,-21.270785336196422,0.999106228351593,0.0,0.0003,610000,800,-412386.94209846,761,740,15773548544.0,-1.1920928955078125e-07
32324780744.0,0.00013226765,0.2,27.43,-0.0006072301839594729,-21.270407301187515,0.9990745782852173,0.0,0.0003,620000,802,-442828.1587874499,772,750,15961974784.0,0.0
33474087508.8,0.00013098144,0.2,24.73,-0.0006188515028043185,-21.26923449486494,0.9989496469497681,0.0,0.0003,630000,804,-405688.7616217099,783,760,16271993856.0,-1.1920928955078125e-07
32272441332.8,0.000110219844,0.2,26.72,-0.0005608373840004788,-21.267575985193254,0.9988351464271545,0.0,0.0003,640000,801,-436959.20377179,798,780,17165662208.0,1.1920928955078125e-07
33954179931.2,0.000137511,0.2,23.59,-0.0006160477416415234,-21.266562242805957,0.9988366365432739,0.0,0.0003,650000,802,-388700.2287174799,809,790,17701824512.0,0.0
31840561345.6,0.0001290521,0.2,24.89,-0.0005929809101871796,-21.266464944183827,0.9988235831260681,0.0,0.0003,660000,804,-410046.05825895,820,800,16195593216.0,0.0
32626757856.0,0.00017602465,0.2,24.22,-0.0007099298796674703,-21.266084063053132,0.9987829923629761,0.0,0.0003,670000,805,-401319.65194180014,831,810,15699945472.0,0.0
33069412808.0,0.00012285331,0.2,25.5,-0.0006215043071279069,-21.26649834215641,0.9987964034080505,0.0,0.0003,680000,802,-415459.32034677,846,830,17184837632.0,0.0
32145137572.8,0.00014101098,0.2,24.21,-0.0006414196099285618,-21.26678141951561,0.9989022016525269,0.0,0.0003,690000,804,-395582.91263643996,857,840,15691814912.0,1.1920928955078125e-07
33520782272.0,0.00015626586,0.2,24.75,-0.0006664558290140121,-21.266955149173736,0.9988199472427368,0.0,0.0003,700000,805,-405167.07715101005,868,850,15851442176.0,0.0
32948847328.0,0.00011132172,0.2,23.62,-0.0005098442031339801,-21.266099527478218,0.9987907409667969,0.0,0.0003,710000,807,-383412.09740843996,879,860,16859947008.0,1.1920928955078125e-07
31197656811.2,0.00016988092,0.2,25.56,-0.0006726313749823021,-21.266162595152856,0.9988294839859009,0.0,0.0003,720000,808,-423118.30020716006,890,870,14867456000.0,0.0
34927536782.4,0.00014822467,0.2,26.86,-0.0005781515063063125,-21.26584109514952,0.9987566471099854,0.0,0.0003,730000,805,-441604.0318446699,905,890,19102011392.0,0.0
33916740593.6,9.2093454e-05,0.2,22.79,-0.00048711563113101874,-21.265948405861856,0.9988345503807068,0.0,0.0003,740000,807,-381631.5550818901,916,900,20592164864.0,0.0
32772332364.8,0.00019531391,0.2,26.24,-0.0007420178777465481,-21.26639940291643,0.9988149404525757,0.0,0.0003,750000,808,-428044.59640219004,927,910,16568859648.0,-1.1920928955078125e-07
32461132646.4,7.3141564e-05,0.2,25.0,-0.00036639164391090163,-21.266310907900333,0.9988239407539368,0.0,0.0003,760000,809,-410440.6353328801,938,920,15871247360.0,0.0
32704157931.2,0.00013073396,0.2,25.39,-0.000578041882999969,-21.266932494938374,0.9988994598388672,0.0,0.0003,770000,810,-414670.4198880001,949,930,16059808768.0,-1.1920928955078125e-07
31123164393.6,5.8274716e-05,0.2,22.38,-0.0003315430436487077,-21.267889259755613,0.9989446401596069,0.0,0.0003,780000,807,-376212.38263712986,965,950,16988805120.0,0.0
32879554344.0,9.221019e-05,0.2,19.2,-0.0004516864972174517,-21.26763161122799,0.9988678693771362,0.0,0.0003,790000,808,-328934.99679788994,977,960,15853312000.0,0.0
31134088659.2,8.9662586e-05,0.2,24.45,-0.0004482248888052709,-21.267245821654797,0.9988957643508911,0.0,0.0003,800000,809,-410213.4041901901,988,970,16742893568.0,0.0
33018039700.8,4.89655e-05,0.2,22.11,-0.00030871272865624634,-21.268255117535592,0.9989957809448242,0.0,0.0003,810000,809,-364209.86119013996,1000,980,15381426176.0,1.1920928955078125e-07
33160520380.8,0.00017575678,0.2,26.83,-0.0007369969638148177,-21.267053048312665,0.9988477230072021,0.0,0.0003,820000,806,-445774.10866441,1016,1000,14590572544.0,0.0
31354395185.6,5.3168238e-05,0.2,25.24,-0.00030401698077184844,-21.265826547145842,0.9987232685089111,0.0,0.0003,830000,807,-420432.96849368,1027,1010,15595878400.0,0.0
32790079932.8,9.296852e-05,0.2,24.27,-0.0004199922808766132,-21.265099780261515,0.9987548589706421,0.0,0.0003,840000,808,-403686.56779650005,1039,1020,15782292480.0,0.0
33510166043.2,0.00011694029,0.2,22.95,-0.0005112130305860773,-21.264558945596217,0.9986450672149658,0.0,0.0003,850000,809,-384012.4917481,1050,1030,16251285504.0,0.0
31266077670.4,0.00013420597,0.2,23.42,-0.000579038706382562,-21.263928392529486,0.9986767172813416,0.0,0.0003,860000,809,-385173.74245399,1062,1040,15943968768.0,-1.1920928955078125e-07
31699485396.8,0.00012698538,0.2,22.57,-0.0005570064659877971,-21.264023289084435,0.9986540079116821,0.0,0.0003,870000,807,-380906.8422206501,1077,1060,16210230272.0,0.0
30554937376.0,6.0699807e-05,0.2,25.69,-0.0003882623654135386,-21.263354203104974,0.9985923767089844,0.0,0.0003,880000,808,-420701.82187403995,1089,1070,17051281408.0,-2.384185791015625e-07
31431969995.2,0.000106781656,0.2,21.77,-0.0005812127876197338,-21.262305425107478,0.9985170364379883,0.0,0.0003,890000,808,-365852.47537786,1100,1080,17734549504.0,-1.1920928955078125e-07
32027205990.4,5.40881e-05,0.2,19.35,-0.00035655203282658476,-21.26178109794855,0.9985202550888062,0.0,0.0003,900000,809,-324649.60499893,1112,1090,16758108160.0,-1.1920928955078125e-07
29205223873.6,0.00012709288,0.2,25.13,-0.000587892107978405,-21.260183699429035,0.9984205365180969,0.0,0.0003,910000,806,-413964.60621299,1128,1110,13611161600.0,0.0
30124487996.8,5.7363628e-05,0.2,21.34,-0.0003269621631261543,-21.259778748452664,0.9983511567115784,0.0,0.0003,920000,807,-355230.04111264995,1139,1120,13739804672.0,0.0
30545091292.8,9.321695e-05,0.2,20.7,-0.0004504214788539684,-21.259132559597493,0.998334527015686,0.0,0.0003,930000,807,-349813.67957886006,1151,1130,15392040960.0,1.7881393432617188e-07
30527604243.2,8.843582e-05,0.2,22.02,-0.0004298704257962527,-21.258737979829313,0.9982945322990417,0.0,0.0003,940000,808,-371310.42860656,1162,1140,14284077056.0,-1.1920928955078125e-07
29584021694.4,7.3165094e-05,0.2,20.3,-0.0003732569361091009,-21.258694234490395,0.998335599899292,0.0,0.0003,950000,809,-342650.8615937501,1173,1150,12917413888.0,0.0
29862747732.8,0.00012965724,0.2,21.44,-0.0006030843371263473,-21.25866063684225,0.9983193278312683,0.0,0.0003,960000,806,-360538.53056084,1189,1170,13982305280.0,-2.384185791015625e-07
32954147260.8,0.00013544166,0.2,21.88,-0.0006136721071015927,-21.258507327735423,0.9982803463935852,0.0,0.0003,970000,807,-366486.38244493003,1200,1180,17409925120.0,0.0
31558609508.8,8.64675e-05,0.2,25.18,-0.00042957009245583324,-21.258745066821575,0.9983552694320679,0.0,0.0003,980000,808,-410490.4032760901,1211,1190,13485528064.0,1.1920928955078125e-07
30725647654.4,0.00013229912,0.2,20.91,-0.0005652566194839892,-21.259358434379102,0.9983639121055603,0.0,0.0003,990000,809,-351066.78681027994,1222,1200,14328403968.0,-2.384185791015625e-07
33017307854.4,0.00012412679,0.2,22.8,-0.0006059880732209421,-21.259111227095126,0.9983316659927368,0.0,0.0003,1000000,807,-388278.87327246,1238,1220,17001422848.0,0.0
