train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/time_elapsed
229.05389404296875,854.64,77474,310000,0.23950734734535217,69.76475524902344,-0.4218219816684723,149,-22175.074471960008,438,0.0064,2073
-53.32852554321289,905.17,79974,320000,0.28554657101631165,30.386062622070312,-2.0764951705932617,149,-19736.992724260002,450,0.0064,2147
213.71224975585938,918.21,82474,330000,0.20536722242832184,37.21919250488281,-0.6780842542648315,148,-16595.1295489,458,0.0064,2221
314.6748352050781,873.41,84974,340000,0.28644344210624695,61.260623931884766,-1.3728814125061035,148,-28251.8797348,473,0.0064,2296
350.5049133300781,836.41,87474,350000,0.3765643537044525,81.97010803222656,-1.5294740200042725,147,-49624.53073749,492,0.0064,2371
-3.42486572265625,797.59,89974,360000,0.5318468809127808,66.51191711425781,-0.3604338467121124,147,-61880.69685555999,508,0.0064,2447
301.87109375,740.9,92474,370000,0.4956948757171631,76.12675476074219,-0.1049700453877449,146,-78495.41637832,524,0.0064,2522
-71.34988403320312,705.41,94974,380000,0.4612828195095062,54.02136993408203,-1.5755826234817505,146,-77275.9139232,538,0.0064,2597
-163.05169677734375,683.12,97474,390000,0.33255258202552795,43.708187103271484,0.8049598932266235,145,-70883.52629460998,552,0.0064,2674
-340.1422119140625,642.24,99974,400000,0.43322116136550903,245.9956512451172,-0.7539774179458618,145,-64360.10875033999,566,0.0064,2749
-354.248291015625,643.42,102474,410000,0.38738831877708435,42.02747344970703,-1.0367902517318726,145,-37143.81745588,582,0.0064,2824
-140.0616912841797,613.11,104974,420000,0.47787681221961975,39.36357498168945,0.6580782532691956,144,-47912.998346060005,602,0.0064,2899
-195.72830200195312,675.48,107474,430000,0.43024465441703796,31.85140037536621,0.7081785202026367,144,-41609.21697604,613,0.0064,2975
-2.914813995361328,698.97,109974,440000,0.44725853204727173,248.42103576660156,0.2927524447441101,144,-42896.92608322,623,0.0064,3051
83.7656021118164,705.29,112474,450000,0.49004024267196655,60.42424774169922,0.5133739709854126,143,-39527.30644763,637,0.0064,3128
182.26284790039062,684.73,114974,460000,0.5707710385322571,45.765811920166016,-0.11018243432044983,143,-80061.71371186,651,0.0064,3204
66.13427734375,704.56,117474,470000,0.6862317323684692,53.347084045410156,-0.5053960084915161,143,-78808.28441935,665,0.0064,3280
-161.72515869140625,747.84,119974,480000,0.8570978045463562,46.653297424316406,-0.34893789887428284,143,-77774.23673664,675,0.0064,3356
69.42430877685547,760.3,122474,490000,0.7272661924362183,73.03128814697266,0.44167274236679077,142,-67084.51677947999,688,0.0064,3432
-169.4033966064453,734.38,124974,500000,1.7251038551330566,61.353458404541016,0.9197375774383545,142,-49103.90204048,710,0.0064,3508
-399.72149658203125,727.29,127474,510000,2.3741295337677,127.75770568847656,0.29061058163642883,142,-47972.86805425,721,0.0064,3584
-472.1564636230469,729.44,129974,520000,1.6214652061462402,89.26292419433594,0.12120837718248367,142,-45471.880002230006,733,0.0064,3660
-433.3460388183594,733.1,132474,530000,1.1102544069290161,102.83396911621094,0.06334073841571808,141,-5058.033412419999,749,0.0064,3736
-63.97392272949219,728.17,134974,540000,1.122982144355774,98.23355865478516,0.03901893272995949,141,-14305.16907932,761,0.0064,3811
-303.2957458496094,739.7,137474,550000,1.1234389543533325,66.62519073486328,-0.026527056470513344,141,-20385.01609908,772,0.0064,3888
-663.6045532226562,726.33,139974,560000,1.4251506328582764,80.3247299194336,-0.46029171347618103,141,-26542.287684020004,785,0.0064,3964
-8.987289428710938,744.8,142474,570000,2.145418405532837,83.08574676513672,-0.32651185989379883,141,-34978.22078756,795,0.0064,4040
-121.01495361328125,810.1,144974,580000,2.4370760917663574,301.7222900390625,1.2897616624832153,140,-58499.11426212999,805,0.0064,4117
-170.10496520996094,837.68,147474,590000,1.7888693809509277,128.1040802001953,0.6336430311203003,140,-57476.08860966,815,0.0064,4194
-231.75827026367188,846.37,149974,600000,1.4825825691223145,73.25334167480469,0.20803523063659668,140,-50827.40640985001,825,0.0064,4270
-277.5460205078125,880.85,152474,610000,2.09517502784729,64.06652069091797,0.40495818853378296,140,-57080.77596804999,835,0.0064,4347
-626.1337280273438,919.53,154974,620000,1.865304946899414,103.41787719726562,-0.24847404658794403,140,-68076.13222261,845,0.0064,4423
-507.0853576660156,923.38,157474,630000,1.02677583694458,94.17501831054688,-0.022736042737960815,139,-71072.73803359,857,0.0064,4500
-331.75506591796875,894.63,159974,640000,0.7783348560333252,72.06401824951172,-0.013690589927136898,139,-47430.59511132,872,0.0064,4576
-209.37127685546875,915.73,162474,650000,1.1815769672393799,63.512908935546875,0.0751040130853653,139,-55479.87145258999,881,0.0064,4654
-131.54794311523438,924.87,164974,660000,1.308471918106079,134.1806182861328,-0.5747997164726257,139,-52028.74630651,893,0.0064,4731
-86.21820068359375,836.94,167474,670000,1.085028886795044,72.45108032226562,-0.026105867698788643,139,-23676.2725156,912,0.0064,4808
-116.13284301757812,796.2,169974,680000,0.9422418475151062,96.35517883300781,0.06725914031267166,139,-20040.259982540003,926,0.0064,4885
-111.66229248046875,788.14,172474,690000,1.8118665218353271,75.5824966430664,0.05174556374549866,139,-18880.32344756,937,0.0064,4962
-424.8945007324219,788.14,174974,700000,1.8637478351593018,126.9591064453125,0.13820630311965942,138,-8446.634522489998,947,0.0064,5040
-219.83128356933594,802.34,177474,710000,1.1682243347167969,110.53717041015625,0.05523737519979477,138,-16929.251617870003,958,0.0064,5117
-162.14308166503906,812.84,179974,720000,1.1373250484466553,66.3028335571289,0.0005458686500787735,138,-15294.047830660002,967,0.0064,5194
-202.40402221679688,843.49,182474,730000,1.4013514518737793,63.17820739746094,0.45341455936431885,138,-13424.028432689998,979,0.0064,5270
-323.9686584472656,836.32,184974,740000,1.28265380859375,60.39493179321289,0.024168362841010094,138,-10965.24952324,989,0.0064,5347
-132.65126037597656,853.28,187474,750000,1.2458120584487915,68.91963195800781,0.10047543048858643,138,-18966.346698570003,1000,0.0064,5423
201.2921600341797,910.7,189974,760000,0.9010620713233948,63.14846420288086,0.08161024749279022,138,-39898.85268856,1010,0.0064,5500
-402.5711975097656,931.11,192474,770000,1.8658757209777832,100.6428451538086,0.17360958456993103,138,-41934.532469260004,1020,0.0064,5577
-202.72091674804688,958.64,194974,780000,1.2047147750854492,79.57766723632812,-0.07114191353321075,137,-46189.74500772001,1030,0.0064,5653
-181.2728729248047,966.7,197474,790000,0.9912261962890625,70.05308532714844,-0.009354415349662304,137,-48267.70893251,1040,0.0064,5731
-105.66889190673828,921.21,199974,800000,0.9190579652786255,63.787261962890625,-0.034272510558366776,137,-54222.886322189996,1056,0.0064,5807
-46.29708480834961,917.67,202474,810000,1.4620932340621948,95.0981216430664,0.5098588466644287,137,-67891.77180785,1066,0.0064,5884
-238.9377899169922,917.67,204974,820000,0.9716653823852539,262.4817810058594,-0.009770076721906662,137,-74158.05098761,1077,0.0064,5961
0.1477642059326172,917.67,207474,830000,0.9602981805801392,54.631927490234375,-0.05136179178953171,137,-80427.07480124,1086,0.0064,6038
179.53799438476562,880.09,209974,840000,0.6209731101989746,63.149559020996094,0.008040636777877808,137,-65191.11392855001,1102,0.0064,6116
398.3707580566406,880.09,212474,850000,0.7840249538421631,123.26268768310547,-0.29842615127563477,137,-56721.74000704,1112,0.0064,6193
156.22019958496094,861.25,214974,860000,0.8364063501358032,40.25376510620117,-0.3121899962425232,137,-50063.96481414,1124,0.0064,6272
172.92433166503906,851.22,217474,870000,0.4587342143058777,60.5486946105957,-1.5585752725601196,137,-55674.70550830001,1135,0.0064,6349
124.44520568847656,863.0,219974,880000,0.38220036029815674,49.54340362548828,-0.8287560939788818,136,-51413.13027578999,1147,0.0064,6426
-66.26176452636719,844.63,222474,890000,0.8877002000808716,45.04752731323242,-0.40719571709632874,136,-55757.242313689996,1162,0.0064,6503
35.54096221923828,845.72,224974,900000,1.1481837034225464,64.61006927490234,-0.08376237750053406,136,-46543.73944527001,1171,0.0064,6581
-374.1211242675781,830.04,227474,910000,1.7616276741027832,89.96431732177734,0.23442725837230682,136,-57203.39955118999,1184,0.0064,6659
36.05647277832031,844.97,229974,920000,0.5868116617202759,72.33811950683594,-1.2260358333587646,136,-60770.332893089995,1196,0.0064,6737
49.45827102661133,829.42,232474,930000,0.9196479916572571,43.19615936279297,-0.17592209577560425,136,-76227.88705863999,1209,0.0064,6815
-33.038185119628906,832.95,234974,940000,1.0334429740905762,66.3258056640625,0.03794849291443825,136,-85756.01994176001,1221,0.0064,6892
-171.80633544921875,842.98,237474,950000,0.9437963962554932,59.184104919433594,0.12835584580898285,136,-79173.95496900001,1231,0.0064,6969
39.760658264160156,845.1,239974,960000,0.6637007594108582,88.01457214355469,0.2627108097076416,136,-82254.27665242,1241,0.0064,7047
-50.40276336669922,865.38,242474,970000,0.6265095472335815,48.26961898803711,-1.236589789390564,136,-75298.18602937,1252,0.0064,7124
255.93472290039062,898.53,244974,980000,0.4092966616153717,58.342403411865234,-1.5420387983322144,136,-68312.70940320002,1261,0.0064,7202
27.119365692138672,905.52,247474,990000,0.5477279424667358,49.984657287597656,-0.37545496225357056,135,-59967.710474039995,1272,0.0064,7280
89.25003814697266,921.2,249974,1000000,0.9155839681625366,60.07109451293945,0.2681530714035034,135,-75005.71849563999,1281,0.0064,7357
