rollout/ep_rew_mean,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,time/time_elapsed
-345162.84864381,709095.5,0.001,440000,950.0,7.7481465339660645,625,0.4517272710800171,80,109974,-19760.119140625,5475
-351279.93890327,1341781.5,0.001,450000,980.2,8.355871200561523,634,-0.3202560842037201,80,112474,-18949.50390625,5600
-319411.86025289004,5131497.5,0.001,460000,983.32,6.97999382019043,645,-0.2014198899269104,80,114974,-20476.3046875,5726
-326271.14157849,2010285.375,0.001,470000,986.85,6.293567657470703,654,-0.8973298668861389,80,117474,-20431.849609375,5852
-289849.52797696,579029.8125,0.001,480000,989.8,6.997710227966309,665,-1.818207025527954,80,119974,-17923.552734375,5978
-294719.60425616,3209435.0,0.001,490000,985.89,6.129988193511963,674,-0.6507332921028137,80,122474,-18706.775390625,6104
-337560.95952351997,553317.5625,0.001,500000,985.89,5.904695510864258,686,0.17835469543933868,80,124974,-19753.26953125,6230
-306797.37522930006,1255780.25,0.001,510000,985.89,6.810845375061035,694,0.13069075345993042,80,127474,-17815.51953125,6356
-276893.69134430995,2561415.0,0.001,520000,985.89,6.311026573181152,706,-0.8838534951210022,80,129974,-19658.37890625,6481
-283650.32581817004,3078920.5,0.001,530000,994.01,7.73073673248291,714,0.4496407210826874,80,132474,-19395.998046875,6607
-221278.51821593998,693570.75,0.001,540000,994.15,6.03301477432251,726,-0.01645822823047638,80,134974,-17849.025390625,6733
-220983.36652939997,804076.8125,0.001,550000,988.71,6.072440147399902,735,-0.03296844661235809,80,137474,-17921.1328125,6858
-238606.03562239002,642411.6875,0.001,560000,986.86,7.788806438446045,747,0.03932669758796692,80,139974,-18570.7265625,6984
-249251.16229334997,537772.25,0.001,570000,982.78,6.494561672210693,755,0.8436787128448486,80,142474,-16514.029296875,7109
-238755.85238996,600008.125,0.001,580000,982.78,5.9411234855651855,767,-0.43077918887138367,80,144974,-15383.4873046875,7235
-239083.72157219003,2689358.0,0.001,590000,986.69,5.6353912353515625,775,0.31968414783477783,80,147474,-14709.8818359375,7361
-182665.22504323002,7225017.5,0.001,600000,986.69,6.776726722717285,787,-0.014700675383210182,80,149974,-14071.6767578125,7486
-196469.07854383,586564.9375,0.001,610000,978.87,7.282937049865723,796,-0.8916825652122498,80,152474,-14080.7548828125,7613
-189984.41014407005,378486.5,0.001,620000,978.87,6.976722717285156,808,1.8234686851501465,80,154974,-13920.701171875,7738
-175963.10136854,458138.8125,0.001,630000,978.87,6.120124340057373,816,-0.2551383972167969,80,157474,-13655.23046875,7864
-188878.50438579,958488.0,0.001,640000,978.87,5.4760847091674805,828,0.9204525351524353,80,159974,-12452.4619140625,7990
-196195.9637459,3931899.5,0.001,650000,981.18,6.383612155914307,837,0.6388378143310547,80,162474,-12760.3720703125,8115
-176560.59667626998,720266.625,0.001,660000,983.03,4.757694244384766,848,-0.4858893156051636,80,164974,-11898.58984375,8241
-176040.33163863997,1298150.875,0.001,670000,967.99,5.236577033996582,859,-0.7777092456817627,80,167474,-12172.18359375,8367
-258189.71875460004,1436527.125,0.001,680000,956.18,4.2466559410095215,872,-0.21377292275428772,80,169974,-11879.7275390625,8493
-254983.58074731997,837701.875,0.001,690000,950.85,4.705498695373535,882,1.5720726251602173,80,172474,-11244.505859375,8618
-248733.36510131,1385013.5,0.001,700000,950.85,4.221282958984375,892,0.1733885556459427,80,174974,-10521.947265625,8744
-214314.76998071,841001.8125,0.001,710000,958.67,4.856345176696777,902,0.0688498318195343,80,177474,-10022.8037109375,8870
-232470.66395505998,736339.1875,0.001,720000,958.67,4.739868640899658,912,0.6802472472190857,80,179974,-9984.25390625,8995
-247438.76914824,880207.875,0.001,730000,958.67,3.9003372192382812,922,0.15705439448356628,80,182474,-10289.25390625,9121
-245488.26199806,493727.46875,0.001,740000,963.74,5.258825302124023,932,-1.6402684450149536,80,184974,-9871.8857421875,9247
-229971.18362318003,937188.25,0.001,750000,963.74,4.513439178466797,942,-0.1631476730108261,80,187474,-8828.63671875,9373
-208858.65948968,508364.625,0.001,760000,963.74,4.079444408416748,952,0.9717245101928711,80,189974,-8389.6015625,9499
-203345.33242813998,318527.40625,0.001,770000,982.86,3.8777990341186523,962,-0.6448174118995667,79,192474,-8212.7587890625,9625
