time/time_elapsed,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,time/fps,train/critic_loss,time/episodes
433,0.001,-1.9750722646713257,52765.0,-45289.5078125,8.01,250000,85.8013687133789,62474,576,15361824.0,26933
451,0.001,-0.15996778011322021,52759.1,-42207.75,8.02,260000,85.23353576660156,64974,576,53755080.0,28181
469,0.001,1.114759922027588,52962.8,-47070.3515625,8.0,270000,74.13125610351562,67474,574,49096032.0,29429
486,0.001,-1.4938031435012817,52962.8,-45078.40625,8.0,280000,76.80040740966797,69974,574,11512488.0,30680
504,0.001,0.7461394667625427,52964.6,-50566.4296875,8.0,290000,72.90028381347656,72474,574,14889616.0,31929
522,0.001,4.68887996673584,52961.9,-53523.546875,8.0,300000,65.3467025756836,74974,574,24270776.0,33177
540,0.001,1.6842843294143677,52958.3,-54217.2578125,8.0,310000,65.42137908935547,77474,573,22964988.0,34428
558,0.001,1.4867594242095947,52965.5,-56928.0546875,8.0,320000,64.35670471191406,79974,573,23868156.0,35677
576,0.001,0.5443630814552307,52968.2,-59010.2109375,8.0,330000,62.45329284667969,82474,572,15462105.0,36927
594,0.001,0.7500283718109131,52658.6,-56346.9375,8.03,340000,58.44324493408203,84974,571,23359712.0,38175
611,0.001,-0.127214252948761,52759.1,-59523.453125,8.02,350000,62.58598709106445,87474,571,10234225.0,39424
629,0.001,1.8417932987213135,52962.8,-59956.2265625,8.0,360000,59.24668884277344,89974,571,16834888.0,40673
647,0.001,4.415496349334717,52861.4,-57659.8046875,8.01,370000,56.72825241088867,92474,571,35315112.0,41922
664,0.001,-1.9903908967971802,52961.9,-56534.953125,8.0,380000,56.2934455871582,94974,571,12280768.0,43172
682,0.001,0.862413227558136,52860.33787237,-57578.48828125,8.01,390000,57.666561126708984,97474,571,18114424.0,44421
699,0.001,-0.928932249546051,52962.8,-54947.203125,8.0,400000,52.53928756713867,99974,571,45697496.0,45670
719,0.001,-3.80326771736145,52959.2,-56213.1328125,8.0,410000,48.982566833496094,102474,570,21188560.0,46911
738,0.001,-0.8981043100357056,52970.0,-63513.86328125,8.0,420000,55.01445770263672,104974,568,23323576.0,48159
758,0.001,-0.2589036226272583,52970.0,-60200.796875,8.0,430000,48.28288269042969,107474,566,9199584.0,49410
778,0.001,-2.915809154510498,52966.4,-58030.52734375,8.0,440000,45.325538635253906,109974,565,6490809.0,50659
798,0.001,-2.7658581733703613,52966.4,-58472.8125,8.0,450000,41.934814453125,112474,563,6241802.5,51908
817,0.001,-1.1899880170822144,52966.4,-57674.4609375,8.0,460000,46.17750549316406,114974,562,10502452.0,53153
838,0.001,2.3277974128723145,52865.0,-62398.09765625,8.01,470000,40.6010856628418,117474,560,5945456.0,54401
857,0.001,2.782294511795044,52966.29118853,-66433.0625,8.0,480000,43.64926528930664,119974,559,6879079.0,55649
877,0.001,0.1303476095199585,52960.1,-59165.73828125,8.0,490000,40.389122009277344,122474,558,14653960.0,56900
897,0.001,-1.0739434957504272,52967.3,-64095.44140625,8.0,500000,42.647403717041016,124974,557,6053718.0,58148
917,0.001,-1.4487977027893066,52766.3,-62555.28125,8.02,510000,40.97239303588867,127474,555,6195411.5,59398
937,0.001,5.4255547523498535,52966.4,-67191.5625,8.0,520000,36.22361373901367,129974,554,6110853.5,60648
957,0.001,0.9384695291519165,52969.1,-60342.5859375,8.0,530000,37.073524475097656,132474,553,15224764.0,61898
977,0.001,-0.8249944448471069,52964.6,-61962.453125,8.0,540000,35.980430603027344,134974,552,9240705.0,63147
995,0.001,-0.7421697974205017,52964.6,-61570.08984375,8.0,550000,36.02664566040039,137474,552,10308622.0,64395
1014,0.001,0.21501800417900085,52963.7,-66937.7578125,8.0,560000,35.48993682861328,139974,551,9167936.0,65645
1033,0.001,-1.49556303024292,52965.5,-61217.62890625,8.0,570000,36.74635314941406,142474,551,13668336.0,66895
1052,0.001,-0.880064845085144,52861.9,-63411.50390625,8.0,580000,36.36659240722656,144974,550,17244028.0,68145
1071,0.001,1.6033973693847656,51953.867352680005,-65035.9609375,8.1,590000,35.85565948486328,147474,550,5735848.0,69392
1090,0.001,1.2661770582199097,52969.1,-63535.84765625,8.0,600000,35.90128707885742,149974,549,6003569.0,70642
1109,0.001,-2.550163984298706,52866.4,-65385.0,8.0,610000,35.289485931396484,152474,549,3155540.0,71889
1128,0.001,3.201549768447876,52966.4,-65466.0625,8.0,620000,32.945396423339844,154974,549,10522244.0,73138
1147,0.001,1.7891302108764648,52966.4,-63424.30859375,8.0,630000,33.363834381103516,157474,548,6685108.0,74349
1166,0.001,-0.2947063148021698,52970.0,-62354.5625,8.0,640000,32.970951080322266,159974,548,4143404.0,75597
1185,0.001,1.47853422164917,52967.3,-66715.890625,8.0,650000,31.106534957885742,162474,548,3983204.0,76848
1204,0.001,-0.3538780212402344,52961.9,-59850.34375,8.0,660000,32.27665710449219,164974,547,7029936.0,78093
1223,0.001,-1.128886342048645,52353.728692460005,-65548.65625,8.05,670000,29.871931076049805,167474,547,8632128.0,79341
