time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,time/fps,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/approx_kl
380000,-21.23848496824503,45.31,3025393664.0,-0.0010129477204827708,0.9968482851982117,0.0,0.2,5755634775.6,0.0,808,460,-241402.98864782,0.0003,469,0.00043444437
390000,-21.235527746379375,46.32,2729196544.0,-0.0011792134095230723,0.996698260307312,0.0,0.2,5764978613.2,0.0,809,470,-239354.90151079,0.0003,481,0.0005202271
400000,-21.23492850214243,55.44,2940612096.0,-0.0012418264362167974,0.9967575073242188,0.0,0.2,5799261263.2,0.0,811,480,-283881.59652578,0.0003,493,0.0005834339
410000,-21.23304950594902,52.14,2403816192.0,-0.0012595335754667758,0.9965802431106567,-1.1920928955078125e-07,0.2,5322670559.2,0.0,804,500,-258251.70067812997,0.0003,509,0.00053279824
420000,-21.23247461169958,47.93,3004418048.0,-0.0014664294201793382,0.9965713024139404,-1.1920928955078125e-07,0.2,5544781965.2,0.0,806,510,-246402.20484481004,0.0003,520,0.0006432766
430000,-21.231247752904892,44.05,2840989696.0,-0.0016235785797107383,0.996414840221405,-2.384185791015625e-07,0.2,5691191199.6,0.0,807,520,-228567.57255627,0.0003,532,0.00091574603
440000,-21.228646887838842,51.28,3057174528.0,-0.00177419144220039,0.9962335824966431,-1.1920928955078125e-07,0.2,5796417319.2,1.220703125e-05,808,530,-260485.70416395002,0.0003,543,0.0010716993
450000,-21.225656981766225,57.19,2724422656.0,-0.0012686570345977089,0.9960131049156189,0.0,0.2,5724052979.2,0.0,810,540,-291916.91601596994,0.0003,555,0.000433535
460000,-21.219960221648215,46.74,2524576512.0,-0.0012190980676678009,0.9955517649650574,1.1920928955078125e-07,0.2,5624182420.6,0.0,805,560,-241564.33990040005,0.0003,570,0.0005806088
470000,-21.2171529173851,47.23,3119140864.0,-0.0016564539864702965,0.995568037033081,1.1920928955078125e-07,0.2,5487342773.2,0.0,807,570,-242589.35136878997,0.0003,581,0.0007673637
480000,-21.2166652277112,44.06,2741800704.0,-0.0009773451531145839,0.995489239692688,1.1920928955078125e-07,0.2,5659566540.0,0.0,809,580,-227514.50080787003,0.0003,593,0.0002985655
490000,-21.21508609056473,50.83,2871744000.0,-0.0009237910286174156,0.9953568577766418,1.1920928955078125e-07,0.2,5488322630.8,0.0,810,590,-246639.81415007001,0.0003,604,0.00041143352
