train/explained_variance,train/policy_loss,train/std,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/fps,time/time_elapsed,train/value_loss
0.0,-1438970.75,1.5282450914382935,-145862.02124208002,0.0007,-21.94935417175293,9.6,870000,43499,1295,671,5855131648.0
0.0,-1006070.125,1.5266414880752563,-269626.74552403,0.0007,-21.936298370361328,14.38,880000,43999,1295,679,4536775680.0
1.1920928955078125e-07,-1511360.0,1.5399664640426636,-242996.08983783,0.0007,-22.041154861450195,12.77,890000,44499,1295,686,5986684928.0
0.0,-711479.375,1.5440000295639038,-145270.31211191998,0.0007,-22.07916831970215,10.04,900000,44999,1296,694,3654183680.0
0.0,-2086939.0,1.5529454946517944,-588726.74775394,0.0007,-22.161304473876953,24.02,910000,45499,1296,701,9469241344.0
5.960464477539063e-08,-1758179.625,1.5599359273910522,-170728.01077417002,0.0007,-22.213197708129883,10.73,920000,45999,1296,709,8508439040.0
0.0,-432965.0,1.5697487592697144,-134879.62624373,0.0007,-22.275114059448242,10.5,930000,46499,1297,717,3010590208.0
0.0,-861383.1875,1.5552064180374146,-264248.77113641,0.0007,-22.173063278198242,14.0,940000,46999,1297,724,6063225344.0
0.0,-1637106.375,1.559059739112854,-175406.88424066,0.0007,-22.195222854614258,12.29,950000,47499,1297,732,7129934848.0
0.0,-1361114.75,1.57131826877594,-209486.61085601003,0.0007,-22.274473190307617,13.35,960000,47999,1297,739,5097208832.0
0.0,-1167404.375,1.5746750831604004,-146158.32452527,0.0007,-22.30386734008789,11.69,970000,48499,1298,747,4704743424.0
0.0,-852916.6875,1.5757689476013184,-193829.58172749,0.0007,-22.316495895385742,12.45,980000,48999,1298,754,5392290816.0
1.1920928955078125e-07,-753169.6875,1.56712806224823,-156310.88485139998,0.0007,-22.249666213989258,11.99,990000,49499,1298,762,5697701376.0
-1.1920928955078125e-07,-1398563.875,1.574896216392517,-230898.67669584,0.0007,-22.3048038482666,14.14,1000000,49999,1299,769,5787694592.0
